dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.110120,0.917964,0.000199,0.019882,0.994095,49.704735,0.025744
0.020000,0.110050,0.917962,0.000269,0.003512,-0.818489,-90.629167,0.025993
0.020000,0.109909,0.917958,0.000409,0.007021,0.175458,49.697345,0.026490
0.020000,0.110386,0.917971,0.000886,0.023835,0.840683,33.261230,0.027235
0.020000,0.113285,0.918052,0.003787,0.145033,6.059895,260.960590,0.028228
0.020000,0.116910,0.918156,0.007413,0.181312,1.813974,-212.296040,0.029467
0.020000,0.121260,0.918288,0.011765,0.217598,1.814260,0.014321,0.030953
0.020000,0.126336,0.918449,0.016843,0.253908,1.815508,0.062403,0.032683
0.020000,0.132137,0.918645,0.022648,0.290226,1.815921,0.020650,0.034657
0.020000,0.138664,0.918878,0.029179,0.326570,1.817176,0.062711,0.036874
0.020000,0.145918,0.919155,0.036438,0.362933,1.818193,0.050870,0.039330
0.020000,0.153897,0.919480,0.044424,0.399328,1.819741,0.077385,0.042026
0.020000,0.162604,0.919858,0.053139,0.435752,1.821182,0.072075,0.044958
0.020000,0.172038,0.920298,0.062583,0.472203,1.822549,0.068327,0.048124
0.020000,0.182200,0.920805,0.072758,0.508708,1.825273,0.136233,0.051521
0.020000,0.193089,0.921386,0.083662,0.545239,1.826535,0.063086,0.055147
0.020000,0.204706,0.922050,0.095299,0.581821,1.829089,0.127703,0.058999
0.020000,0.217052,0.922804,0.107668,0.618453,1.831600,0.125539,0.063072
0.020000,0.230127,0.923658,0.120771,0.655135,1.834110,0.125520,0.067362
0.020000,0.243932,0.924621,0.134608,0.691888,1.837642,0.176569,0.071867
0.020000,0.258465,0.925701,0.149182,0.728692,1.840228,0.129313,0.076581
0.020000,0.273729,0.926910,0.164494,0.765573,1.844008,0.188998,0.081499
0.020000,0.289723,0.928258,0.180544,0.802529,1.847820,0.190584,0.086615
0.020000,0.306447,0.929755,0.197335,0.839563,1.851714,0.194717,0.091925
0.020000,0.323902,0.931413,0.214869,0.876682,1.855933,0.210951,0.097422
0.020000,0.342088,0.933242,0.233147,0.913899,1.860862,0.246465,0.103100
0.020000,0.361006,0.935256,0.252171,0.951212,1.865648,0.239290,0.108951
0.020000,0.380655,0.937465,0.271944,0.988629,1.870829,0.259029,0.114968
0.020000,0.401035,0.939882,0.292467,1.026158,1.876455,0.281313,0.121143
0.020000,0.422147,0.942520,0.313743,1.063809,1.882573,0.305914,0.127468
0.020000,0.443991,0.945392,0.335775,1.101579,1.888475,0.295093,0.133934
0.020000,0.466566,0.948510,0.358564,1.139483,1.895219,0.337180,0.140532
0.020000,0.489873,0.951887,0.382115,1.177528,1.902219,0.349998,0.147251
0.020000,0.513912,0.955537,0.406429,1.215716,1.909428,0.360488,0.154082
0.020000,0.538682,0.959472,0.431510,1.254054,1.916893,0.373238,0.161014
0.020000,0.564184,0.963706,0.457362,1.292553,1.924945,0.402575,0.168035
0.020000,0.590418,0.968253,0.483986,1.331215,1.933083,0.406912,0.175135
0.020000,0.617382,0.973124,0.511387,1.370049,1.941710,0.431333,0.182300
0.020000,0.645078,0.978333,0.539568,1.409060,1.950557,0.442371,0.189518
0.020000,0.673504,0.983893,0.568533,1.448253,1.959660,0.455141,0.196777
