dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.117392,0.635557,0.000199,0.019882,0.994095,49.704735,0.025744
0.020000,0.117392,0.635557,0.000994,0.059646,1.988189,49.704735,0.025993
0.020000,0.117392,0.635557,0.002585,0.099409,1.988189,-0.000000,0.026490
0.020000,0.118079,0.635576,0.004970,0.139173,1.988189,0.000000,0.027235
0.020000,0.121259,0.635664,0.008152,0.178937,1.988189,-0.000000,0.028228
0.020000,0.125233,0.635779,0.012128,0.218701,1.988189,0.000000,0.029467
0.020000,0.130003,0.635923,0.016900,0.258465,1.988189,-0.000000,0.030953
0.020000,0.135567,0.636100,0.022467,0.298228,1.988189,0.000000,0.032683
0.020000,0.141926,0.636314,0.028829,0.337992,1.988189,0.000000,0.034657
0.020000,0.149079,0.636570,0.035986,0.377756,1.988189,-0.000000,0.036874
0.020000,0.157025,0.636873,0.043939,0.417520,1.988189,0.000000,0.039330
0.020000,0.165766,0.637229,0.052687,0.457284,1.988189,0.000000,0.042026
0.020000,0.175301,0.637644,0.062230,0.497047,1.988189,-0.000000,0.044958
0.020000,0.185628,0.638125,0.072569,0.536811,1.988189,0.000000,0.048124
0.020000,0.196748,0.638679,0.083703,0.576575,1.988189,-0.000000,0.051521
0.020000,0.208660,0.639315,0.095632,0.616339,1.988189,0.000000,0.055147
0.020000,0.221364,0.640041,0.108356,0.656102,1.988189,-0.000000,0.058999
0.020000,0.234858,0.640866,0.121876,0.695866,1.988189,0.000000,0.063072
0.020000,0.249143,0.641799,0.136191,0.735630,1.988189,0.000000,0.067362
0.020000,0.264216,0.642850,0.151301,0.775394,1.988189,0.000000,0.071867
0.020000,0.280078,0.644029,0.167207,0.815158,1.988189,-0.000000,0.076581
0.020000,0.296727,0.645348,0.183908,0.854921,1.988189,0.000000,0.081499
0.020000,0.314161,0.646817,0.201404,0.894685,1.988189,0.000000,0.086615
0.020000,0.332380,0.648448,0.219695,0.934449,1.988189,0.000000,0.091925
0.020000,0.351381,0.650252,0.238782,0.974213,1.988189,0.000000,0.097422
0.020000,0.371163,0.652242,0.258663,1.013977,1.988189,-0.000000,0.103100
0.020000,0.391724,0.654431,0.279341,1.053740,1.988189,0.000000,0.108951
0.020000,0.413062,0.656830,0.300813,1.093504,1.988189,0.000000,0.114968
0.020000,0.435174,0.659453,0.323081,1.133268,1.988189,0.000000,0.121143
0.020000,0.458059,0.662312,0.346144,1.173032,1.988189,-0.000000,0.127468
0.020000,0.481714,0.665422,0.370002,1.212796,1.988189,0.000000,0.133934
0.020000,0.506136,0.668795,0.394656,1.252559,1.988189,0.000000,0.140532
0.020000,0.531321,0.672444,0.420104,1.292323,1.988189,0.000000,0.147251
0.020000,0.557268,0.676383,0.446349,1.332087,1.988189,0.000000,0.154082
0.020000,0.583972,0.680626,0.473388,1.371851,1.988189,-0.000000,0.161014
0.020000,0.611431,0.685185,0.501223,1.411614,1.988189,0.000000,0.168035
0.020000,0.639641,0.690074,0.529852,1.451378,1.988189,0.000000,0.175135
0.020000,0.668597,0.695305,0.559278,1.491142,1.988189,0.000000,0.182300
0.020000,0.698297,0.700891,0.589498,1.530906,1.988189,-0.000000,0.189518
0.020000,0.728735,0.706845,0.620514,1.570670,1.988189,0.000000,0.196777
0.020000,0.759910,0.713179,0.652325,1.610433,1.988189,0.000000,0.204063
0.020000,0.791815,0.719903,0.684931,1.650197,1.988189,0.000000,0.211362
0.020000,0.824447,0.727030,0.718333,1.689961,1.988189,-0.000000,0.218660
0.020000,0.857802,0.734570,0.752530,1.729725,1.988189,0.000000,0.225943
0.020000,0.891876,0.742533,0.787522,1.769489,1.988189,-0.000000,0.233196
0.020000,0.926665,0.750930,0.823309,1.809252,1.988189,-0.000000,0.240403
0.020000,0.962164,0.759767,0.859892,1.849016,1.988189,0.000000,0.247550
0.020000,0.998369,0.769055,0.897270,1.888780,1.988189,-0.000000,0.254622
0.020000,1.035278,0.778799,0.935443,1.928544,1.988189,0.000000,0.261601
0.020000,1.072885,0.789008,0.974412,1.968307,1.988189,0.000000,0.268473
0.020000,1.111188,0.799686,1.014175,2.008071,1.988189,-0.000000,0.275221
0.020000,1.150184,0.810838,1.054734,2.047835,1.988189,0.000000,0.281829
0.020000,1.189869,0.822468,1.096089,2.087599,1.988189,-0.000000,0.288280
0.020000,1.230241,0.834579,1.138238,2.127363,1.988189,0.000000,0.294558
