dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.124664,0.353151,0.000199,0.019882,0.994095,49.704735,0.025744
0.020000,0.124734,0.353153,0.000269,0.003512,-0.818489,-90.629167,0.025993
0.020000,0.124874,0.353157,0.000409,0.007021,0.175458,49.697345,0.026490
0.020000,0.125772,0.353181,0.001307,0.044885,1.893178,85.886008,0.027235
0.020000,0.129232,0.353277,0.004769,0.173075,6.409483,225.815213,0.028228
0.020000,0.133557,0.353402,0.009095,0.216329,2.162703,-212.338979,0.029467
0.020000,0.138746,0.353558,0.014286,0.259562,2.161692,-0.050577,0.030953
0.020000,0.144798,0.353751,0.020342,0.302793,2.161535,-0.007843,0.032683
0.020000,0.151714,0.353984,0.027262,0.345995,2.160078,-0.072849,0.034657
0.020000,0.159493,0.354262,0.035046,0.389181,2.159306,-0.038565,0.036874
0.020000,0.168133,0.354592,0.043693,0.432339,2.157920,-0.069313,0.039330
0.020000,0.177635,0.354978,0.053202,0.475476,2.156816,-0.055193,0.042026
0.020000,0.187997,0.355429,0.063574,0.518580,2.155218,-0.079907,0.044958
0.020000,0.199218,0.355952,0.074807,0.561643,2.153144,-0.103704,0.048124
0.020000,0.211296,0.356554,0.086900,0.604688,2.152277,-0.043349,0.051521
0.020000,0.224231,0.357245,0.099854,0.647673,2.149241,-0.151822,0.055147
0.020000,0.238021,0.358033,0.113666,0.690619,2.147288,-0.097628,0.058999
0.020000,0.252664,0.358928,0.128337,0.733515,2.144808,-0.124023,0.063072
0.020000,0.268158,0.359940,0.143864,0.776352,2.141827,-0.149021,0.067362
0.020000,0.284501,0.361079,0.160246,0.819142,2.139532,-0.114738,0.071867
0.020000,0.301691,0.362357,0.177483,0.861854,2.135570,-0.198109,0.076581
0.020000,0.319725,0.363786,0.195574,0.904503,2.132450,-0.156036,0.081499
0.020000,0.338599,0.365376,0.214515,0.947078,2.128770,-0.183959,0.086615
0.020000,0.358312,0.367141,0.234306,0.989569,2.124572,-0.209938,0.091925
0.020000,0.378859,0.369092,0.254946,1.031972,2.120118,-0.222679,0.097422
0.020000,0.400237,0.371242,0.276432,1.074289,2.115842,-0.213782,0.103100
0.020000,0.422441,0.373606,0.298762,1.116503,2.110722,-0.256043,0.108951
0.020000,0.445469,0.376195,0.321934,1.158611,2.105374,-0.267400,0.114968
0.020000,0.469314,0.379023,0.345946,1.200607,2.099844,-0.276502,0.121143
0.020000,0.493972,0.382104,0.370796,1.242491,2.094173,-0.283517,0.127468
0.020000,0.519437,0.385452,0.396481,1.284241,2.087527,-0.332293,0.133934
0.020000,0.545705,0.389080,0.422998,1.325864,2.081137,-0.319515,0.140532
0.020000,0.572770,0.393001,0.450345,1.367350,2.074316,-0.341061,0.147251
0.020000,0.600624,0.397230,0.478519,1.408691,2.067012,-0.365170,0.154082
0.020000,0.629263,0.401780,0.507516,1.449876,2.059286,-0.386316,0.161014
0.020000,0.658678,0.406664,0.537335,1.490907,2.051529,-0.387839,0.168035
0.020000,0.688864,0.411895,0.567970,1.531771,2.043177,-0.417628,0.175135
0.020000,0.719812,0.417486,0.599419,1.572465,2.034709,-0.423401,0.182300
0.020000,0.751516,0.423449,0.631679,1.612981,2.025837,-0.443602,0.189518
0.020000,0.783967,0.429797,0.664745,1.653314,2.016625,-0.460596,0.196777
0.020000,0.817158,0.436540,0.698614,1.693460,2.007282,-0.467144,0.204063
0.020000,0.851081,0.443690,0.733283,1.733410,1.997494,-0.489382,0.211362
0.020000,0.885727,0.451257,0.768746,1.773161,1.987582,-0.495602,0.218660
0.020000,0.921089,0.459250,0.805000,1.812709,1.977379,-0.510143,0.225943
0.020000,0.957158,0.467680,0.842041,1.852048,1.966947,-0.521616,0.233196
0.020000,0.993926,0.476554,0.879864,1.891174,1.956330,-0.530829,0.240403
0.020000,1.031385,0.485879,0.918466,1.930085,1.945525,-0.540272,0.247550
0.020000,1.069525,0.495663,0.957842,1.968775,1.934524,-0.550036,0.254622
