dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.077000,7.889640,0.000198,0.019762,0.988080,49.403981,6.256551
0.020000,0.077022,7.889640,0.000220,0.001095,-0.933309,-96.069448,6.256473
0.020000,0.077065,7.889638,0.000263,0.002189,0.054700,49.400465,6.256318
0.020000,0.077934,7.889615,0.001132,0.043435,2.062267,100.378355,6.256086
0.020000,0.081182,7.889526,0.004381,0.162460,5.951268,194.450026,6.255777
0.020000,0.085242,7.889414,0.008443,0.203065,2.030247,-196.051020,6.255391
0.020000,0.090113,7.889278,0.013316,0.243663,2.029876,-0.018574,6.254929
0.020000,0.095796,7.889116,0.019001,0.284252,2.029483,-0.019614,6.254392
0.020000,0.102290,7.888927,0.025497,0.324831,2.028938,-0.027260,6.253780
0.020000,0.109594,7.888709,0.032805,0.365400,2.028446,-0.024616,6.253094
0.020000,0.117710,7.888462,0.040925,0.405955,2.027769,-0.033847,6.252335
0.020000,0.126635,7.888183,0.049854,0.446497,2.027078,-0.034556,6.251503
0.020000,0.136371,7.887870,0.059595,0.487023,2.026295,-0.039137,6.250601
0.020000,0.146916,7.887521,0.070146,0.527533,2.025499,-0.039803,6.249629
0.020000,0.158269,7.887134,0.081506,0.568023,2.024520,-0.048972,6.248588
0.020000,0.170432,7.886706,0.093676,0.608494,2.023569,-0.047535,6.247481
0.020000,0.183402,7.886235,0.106655,0.648945,2.022511,-0.052897,6.246307
0.020000,0.197180,7.885718,0.120442,0.689372,2.021383,-0.056404,6.245070
0.020000,0.211764,7.885153,0.135038,0.729775,2.020153,-0.061469,6.243770
0.020000,0.227155,7.884535,0.150441,0.770153,2.018892,-0.063056,6.242410
0.020000,0.243351,7.883863,0.166651,0.810504,2.017532,-0.068019,6.240991
0.020000,0.260352,7.883133,0.183667,0.850826,2.016122,-0.070501,6.239516
0.020000,0.278157,7.882341,0.201490,0.891119,2.014623,-0.074956,6.237986
0.020000,0.296765,7.881484,0.220117,0.931380,2.013038,-0.079227,6.236404
0.020000,0.316175,7.880560,0.239550,0.971608,2.011412,-0.081334,6.234772
0.020000,0.336386,7.879564,0.259786,1.011801,2.009675,-0.086808,6.233093
0.020000,0.357398,7.878492,0.280825,1.051959,2.007895,-0.089003,6.231368
0.020000,0.379210,7.877341,0.302666,1.092080,2.006029,-0.093334,6.229602
0.020000,0.401819,7.876108,0.325310,1.132161,2.004080,-0.097457,6.227795
0.020000,0.425226,7.874789,0.348754,1.172203,2.002065,-0.100727,6.225953
0.020000,0.449429,7.873379,0.372998,1.212202,1.999977,-0.104406,6.224076
0.020000,0.474427,7.871876,0.398041,1.252159,1.997819,-0.107901,6.222169
0.020000,0.500219,7.870275,0.423882,1.292070,1.995572,-0.112326,6.220234
0.020000,0.526803,7.868573,0.450521,1.331935,1.993271,-0.115092,6.218275
0.020000,0.554179,7.866766,0.477956,1.371753,1.990874,-0.119818,6.216295
0.020000,0.582344,7.864851,0.506186,1.411521,1.988422,-0.122597,6.214298
0.020000,0.611298,7.862824,0.535211,1.451239,1.985887,-0.126764,6.212287
0.020000,0.641039,7.860682,0.565029,1.490905,1.983284,-0.130169,6.210266
0.020000,0.671566,7.858420,0.595640,1.530517,1.980606,-0.133892,6.208239
0.020000,0.702877,7.856037,0.627041,1.570074,1.977856,-0.137474,6.206209
0.020000,0.734970,7.853529,0.659233,1.609575,1.975034,-0.141089,6.204181
0.020000,0.767845,7.850893,0.692213,1.649018,1.972140,-0.144709,6.202158
0.020000,0.801499,7.848126,0.725981,1.688401,1.969177,-0.148157,6.200146
0.020000,0.835932,7.845225,0.760536,1.727724,1.966143,-0.151701,6.198147
0.020000,0.871141,7.842188,0.795875,1.766985,1.963032,-0.155566,6.196167
0.020000,0.907125,7.839013,0.831999,1.806182,1.959866,-0.158302,6.194211
0.020000,0.943882,7.835698,0.868905,1.845314,1.956610,-0.162802,6.192282
0.020000,0.981411,7.832241,0.906593,1.884380,1.953303,-0.165334,6.190385
0.020000,1.019709,7.828641,0.945060,1.923379,1.949920,-0.169151,6.188525
0.020000,1.058776,7.824896,0.984306,1.962308,1.946460,-0.173012,6.186708
0.020000,1.098610,7.821005,1.024330,2.001167,1.942950,-0.175481,6.184938
0.020000,1.139209,7.816967,1.065129,2.039954,1.939351,-0.179938,6.183219
0.020000,1.180571,7.812784,1.106702,2.078668,1.935702,-0.182484,6.181558
0.020000,1.222695,7.808454,1.149048,2.117307,1.931975,-0.186315,6.179960
0.020000,1.265580,7.803978,1.192166,2.155871,1.928185,-0.189539,6.178429
0.020000,1.309223,7.799356,1.236053,2.194357,1.924311,-0.193674,6.176972
0.020000,1.353623,7.794591,1.280708,2.232765,1.920397,-0.195720,6.175594
0.020000,1.398779,7.789684,1.326130,2.271093,1.916392,-0.200229,6.174300
0.020000,1.444690,7.784637,1.372317,2.309339,1.912323,-0.203475,6.173097
0.020000,1.491353,7.779452,1.419267,2.347503,1.908188,-0.206729,6.171990
0.020000,1.538767,7.774134,1.466979,2.385583,1.903986,-0.210083,6.170985
0.020000,1.586931,7.768685,1.515450,2.423577,1.899697,-0.214471,6.170089
0.020000,1.635844,7.763109,1.564680,2.461484,1.895358,-0.216943,6.169307
0.020000,1.685504,7.757412,1.614666,2.499303,1.890934,-0.221199,6.168645
0.020000,1.735911,7.751599,1.665407,2.537032,1.886440,-0.224705,6.168111
0.020000,1.787062,7.745675,1.716900,2.574669,1.881870,-0.228478,6.167710
0.020000,1.838958,7.739649,1.769144,2.612213,1.877227,-0.232169,6.167449
0.020000,1.891596,7.733525,1.822137,2.649664,1.872507,-0.235982,6.167335
0.020000,1.944976,7.727314,1.875878,2.687018,1.867711,-0.239846,6.167375
0.020000,1.999097,7.721023,1.930363,2.724275,1.862834,-0.243804,6.167575
0.020000,2.053959,7.714661,1.985592,2.761432,1.857880,-0.247726,6.167942
0.020000,2.109559,7.708240,2.041562,2.798489,1.852845,-0.251727,6.168485
0.020000,2.165897,7.701769,2.098271,2.835444,1.847729,-0.255814,6.169208
0.020000,2.222973,7.695261,2.155716,2.872294,1.842530,-0.259932,6.170122
0.020000,2.280786,7.688728,2.213897,2.909039,1.837251,-0.263960,6.171231
0.020000,2.339335,7.682183,2.272811,2.945677,1.831887,-0.268232,6.172546
0.020000,2.398619,7.675642,2.332455,2.982206,1.826453,-0.271675,6.174072
0.020000,2.458638,7.669119,2.392827,3.018624,1.820917,-0.276806,6.175817
0.020000,2.519392,7.662631,2.453926,3.054931,1.815319,-0.279878,6.177791
0.020000,2.580878,7.656194,2.515748,3.091124,1.809641,-0.283924,6.180000
0.020000,2.642847,7.649852,2.578041,3.114631,1.175348,-31.714668,6.182443
0.020000,2.704660,7.643685,2.640161,3.105984,-0.432346,-80.384680,6.185097
0.020000,2.765791,7.637756,2.701579,3.070903,-1.754009,-66.083133,6.187935
0.020000,2.826104,7.632085,2.762158,3.028971,-2.096618,-17.130460,6.190943
0.020000,2.885602,7.626675,2.821901,2.987150,-2.091045,0.278642,6.194115
0.020000,2.944286,7.621531,2.880810,2.945440,-2.085516,0.276440,6.197441
0.020000,3.002158,7.616657,2.938887,2.903839,-2.080043,0.273673,6.200914
0.020000,3.059219,7.612055,2.996134,2.862347,-2.074609,0.271701,6.204526
0.020000,3.115472,7.607726,3.052553,2.820962,-2.069230,0.268921,6.208270
0.020000,3.170918,7.603672,3.108147,2.779684,-2.063896,0.266740,6.212139
0.020000,3.225557,7.599892,3.162917,2.738512,-2.058607,0.264414,6.216124
0.020000,3.279392,7.596386,3.216866,2.697445,-2.053369,0.261929,6.220218
0.020000,3.332424,7.593153,3.269995,2.656481,-2.048175,0.259672,6.224415
0.020000,3.384652,7.590192,3.322308,2.615621,-2.043038,0.256844,6.228706
0.020000,3.436079,7.587500,3.373805,2.574862,-2.037949,0.254471,6.233084
0.020000,3.486705,7.585074,3.424489,2.534204,-2.032899,0.252486,6.237543
0.020000,3.536531,7.582910,3.474362,2.493644,-2.027959,0.246994,6.242076
0.020000,3.585558,7.581006,3.523426,2.453184,-2.023002,0.247857,6.246674
0.020000,3.633786,7.579357,3.571682,2.412821,-2.018153,0.242433,6.251332
0.020000,3.681216,7.577957,3.619133,2.372554,-2.013356,0.239898,6.256043
0.020000,3.727849,7.576801,3.665781,2.332382,-2.008612,0.237167,6.260800
0.020000,3.773686,7.575884,3.711627,2.292302,-2.004005,0.230348,6.265596
0.020000,3.818727,7.575200,3.756673,2.252315,-1.999366,0.231977,6.270425
0.020000,3.862973,7.574743,3.800922,2.212417,-1.994866,0.224977,6.275280
0.020000,3.906425,7.574505,3.844374,2.172608,-1.990435,0.221558,6.280156
0.020000,3.949083,7.574479,3.887032,2.132888,-1.986045,0.219479,0.001860
0.020000,3.990947,7.574659,3.928897,2.093250,-1.981899,0.207303,0.006758
0.020000,4.032020,7.575037,3.969970,2.053698,-1.977589,0.215515,0.011658
