dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.069477,7.607240,0.000198,0.019762,0.988080,49.403981,6.256551
0.020000,0.069477,7.607240,0.000988,0.059285,1.976159,49.403981,6.256473
0.020000,0.069477,7.607240,0.002569,0.098808,1.976159,0.000000,6.256318
0.020000,0.070279,7.607219,0.004940,0.138331,1.976159,0.000000,6.256086
0.020000,0.073440,7.607132,0.008102,0.177854,1.976159,0.000000,6.255777
0.020000,0.077391,7.607023,0.012055,0.217378,1.976159,0.000000,6.255391
0.020000,0.082132,7.606891,0.016797,0.256901,1.976159,-0.000000,6.254929
0.020000,0.087663,7.606733,0.022331,0.296424,1.976159,0.000000,6.254392
0.020000,0.093984,7.606549,0.028654,0.335947,1.976159,-0.000000,6.253780
0.020000,0.101095,7.606337,0.035768,0.375470,1.976159,0.000000,6.253094
0.020000,0.108996,7.606096,0.043673,0.414993,1.976159,0.000000,6.252335
0.020000,0.117687,7.605824,0.052368,0.454517,1.976159,-0.000000,6.251503
0.020000,0.127167,7.605520,0.061854,0.494040,1.976159,0.000000,6.250601
0.020000,0.137438,7.605180,0.072130,0.533563,1.976159,0.000000,6.249629
0.020000,0.148498,7.604803,0.083196,0.573086,1.976159,-0.000000,6.248588
0.020000,0.160347,7.604386,0.095053,0.612609,1.976159,0.000000,6.247481
0.020000,0.172986,7.603927,0.107701,0.652133,1.976159,-0.000000,6.246307
0.020000,0.186415,7.603424,0.121139,0.691656,1.976159,0.000000,6.245070
0.020000,0.200633,7.602872,0.135367,0.731179,1.976159,0.000000,6.243770
0.020000,0.215639,7.602270,0.150386,0.770702,1.976159,-0.000000,6.242410
0.020000,0.231435,7.601614,0.166195,0.810225,1.976159,0.000000,6.240991
0.020000,0.248019,7.600902,0.182795,0.849748,1.976159,0.000000,6.239516
0.020000,0.265392,7.600129,0.200185,0.889272,1.976159,0.000000,6.237986
0.020000,0.283554,7.599294,0.218366,0.928795,1.976159,0.000000,6.236404
0.020000,0.302503,7.598391,0.237337,0.968318,1.976159,0.000000,6.234772
0.020000,0.322241,7.597418,0.257098,1.007841,1.976159,-0.000000,6.233093
0.020000,0.342766,7.596371,0.277650,1.047364,1.976159,0.000000,6.231368
0.020000,0.364079,7.595247,0.298993,1.086888,1.976159,0.000000,6.229602
0.020000,0.386179,7.594041,0.321126,1.126411,1.976159,0.000000,6.227795
0.020000,0.409067,7.592751,0.344049,1.165934,1.976159,-0.000000,6.225953
0.020000,0.432740,7.591372,0.367763,1.205457,1.976159,0.000000,6.224076
0.020000,0.457201,7.589901,0.392268,1.244980,1.976159,0.000000,6.222169
0.020000,0.482447,7.588335,0.417562,1.284503,1.976159,0.000000,6.220234
0.020000,0.508479,7.586668,0.443648,1.324027,1.976159,-0.000000,6.218275
0.020000,0.535296,7.584898,0.470524,1.363550,1.976159,0.000000,6.216295
0.020000,0.562899,7.583021,0.498190,1.403073,1.976159,0.000000,6.214298
0.020000,0.591286,7.581034,0.526646,1.442596,1.976159,0.000000,6.212287
0.020000,0.620457,7.578932,0.555894,1.482119,1.976159,0.000000,6.210266
0.020000,0.650413,7.576713,0.585931,1.521643,1.976159,-0.000000,6.208239
0.020000,0.681152,7.574374,0.616759,1.561166,1.976159,0.000000,6.206209
0.020000,0.712675,7.571910,0.648378,1.600689,1.976159,-0.000000,6.204181
0.020000,0.744980,7.569320,0.680787,1.640212,1.976159,0.000000,6.202158
0.020000,0.778068,7.566599,0.713986,1.679735,1.976159,-0.000000,6.200146
0.020000,0.811938,7.563746,0.747976,1.719259,1.976159,0.000000,6.198147
0.020000,0.846589,7.560757,0.782757,1.758782,1.976159,0.000000,6.196167
0.020000,0.882023,7.557631,0.818328,1.798305,1.976159,-0.000000,6.194211
0.020000,0.918237,7.554365,0.854689,1.837828,1.976159,0.000000,6.192282
0.020000,0.955232,7.550957,0.891841,1.877351,1.976159,-0.000000,6.190385
0.020000,0.993008,7.547405,0.929783,1.916874,1.976159,0.000000,6.188525
0.020000,1.031564,7.543709,0.968516,1.956398,1.976159,0.000000,6.186708
0.020000,1.070900,7.539867,1.008039,1.995921,1.976159,-0.000000,6.184938
0.020000,1.111016,7.535878,1.048352,2.035444,1.976159,0.000000,6.183219
0.020000,1.151911,7.531741,1.089457,2.074967,1.976159,-0.000000,6.181558
0.020000,1.193586,7.527457,1.131351,2.114490,1.976159,0.000000,6.179960
0.020000,1.236040,7.523026,1.174036,2.154014,1.976159,0.000000,6.178429
0.020000,1.279274,7.518448,1.217512,2.193537,1.976159,0.000000,6.176972
0.020000,1.323287,7.513725,1.261778,2.233060,1.976159,0.000000,6.175594
0.020000,1.368080,7.508857,1.306834,2.272583,1.976159,-0.000000,6.174300
0.020000,1.413652,7.503847,1.352681,2.312106,1.976159,0.000000,6.173097
0.020000,1.460005,7.498697,1.399318,2.351629,1.976159,0.000000,6.171990
0.020000,1.507137,7.493410,1.446746,2.391153,1.976159,0.000000,6.170985
0.020000,1.555049,7.487989,1.494964,2.430676,1.976159,0.000000,6.170089
0.020000,1.603743,7.482439,1.543973,2.470199,1.976159,-0.000000,6.169307
0.020000,1.653218,7.476763,1.593772,2.509722,1.976159,0.000000,6.168645
0.020000,1.703474,7.470967,1.644362,2.549245,1.976159,0.000000,6.168111
0.020000,1.754513,7.465057,1.695742,2.588769,1.976159,0.000000,6.167710
0.020000,1.806335,7.459038,1.747913,2.628292,1.976159,0.000000,6.167449
0.020000,1.858942,7.452919,1.800874,2.667815,1.976159,-0.000000,6.167335
0.020000,1.912333,7.446706,1.854625,2.707338,1.976159,0.000000,6.167375
0.020000,1.966510,7.440408,1.909167,2.746861,1.976159,0.000000,6.167575
