dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.061953,7.324841,0.000198,0.019762,0.988080,49.403981,6.256551
0.020000,0.061931,7.324841,0.000220,0.001095,-0.933309,-96.069448,6.256473
0.020000,0.061888,7.324842,0.000263,0.002189,0.054700,49.400465,6.256318
0.020000,0.062625,7.324822,0.001001,0.036874,1.734207,83.975352,6.256086
0.020000,0.065698,7.324739,0.004075,0.153725,5.842568,205.418045,6.255777
0.020000,0.069540,7.324633,0.007919,0.192167,1.922102,-196.023272,6.255391
0.020000,0.074150,7.324503,0.012531,0.230616,1.922430,0.016391,6.254929
0.020000,0.079530,7.324350,0.017912,0.269073,1.922875,0.022230,6.254392
0.020000,0.085678,7.324171,0.024063,0.307539,1.923311,0.021831,6.253780
0.020000,0.092595,7.323965,0.030984,0.346018,1.923935,0.031192,6.253094
0.020000,0.100282,7.323731,0.038674,0.384508,1.924522,0.029328,6.252335
0.020000,0.108738,7.323466,0.047134,0.423013,1.925233,0.035554,6.251503
0.020000,0.117964,7.323170,0.056365,0.461533,1.925996,0.038137,6.250601
0.020000,0.127960,7.322839,0.066366,0.500071,1.926885,0.044454,6.249629
0.020000,0.138726,7.322472,0.077139,0.538625,1.927739,0.042734,6.248588
0.020000,0.150263,7.322066,0.088683,0.577201,1.928761,0.051093,6.247481
0.020000,0.162571,7.321619,0.100999,0.615797,1.929822,0.053034,6.246307
0.020000,0.175650,7.321129,0.114087,0.654416,1.930957,0.056758,6.245070
0.020000,0.189501,7.320591,0.127948,0.693059,1.932138,0.059027,6.243770
0.020000,0.204123,7.320005,0.142583,0.731728,1.933430,0.064623,6.242410
0.020000,0.219519,7.319366,0.157991,0.770423,1.934771,0.067036,6.240991
0.020000,0.235687,7.318671,0.174174,0.809147,1.936207,0.071828,6.239516
0.020000,0.252628,7.317918,0.191132,0.847901,1.937703,0.074765,6.237986
0.020000,0.270343,7.317103,0.208866,0.886686,1.939261,0.077893,6.236404
0.020000,0.288832,7.316222,0.227376,0.925505,1.940923,0.083098,6.234772
0.020000,0.308096,7.315272,0.246663,0.964357,1.942625,0.085109,6.233093
0.020000,0.328135,7.314250,0.266728,1.003246,1.944430,0.090254,6.231368
0.020000,0.348949,7.313152,0.287571,1.042172,1.946297,0.093371,6.229602
0.020000,0.370540,7.311975,0.309194,1.081137,1.948231,0.096689,6.227795
0.020000,0.392907,7.310714,0.331597,1.120142,1.950247,0.100821,6.225953
0.020000,0.416052,7.309366,0.354781,1.159188,1.952339,0.104560,6.224076
0.020000,0.439974,7.307927,0.378746,1.198278,1.954508,0.108469,6.222169
0.020000,0.464675,7.306394,0.403495,1.237413,1.956738,0.111476,6.220234
0.020000,0.490155,7.304763,0.429026,1.276594,1.959059,0.116057,6.218275
0.020000,0.516414,7.303030,0.455343,1.315823,1.961434,0.118743,6.216295
0.020000,0.543453,7.301191,0.482445,1.355101,1.963899,0.123273,6.214298
0.020000,0.571274,7.299243,0.510333,1.394430,1.966428,0.126448,6.212287
0.020000,0.599876,7.297183,0.539010,1.433810,1.969034,0.130325,6.210266
0.020000,0.629260,7.295006,0.568475,1.473245,1.971712,0.133868,6.208239
0.020000,0.659428,7.292710,0.598729,1.512734,1.974462,0.137513,6.206209
0.020000,0.690379,7.290291,0.629775,1.552279,1.977284,0.141090,6.204181
0.020000,0.722115,7.287746,0.661612,1.591883,1.980176,0.144625,6.202158
0.020000,0.754636,7.285072,0.694243,1.631546,1.983142,0.148289,6.200146
0.020000,0.787943,7.282267,0.727669,1.671269,1.986179,0.151821,6.198147
0.020000,0.822038,7.279326,0.761890,1.711055,1.989279,0.155005,6.196167
0.020000,0.856921,7.276248,0.796908,1.750904,1.992464,0.159243,6.194211
0.020000,0.892592,7.273031,0.832724,1.790818,1.995698,0.161737,6.192282
0.020000,0.929054,7.269672,0.869340,1.830799,1.999020,0.166104,6.190385
0.020000,0.966306,7.266170,0.906757,1.870847,2.002404,0.169194,6.188525
0.020000,1.004351,7.262523,0.944977,1.910964,2.005848,0.172212,6.186708
0.020000,1.043189,7.258729,0.984000,1.951151,2.009380,0.176561,6.184938
0.020000,1.082822,7.254788,1.023828,1.991410,2.012959,0.178956,6.183219
0.020000,1.123251,7.250699,1.064463,2.031743,2.016623,0.183202,6.181558
0.020000,1.164476,7.246461,1.105906,2.072150,2.020347,0.186189,6.179960
0.020000,1.206501,7.242075,1.148158,2.112633,2.024142,0.189769,6.178429
0.020000,1.249325,7.237540,1.191222,2.153192,2.027991,0.192467,6.176972
0.020000,1.292951,7.232858,1.235099,2.193831,2.031936,0.197231,6.175594
0.020000,1.337381,7.228030,1.279790,2.234550,2.035928,0.199607,6.174300
0.020000,1.382615,7.223057,1.325297,2.275350,2.039993,0.203257,6.173097
0.020000,1.428657,7.217942,1.371621,2.316232,2.044132,0.206946,6.171990
0.020000,1.475507,7.212686,1.418765,2.357199,2.048344,0.210593,6.170985
0.020000,1.523168,7.207294,1.466730,2.398251,2.052610,0.213282,6.170089
0.020000,1.571642,7.201769,1.515518,2.439391,2.056968,0.217939,6.169307
0.020000,1.620931,7.196114,1.565131,2.480618,2.061387,0.220914,6.168645
0.020000,1.671037,7.190336,1.615569,2.521936,2.065881,0.224720,6.168111
0.020000,1.721964,7.184438,1.666836,2.563345,2.070448,0.228359,6.167710
0.020000,1.773713,7.178428,1.718933,2.604847,2.075092,0.232181,6.167449
0.020000,1.826287,7.172313,1.771862,2.646443,2.079812,0.235987,6.167335
0.020000,1.879690,7.166098,1.825625,2.688135,2.084609,0.239847,6.167375
0.020000,1.933923,7.159794,1.880223,2.729925,2.089483,0.243717,6.167575
0.020000,1.988990,7.153409,1.935659,2.771814,2.094437,0.247724,6.167942
0.020000,2.044895,7.146952,1.991936,2.813803,2.099472,0.251741,6.168485
0.020000,2.101640,7.140435,2.049053,2.855895,2.104587,0.255749,6.169208
0.020000,2.159228,7.133868,2.107015,2.898091,2.109783,0.259785,6.170122
0.020000,2.217664,7.127265,2.165823,2.940392,2.115062,0.263945,6.171231
0.020000,2.276951,7.120638,2.225479,2.982800,2.120419,0.267862,6.172546
0.020000,2.337092,7.114002,2.285985,3.025318,2.125871,0.272582,6.174072
0.020000,2.398092,7.107373,2.347344,3.067945,2.131381,0.275507,6.175817
0.020000,2.459954,7.100766,2.409558,3.110685,2.136988,0.280380,6.177791
0.020000,2.522682,7.094199,2.472629,3.153538,2.142670,0.284055,6.180000
0.020000,2.586024,7.087717,2.536302,3.183645,1.505333,-31.866831,6.182443
0.020000,2.649329,7.081401,2.599921,3.180950,-0.134760,-82.004656,6.185097
0.020000,2.712056,7.075317,2.662942,3.151074,-1.493786,-67.951309,6.187935
0.020000,2.774062,7.069487,2.725221,3.113960,-1.855710,-18.096198,6.190943
0.020000,2.835343,7.063915,2.786756,3.076734,-1.861289,-0.278916,6.194115
0.020000,2.895899,7.058607,2.847544,3.039398,-1.866811,-0.276100,6.197441
0.020000,2.955726,7.053568,2.907583,3.001952,-1.872291,-0.274003,6.200914
0.020000,3.014823,7.048802,2.966871,2.964398,-1.877714,-0.271181,6.204526
0.020000,3.073185,7.044311,3.025406,2.926736,-1.883099,-0.269250,6.208270
0.020000,3.130810,7.040097,3.083185,2.888967,-1.888434,-0.266714,6.212139
0.020000,3.187696,7.036162,3.140207,2.851093,-1.893720,-0.264304,6.216124
0.020000,3.243839,7.032506,3.196469,2.813114,-1.898960,-0.261997,6.220218
0.020000,3.299237,7.029129,3.251970,2.775031,-1.904147,-0.259354,6.224415
0.020000,3.353886,7.026030,3.306707,2.736845,-1.909290,-0.257172,6.228706
0.020000,3.407784,7.023209,3.360678,2.698557,-1.914377,-0.254350,6.233084
0.020000,3.460926,7.020662,3.413881,2.660169,-1.919396,-0.250922,6.237543
0.020000,3.513310,7.018388,3.466315,2.621681,-1.924415,-0.250957,6.242076
0.020000,3.564933,7.016383,3.517977,2.583095,-1.929296,-0.244071,6.246674
0.020000,3.615792,7.014643,3.568865,2.544412,-1.934167,-0.243525,6.251332
0.020000,3.665883,7.013165,3.618978,2.505633,-1.938960,-0.239660,6.256043
0.020000,3.715203,7.011943,3.668313,2.466759,-1.943674,-0.235703,6.260800
0.020000,3.763749,7.010972,3.716869,2.427791,-1.948389,-0.235768,6.265596
0.020000,3.811518,7.010246,3.764643,2.388733,-1.952921,-0.226580,6.270425
0.020000,3.858507,7.009760,3.811635,2.349584,-1.957445,-0.226210,6.275280
0.020000,3.904713,7.009507,3.857842,2.310346,-1.961880,-0.221738,6.280156
0.020000,3.950134,7.009480,3.903262,2.271023,-1.966190,-0.215525,0.001860
0.020000,3.994766,7.009672,3.947895,2.231611,-1.970586,-0.219768,0.006758
0.020000,4.038606,7.010076,3.991737,2.192118,-1.974626,-0.201994,0.011658
0.020000,4.081653,7.010683,4.034788,2.152543,-1.978769,-0.207164,0.016554
0.020000,4.123903,7.011485,4.077046,2.112887,-1.982779,-0.200508,0.021441
0.020000,4.165354,7.012475,4.118509,2.073155,-1.986634,-0.192760,0.026313
0.020000,4.205987,7.013655,4.159158,2.032479,-2.033777,-2.357134,0.034615
0.020000,4.252209,7.015894,4.205435,2.313831,14.067580,805.067856,0.062127
0.020000,4.297318,7.019304,4.250672,2.261880,-2.597524,-833.255232,0.088759
0.020000,4.341268,7.023786,4.294851,2.208910,-2.648528,-2.550193,0.114439
0.020000,4.384025,7.029238,4.337953,2.155136,-2.688709,-2.009020,0.139109
0.020000,4.425562,7.035556,4.379969,2.100766,-2.718503,-1.489705,0.162728
0.020000,4.465864,7.042642,4.420889,2.045998,-2.738401,-0.994898,0.185267
0.020000,4.504922,7.050398,4.460709,1.991014,-2.749192,-0.539541,0.206711
0.020000,4.542734,7.058731,4.499428,1.935976,-2.751879,-0.134365,0.227056
0.020000,4.579305,7.067554,4.537049,1.881028,-2.747415,0.223196,0.246309
0.020000,4.614646,7.076783,4.573575,1.826290,-2.736880,0.526758,0.264484
0.020000,4.648770,7.086341,4.609012,1.771864,-2.721295,0.779215,0.281605
0.020000,4.681695,7.096155,4.643369,1.717831,-2.701641,0.982742,0.297697
0.020000,4.713441,7.106160,4.676654,1.664256,-2.678782,1.142942,0.312795
0.020000,4.744030,7.116293,4.708878,1.611186,-2.653507,1.263737,0.326934
0.020000,4.773484,7.126500,4.740051,1.558656,-2.626502,1.350235,0.340151
0.020000,4.801829,7.136730,4.770184,1.506688,-2.598368,1.406736,0.352488
0.020000,4.829087,7.146936,4.799290,1.455297,-2.569579,1.439409,0.363984
0.020000,4.855282,7.157077,4.827380,1.404485,-2.540565,1.450724,0.374680
0.020000,4.880438,7.167115,4.854465,1.354253,-2.511629,1.446817,0.384619
0.020000,4.904578,7.177017,4.880557,1.304592,-2.483054,1.428741,0.393840
0.020000,4.927724,7.186752,4.905667,1.255490,-2.455078,1.398769,0.402382
0.020000,4.949897,7.196293,4.929805,1.206934,-2.427796,1.364116,0.410285
0.020000,4.971117,7.205617,4.952984,1.158907,-2.401376,1.321008,0.417586
0.020000,4.991404,7.214700,4.975211,1.111389,-2.375893,1.274153,0.424321
0.020000,5.010776,7.223525,4.996499,1.064361,-2.351402,1.224520,0.430524
0.020000,5.029250,7.232073,5.016855,1.017801,-2.327978,1.171226,0.436230
0.020000,5.046842,7.240331,5.036288,0.971690,-2.305552,1.121282,0.441469
0.020000,5.063568,7.248284,5.054808,0.926005,-2.284252,1.064999,0.446271
0.020000,5.079440,7.255922,5.072423,0.880725,-2.264008,1.012236,0.450667
0.020000,5.094473,7.263233,5.089140,0.835829,-2.244820,0.959362,0.454681
0.020000,5.108678,7.270210,5.104965,0.791295,-2.226703,0.905868,0.458341
0.020000,5.122067,7.276844,5.119908,0.747103,-2.209596,0.855334,0.461670
0.020000,5.134650,7.283128,5.133972,0.703231,-2.193564,0.801610,0.464692
0.020000,5.146436,7.289057,5.147165,0.659661,-2.178494,0.753525,0.467427
0.020000,5.157434,7.294625,5.159493,0.616373,-2.164442,0.702590,0.469896
0.020000,5.167652,7.299828,5.170960,0.573346,-2.151356,0.654290,0.472116
0.020000,5.177098,7.304664,5.181571,0.530561,-2.139221,0.606763,0.474105
0.020000,5.185777,7.309127,5.191331,0.488000,-2.128066,0.557744,0.475880
0.020000,5.193697,7.313217,5.200244,0.445644,-2.117781,0.514249,0.477454
0.020000,5.200861,7.316930,5.208313,0.403475,-2.108454,0.466323,0.478840
0.020000,5.207275,7.320265,5.215543,0.361475,-2.100024,0.421503,0.480051
0.020000,5.212944,7.323220,5.221935,0.319625,-2.092481,0.377156,0.481098
0.020000,5.217870,7.325794,5.227493,0.277909,-2.085823,0.332920,0.481989
0.020000,5.222057,7.327986,5.232220,0.236307,-2.080064,0.287933,0.482733
0.020000,5.225507,7.329796,5.236116,0.194804,-2.075148,0.245807,0.483337
0.020000,5.228223,7.331222,5.239183,0.153382,-2.071110,0.201882,0.483806
0.020000,5.230206,7.332265,5.241424,0.112023,-2.067933,0.158870,0.484146
0.020000,5.231458,7.332923,5.242838,0.070711,-2.065622,0.115575,0.484359
0.020000,5.232031,7.333225,5.243486,0.032389,-1.916118,7.475160,0.484456
0.020000,5.232161,7.333293,5.243633,0.007357,-1.251604,33.225736,0.484478
0.020000,5.232161,7.333293,5.243633,0.000000,-0.367827,44.188847,0.484478
