dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.110120,0.917964,0.000200,0.019955,0.997773,49.888634,0.025744
0.020000,0.110049,0.917962,0.000270,0.003525,-0.821517,-90.964487,0.025994
0.020000,0.109908,0.917958,0.000411,0.007047,0.176107,49.881189,0.026493
0.020000,0.110403,0.917972,0.000905,0.024716,0.883419,35.365618,0.027241
0.020000,0.113313,0.918053,0.003817,0.145569,6.042683,257.963219,0.028237
0.020000,0.116951,0.918158,0.007456,0.181983,1.820700,-211.099196,0.029481
0.020000,0.121317,0.918290,0.011824,0.218403,1.820974,0.013718,0.030972
0.020000,0.126411,0.918452,0.016921,0.254848,1.822273,0.064964,0.032709
0.020000,0.132234,0.918648,0.022747,0.291300,1.822594,0.016058,0.034690
0.020000,0.138786,0.918883,0.029303,0.327779,1.823968,0.068664,0.036915
0.020000,0.146066,0.919161,0.036589,0.364278,1.824935,0.048355,0.039381
0.020000,0.154075,0.919487,0.044605,0.400808,1.826484,0.077473,0.042086
0.020000,0.162814,0.919868,0.053352,0.437366,1.827928,0.072170,0.045028
0.020000,0.172283,0.920310,0.062831,0.473954,1.829393,0.073260,0.048206
0.020000,0.182482,0.920819,0.073043,0.510594,1.832005,0.130596,0.051616
0.020000,0.193412,0.921404,0.083988,0.547263,1.833428,0.071141,0.055255
0.020000,0.205072,0.922071,0.095668,0.583981,1.835893,0.123270,0.059120
0.020000,0.217464,0.922830,0.108083,0.620749,1.838413,0.126001,0.063207
0.020000,0.230588,0.923689,0.121234,0.657569,1.841016,0.130157,0.067513
0.020000,0.244443,0.924658,0.135123,0.694461,1.844587,0.178552,0.072033
0.020000,0.259031,0.925745,0.149752,0.731405,1.847201,0.130704,0.076763
0.020000,0.274351,0.926961,0.165120,0.768423,1.850918,0.185858,0.081698
0.020000,0.290404,0.928317,0.181230,0.805519,1.854752,0.191681,0.086832
0.020000,0.307190,0.929824,0.198084,0.842692,1.858672,0.195998,0.092160
0.020000,0.324710,0.931492,0.215683,0.879957,1.863266,0.229713,0.097676
0.020000,0.342964,0.933333,0.234030,0.917310,1.867620,0.217679,0.103372
0.020000,0.361951,0.935359,0.253125,0.954768,1.872937,0.265860,0.109242
0.020000,0.381673,0.937583,0.272972,0.992330,1.878100,0.258161,0.115278
0.020000,0.402129,0.940016,0.293572,1.030007,1.883825,0.286245,0.121473
0.020000,0.423319,0.942671,0.314928,1.067797,1.889501,0.283804,0.127817
