dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.117392,0.635557,0.000200,0.019955,0.997773,49.888634,0.025744
0.020000,0.117392,0.635557,0.000998,0.059866,1.995545,49.888634,0.025994
0.020000,0.117392,0.635557,0.002594,0.099777,1.995545,-0.000000,0.026493
0.020000,0.118097,0.635577,0.004989,0.139688,1.995545,0.000000,0.027241
0.020000,0.121289,0.635665,0.008182,0.179599,1.995545,-0.000000,0.028237
0.020000,0.125278,0.635780,0.012173,0.219510,1.995545,0.000000,0.029481
0.020000,0.130065,0.635925,0.016962,0.259421,1.995545,-0.000000,0.030972
0.020000,0.135650,0.636103,0.022550,0.299332,1.995545,0.000000,0.032709
0.020000,0.142032,0.636318,0.028935,0.339243,1.995545,0.000000,0.034690
0.020000,0.149212,0.636575,0.036119,0.379154,1.995545,-0.000000,0.036915
0.020000,0.157188,0.636880,0.044102,0.419065,1.995545,0.000000,0.039381
0.020000,0.165961,0.637237,0.052882,0.458975,1.995545,-0.000000,0.042086
0.020000,0.175531,0.637654,0.062461,0.498886,1.995545,0.000000,0.045028
0.020000,0.185896,0.638138,0.072837,0.538797,1.995545,0.000000,0.048206
0.020000,0.197057,0.638695,0.084012,0.578708,1.995545,-0.000000,0.051616
0.020000,0.209013,0.639335,0.095986,0.618619,1.995545,0.000000,0.055255
0.020000,0.221764,0.640065,0.108757,0.658530,1.995545,-0.000000,0.059120
0.020000,0.235308,0.640894,0.122327,0.698441,1.995545,0.000000,0.063207
0.020000,0.249645,0.641833,0.136695,0.738352,1.995545,-0.000000,0.067513
0.020000,0.264775,0.642890,0.151861,0.778263,1.995545,0.000000,0.072033
0.020000,0.280695,0.644077,0.167825,0.818174,1.995545,0.000000,0.076763
0.020000,0.297405,0.645404,0.184588,0.858085,1.995545,-0.000000,0.081698
0.020000,0.314903,0.646882,0.202149,0.897995,1.995545,0.000000,0.086832
0.020000,0.333189,0.648523,0.220508,0.937906,1.995545,-0.000000,0.092160
0.020000,0.352260,0.650338,0.239665,0.977817,1.995545,0.000000,0.097676
0.020000,0.372114,0.652341,0.259620,1.017728,1.995545,0.000000,0.103372
0.020000,0.392751,0.654543,0.280374,1.057639,1.995545,-0.000000,0.109242
0.020000,0.414167,0.656958,0.301926,1.097550,1.995545,0.000000,0.115278
0.020000,0.436361,0.659597,0.324276,1.137461,1.995545,0.000000,0.121473
0.020000,0.459329,0.662475,0.347424,1.177372,1.995545,-0.000000,0.127817
0.020000,0.483071,0.665605,0.371371,1.217283,1.995545,0.000000,0.134303
0.020000,0.507581,0.668999,0.396116,1.257194,1.995545,0.000000,0.140920
0.020000,0.532859,0.672672,0.421659,1.297104,1.995545,0.000000,0.147658
0.020000,0.558900,0.676637,0.448000,1.337015,1.995545,-0.000000,0.154508
0.020000,0.585701,0.680907,0.475139,1.376926,1.995545,0.000000,0.161459
0.020000,0.613259,0.685496,0.503077,1.416837,1.995545,0.000000,0.168499
0.020000,0.641571,0.690416,0.531813,1.456748,1.995545,-0.000000,0.175616
0.020000,0.670632,0.695681,0.561347,1.496659,1.995545,0.000000,0.182799
0.020000,0.700438,0.701303,0.591679,1.536570,1.995545,0.000000,0.190034
0.020000,0.730987,0.707295,0.622810,1.576481,1.995545,0.000000,0.197308
0.020000,0.762273,0.713668,0.654738,1.616392,1.995545,0.000000,0.204609
0.020000,0.794292,0.720435,0.687465,1.656303,1.995545,-0.000000,0.211922
0.020000,0.827041,0.727607,0.720991,1.696214,1.995545,0.000000,0.219233
0.020000,0.860516,0.735195,0.755314,1.736124,1.995545,-0.000000,0.226527
0.020000,0.894711,0.743208,0.790436,1.776035,1.995545,0.000000,0.233790
0.020000,0.929623,0.751656,0.826355,1.815946,1.995545,0.000000,0.241007
0.020000,0.965248,0.760548,0.863073,1.855857,1.995545,0.000000,0.248161
0.020000,1.001582,0.769892,0.900590,1.895768,1.995545,-0.000000,0.255238
0.020000,1.038621,0.779695,0.938904,1.935679,1.995545,0.000000,0.262222
0.020000,1.076361,0.789965,0.978017,1.975590,1.995545,0.000000,0.269096
0.020000,1.114799,0.800706,1.017928,2.015501,1.995545,-0.000000,0.275844
0.020000,1.153932,0.811924,1.058637,2.055412,1.995545,0.000000,0.282450
0.020000,1.193757,0.823622,1.100144,2.095323,1.995545,0.000000,0.288897
0.020000,1.234271,0.835803,1.142450,2.135234,1.995545,0.000000,0.295168
0.020000,1.275472,0.848468,1.185553,2.175144,1.995545,-0.000000,0.301248
0.020000,1.317358,0.861618,1.229455,2.215055,1.995545,0.000000,0.307118
