dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.124664,0.353151,0.000200,0.019955,0.997773,49.888634,0.025744
0.020000,0.124734,0.353153,0.000270,0.003525,-0.821517,-90.964487,0.025994
0.020000,0.124875,0.353157,0.000411,0.007047,0.176107,49.881189,0.026493
0.020000,0.125792,0.353181,0.001328,0.045843,1.939804,88.184887,0.027241
0.020000,0.129265,0.353278,0.004802,0.173714,6.393557,222.687627,0.028237
0.020000,0.133605,0.353403,0.009145,0.217129,2.170712,-211.142272,0.029481
0.020000,0.138814,0.353561,0.014355,0.260522,2.169675,-0.051807,0.030972
0.020000,0.144889,0.353754,0.020433,0.303914,2.169567,-0.005413,0.032709
0.020000,0.151830,0.353988,0.027379,0.347273,2.167986,-0.079067,0.034690
0.020000,0.159638,0.354268,0.035191,0.390620,2.167339,-0.032340,0.036915
0.020000,0.168310,0.354599,0.043870,0.433938,2.165873,-0.073319,0.039381
0.020000,0.177847,0.354987,0.053415,0.477232,2.164748,-0.056240,0.042086
0.020000,0.188247,0.355441,0.063825,0.520495,2.163126,-0.081098,0.045028
0.020000,0.199509,0.355966,0.075099,0.563718,2.161140,-0.099306,0.048206
0.020000,0.211632,0.356572,0.087237,0.606920,2.160106,-0.051702,0.051616
0.020000,0.224615,0.357266,0.100239,0.650064,2.157224,-0.144082,0.055255
0.020000,0.238456,0.358058,0.114102,0.693167,2.155126,-0.104930,0.059120
0.020000,0.253152,0.358958,0.128826,0.736219,2.152611,-0.125713,0.063207
0.020000,0.268703,0.359976,0.144411,0.779213,2.149692,-0.145985,0.067513
0.020000,0.285107,0.361123,0.160854,0.822161,2.147390,-0.115092,0.072033
0.020000,0.302359,0.362409,0.178154,0.865029,2.143402,-0.199410,0.076763
0.020000,0.320459,0.363846,0.196311,0.907832,2.140143,-0.162945,0.081698
0.020000,0.339403,0.365446,0.215322,0.950560,2.136420,-0.186110,0.086832
0.020000,0.359187,0.367221,0.235186,0.993204,2.132178,-0.212140,0.092160
0.020000,0.379809,0.369185,0.255902,1.035765,2.128086,-0.204594,0.097676
0.020000,0.401265,0.371349,0.277466,1.078226,2.123047,-0.251945,0.103372
