dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.076686,7.889648,0.000198,0.019841,0.992070,49.603495,6.257661
0.020000,0.076757,7.889647,0.000269,0.003523,-0.815925,-90.399740,6.257412
0.020000,0.076897,7.889643,0.000410,0.007044,0.176038,49.598132,6.256913
0.020000,0.077109,7.889637,0.000621,0.010560,0.175823,-0.010755,6.256166
0.020000,0.080561,7.889542,0.004075,0.172686,8.106300,396.523890,6.255169
0.020000,0.084879,7.889419,0.008395,0.215993,2.165356,-297.047207,6.253925
0.020000,0.090060,7.889263,0.013578,0.259174,2.159032,-0.316240,6.252433
0.020000,0.096104,7.889072,0.019625,0.302347,2.158662,-0.018480,6.250693
0.020000,0.103010,7.888840,0.026535,0.345503,2.157796,-0.043288,6.248708
0.020000,0.110779,7.888564,0.034308,0.388657,2.157695,-0.005068,6.246477
0.020000,0.119408,7.888236,0.042944,0.431785,2.156427,-0.063372,6.244002
0.020000,0.128898,7.887851,0.052442,0.474909,2.156159,-0.013426,6.241284
0.020000,0.139249,7.887402,0.062802,0.517999,2.154506,-0.082647,6.238324
0.020000,0.150458,7.886881,0.074023,0.561070,2.153559,-0.047356,6.235125
0.020000,0.162525,7.886280,0.086106,0.604112,2.152088,-0.073536,6.231687
0.020000,0.175450,7.885590,0.099048,0.647141,2.151469,-0.030932,6.228013
0.020000,0.189230,7.884802,0.112851,0.690119,2.148900,-0.128458,6.224105
0.020000,0.203864,7.883906,0.127512,0.733081,2.148085,-0.040773,6.219965
0.020000,0.219350,7.882891,0.143032,0.775989,2.145398,-0.134363,6.215597
0.020000,0.235688,7.881748,0.159409,0.818858,2.143473,-0.096209,6.211004
0.020000,0.252873,7.880463,0.176643,0.861678,2.140990,-0.124162,6.206188
0.020000,0.270905,7.879026,0.194732,0.904455,2.138829,-0.108068,6.201153
0.020000,0.289781,7.877425,0.213675,0.947169,2.135744,-0.154262,6.195903
0.020000,0.309497,7.875645,0.233472,0.989827,2.132866,-0.143868,6.190443
0.020000,0.330051,7.873675,0.254120,1.032412,2.129243,-0.181146,6.184778
0.020000,0.351439,7.871500,0.275619,1.074928,2.125841,-0.170115,6.178911
0.020000,0.373658,7.869106,0.297966,1.117366,2.121858,-0.199153,6.172850
0.020000,0.396703,7.866480,0.321160,1.159718,2.117637,-0.211047,6.166600
0.020000,0.420571,7.863607,0.345200,1.201992,2.113664,-0.198647,6.160166
0.020000,0.445256,7.860472,0.370083,1.244157,2.108287,-0.268849,6.153557
0.020000,0.470753,7.857060,0.395808,1.286223,2.103287,-0.250010,6.146778
0.020000,0.497057,7.853356,0.422372,1.328182,2.097961,-0.266297,6.139839
0.020000,0.524162,7.849346,0.449772,1.370024,2.092075,-0.294304,6.132747
0.020000,0.552063,7.845013,0.478007,1.411738,2.085704,-0.318549,6.125510
0.020000,0.580752,7.840343,0.507074,1.453337,2.079968,-0.286781,6.118139
0.020000,0.610223,7.835320,0.536969,1.494785,2.072382,-0.379307,6.110642
0.020000,0.640468,7.829930,0.567691,1.536094,2.065475,-0.345363,6.103030
0.020000,0.671481,7.824158,0.599236,1.577255,2.058034,-0.372040,6.095314
0.020000,0.703252,7.817989,0.631601,1.618257,2.050119,-0.395733,6.087504
0.020000,0.735775,7.811408,0.664783,1.659094,2.041801,-0.415895,6.079612
0.020000,0.769041,7.804403,0.698779,1.699768,2.033739,-0.403120,6.071650
0.020000,0.803040,7.796958,0.733584,1.740259,2.024526,-0.460631,6.063631
0.020000,0.837765,7.789062,0.769195,1.780570,2.015583,-0.447166,6.055568
0.020000,0.873206,7.780701,0.805609,1.820695,2.006239,-0.467214,6.047473
0.020000,0.909354,7.771863,0.842822,1.860627,1.996572,-0.483357,6.039360
0.020000,0.946200,7.762537,0.880829,1.900360,1.986661,-0.495531,6.031244
0.020000,0.983733,7.752713,0.919627,1.939893,1.976679,-0.499118,6.023139
0.020000,1.021945,7.742380,0.959211,1.979219,1.966254,-0.521235,6.015058
0.020000,1.060826,7.731528,0.999578,2.018335,1.955797,-0.522842,6.007018
0.020000,1.100366,7.720151,1.040723,2.057237,1.945136,-0.533057,5.999034
0.020000,1.140557,7.708239,1.082641,2.095924,1.934329,-0.540331,5.991119
0.020000,1.181388,7.695788,1.125329,2.134392,1.923420,-0.545489,5.983291
0.020000,1.222851,7.682790,1.168782,2.172638,1.912314,-0.555293,5.975564
0.020000,1.264937,7.669241,1.212995,2.210664,1.901256,-0.552875,5.967955
0.020000,1.307638,7.655138,1.257964,2.248465,1.890047,-0.560487,5.960479
0.020000,1.350945,7.640479,1.303685,2.286040,1.878774,-0.563632,5.953152
0.020000,1.394850,7.625262,1.350153,2.323390,1.867494,-0.563980,5.945990
0.020000,1.439347,7.609486,1.397363,2.360515,1.856237,-0.562886,5.939010
0.020000,1.484428,7.593153,1.445311,2.397408,1.844682,-0.577709,5.932227
0.020000,1.530086,7.576265,1.493993,2.434079,1.833541,-0.557070,5.925657
0.020000,1.576317,7.558826,1.543403,2.470521,1.822074,-0.573373,5.919317
0.020000,1.623114,7.540839,1.593538,2.506733,1.810632,-0.572101,5.913222
0.020000,1.670473,7.522311,1.644392,2.542718,1.799221,-0.570507,5.907389
0.020000,1.718390,7.503250,1.695962,2.578474,1.787837,-0.569224,5.901834
0.020000,1.766863,7.483664,1.748242,2.614001,1.776345,-0.574578,5.896574
0.020000,1.815888,7.463562,1.801228,2.649297,1.764761,-0.579222,5.891624
0.020000,1.865463,7.442957,1.854915,2.684360,1.753151,-0.580513,5.887001
0.020000,1.915589,7.421862,1.909299,2.719190,1.741514,-0.581830,5.882722
0.020000,1.966264,7.400290,1.964374,2.753784,1.729699,-0.590770,5.878803
0.020000,2.017489,7.378257,2.020137,2.788139,1.717746,-0.597649,5.875261
0.020000,2.069267,7.355782,2.076582,2.822250,1.705555,-0.609530,5.872114
0.020000,2.121598,7.332882,2.133704,2.856117,1.693373,-0.609095,5.869379
0.020000,2.174487,7.309580,2.191499,2.889732,1.680734,-0.631977,5.867073
0.020000,2.227937,7.285898,2.249961,2.923090,1.667917,-0.640818,5.865214
0.020000,2.281954,7.261859,2.309085,2.956186,1.654811,-0.655337,5.863823
0.020000,2.336542,7.237491,2.368865,2.989012,1.641300,-0.675549,5.862916
0.020000,2.391708,7.212821,2.429296,3.021561,1.627447,-0.692613,5.862515
0.020000,2.447460,7.187880,2.490373,3.053824,1.613140,-0.715382,5.862639
0.020000,2.503806,7.162700,2.552088,3.085791,1.598361,-0.738953,5.863309
0.020000,2.560754,7.137317,2.614437,3.117454,1.583104,-0.762814,5.864547
0.020000,2.618314,7.111766,2.677413,3.148799,1.567270,-0.791698,5.866375
0.020000,2.676495,7.086087,2.741010,3.179817,1.550924,-0.817321,5.868817
0.020000,2.735309,7.060323,2.805220,3.210496,1.533950,-0.848706,5.871896
0.020000,2.794768,7.034518,2.870036,3.240823,1.516329,-0.881041,5.875638
0.020000,2.854881,7.008719,2.935452,3.270787,1.498203,-0.906293,5.880067
0.020000,2.915663,6.982978,3.001459,3.300376,1.479462,-0.937081,5.885211
0.020000,2.977124,6.957348,3.068051,3.329577,1.460061,-0.970041,5.891097
0.020000,3.039278,6.931885,3.135219,3.358384,1.440308,-0.987651,5.897753
0.020000,3.102138,6.906649,3.202954,3.386783,1.419946,-1.018079,5.905207
0.020000,3.165714,6.881704,3.271250,3.414769,1.399316,-1.031508,5.913490
0.020000,3.230021,6.857117,3.340096,3.442339,1.378495,-1.041061,5.922630
0.020000,3.295069,6.832958,3.409486,3.469494,1.357746,-1.037453,5.932656
0.020000,3.360871,6.809301,3.479411,3.496237,1.337161,-1.029234,5.943599
0.020000,3.427436,6.786224,3.549863,3.522578,1.317045,-1.005794,5.955486
0.020000,3.494774,6.763809,3.620833,3.548534,1.297807,-0.961888,5.968344
0.020000,3.562893,6.742139,3.692316,3.574135,1.280043,-0.888226,5.982199
0.020000,3.631800,6.721304,3.764304,3.599412,1.263838,-0.810267,5.997073
0.020000,3.701500,6.701394,3.836793,3.624414,1.250106,-0.686564,6.012987
0.020000,3.771998,6.682505,3.909777,3.649201,1.239356,-0.537494,6.029955
0.020000,3.843293,6.664733,3.983253,3.673847,1.232305,-0.352586,6.047986
0.020000,3.915385,6.648178,4.057222,3.698438,1.229564,-0.137019,6.067086
0.020000,3.988271,6.632940,4.131684,3.723085,1.232344,0.138996,6.087250
0.020000,4.061944,6.619122,4.206642,3.747903,1.240920,0.428784,6.108466
0.020000,4.136397,6.606827,4.282103,3.773026,1.256107,0.759347,6.130711
0.020000,4.211616,6.596156,4.358075,3.798609,1.279162,1.152778,6.153955
0.020000,4.287587,6.587212,4.434571,3.824810,1.310045,1.544113,6.178153
0.020000,4.364293,6.580093,4.511607,3.851786,1.348826,1.939091,6.203249
0.020000,4.441500,6.574908,4.588987,3.869019,0.861636,-24.359543,6.229104
0.020000,4.518608,6.571748,4.666160,3.858663,-0.517788,-68.971191,6.255436
0.020000,4.595086,6.570638,4.742646,3.824279,-1.719220,-60.071576,6.281969
0.020000,4.670761,6.571549,4.818327,3.784056,-2.011119,-14.594950,0.025354
0.020000,4.764871,6.572185,4.912439,4.705593,46.076851,2404.398486,6.259601
0.020000,4.863640,6.566770,5.011356,4.945851,12.012876,-1703.198750,6.198255
0.020000,4.958839,6.556059,5.107156,4.790000,-7.792550,-990.271308,6.145148
0.020000,5.050317,6.541201,5.199832,4.633825,-7.808759,-0.810423,6.100301
0.020000,5.138130,6.523230,5.289465,4.481655,-7.608514,10.012253,6.063427
0.020000,5.222461,6.503043,5.376179,4.335676,-7.298947,15.478306,6.034085
0.020000,5.303554,6.481405,5.460109,4.196514,-6.958081,17.043323,6.011791
0.020000,5.381671,6.458964,5.541386,4.063821,-6.634644,16.171858,5.996085
0.020000,5.457065,6.436274,5.620120,3.936713,-6.355405,13.961933,5.986570
0.020000,5.529964,6.413811,5.696401,3.814056,-6.132828,11.128877,5.982931
0.020000,5.600563,6.391994,5.770294,3.694665,-5.969593,8.161755,5.984934
0.020000,5.669021,6.371194,5.841843,3.577407,-5.862899,5.334682,5.992429
0.020000,5.735458,6.351745,5.911068,3.461293,-5.805667,2.861613,6.005335
0.020000,5.799959,6.333948,5.977979,3.345541,-5.787600,0.903344,6.023623
0.020000,5.862572,6.318078,6.042572,3.229649,-5.794636,-0.351795,6.047306
0.020000,5.923315,6.304375,6.104842,3.113486,-5.808143,-0.675354,6.076400
0.020000,5.982183,6.293048,6.164790,2.997398,-5.804374,0.188440,6.110901
0.020000,6.039157,6.284266,6.222436,2.882314,-5.754212,2.508077,6.150737
0.020000,6.094215,6.278156,6.277833,2.769821,-5.624639,6.478648,6.195724
0.020000,6.147353,6.274798,6.331076,2.662180,-5.382044,12.129755,6.245520
0.020000,6.198593,6.274228,6.382320,2.562192,-4.999431,19.130645,0.016397
0.020000,6.248002,6.276441,6.431778,2.472898,-4.464706,26.736280,0.073970
0.020000,6.295687,6.281405,6.479720,2.397117,-3.789051,33.782760,0.134096
0.020000,6.341792,6.289068,6.526458,2.336886,-3.011524,38.876342,0.195677
0.020000,6.386480,6.299369,6.572318,2.293013,-2.193671,40.892629,0.257555
0.020000,6.429910,6.312241,6.617616,2.264864,-1.407446,39.311272,0.318617
0.020000,6.472215,6.327608,6.662625,2.250487,-0.718831,34.430760,0.377890
0.020000,6.513494,6.345377,6.707566,2.247019,-0.173401,27.271473,0.434600
0.020000,6.553804,6.365434,6.752590,2.251220,0.210045,19.172299,0.488206
0.020000,6.593171,6.387641,6.797789,2.259963,0.437159,11.355710,0.538386
0.020000,6.629957,6.410733,6.841222,2.171658,-4.415250,-242.620476,0.577854
0.020000,6.674300,6.440155,6.894439,2.660803,24.457226,1443.623818,0.594055
0.020000,6.717125,6.469626,6.946425,2.599298,-3.075226,-1376.622578,0.611795
0.020000,6.758343,6.499136,6.997117,2.534630,-3.233433,-7.910373,0.631309
0.020000,6.797844,6.528661,7.046433,2.465797,-3.441627,-10.409682,0.652883
0.020000,6.835505,6.558168,7.094276,2.392154,-3.682138,-12.025549,0.676861
0.020000,6.871178,6.587605,7.140526,2.312516,-3.981893,-14.987743,0.703666
0.020000,6.904689,6.616899,7.185037,2.225518,-4.349931,-18.401920,0.733820
0.020000,6.935839,6.645941,7.227625,2.129420,-4.804894,-22.748131,0.767965
0.020000,6.964396,6.674578,7.268068,2.022117,-5.365157,-28.013153,0.806898
0.020000,6.990097,6.702594,7.306086,1.900913,-6.060174,-34.750877,0.851600
0.020000,7.012656,6.729686,7.341341,1.762755,-6.907935,-42.388044,0.903271
0.020000,7.031788,6.755448,7.373429,1.604420,-7.916714,-50.438960,0.963338
0.020000,7.047246,6.779348,7.401894,1.423212,-9.060424,-57.185492,1.033420
0.020000,7.058905,6.800752,7.426267,1.218660,-10.227604,-58.358975,1.115173
0.020000,7.066861,6.818999,7.446173,0.995313,-11.167363,-46.987963,1.209925
0.020000,7.071550,6.833609,7.461516,0.767176,-11.406840,-11.973881,1.318020
0.020000,7.073744,6.844605,7.472729,0.560624,-10.327566,53.963744,1.437930
0.020000,7.074338,6.852808,7.480954,0.411244,-7.469004,142.928105,1.565610
0.020000,7.073924,6.859792,7.487950,0.349806,-3.071907,219.854845,1.694834
0.020000,7.072482,6.867338,7.495633,0.384135,1.716443,239.417482,1.818817
0.020000,7.069485,6.876746,7.505506,0.493681,5.477307,188.043176,1.932234
0.020000,7.064306,6.888512,7.518362,0.642765,7.454180,98.843696,2.032288
0.020000,7.056548,6.902476,7.534336,0.798698,7.796679,17.124927,2.118494
0.020000,7.046138,6.918151,7.553153,0.940854,7.107779,-34.445022,2.191829
0.020000,7.033248,6.934987,7.574357,1.060195,5.967044,-57.036741,2.253909
0.020000,7.018182,6.952499,7.597458,1.155049,4.742705,-61.216932,2.306466
0.020000,7.001292,6.970313,7.622006,1.227403,3.617723,-56.249107,2.351094
0.020000,6.982922,6.988157,7.647615,1.280475,2.653603,-48.205979,2.389157
0.020000,6.963385,7.005841,7.673967,1.317606,1.856548,-39.852796,2.421783
0.020000,6.942953,7.023239,7.700803,1.341779,1.208643,-32.395203,2.449890
0.020000,6.921861,7.040269,7.727912,1.355467,0.684410,-26.211690,2.474218
0.020000,6.900304,7.056880,7.755126,1.360708,0.262006,-21.120180,2.495368
0.020000,6.878450,7.073043,7.782308,1.359070,-0.081887,-17.194662,2.513824
0.020000,6.856438,7.088742,7.809345,1.351850,-0.360979,-13.954584,2.529981
0.020000,6.834385,7.103972,7.836146,1.340062,-0.589418,-11.421937,2.544164
0.020000,6.812389,7.118733,7.862636,1.324481,-0.779053,-9.481787,2.556642
0.020000,6.790535,7.133031,7.888751,1.305758,-0.936143,-7.854481,2.567635
0.020000,6.768895,7.146871,7.914439,1.284395,-1.068169,-6.601315,2.577332
0.020000,6.747529,7.160264,7.939655,1.260815,-1.178977,-5.540384,2.585889
0.020000,6.726490,7.173217,7.964362,1.235334,-1.274066,-4.754461,2.593440
0.020000,6.705823,7.185740,7.988527,1.208246,-1.354374,-4.015374,2.600100
0.020000,6.685568,7.197841,8.012122,1.179753,-1.424665,-3.514564,2.605967
0.020000,6.665757,7.209528,8.035123,1.150057,-1.484794,-3.006455,2.611128
0.020000,6.646421,7.220809,8.057509,1.119306,-1.537533,-2.636972,2.615656
0.020000,6.627587,7.231692,8.079261,1.087614,-1.584621,-2.354370,2.619619
0.020000,6.609276,7.242181,8.100363,1.055104,-1.625497,-2.043804,2.623073
0.020000,6.591510,7.252282,8.120801,1.021867,-1.661844,-1.817367,2.626072
0.020000,6.574306,7.262001,8.140560,0.987970,-1.694860,-1.650765,2.628661
0.020000,6.557680,7.271340,8.159630,0.953480,-1.724509,-1.482475,2.630881
0.020000,6.541646,7.280303,8.177999,0.918463,-1.750818,-1.315432,2.632772
0.020000,6.526217,7.288893,8.195658,0.882954,-1.775485,-1.233345,2.634368
0.020000,6.511404,7.297112,8.212598,0.847004,-1.797467,-1.099129,2.635699
0.020000,6.497217,7.304961,8.228811,0.810645,-1.817978,-1.025551,2.636795
0.020000,6.483666,7.312440,8.244289,0.773913,-1.836601,-0.931156,2.637681
0.020000,6.470759,7.319551,8.259026,0.736831,-1.854095,-0.874678,2.638384
0.020000,6.458502,7.326294,8.273014,0.699431,-1.869985,-0.794505,2.638925
0.020000,6.446903,7.332667,8.286249,0.661733,-1.884928,-0.747128,2.639326
0.020000,6.435968,7.338671,8.298724,0.623759,-1.898695,-0.688382,2.639606
0.020000,6.425702,7.344305,8.310435,0.585528,-1.911551,-0.642782,2.639782
0.020000,6.416109,7.349567,8.321376,0.547059,-1.923433,-0.594092,2.639873
0.020000,6.407195,7.354457,8.331543,0.508371,-1.934415,-0.549129,2.639894
0.020000,6.398962,7.358973,8.340933,0.469479,-1.944597,-0.509067,2.639858
0.020000,6.391415,7.363113,8.349541,0.430400,-1.953920,-0.466157,2.639780
0.020000,6.384557,7.366876,8.357364,0.391150,-1.962501,-0.429079,2.639671
