dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.069477,7.607240,0.000198,0.019841,0.992070,49.603495,6.257661
0.020000,0.069477,7.607240,0.000992,0.059524,1.984140,49.603495,6.257412
0.020000,0.069477,7.607240,0.002579,0.099207,1.984140,0.000000,6.256913
0.020000,0.069477,7.607240,0.004960,0.138890,1.984140,-0.000000,6.256166
0.020000,0.072648,7.607153,0.008135,0.178573,1.984140,0.000000,6.255169
0.020000,0.076614,7.607039,0.012103,0.218255,1.984140,0.000000,6.253925
0.020000,0.081374,7.606897,0.016865,0.257938,1.984140,0.000000,6.252433
0.020000,0.086927,7.606721,0.022421,0.297621,1.984140,-0.000000,6.250693
0.020000,0.093272,7.606508,0.028770,0.337304,1.984140,0.000000,6.248708
0.020000,0.100411,7.606254,0.035913,0.376987,1.984140,0.000000,6.246477
0.020000,0.108342,7.605953,0.043849,0.416669,1.984140,-0.000000,6.244002
0.020000,0.117065,7.605599,0.052580,0.456352,1.984140,0.000000,6.241284
0.020000,0.126580,7.605186,0.062104,0.496035,1.984140,-0.000000,6.238324
0.020000,0.136886,7.604707,0.072421,0.535718,1.984140,0.000000,6.235125
0.020000,0.147983,7.604154,0.083532,0.575401,1.984140,0.000000,6.231687
0.020000,0.159871,7.603519,0.095437,0.615083,1.984140,-0.000000,6.228013
0.020000,0.172549,7.602794,0.108136,0.654766,1.984140,0.000000,6.224105
0.020000,0.186016,7.601970,0.121628,0.694449,1.984140,0.000000,6.219965
0.020000,0.200271,7.601036,0.135914,0.734132,1.984140,-0.000000,6.215597
0.020000,0.215314,7.599983,0.150993,0.773815,1.984140,0.000000,6.211004
0.020000,0.231143,7.598800,0.166866,0.813497,1.984140,0.000000,6.206188
0.020000,0.247757,7.597476,0.183533,0.853180,1.984140,0.000000,6.201153
0.020000,0.265155,7.596000,0.200993,0.892863,1.984140,-0.000000,6.195903
0.020000,0.283335,7.594359,0.219247,0.932546,1.984140,0.000000,6.190443
0.020000,0.302296,7.592541,0.238295,0.972229,1.984140,0.000000,6.184778
0.020000,0.322035,7.590534,0.258137,1.011911,1.984140,-0.000000,6.178911
0.020000,0.342552,7.588324,0.278772,1.051594,1.984140,0.000000,6.172850
0.020000,0.363842,7.585898,0.300200,1.091277,1.984140,-0.000000,6.166600
0.020000,0.385905,7.583242,0.322423,1.130960,1.984140,0.000000,6.160166
0.020000,0.408738,7.580342,0.345439,1.170642,1.984140,-0.000000,6.153557
0.020000,0.432337,7.577184,0.369248,1.210325,1.984140,0.000000,6.146778
0.020000,0.456700,7.573754,0.393852,1.250008,1.984140,-0.000000,6.139839
0.020000,0.481824,7.570036,0.419249,1.289691,1.984140,0.000000,6.132747
0.020000,0.507704,7.566017,0.445439,1.329374,1.984140,0.000000,6.125510
0.020000,0.534338,7.561682,0.472424,1.369056,1.984140,-0.000000,6.118139
0.020000,0.561721,7.557015,0.500202,1.408739,1.984140,0.000000,6.110642
0.020000,0.589849,7.552002,0.528773,1.448422,1.984140,0.000000,6.103030
0.020000,0.618718,7.546629,0.558139,1.488105,1.984140,-0.000000,6.095314
0.020000,0.648324,7.540880,0.588297,1.527788,1.984140,0.000000,6.087504
0.020000,0.678662,7.534742,0.619250,1.567470,1.984140,-0.000000,6.079612
0.020000,0.709727,7.528200,0.650996,1.607153,1.984140,0.000000,6.071650
0.020000,0.741514,7.521240,0.683536,1.646836,1.984140,0.000000,6.063631
