dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.062267,7.324832,0.000198,0.019841,0.992070,49.603495,6.257661
0.020000,0.062196,7.324834,0.000269,0.003523,-0.815925,-90.399740,6.257412
0.020000,0.062056,7.324838,0.000410,0.007044,0.176038,49.598132,6.256913
0.020000,0.061844,7.324843,0.000621,0.010560,0.175823,-0.010755,6.256166
0.020000,0.064734,7.324764,0.003512,0.144540,6.699014,326.159550,6.255169
0.020000,0.068349,7.324660,0.007128,0.180836,1.814778,-244.211767,6.253925
0.020000,0.072688,7.324530,0.011469,0.217019,1.809137,-0.282057,6.252433
0.020000,0.077749,7.324370,0.016533,0.253213,1.809693,0.027789,6.250693
0.020000,0.083534,7.324176,0.022321,0.289413,1.810002,0.015448,6.248708
0.020000,0.090043,7.323945,0.028834,0.325635,1.811131,0.056463,6.246477
0.020000,0.097275,7.323670,0.036071,0.361865,1.811476,0.017254,6.244002
0.020000,0.105231,7.323347,0.044034,0.398122,1.812865,0.069454,6.241284
0.020000,0.113911,7.322970,0.052722,0.434388,1.813316,0.022555,6.238324
0.020000,0.123314,7.322533,0.062135,0.470680,1.814598,0.064102,6.235125
0.020000,0.133441,7.322029,0.072275,0.506994,1.815699,0.055022,6.231687
0.020000,0.144293,7.321449,0.083142,0.543350,1.817792,0.104639,6.228013
0.020000,0.155868,7.320787,0.094736,0.579721,1.818544,0.037640,6.224105
0.020000,0.168168,7.320034,0.107059,0.616143,1.821089,0.127223,6.219965
0.020000,0.181192,7.319181,0.120111,0.652591,1.822402,0.065650,6.215597
0.020000,0.194940,7.318219,0.133893,0.689085,1.824720,0.115906,6.211004
0.020000,0.209412,7.317137,0.148405,0.725624,1.826955,0.111770,6.206188
0.020000,0.224609,7.315926,0.163650,0.762222,1.829873,0.145901,6.201153
0.020000,0.240529,7.314575,0.179627,0.798871,1.832449,0.128757,6.195903
0.020000,0.257173,7.313073,0.196339,0.835584,1.835658,0.160467,6.190443
0.020000,0.274540,7.311408,0.213786,0.872358,1.838721,0.153130,6.184778
0.020000,0.292631,7.309568,0.231970,0.909208,1.842475,0.187708,6.178911
0.020000,0.311445,7.307542,0.250893,0.946133,1.846265,0.189538,6.172850
0.020000,0.330981,7.305315,0.270556,0.983141,1.850403,0.206873,6.166600
0.020000,0.351240,7.302877,0.290961,1.020248,1.855319,0.245816,6.160166
0.020000,0.372220,7.300212,0.312109,1.057440,1.859630,0.215536,6.153557
0.020000,0.393922,7.297308,0.334004,1.094737,1.864861,0.261548,6.146778
0.020000,0.416344,7.294151,0.356647,1.132146,1.870430,0.278457,6.139839
0.020000,0.439485,7.290727,0.380040,1.169669,1.876148,0.285879,6.132747
0.020000,0.463345,7.287022,0.404187,1.207311,1.882084,0.296821,6.125510
0.020000,0.487924,7.283021,0.429089,1.245095,1.889203,0.355954,6.118139
0.020000,0.513219,7.278710,0.454749,1.283002,1.895378,0.308746,6.110642
0.020000,0.539230,7.274074,0.481170,1.321058,1.902771,0.369669,6.103030
0.020000,0.565956,7.269100,0.508355,1.359265,1.910340,0.378420,6.095314
0.020000,0.593397,7.263772,0.536308,1.397627,1.918123,0.389177,6.087504
0.020000,0.621549,7.258075,0.565031,1.436150,1.926168,0.402245,6.079612
0.020000,0.650413,7.251997,0.594528,1.474851,1.935029,0.443014,6.071650
0.020000,0.679987,7.245521,0.624802,1.513720,1.943465,0.421826,6.063631
0.020000,0.710269,7.238635,0.655858,1.552774,1.952684,0.460928,6.055568
0.020000,0.741259,7.231324,0.687698,1.592015,1.962076,0.469613,6.047473
0.020000,0.772954,7.223575,0.720327,1.631449,1.971678,0.480125,6.039360
0.020000,0.805354,7.215374,0.753748,1.671080,1.981527,0.492429,6.031244
0.020000,0.838457,7.206709,0.787967,1.710914,1.991738,0.510546,6.023139
0.020000,0.872262,7.197568,0.822986,1.750953,2.001948,0.510492,6.015058
0.020000,0.906767,7.187938,0.858810,1.791203,2.012480,0.526594,6.007018
0.020000,0.941972,7.177807,0.895443,1.831666,2.023143,0.533186,5.999034
0.020000,0.977875,7.167167,0.932890,1.872345,2.033952,0.540444,5.991119
0.020000,1.014476,7.156005,0.971155,1.913243,2.044906,0.547697,5.983291
0.020000,1.051774,7.144313,1.010242,1.954361,2.055885,0.548943,5.975564
0.020000,1.089767,7.132081,1.050156,1.995702,2.067074,0.559430,5.967955
0.020000,1.128457,7.119303,1.090901,2.037267,2.078260,0.559315,5.960479
0.020000,1.167843,7.105971,1.132483,2.079057,2.089495,0.561757,5.953152
0.020000,1.207925,7.092079,1.174904,2.121073,2.100805,0.565494,5.945990
0.020000,1.248704,7.077621,1.218170,2.163317,2.112196,0.569550,5.939010
0.020000,1.290182,7.062593,1.262286,2.205784,2.123360,0.558185,5.932227
0.020000,1.332359,7.046993,1.307256,2.248483,2.134937,0.578867,5.925657
0.020000,1.375237,7.030818,1.353084,2.291408,2.146244,0.565369,5.919317
0.020000,1.418820,7.014067,1.399775,2.334560,2.157605,0.568040,5.913222
0.020000,1.463110,6.996740,1.447334,2.377941,2.169033,0.571419,5.907389
0.020000,1.508112,6.978838,1.495765,2.421552,2.180538,0.575249,5.901834
0.020000,1.553828,6.960365,1.545073,2.465392,2.192016,0.573881,5.896574
0.020000,1.600266,6.941325,1.595262,2.509462,2.203505,0.574468,5.891624
0.020000,1.647429,6.921722,1.646337,2.553764,2.215103,0.579888,5.887001
0.020000,1.695326,6.901564,1.698303,2.598301,2.226850,0.587332,5.882722
