dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.447284,5.539135,0.000199,0.019852,0.992579,49.628940,0.018289
0.020000,0.447326,5.539136,0.000241,0.002102,-0.887470,-94.002423,0.018140
0.020000,0.448210,5.539151,0.001125,0.044229,2.106365,149.691726,0.017843
0.020000,0.450717,5.539196,0.003633,0.125368,4.056943,97.528897,0.017400
0.020000,0.454059,5.539253,0.006975,0.167102,2.086672,-98.513523,0.016814
0.020000,0.458234,5.539321,0.011150,0.208788,2.084299,-0.118687,0.016087
0.020000,0.463242,5.539400,0.016159,0.250414,2.081294,-0.150223,0.015224
0.020000,0.469080,5.539486,0.021998,0.291968,2.077727,-0.178363,0.014229
0.020000,0.475749,5.539577,0.028667,0.333439,2.073551,-0.208810,0.013110
0.020000,0.483244,5.539671,0.036163,0.374815,2.068773,-0.238907,0.011873
0.020000,0.491565,5.539764,0.044485,0.416083,2.063416,-0.267821,0.010524
0.020000,0.500710,5.539853,0.053629,0.457232,2.057476,-0.296984,0.009073
0.020000,0.510674,5.539936,0.063594,0.498251,2.050949,-0.326355,0.007529
0.020000,0.521457,5.540008,0.074377,0.539128,2.043811,-0.356942,0.005902
0.020000,0.533054,5.540067,0.085974,0.579851,2.036142,-0.383435,0.004203
0.020000,0.545462,5.540108,0.098382,0.620407,2.027839,-0.415163,0.002444
0.020000,0.558677,5.540128,0.111598,0.660788,2.019018,-0.441036,0.000636
0.020000,0.572697,5.540124,0.125617,0.700979,2.009585,-0.471624,6.281980
0.020000,0.587516,5.540093,0.140437,0.740971,1.999604,-0.499043,6.280117
0.020000,0.603131,5.540030,0.156052,0.780753,1.989057,-0.527356,6.278249
0.020000,0.619537,5.539934,0.172458,0.820311,1.977940,-0.555880,6.276391
0.020000,0.636729,5.539801,0.189651,0.859637,1.966285,-0.582721,6.274560
0.020000,0.654703,5.539630,0.207625,0.898718,1.954043,-0.612120,6.272773
0.020000,0.673453,5.539418,0.226376,0.937544,1.941281,-0.638115,6.271048
0.020000,0.692973,5.539165,0.245898,0.976102,1.927938,-0.667153,6.269404
0.020000,0.713259,5.538869,0.266186,1.014384,1.914064,-0.693688,6.267861
0.020000,0.734303,5.538531,0.287233,1.052376,1.899609,-0.722741,6.266439
0.020000,0.756101,5.538152,0.309035,1.090068,1.884618,-0.749553,6.265159
0.020000,0.778647,5.537733,0.331584,1.127449,1.869050,-0.778383,6.264043
0.020000,0.801932,5.537275,0.354874,1.164507,1.852904,-0.807333,6.263115
0.020000,0.825952,5.536784,0.378898,1.201231,1.836191,-0.835654,6.262398
0.020000,0.850698,5.536263,0.403651,1.237609,1.818876,-0.865727,6.261916
0.020000,0.876165,5.535718,0.429123,1.273628,1.800956,-0.895977,6.261694
0.020000,0.902345,5.535156,0.455309,1.309276,1.782416,-0.927033,6.261760
0.020000,0.929229,5.534584,0.482199,1.344541,1.763232,-0.959186,6.262140
0.020000,0.956812,5.534012,0.509788,1.379408,1.743392,-0.992010,6.262862
0.020000,0.985083,5.533452,0.538065,1.413866,1.722860,-1.026571,6.263955
0.020000,1.014036,5.532916,0.567023,1.447898,1.701624,-1.061811,6.265450
0.020000,1.043662,5.532418,0.596653,1.481492,1.679674,-1.097535,6.267377
0.020000,1.073951,5.531975,0.626945,1.514631,1.656954,-1.135989,6.269769
0.020000,1.104895,5.531603,0.657891,1.547300,1.633461,-1.174633,6.272658
0.020000,1.136484,5.531323,0.689481,1.579484,1.609206,-1.212733,6.276080
