dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.452452,5.256607,0.000199,0.019852,0.992579,49.628940,0.018289
0.020000,0.452452,5.256607,0.000993,0.059555,1.985158,49.628940,0.018140
0.020000,0.453252,5.256621,0.002581,0.099258,1.985158,0.000000,0.017843
0.020000,0.455634,5.256663,0.004963,0.138961,1.985158,-0.000000,0.017400
0.020000,0.458810,5.256718,0.008139,0.178664,1.985158,0.000000,0.016814
0.020000,0.462780,5.256783,0.012109,0.218367,1.985158,0.000000,0.016087
0.020000,0.467543,5.256858,0.016874,0.258070,1.985158,0.000000,0.015224
0.020000,0.473101,5.256939,0.022432,0.297774,1.985158,0.000000,0.014229
0.020000,0.479453,5.257026,0.028785,0.337477,1.985158,-0.000000,0.013110
0.020000,0.486599,5.257115,0.035931,0.377180,1.985158,0.000000,0.011873
0.020000,0.494539,5.257204,0.043872,0.416883,1.985158,0.000000,0.010524
0.020000,0.503274,5.257290,0.052607,0.456586,1.985158,0.000000,0.009073
0.020000,0.512802,5.257369,0.062135,0.496289,1.985158,0.000000,0.007529
0.020000,0.523125,5.257438,0.072458,0.535993,1.985158,-0.000000,0.005902
0.020000,0.534241,5.257494,0.083575,0.575696,1.985158,0.000000,0.004203
0.020000,0.546152,5.257534,0.095486,0.615399,1.985158,-0.000000,0.002444
0.020000,0.558857,5.257553,0.108191,0.655102,1.985158,0.000000,0.000636
0.020000,0.572356,5.257550,0.121690,0.694805,1.985158,0.000000,6.281980
0.020000,0.586649,5.257519,0.135983,0.734508,1.985158,-0.000000,6.280117
0.020000,0.601736,5.257458,0.151070,0.774211,1.985158,0.000000,6.278249
0.020000,0.617617,5.257365,0.166952,0.813915,1.985158,0.000000,6.276391
0.020000,0.634292,5.257236,0.183627,0.853618,1.985158,0.000000,6.274560
0.020000,0.651761,5.257070,0.201096,0.893321,1.985158,-0.000000,6.272773
0.020000,0.670023,5.256864,0.219360,0.933024,1.985158,0.000000,6.271048
0.020000,0.689079,5.256617,0.238417,0.972727,1.985158,-0.000000,6.269404
0.020000,0.708928,5.256327,0.258269,1.012430,1.985158,-0.000000,6.267861
0.020000,0.729571,5.255996,0.278915,1.052134,1.985158,0.000000,6.266439
0.020000,0.751008,5.255623,0.300354,1.091837,1.985158,0.000000,6.265159
0.020000,0.773238,5.255209,0.322588,1.131540,1.985158,0.000000,6.264043
0.020000,0.796261,5.254757,0.345616,1.171243,1.985158,-0.000000,6.263115
0.020000,0.820078,5.254270,0.369438,1.210946,1.985158,0.000000,6.262398
0.020000,0.844689,5.253752,0.394054,1.250649,1.985158,0.000000,6.261916
0.020000,0.870093,5.253208,0.419464,1.290352,1.985158,-0.000000,6.261694
