dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.457619,4.974079,0.000199,0.019852,0.992579,49.628940,0.018289
0.020000,0.457577,4.974079,0.000241,0.002102,-0.887470,-94.002423,0.018140
0.020000,0.458294,4.974091,0.000957,0.035845,1.687121,128.729511,0.017843
0.020000,0.460551,4.974131,0.003214,0.112851,3.850307,108.159317,0.017400
0.020000,0.463561,4.974183,0.006225,0.150523,1.883627,-98.333991,0.016814
0.020000,0.467325,4.974245,0.009990,0.188244,1.886033,0.120278,0.016087
0.020000,0.471845,4.974315,0.014510,0.226024,1.889003,0.148527,0.015224
0.020000,0.477122,4.974393,0.019788,0.263876,1.892598,0.179738,0.014229
0.020000,0.483158,4.974476,0.025824,0.301811,1.896773,0.208748,0.013110
0.020000,0.489954,4.974560,0.032621,0.339842,1.901531,0.237923,0.011873
0.020000,0.497513,4.974645,0.040180,0.377980,1.906891,0.267996,0.010524
0.020000,0.505837,4.974727,0.048505,0.416237,1.912844,0.297648,0.009073
0.020000,0.514930,4.974802,0.057598,0.454624,1.919382,0.326884,0.007529
0.020000,0.524792,4.974868,0.067461,0.493154,1.926477,0.354751,0.005902
0.020000,0.535429,4.974922,0.078098,0.531838,1.934199,0.386082,0.004203
0.020000,0.546843,4.974960,0.089511,0.570687,1.942445,0.412322,0.002444
0.020000,0.559037,4.974978,0.101706,0.609713,1.951317,0.443617,0.000636
0.020000,0.572016,4.974975,0.114684,0.648928,1.960722,0.470252,6.281980
0.020000,0.585782,4.974945,0.128451,0.688342,1.970712,0.499476,6.280117
0.020000,0.600342,4.974887,0.143010,0.727967,1.981263,0.527559,6.278249
0.020000,0.615698,4.974797,0.158367,0.767814,1.992366,0.555141,6.276391
0.020000,0.631855,4.974672,0.174524,0.807895,2.004047,0.584033,6.274560
0.020000,0.648819,4.974510,0.191489,0.848220,2.016253,0.610312,6.272773
0.020000,0.666594,4.974310,0.209265,0.888801,2.029046,0.639647,6.271048
0.020000,0.685185,4.974068,0.227858,0.929649,2.042367,0.666057,6.269404
0.020000,0.704598,4.973786,0.247273,0.970774,2.056265,0.694892,6.267861
0.020000,0.724840,4.973461,0.267517,1.012188,2.070695,0.721512,6.266439
0.020000,0.745914,4.973094,0.288595,1.053902,2.085707,0.750611,6.265159
0.020000,0.767829,4.972686,0.310514,1.095927,2.101273,0.778287,6.264043
0.020000,0.790590,4.972239,0.333279,1.138276,2.117404,0.806536,6.263115
0.020000,0.814204,4.971756,0.356898,1.180958,2.134130,0.836314,6.262398
0.020000,0.838679,4.971241,0.381378,1.223987,2.151440,0.865518,6.261916
0.020000,0.864020,4.970699,0.406726,1.267374,2.169358,0.895908,6.261694
0.020000,0.890237,4.970135,0.432948,1.311132,2.187900,0.927102,6.261760
0.020000,0.917336,4.969559,0.460054,1.355274,2.207081,0.959024,6.262140
0.020000,0.945327,4.968979,0.488050,1.399812,2.226927,0.992302,6.262862
0.020000,0.974216,4.968407,0.516945,1.444761,2.247447,1.026016,6.263955
0.020000,1.004014,4.967855,0.546748,1.490135,2.268674,1.061340,6.265450
0.020000,1.034728,4.967339,0.577467,1.535948,2.290645,1.098524,6.267377
0.020000,1.066369,4.966876,0.609111,1.582215,2.313348,1.135165,6.269769
0.020000,1.098946,4.966484,0.641690,1.628951,2.336821,1.173652,6.272658
0.020000,1.132468,4.966188,0.675214,1.676173,2.361109,1.214397,6.276080
0.020000,1.166946,4.966010,0.709692,1.723896,2.386146,1.251880,6.280069
0.020000,1.202388,4.965979,0.745134,1.772137,2.412037,1.294517,0.001478
0.020000,1.238806,4.966127,0.781552,1.820910,2.438675,1.331916,0.006713
0.020000,1.276209,4.966487,0.818957,1.870232,2.466080,1.370223,0.012630
0.020000,1.314607,4.967098,0.857359,1.920116,2.494210,1.406515,0.019267
0.020000,1.354008,4.968001,0.896771,1.970575,2.522954,1.437220,0.026666
0.020000,1.394421,4.969243,0.937203,2.021620,2.552233,1.463945,0.034867
0.020000,1.435854,4.970873,0.978668,2.073257,2.581879,1.482300,0.043913
0.020000,1.478313,4.972948,1.021178,2.125491,2.611677,1.489906,0.053846
0.020000,1.521803,4.975526,1.064745,2.178319,2.641405,1.486398,0.064708
0.020000,1.566327,4.978673,1.109379,2.231732,2.670658,1.462628,0.076541
0.020000,1.611884,4.982459,1.155094,2.285714,2.699084,1.421320,0.089384
0.020000,1.658472,4.986958,1.201898,2.340237,2.726132,1.352404,0.103277
0.020000,1.706084,4.992250,1.249804,2.395261,2.751205,1.253645,0.118254
0.020000,1.754709,4.998421,1.298818,2.450733,2.773603,1.119897,0.134348
0.020000,1.804329,5.005561,1.348950,2.506583,2.792496,0.944659,0.151585
0.020000,1.854923,5.013763,1.400204,2.562721,2.806906,0.720497,0.169985
0.020000,1.906461,5.023126,1.452585,2.619040,2.815985,0.453956,0.189562
0.020000,1.958903,5.033750,1.506093,2.675408,2.818354,0.118447,0.210319
0.020000,2.012205,5.045738,1.560727,2.731675,2.813380,-0.248735,0.232248
0.020000,2.066311,5.059193,1.616480,2.787668,2.799644,-0.686756,0.255331
0.020000,2.121154,5.074216,1.673344,2.843189,2.776030,-1.180731,0.279535
0.020000,2.176659,5.090908,1.731305,2.898037,2.742432,-1.679884,0.304810
0.020000,2.232741,5.109363,1.790344,2.951992,2.697728,-2.235195,0.331095
0.020000,2.289303,5.129669,1.850441,3.004821,2.641447,-2.814082,0.358310
0.020000,2.343417,5.150725,1.908507,2.903317,-5.075195,-385.832066,0.381741
0.020000,2.397825,5.173108,1.967339,2.941613,1.914826,349.501032,0.398857
0.020000,2.452662,5.196786,2.027070,2.986524,2.245510,16.534203,0.416343
0.020000,2.507888,5.221797,2.087695,3.031275,2.237577,-0.396655,0.434185
0.020000,2.563459,5.248181,2.149212,3.075836,2.228066,-0.475524,0.452372
0.020000,2.619331,5.275976,2.211616,3.120180,2.217156,-0.545532,0.470887
0.020000,2.675456,5.305217,2.274901,3.164275,2.204769,-0.619316,0.489714
0.020000,2.731786,5.335936,2.339063,3.208092,2.190841,-0.696447,0.508831
0.020000,2.788269,5.368166,2.404095,3.251601,2.175483,-0.767884,0.528218
0.020000,2.844855,5.401935,2.469991,3.294777,2.158789,-0.834696,0.547851
0.020000,2.901489,5.437267,2.536742,3.337591,2.140686,-0.905133,0.567705
0.020000,2.958118,5.474185,2.604343,3.380020,2.121428,-0.962908,0.587751
0.020000,3.014687,5.512709,2.672784,3.422042,2.101103,-1.016255,0.607962
0.020000,3.071142,5.552854,2.742056,3.463638,2.079801,-1.065110,0.628306
0.020000,3.127426,5.594633,2.812152,3.504793,2.057746,-1.102765,0.648754
0.020000,3.183487,5.638055,2.883062,3.545495,2.035124,-1.131076,0.669272
0.020000,3.239103,5.682987,2.954561,3.574942,1.472366,-28.137876,0.689767
0.020000,3.293749,5.729007,3.026004,3.572151,-0.139563,-80.596474,0.710029
0.020000,3.346938,5.775654,3.096749,3.537266,-1.744263,-80.235022,0.729858
0.020000,3.398518,5.822707,3.166567,3.490888,-2.318904,-28.732049,0.749178
0.020000,3.448509,5.870088,3.235444,3.443858,-2.351494,-1.629477,0.767980
0.020000,3.496941,5.917728,3.303380,3.396766,-2.354572,-0.153894,0.786258
0.020000,3.543848,5.965559,3.370373,3.349649,-2.355885,-0.065654,0.804012
0.020000,3.589263,6.013519,3.436423,3.302541,-2.355376,0.025431,0.821241
0.020000,3.633222,6.061549,3.501533,3.255471,-2.353495,0.094067,0.837949
0.020000,3.675762,6.109591,3.565702,3.208468,-2.350150,0.167270,0.854139
0.020000,3.716920,6.157593,3.628933,3.161554,-2.345710,0.221955,0.869819
0.020000,3.756735,6.205504,3.691228,3.114749,-2.340229,0.274089,0.884997
0.020000,3.793731,6.251373,3.750158,2.946501,-8.412405,-303.608816,0.898459
0.020000,3.826227,6.291491,3.801786,2.581384,-18.255845,-492.171986,0.881506
0.020000,3.858939,6.330516,3.852708,2.546080,-1.765222,824.531132,0.864865
0.020000,3.891830,6.368466,3.902928,2.511022,-1.752902,0.615981,0.848552
0.020000,3.924865,6.405362,3.952452,2.476187,-1.741760,0.557139,0.832583
0.020000,3.958008,6.441223,4.001283,2.441539,-1.732376,0.469170,0.816973
0.020000,3.991224,6.476069,4.049424,2.407054,-1.724247,0.406455,0.801731
0.020000,4.024480,6.509921,4.096878,2.372705,-1.717448,0.339970,0.786868
0.020000,4.057741,6.542800,4.143647,2.338462,-1.712175,0.263631,0.772392
0.020000,4.090976,6.574728,4.189733,2.304300,-1.708078,0.204835,0.758308
0.020000,4.124153,6.605725,4.235137,2.270196,-1.705213,0.143296,0.744620
0.020000,4.157241,6.635813,4.279859,2.236126,-1.703520,0.084627,0.731330
0.020000,4.190209,6.665014,4.323901,2.202069,-1.702843,0.033829,0.718441
0.020000,4.223030,6.693349,4.367261,2.168004,-1.703228,-0.019209,0.705950
0.020000,4.255676,6.720840,4.409939,2.133916,-1.704406,-0.058928,0.693856
0.020000,4.288118,6.747506,4.451935,2.099787,-1.706462,-0.102797,0.682157
