dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.540401,3.241514,0.000198,0.019838,0.991905,49.595252,6.227478
0.020000,0.540359,3.241516,0.000241,0.002132,-0.885328,-93.861671,6.227629
0.020000,0.541556,3.241450,0.001440,0.059952,2.891006,188.816694,6.227930
0.020000,0.543806,3.241326,0.003693,0.112667,2.635743,-12.763111,6.228381
0.020000,0.546807,3.241162,0.006699,0.150260,1.879666,-37.803842,6.228979
0.020000,0.550559,3.240960,0.010456,0.187886,1.881291,0.081215,6.229722
0.020000,0.555064,3.240721,0.014967,0.225552,1.883320,0.101449,6.230607
0.020000,0.560322,3.240447,0.020233,0.263267,1.885767,0.122382,6.231631
0.020000,0.566335,3.240140,0.026253,0.301040,1.888609,0.142075,6.232790
0.020000,0.573104,3.239803,0.033031,0.338877,1.891873,0.163196,6.234079
0.020000,0.580631,3.239438,0.040567,0.376788,1.895543,0.183511,6.235493
0.020000,0.588917,3.239049,0.048862,0.414781,1.899631,0.204423,6.237027
0.020000,0.597965,3.238639,0.057920,0.452863,1.904126,0.224733,6.238673
0.020000,0.607777,3.238210,0.067741,0.491044,1.909047,0.246023,6.240425
0.020000,0.618354,3.237768,0.078327,0.529332,1.914377,0.266532,6.242275
0.020000,0.629700,3.237314,0.089682,0.567734,1.920123,0.287297,6.244216
0.020000,0.641816,3.236854,0.101807,0.606260,1.926292,0.308458,6.246237
0.020000,0.654706,3.236391,0.114705,0.644917,1.932875,0.329151,6.248331
0.020000,0.668373,3.235929,0.128380,0.683715,1.939881,0.350275,6.250488
0.020000,0.682819,3.235473,0.142833,0.722661,1.947302,0.371060,6.252696
0.020000,0.698048,3.235026,0.158068,0.761764,1.955139,0.391834,6.254944
0.020000,0.714062,3.234592,0.174089,0.801032,1.963396,0.412888,6.257221
0.020000,0.730867,3.234175,0.190898,0.840473,1.972067,0.433541,6.259516
0.020000,0.748464,3.233779,0.208500,0.880096,1.981154,0.454326,6.261813
0.020000,0.766859,3.233407,0.226898,0.919909,1.990653,0.474978,6.264101
0.020000,0.786054,3.233062,0.246097,0.959920,2.000565,0.495571,6.266366
0.020000,0.806054,3.232748,0.266100,1.000138,2.010886,0.516067,6.268592
0.020000,0.826864,3.232467,0.286911,1.040571,2.021616,0.536504,6.270764
0.020000,0.848487,3.232222,0.308535,1.081226,2.032753,0.556822,6.272868
0.020000,0.870928,3.232013,0.330978,1.122111,2.044295,0.577131,6.274885
0.020000,0.894192,3.231843,0.354242,1.163236,2.056242,0.597340,6.276800
0.020000,0.918284,3.231711,0.378335,1.204608,2.068593,0.617557,6.278595
0.020000,0.943208,3.231618,0.403259,1.246235,2.081348,0.637722,6.280252
0.020000,0.968971,3.231562,0.429022,1.288125,2.094505,0.657880,6.281752
