dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.524672,2.959452,0.000198,0.019838,0.991905,49.595252,6.227478
0.020000,0.524672,2.959452,0.000992,0.059514,1.983810,49.595252,6.227629
0.020000,0.525954,2.959381,0.002579,0.099191,1.983810,0.000000,6.227930
0.020000,0.528331,2.959250,0.004960,0.138867,1.983810,-0.000000,6.228381
0.020000,0.531501,2.959077,0.008134,0.178543,1.983810,0.000000,6.228979
0.020000,0.535463,2.958863,0.012101,0.218219,1.983810,0.000000,6.229722
0.020000,0.540217,2.958611,0.016862,0.257895,1.983810,-0.000000,6.230607
0.020000,0.545764,2.958322,0.022417,0.297572,1.983810,0.000000,6.231631
0.020000,0.552104,2.957998,0.028765,0.337248,1.983810,0.000000,6.232790
0.020000,0.559237,2.957643,0.035907,0.376924,1.983810,0.000000,6.234079
0.020000,0.567163,2.957259,0.043842,0.416600,1.983810,-0.000000,6.235493
0.020000,0.575882,2.956850,0.052571,0.456276,1.983810,0.000000,6.237027
0.020000,0.585395,2.956418,0.062093,0.495953,1.983810,0.000000,6.238673
0.020000,0.595701,2.955968,0.072409,0.535629,1.983810,-0.000000,6.240425
0.020000,0.606800,2.955504,0.083518,0.575305,1.983810,-0.000000,6.242275
0.020000,0.618694,2.955029,0.095421,0.614981,1.983810,0.000000,6.244216
0.020000,0.631381,2.954547,0.108118,0.654657,1.983810,0.000000,6.246237
0.020000,0.644862,2.954063,0.121608,0.694334,1.983810,-0.000000,6.248331
0.020000,0.659137,2.953580,0.135891,0.734010,1.983810,0.000000,6.250488
0.020000,0.674207,2.953104,0.150968,0.773686,1.983810,0.000000,6.252696
0.020000,0.690070,2.952638,0.166838,0.813362,1.983810,0.000000,6.254944
0.020000,0.706728,2.952187,0.183502,0.853038,1.983810,0.000000,6.257221
0.020000,0.724181,2.951754,0.200960,0.892715,1.983810,0.000000,6.259516
0.020000,0.742427,2.951343,0.219211,0.932391,1.983810,-0.000000,6.261813
0.020000,0.761468,2.950958,0.238256,0.972067,1.983810,0.000000,6.264101
0.020000,0.781303,2.950602,0.258094,1.011743,1.983810,-0.000000,6.266366
0.020000,0.801932,2.950278,0.278725,1.051419,1.983810,-0.000000,6.268592
0.020000,0.823355,2.949989,0.300150,1.091096,1.983810,0.000000,6.270764
0.020000,0.845572,2.949737,0.322369,1.130772,1.983810,-0.000000,6.272868
0.020000,0.868583,2.949523,0.345381,1.170448,1.983810,0.000000,6.274885
0.020000,0.892388,2.949349,0.369187,1.210124,1.983810,-0.000000,6.276800
0.020000,0.916987,2.949214,0.393786,1.249800,1.983810,0.000000,6.278595
0.020000,0.942380,2.949119,0.419179,1.289477,1.983810,0.000000,6.280252
0.020000,0.968566,2.949062,0.445365,1.329153,1.983810,0.000000,6.281752
0.020000,0.995546,2.949042,0.472345,1.368829,1.983810,-0.000000,6.283076
0.020000,1.023319,2.949055,0.500119,1.408505,1.983810,0.000000,0.001019
0.020000,1.051886,2.949098,0.528685,1.448181,1.983810,-0.000000,0.001932
0.020000,1.081246,2.949165,0.558046,1.487858,1.983810,0.000000,0.002607
0.020000,1.111400,2.949251,0.588200,1.527534,1.983810,0.000000,0.003024
0.020000,1.142347,2.949347,0.619147,1.567210,1.983810,-0.000000,0.003160
0.020000,1.174088,2.949446,0.650888,1.606886,1.983810,0.000000,0.002993
0.020000,1.206623,2.949536,0.683423,1.646562,1.983810,0.000000,0.002499
0.020000,1.239950,2.949606,0.716751,1.686239,1.983810,-0.000000,0.001655
0.020000,1.274072,2.949643,0.750872,1.725915,1.983810,0.000000,0.000435
0.020000,1.308987,2.949631,0.785787,1.765591,1.983810,0.000000,6.282000
0.020000,1.344696,2.949553,0.821496,1.805267,1.983810,0.000000,6.279954
0.020000,1.381197,2.949391,0.857998,1.844943,1.983810,-0.000000,6.277456
0.020000,1.418492,2.949123,0.895293,1.884620,1.983810,0.000000,6.274478
0.020000,1.456579,2.948726,0.933383,1.924296,1.983810,0.000000,6.270994
0.020000,1.495458,2.948176,0.972265,1.963972,1.983810,-0.000000,6.266974
0.020000,1.535127,2.947443,1.011942,2.003648,1.983810,0.000000,6.262392
0.020000,1.575586,2.946499,1.052411,2.043324,1.983810,-0.000000,6.257217
0.020000,1.616832,2.945310,1.093675,2.083001,1.983810,0.000000,6.251421
0.020000,1.658863,2.943840,1.135731,2.122677,1.983810,-0.000000,6.244974
0.020000,1.701676,2.942053,1.178582,2.162353,1.983810,0.000000,6.237847
0.020000,1.745267,2.939906,1.222225,2.202029,1.983810,0.000000,6.230011
0.020000,1.789631,2.937356,1.266663,2.241705,1.983810,-0.000000,6.221437
0.020000,1.832876,2.934595,1.311894,2.281382,1.983810,0.000000,6.226849
0.020000,1.878863,2.932790,1.357918,2.321058,1.983810,-0.000000,6.260481
0.020000,1.925677,2.932462,1.404736,2.360734,1.983810,0.000000,0.008140
0.020000,1.973275,2.933528,1.452347,2.400410,1.983810,0.000000,0.036080
0.020000,2.021621,2.935891,1.500752,2.440086,1.983810,-0.000000,0.061037
0.020000,2.070690,2.939444,1.549951,2.479763,1.983810,0.000000,0.082958
0.020000,2.120467,2.944070,1.599943,2.519439,1.983810,0.000000,0.101809
0.020000,2.170946,2.949643,1.650728,2.559115,1.983810,0.000000,0.117560
0.020000,2.222127,2.956030,1.702307,2.598791,1.983810,0.000000,0.130181
0.020000,2.274022,2.963089,1.754680,2.638467,1.983810,-0.000000,0.139626
0.020000,2.326645,2.970666,1.807846,2.678144,1.983810,0.000000,0.145833
0.020000,2.380018,2.978599,1.861806,2.717820,1.983810,0.000000,0.148713
0.020000,2.434167,2.986712,1.916559,2.757496,1.983810,0.000000,0.148144
0.020000,2.489120,2.994813,1.972106,2.797172,1.983810,-0.000000,0.143968
0.020000,2.544907,3.002691,2.028446,2.836848,1.983810,0.000000,0.135981
0.020000,2.601556,3.010114,2.085580,2.876525,1.983810,0.000000,0.123932
0.020000,2.659092,3.016824,2.143507,2.916201,1.983810,-0.000000,0.107519
0.020000,2.717534,3.022530,2.202228,2.955877,1.983810,0.000000,0.086390
0.020000,2.776885,3.026911,2.261742,2.995553,1.983810,-0.000000,0.060146
0.020000,2.837130,3.029606,2.322050,3.035229,1.983810,0.000000,0.028361
0.020000,2.898225,3.030214,2.383151,3.074906,1.983810,0.000000,6.273789
0.020000,2.960085,3.028299,2.445046,3.114582,1.983810,-0.000000,6.229679
0.020000,3.022574,3.023392,2.507734,3.154258,1.983810,0.000000,6.178954
0.020000,3.085492,3.015010,2.571216,3.193934,1.983810,-0.000000,6.121572
0.020000,3.148563,3.002681,2.635492,3.233610,1.983810,0.000000,6.057825
0.020000,3.211437,2.985976,2.700561,3.273287,1.983810,-0.000000,5.988444
0.020000,3.273701,2.964551,2.766423,3.312963,1.983810,0.000000,5.914647
0.020000,3.334904,2.938187,2.833079,3.352639,1.983810,0.000000,5.838089
0.020000,3.394595,2.906816,2.900529,3.392315,1.983810,0.000000,5.760690
0.020000,3.452200,2.870639,2.968568,3.411568,0.962644,-51.058283,5.684617
0.020000,3.506948,2.830287,3.036595,3.391145,-1.021166,-99.190505,5.612151
0.020000,3.558289,2.786598,3.104021,3.351469,-1.983810,-48.132222,5.544956
0.020000,3.606149,2.740253,3.170653,3.311792,-1.983810,0.000000,5.483652
0.020000,3.650690,2.691778,3.236493,3.272116,-1.983810,-0.000000,5.428229
0.020000,3.690515,2.643677,3.301538,3.232440,-1.983810,0.000000,5.381283
0.020000,3.729471,2.592585,3.365790,3.192764,-1.983810,-0.000000,5.346757
0.020000,3.766251,2.540876,3.429249,3.153088,-1.983810,0.000000,5.314918
0.020000,3.800998,2.488729,3.491914,3.113411,-1.983810,-0.000000,5.285793
0.020000,3.833862,2.436310,3.553785,3.073735,-1.983810,-0.000000,5.259357
0.020000,3.864995,2.383764,3.614863,3.034059,-1.983810,0.000000,5.235555
0.020000,3.894548,2.331221,3.675147,2.994383,-1.983810,-0.000000,5.214302
0.020000,3.922668,2.278797,3.734638,2.954707,-1.983810,0.000000,5.195500
0.020000,3.949497,2.226590,3.793336,2.915030,-1.983810,0.000000,5.179041
0.020000,3.975170,2.174690,3.851240,2.875354,-1.983810,0.000000,5.164812
0.020000,3.999816,2.123171,3.908350,2.835678,-1.983810,0.000000,5.152703
0.020000,4.023554,2.072102,3.964667,2.796002,-1.983810,-0.000000,5.142605
0.020000,4.046497,2.021541,4.020190,2.756326,-1.983810,0.000000,5.134413
0.020000,4.068748,1.971539,4.074920,2.716649,-1.983810,0.000000,5.128030
0.020000,4.090404,1.922141,4.128856,2.676973,-1.983810,0.000000,5.123365
0.020000,4.111555,1.873389,4.181999,2.637297,-1.983810,0.000000,5.120333
0.020000,4.132282,1.825318,4.234348,2.597621,-1.983810,-0.000000,5.118856
0.020000,4.152659,1.777960,4.285903,2.557945,-1.983810,0.000000,5.118860
0.020000,4.172757,1.731346,4.336666,2.518268,-1.983810,0.000000,5.120280
0.020000,4.192637,1.685502,4.386634,2.478592,-1.983810,0.000000,5.123053
0.020000,4.212355,1.640453,4.435809,2.438916,-1.983810,-0.000000,5.127122
0.020000,4.231963,1.596223,4.484191,2.399240,-1.983810,0.000000,5.132431
0.020000,4.251505,1.552833,4.531779,2.359564,-1.983810,0.000000,5.138929
0.020000,4.271023,1.510304,4.578573,2.319887,-1.983810,-0.000000,5.146567
0.020000,4.290552,1.468654,4.624574,2.280211,-1.983810,0.000000,5.155294
0.020000,4.310122,1.427902,4.669782,2.240535,-1.983810,-0.000000,5.165065
0.020000,4.329758,1.388065,4.714196,2.200859,-1.983810,0.000000,5.175830
0.020000,4.349482,1.349159,4.757816,2.161183,-1.983810,0.000000,5.187542
0.020000,4.369310,1.311199,4.800643,2.121506,-1.983810,-0.000000,5.200150
0.020000,4.389255,1.274199,4.842676,2.081830,-1.983810,0.000000,5.213603
0.020000,4.409324,1.238172,4.883916,2.042154,-1.983810,-0.000000,5.227849
0.020000,4.429521,1.203130,4.924363,2.002478,-1.983810,0.000000,5.242832
0.020000,4.449847,1.169083,4.964015,1.962802,-1.983810,-0.000000,5.258494
0.020000,4.470296,1.136040,5.002875,1.923125,-1.983810,0.000000,5.274775
0.020000,4.490860,1.104008,5.040940,1.883449,-1.983810,0.000000,5.291613
0.020000,4.511529,1.072992,5.078213,1.843773,-1.983810,-0.000000,5.308943
0.020000,4.532288,1.042996,5.114691,1.804097,-1.983810,0.000000,5.326698
0.020000,4.553118,1.014022,5.150377,1.764421,-1.983810,0.000000,5.344810
0.020000,4.573998,0.986069,5.185268,1.724744,-1.983810,-0.000000,5.363211
0.020000,4.594906,0.959134,5.219366,1.685068,-1.983810,0.000000,5.381830
0.020000,4.615816,0.933212,5.252671,1.645392,-1.983810,-0.000000,5.400598
0.020000,4.636700,0.908296,5.285182,1.605716,-1.983810,0.000000,5.419447
0.020000,4.657529,0.884377,5.316900,1.566040,-1.983810,-0.000000,5.438308
0.020000,4.678272,0.861443,5.347824,1.526363,-1.983810,0.000000,5.457116
0.020000,4.698899,0.839480,5.377954,1.486687,-1.983810,0.000000,5.475810
0.020000,4.719377,0.818473,5.407291,1.447011,-1.983810,-0.000000,5.494330
0.020000,4.739674,0.798405,5.435834,1.407335,-1.983810,0.000000,5.512620
0.020000,4.759758,0.779256,5.463584,1.367659,-1.983810,0.000000,5.530628
0.020000,4.779596,0.761006,5.490541,1.327982,-1.983810,-0.000000,5.548307
0.020000,4.799158,0.743632,5.516704,1.288306,-1.983810,0.000000,5.565615
0.020000,4.818411,0.727113,5.542073,1.248630,-1.983810,-0.000000,5.582513
0.020000,4.837326,0.711423,5.566649,1.208954,-1.983810,0.000000,5.598968
0.020000,4.855875,0.696539,5.590431,1.169278,-1.983810,0.000000,5.614949
0.020000,4.874028,0.682435,5.613420,1.129601,-1.983810,-0.000000,5.630433
0.020000,4.891761,0.669087,5.635615,1.089925,-1.983810,0.000000,5.645399
