dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.508943,2.677390,0.000198,0.019838,0.991905,49.595252,6.227478
0.020000,0.508986,2.677388,0.000241,0.002132,-0.885328,-93.861671,6.227629
0.020000,0.510353,2.677312,0.001610,0.068462,3.316499,210.091386,6.227930
0.020000,0.512857,2.677174,0.004118,0.125391,2.846463,-23.501831,6.228381
0.020000,0.516195,2.676992,0.007461,0.167150,2.087951,-37.925567,6.228979
0.020000,0.520366,2.676767,0.011639,0.208876,2.086328,-0.081166,6.229722
0.020000,0.525371,2.676501,0.016650,0.250562,2.084294,-0.101701,6.230607
0.020000,0.531207,2.676197,0.022494,0.292200,2.081863,-0.121562,6.231631
0.020000,0.537874,2.675857,0.029169,0.333780,2.079005,-0.142914,6.232790
0.020000,0.545370,2.675484,0.036675,0.375295,2.075748,-0.162806,6.234079
0.020000,0.553695,2.675081,0.045010,0.416736,2.072074,-0.183720,6.235493
0.020000,0.562847,2.674651,0.054172,0.458096,2.067992,-0.204102,6.237027
0.020000,0.572824,2.674198,0.064159,0.499366,2.063487,-0.225273,6.238673
0.020000,0.583625,2.673727,0.074970,0.540537,2.058577,-0.245478,6.240425
0.020000,0.595246,2.673240,0.086602,0.581602,2.053244,-0.266646,6.242275
0.020000,0.607688,2.672743,0.099053,0.622552,2.047492,-0.287612,6.244216
0.020000,0.620946,2.672240,0.112321,0.663378,2.041328,-0.308207,6.246237
0.020000,0.635018,2.671734,0.126402,0.704073,2.034741,-0.329351,6.248331
0.020000,0.649902,2.671231,0.141295,0.744628,2.027740,-0.350033,6.250488
0.020000,0.665595,2.670736,0.156995,0.785034,2.020319,-0.371067,6.252696
0.020000,0.682093,2.670251,0.173501,0.825284,2.012477,-0.392062,6.254944
0.020000,0.699394,2.669782,0.190808,0.865368,2.004224,-0.412677,6.257221
0.020000,0.717494,2.669333,0.208914,0.905279,1.995551,-0.433622,6.259516
0.020000,0.736390,2.668908,0.227814,0.945009,1.986465,-0.454298,6.261813
0.020000,0.756077,2.668510,0.247505,0.984548,1.976966,-0.474970,6.264101
0.020000,0.776551,2.668142,0.267983,1.023889,1.967055,-0.495545,6.266366
0.020000,0.797809,2.667808,0.289243,1.063024,1.956734,-0.516057,6.268592
0.020000,0.819846,2.667511,0.311282,1.101944,1.946005,-0.536465,6.270764
0.020000,0.842657,2.667252,0.334095,1.140641,1.934868,-0.556844,6.272868
0.020000,0.866238,2.667033,0.357677,1.179108,1.923326,-0.577094,6.274885
0.020000,0.890585,2.666854,0.382024,1.217335,1.911379,-0.597339,6.276800
0.020000,0.915690,2.666717,0.407130,1.255316,1.899029,-0.617504,6.278595
0.020000,0.941551,2.666620,0.432991,1.293042,1.886275,-0.637698,6.280252
0.020000,0.968161,2.666562,0.459601,1.330504,1.873117,-0.657928,6.281752
0.020000,0.995515,2.666542,0.486955,1.367695,1.859555,-0.678103,6.283076
0.020000,1.023607,2.666555,0.515047,1.404607,1.845585,-0.698495,0.001019
0.020000,1.052432,2.666598,0.543872,1.441231,1.831208,-0.718821,0.001932
0.020000,1.081983,2.666666,0.573423,1.477559,1.816419,-0.739452,0.002607
0.020000,1.112254,2.666752,0.603695,1.513583,1.801216,-0.760170,0.003024
0.020000,1.143240,2.666849,0.634681,1.549295,1.785595,-0.781060,0.003160
0.020000,1.174934,2.666947,0.666374,1.584686,1.769551,-0.802181,0.002993
0.020000,1.207329,2.667037,0.698769,1.619748,1.753082,-0.823453,0.002499
0.020000,1.240418,2.667106,0.731859,1.654472,1.736184,-0.844900,0.001655
0.020000,1.274195,2.667143,0.765636,1.688849,1.718855,-0.866444,0.000435
0.020000,1.308652,2.667131,0.800093,1.722871,1.701095,-0.887992,6.282000
0.020000,1.343783,2.667054,0.835224,1.756529,1.682907,-0.909403,6.279954
0.020000,1.379579,2.666895,0.871020,1.789815,1.664296,-0.930534,6.277456
0.020000,1.416032,2.666634,0.907474,1.822720,1.645276,-0.951001,6.274478
0.020000,1.453135,2.666247,0.944579,1.855238,1.625862,-0.970723,6.270994
0.020000,1.490878,2.665713,0.982326,1.887359,1.606082,-0.988986,6.266974
0.020000,1.529253,2.665004,1.020708,1.919079,1.585973,-1.005456,6.262392
0.020000,1.568251,2.664094,1.059716,1.950390,1.565584,-1.019434,6.257217
0.020000,1.607860,2.662952,1.099341,1.981290,1.544983,-1.030076,6.251421
0.020000,1.648071,2.661546,1.139577,2.011775,1.524251,-1.036609,6.244974
0.020000,1.688872,2.659843,1.180414,2.041845,1.503500,-1.037547,6.237847
0.020000,1.730252,2.657805,1.221844,2.071502,1.482857,-1.032155,6.230011
0.020000,1.772198,2.655395,1.263859,2.100752,1.462492,-1.018246,6.221437
