dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.540386,3.241514,0.000198,0.019807,0.990365,49.518226,6.227531
0.020000,0.540355,3.241516,0.000230,0.001588,-0.910956,-95.066004,6.227644
0.020000,0.541570,3.241449,0.001447,0.060835,2.962347,193.665150,6.227868
0.020000,0.543848,3.241323,0.003729,0.114100,2.663238,-14.955451,6.228204
0.020000,0.546887,3.241156,0.006772,0.152157,1.902868,-38.018507,6.228650
0.020000,0.550686,3.240950,0.010576,0.190235,1.903902,0.051686,6.229205
0.020000,0.555246,3.240705,0.015143,0.228339,1.905192,0.064506,6.229867
0.020000,0.560568,3.240423,0.020473,0.266474,1.906750,0.077903,6.230633
0.020000,0.566653,3.240106,0.026566,0.304645,1.908555,0.090250,6.231502
0.020000,0.573501,3.239755,0.033423,0.342858,1.910631,0.103781,6.232470
0.020000,0.581114,3.239373,0.041045,0.381117,1.912962,0.116548,6.233534
0.020000,0.589492,3.238961,0.049434,0.419428,1.915559,0.129861,6.234690
0.020000,0.598637,3.238523,0.058590,0.457797,1.918413,0.142698,6.235935
0.020000,0.608551,3.238061,0.068514,0.496227,1.921536,0.156167,6.237263
0.020000,0.619235,3.237577,0.079209,0.534726,1.924919,0.169128,6.238670
0.020000,0.630690,3.237076,0.090675,0.573297,1.928565,0.182306,6.240152
0.020000,0.642918,3.236559,0.102913,0.611946,1.932478,0.195628,6.241701
0.020000,0.655921,3.236029,0.115927,0.650680,1.936654,0.208808,6.243313
0.020000,0.669700,3.235491,0.129717,0.689501,1.941096,0.222112,6.244981
0.020000,0.684258,3.234947,0.144285,0.728418,1.945803,0.235336,6.246699
0.020000,0.699597,3.234401,0.159634,0.767433,1.950773,0.248539,6.248458
0.020000,0.715719,3.233856,0.175765,0.806553,1.956011,0.261885,6.250253
0.020000,0.732626,3.233314,0.192681,0.845783,1.961512,0.275041,6.252075
0.020000,0.750321,3.232780,0.210383,0.885129,1.967280,0.288398,6.253917
0.020000,0.768805,3.232256,0.228875,0.924595,1.973309,0.301480,6.255768
0.020000,0.788082,3.231745,0.248159,0.964187,1.979603,0.314699,6.257622
0.020000,0.808154,3.231251,0.268237,1.003911,1.986161,0.327875,6.259467
0.020000,0.829024,3.230775,0.289113,1.043770,1.992981,0.340987,6.261295
0.020000,0.850695,3.230320,0.310788,1.083771,2.000062,0.354040,6.263096
0.020000,0.873169,3.229889,0.333267,1.123919,2.007404,0.367122,6.264859
0.020000,0.896450,3.229482,0.356551,1.164220,2.015006,0.380124,6.266574
0.020000,0.920541,3.229102,0.380644,1.204677,2.022868,0.393103,6.268229
0.020000,0.945444,3.228749,0.405550,1.245297,2.030990,0.406056,6.269812
0.020000,0.971164,3.228425,0.431272,1.286084,2.039370,0.418995,6.271313
0.020000,0.997703,3.228129,0.457813,1.327044,2.048008,0.431906,6.272718
0.020000,1.025065,3.227861,0.485177,1.368182,2.056904,0.444826,6.274016
0.020000,1.053254,3.227619,0.513367,1.409504,2.066059,0.457730,6.275193
0.020000,1.082274,3.227403,0.542387,1.451013,2.075472,0.470670,6.276235
0.020000,1.112127,3.227209,0.572241,1.492716,2.085145,0.483656,6.277130
0.020000,1.142819,3.227035,0.602934,1.534617,2.095078,0.496627,6.277863
0.020000,1.174353,3.226876,0.634468,1.576723,2.105272,0.509707,6.278419
0.020000,1.206734,3.226729,0.666849,1.619037,2.115728,0.522809,6.278785
0.020000,1.239965,3.226586,0.700080,1.661566,2.126448,0.536002,6.278944
0.020000,1.274051,3.226441,0.734166,1.704315,2.137433,0.549248,6.278881
0.020000,1.308996,3.226286,0.769112,1.747289,2.148684,0.562568,6.278580
0.020000,1.344806,3.226111,0.804922,1.790493,2.160203,0.575937,6.278025
0.020000,1.381484,3.225908,0.841601,1.833933,2.171990,0.589337,6.277200
0.020000,1.419035,3.225663,0.879153,1.877614,2.184045,0.602754,6.276086
0.020000,1.457465,3.225364,0.917584,1.921541,2.196366,0.616069,6.274667
0.020000,1.496777,3.224996,0.956898,1.965720,2.208953,0.629326,6.272925
0.020000,1.536978,3.224542,0.997101,2.010156,2.221800,0.642335,6.270842
0.020000,1.578071,3.223986,1.038198,2.054854,2.234900,0.655020,6.268399
0.020000,1.620062,3.223307,1.080195,2.099819,2.248245,0.667265,6.265577
0.020000,1.662955,3.222484,1.123096,2.145055,2.261821,0.678803,6.262357
0.020000,1.706756,3.221493,1.166907,2.190567,2.275612,0.689506,6.258719
0.020000,1.751467,3.220309,1.211634,2.236359,2.289593,0.699064,6.254644
0.020000,1.797094,3.218904,1.257283,2.282434,2.303734,0.707043,6.250112
0.020000,1.838208,3.217492,1.298422,2.056921,-11.275651,-678.969240,6.253681
0.020000,1.876600,3.216879,1.336818,1.919818,-6.855168,221.024153,6.280426
0.020000,1.916100,3.217282,1.376320,1.975111,2.764661,480.991461,0.022875
0.020000,1.956709,3.218714,1.416954,2.031698,2.829356,3.234758,0.047309
0.020000,1.998423,3.221181,1.458741,2.089371,2.883628,2.713567,0.070465
0.020000,2.041239,3.224679,1.501700,2.147945,2.928741,2.255689,0.092278
0.020000,2.085152,3.229203,1.545846,2.207261,2.965802,1.853032,0.112697
0.020000,2.130157,3.234737,1.591189,2.267182,2.996011,1.510450,0.131679
0.020000,2.176249,3.241260,1.637741,2.327578,3.019829,1.190900,0.149190
0.020000,2.223426,3.248746,1.685508,2.388376,3.039902,1.003651,0.165201
0.020000,2.271689,3.257160,1.734498,2.449506,3.056511,0.830438,0.179689
0.020000,2.321038,3.266462,1.784717,2.510940,3.071664,0.757634,0.192633
0.020000,2.371482,3.276608,1.836171,2.572673,3.086641,0.748891,0.204012
0.020000,2.423029,3.287544,1.888865,2.634713,3.102039,0.769893,0.213803
0.020000,2.475694,3.299213,1.942807,2.697119,3.120296,0.912820,0.221981
0.020000,2.529496,3.311550,1.998006,2.759946,3.141348,1.052599,0.228515
0.020000,2.584461,3.324483,2.054472,2.823287,3.167028,1.283997,0.233370
0.020000,2.640618,3.337933,2.112217,2.887253,3.198316,1.564407,0.236501
0.020000,2.698002,3.351814,2.171257,2.951975,3.236088,1.888631,0.237855
0.020000,2.756657,3.366029,2.231609,3.017611,3.281792,2.285206,0.237366
0.020000,2.816629,3.380471,2.293295,3.084336,3.336255,2.723115,0.234958
0.020000,2.877973,3.395023,2.356342,3.152349,3.400672,3.220847,0.230539
0.020000,2.940752,3.409553,2.420780,3.221876,3.476327,3.782776,0.224003
0.020000,3.005030,3.423913,2.486643,3.293152,3.563815,4.374378,0.215224
0.020000,3.070882,3.437937,2.553972,3.366440,3.664409,5.029729,0.204061
0.020000,3.138385,3.451438,2.622812,3.442008,3.778362,5.697651,0.190352
0.020000,3.207621,3.464204,2.693215,3.520127,3.905970,6.380398,0.173917
0.020000,3.278670,3.475994,2.765236,3.601054,4.046374,7.020174,0.154555
0.020000,3.351612,3.486536,2.838936,3.684995,4.197015,7.532067,0.132053
0.020000,3.426518,3.495520,2.914378,3.772104,4.355459,7.922174,0.106187
0.020000,3.503440,3.502594,2.991625,3.862369,4.513276,7.890888,0.076733
0.020000,3.582408,3.507367,3.070737,3.955602,4.661622,7.417278,0.043480
0.020000,3.663409,3.509403,3.151764,4.051327,4.786257,6.231776,0.006251
0.020000,3.746097,3.508239,3.234459,4.134775,4.172378,-30.693969,6.248258
0.020000,3.829571,3.503473,3.318069,4.180493,2.285923,-94.322756,6.203557
0.020000,3.912922,3.494839,3.401866,4.189866,0.468663,-90.863000,6.155946
0.020000,3.995631,3.482166,3.485541,4.183745,-0.306055,-38.735885,6.105960
0.020000,4.077318,3.465353,3.568940,4.169923,-0.691086,-19.251554,6.054147
0.020000,4.157570,3.444395,3.651884,4.147206,-1.135887,-22.240044,6.001135
0.020000,4.235977,3.419386,3.734182,4.114930,-1.613804,-23.895853,5.947604
0.020000,4.312150,3.390519,3.815642,4.072977,-2.097616,-24.190598,5.894238
0.020000,4.385752,3.358068,3.896080,4.021921,-2.552817,-22.760067,5.841685
0.020000,4.456516,3.322375,3.975336,3.962800,-2.956042,-20.161267,5.790514
0.020000,4.524255,3.283821,4.053278,3.897102,-3.284925,-16.444117,5.741193
0.020000,4.588863,3.242803,4.129807,3.826439,-3.533148,-12.411175,5.694072
0.020000,4.650308,3.199712,4.204856,3.752457,-3.699096,-8.297409,5.649388
0.020000,4.708623,3.154919,4.278389,3.676644,-3.790630,-4.576688,5.607270
0.020000,4.763888,3.108764,4.350392,3.600168,-3.823817,-1.659349,5.567762
0.020000,4.816220,3.061549,4.420875,3.524137,-3.801541,1.113823,5.530837
0.020000,4.865759,3.013541,4.489860,3.449232,-3.745230,2.815552,5.496414
0.020000,4.912656,2.964971,4.557376,3.375807,-3.671248,3.699060,5.464382
0.020000,4.957071,2.916032,4.623464,3.304421,-3.569340,5.095402,5.434605
0.020000,4.999159,2.866893,4.688164,3.234966,-3.472735,4.830283,5.406938
0.020000,5.037153,2.820132,4.748415,3.012566,-11.119997,-382.363129,5.385332
0.020000,5.070107,2.779212,4.800955,2.626988,-19.278920,-407.946126,5.395107
0.020000,5.103249,2.738797,4.853220,2.613276,-0.685566,929.667668,5.403049
0.020000,5.136482,2.698849,4.905185,2.598224,-0.752627,-3.353014,5.409252
0.020000,5.169719,2.659330,4.956823,2.581919,-0.815263,-3.131792,5.413805
0.020000,5.202880,2.620202,5.008112,2.564449,-0.873488,-2.911251,5.416791
0.020000,5.235887,2.581431,5.059030,2.545900,-0.927415,-2.696359,5.418285
0.020000,5.268670,2.542983,5.109557,2.526355,-0.977293,-2.493904,5.418358
0.020000,5.301165,2.504828,5.159675,2.505884,-1.023532,-2.311957,5.417076
