dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.524672,2.959452,0.000198,0.019807,0.990365,49.518226,6.227531
0.020000,0.524672,2.959452,0.000990,0.059422,1.980729,49.518226,6.227644
0.020000,0.525950,2.959381,0.002575,0.099036,1.980729,-0.000000,6.227868
0.020000,0.528324,2.959250,0.004952,0.138651,1.980729,0.000000,6.228204
0.020000,0.531488,2.959076,0.008121,0.178266,1.980729,-0.000000,6.228650
0.020000,0.535444,2.958862,0.012082,0.217880,1.980729,0.000000,6.229205
0.020000,0.540191,2.958607,0.016836,0.257495,1.980729,0.000000,6.229867
0.020000,0.545729,2.958313,0.022382,0.297109,1.980729,-0.000000,6.230633
0.020000,0.552059,2.957983,0.028721,0.336724,1.980729,0.000000,6.231502
0.020000,0.559180,2.957618,0.035851,0.376339,1.980729,0.000000,6.232470
0.020000,0.567093,2.957221,0.043774,0.415953,1.980729,-0.000000,6.233534
0.020000,0.575798,2.956793,0.052489,0.455568,1.980729,0.000000,6.234690
0.020000,0.585294,2.956338,0.061997,0.495182,1.980729,0.000000,6.235935
0.020000,0.595583,2.955859,0.072297,0.534797,1.980729,-0.000000,6.237263
0.020000,0.606664,2.955357,0.083389,0.574411,1.980729,0.000000,6.238670
0.020000,0.618537,2.954837,0.095273,0.614026,1.980729,0.000000,6.240152
0.020000,0.631202,2.954302,0.107950,0.653641,1.980729,-0.000000,6.241701
0.020000,0.644660,2.953754,0.121419,0.693255,1.980729,0.000000,6.243313
0.020000,0.658910,2.953197,0.135680,0.732870,1.980729,0.000000,6.244981
0.020000,0.673953,2.952635,0.150733,0.772484,1.980729,0.000000,6.246699
0.020000,0.689789,2.952071,0.166579,0.812099,1.980729,-0.000000,6.248458
0.020000,0.706418,2.951509,0.183217,0.851713,1.980729,0.000000,6.250253
0.020000,0.723839,2.950951,0.200648,0.891328,1.980729,-0.000000,6.252075
0.020000,0.742053,2.950401,0.218871,0.930943,1.980729,0.000000,6.253917
0.020000,0.761061,2.949862,0.237886,0.970557,1.980729,-0.000000,6.255768
0.020000,0.780861,2.949338,0.257693,1.010172,1.980729,0.000000,6.257622
0.020000,0.801454,2.948830,0.278292,1.049786,1.980729,0.000000,6.259467
0.020000,0.822841,2.948343,0.299684,1.089401,1.980729,0.000000,6.261295
0.020000,0.845020,2.947877,0.321868,1.129016,1.980729,0.000000,6.263096
0.020000,0.867992,2.947436,0.344845,1.168630,1.980729,0.000000,6.264859
0.020000,0.891757,2.947021,0.368614,1.208245,1.980729,0.000000,6.266574
0.020000,0.916315,2.946634,0.393175,1.247859,1.980729,-0.000000,6.268229
0.020000,0.941666,2.946275,0.418528,1.287474,1.980729,0.000000,6.269812
0.020000,0.967810,2.945945,0.444674,1.327088,1.980729,0.000000,6.271313
0.020000,0.994746,2.945644,0.471612,1.366703,1.980729,0.000000,6.272718
0.020000,1.022475,2.945373,0.499342,1.406318,1.980729,-0.000000,6.274016
0.020000,1.050996,2.945128,0.527864,1.445932,1.980729,0.000000,6.275193
0.020000,1.080310,2.944910,0.557179,1.485547,1.980729,0.000000,6.276235
0.020000,1.110417,2.944714,0.587286,1.525161,1.980729,-0.000000,6.277130
0.020000,1.141316,2.944539,0.618186,1.564776,1.980729,0.000000,6.277863
0.020000,1.173007,2.944380,0.649877,1.604391,1.980729,-0.000000,6.278419
0.020000,1.205490,2.944231,0.682361,1.644005,1.980729,0.000000,6.278785
0.020000,1.238766,2.944088,0.715637,1.683620,1.980729,-0.000000,6.278944
0.020000,1.272835,2.943943,0.749706,1.723234,1.980729,0.000000,6.278881
0.020000,1.307695,2.943789,0.784567,1.762849,1.980729,0.000000,6.278580
0.020000,1.343348,2.943615,0.820220,1.802463,1.980729,0.000000,6.278025
0.020000,1.379793,2.943413,0.856665,1.842078,1.980729,0.000000,6.277200
0.020000,1.417030,2.943170,0.893903,1.881693,1.980729,-0.000000,6.276086
0.020000,1.455058,2.942874,0.931933,1.921307,1.980729,0.000000,6.274667
0.020000,1.493879,2.942511,0.970755,1.960922,1.980729,0.000000,6.272925
0.020000,1.533491,2.942064,1.010370,2.000536,1.980729,-0.000000,6.270842
0.020000,1.573894,2.941517,1.050777,2.040151,1.980729,0.000000,6.268399
0.020000,1.615088,2.940851,1.091976,2.079765,1.980729,0.000000,6.265577
0.020000,1.657072,2.940045,1.133967,2.119380,1.980729,0.000000,6.262357
0.020000,1.699844,2.939077,1.176751,2.158995,1.980729,0.000000,6.258719
0.020000,1.743405,2.937924,1.220327,2.198609,1.980729,0.000000,6.254644
0.020000,1.787752,2.936559,1.264695,2.238224,1.980729,0.000000,6.250112
0.020000,1.829875,2.935115,1.309856,2.277838,1.980729,-0.000000,6.253681
0.020000,1.875820,2.934380,1.355809,2.317453,1.980729,0.000000,6.280426
0.020000,1.922562,2.934856,1.402554,2.357068,1.980729,-0.000000,0.022875
0.020000,1.970068,2.936531,1.450092,2.396682,1.980729,0.000000,0.047309
0.020000,2.018313,2.939382,1.498422,2.436297,1.980729,0.000000,0.070465
0.020000,2.067271,2.943381,1.547544,2.475911,1.980729,-0.000000,0.092278
0.020000,2.116922,2.948495,1.597458,2.515526,1.980729,0.000000,0.112697
0.020000,2.167249,2.954683,1.648165,2.555140,1.980729,-0.000000,0.131679
0.020000,2.218239,2.961899,1.699664,2.594755,1.980729,0.000000,0.149190
0.020000,2.269884,2.970092,1.751955,2.634370,1.980729,0.000000,0.165201
0.020000,2.322178,2.979208,1.805038,2.673984,1.980729,-0.000000,0.179689
0.020000,2.375121,2.989188,1.858914,2.713599,1.980729,0.000000,0.192633
0.020000,2.428716,2.999966,1.913582,2.753213,1.980729,0.000000,0.204012
0.020000,2.482969,3.011476,1.969043,2.792828,1.980729,0.000000,0.213803
0.020000,2.537890,3.023644,2.025295,2.832443,1.980729,0.000000,0.221981
0.020000,2.593492,3.036393,2.082340,2.872057,1.980729,0.000000,0.228515
