dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.508958,2.677389,0.000198,0.019807,0.990365,49.518226,6.227531
0.020000,0.508990,2.677387,0.000230,0.001588,-0.910956,-95.066004,6.227644
0.020000,0.510331,2.677313,0.001573,0.067177,3.279466,209.521077,6.227868
0.020000,0.512799,2.677177,0.004045,0.123588,2.820507,-22.947937,6.228204
0.020000,0.516090,2.676996,0.007340,0.164759,2.058588,-38.095969,6.228650
0.020000,0.520202,2.676773,0.011459,0.205911,2.057555,-0.051631,6.229205
0.020000,0.525135,2.676508,0.016399,0.247036,2.056261,-0.064722,6.229867
0.020000,0.530890,2.676203,0.022162,0.288130,2.054716,-0.077235,6.230633
0.020000,0.537465,2.675860,0.028746,0.329188,2.052897,-0.090935,6.231502
0.020000,0.544859,2.675481,0.036150,0.370205,2.050829,-0.103414,6.232470
0.020000,0.553072,2.675069,0.044373,0.411174,2.048494,-0.116779,6.233534
0.020000,0.562103,2.674625,0.053415,0.452092,2.045901,-0.129618,6.234690
0.020000,0.571951,2.674154,0.063274,0.492953,2.043041,-0.143033,6.235935
0.020000,0.582614,2.673656,0.073949,0.533752,2.039924,-0.155827,6.237263
0.020000,0.594092,2.673137,0.085439,0.574483,2.036539,-0.169226,6.238670
0.020000,0.606383,2.672599,0.097742,0.615140,2.032891,-0.182443,6.240152
0.020000,0.619486,2.672045,0.110856,0.655720,2.028980,-0.195550,6.241701
0.020000,0.633399,2.671478,0.124780,0.696216,2.024803,-0.208847,6.243313
0.020000,0.648120,2.670904,0.139513,0.736623,2.020362,-0.222037,6.244981
0.020000,0.663648,2.670323,0.155052,0.776936,2.015655,-0.235327,6.246699
0.020000,0.679981,2.669742,0.171395,0.817150,2.010683,-0.248644,6.248458
0.020000,0.697116,2.669162,0.188540,0.857259,2.005447,-0.261800,6.250253
0.020000,0.715052,2.668587,0.206485,0.897258,1.999944,-0.275138,6.252075
0.020000,0.733786,2.668022,0.225228,0.937141,1.994179,-0.288230,6.253917
0.020000,0.753316,2.667468,0.244766,0.976904,1.988148,-0.301571,6.255768
0.020000,0.773640,2.666930,0.265097,1.016541,1.981854,-0.314712,6.257622
0.020000,0.794755,2.666410,0.286218,1.056047,1.975297,-0.327836,6.259467
0.020000,0.816657,2.665910,0.308126,1.095417,1.968478,-0.340962,6.261295
0.020000,0.839345,2.665434,0.330819,1.134645,1.961396,-0.354075,6.263096
0.020000,0.862815,2.664983,0.354293,1.173726,1.954054,-0.367088,6.264859
0.020000,0.887065,2.664560,0.378546,1.212655,1.946452,-0.380113,6.266574
0.020000,0.912090,2.664165,0.403575,1.251427,1.938590,-0.393095,6.268229
0.020000,0.937888,2.663800,0.429376,1.290036,1.930469,-0.406049,6.269812
0.020000,0.964456,2.663465,0.455945,1.328478,1.922090,-0.418974,6.271313
0.020000,0.991789,2.663160,0.483280,1.366747,1.913452,-0.431900,6.272718
0.020000,1.019884,2.662884,0.511377,1.404838,1.904556,-0.444806,6.274016
0.020000,1.048738,2.662637,0.540232,1.442746,1.895401,-0.457741,6.275193
0.020000,1.078347,2.662416,0.569841,1.480466,1.885987,-0.470673,6.276235
