dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.540379,3.241515,0.000199,0.019886,0.994321,49.716040,6.227557
0.020000,0.540353,3.241516,0.000226,0.001335,-0.927562,-96.094159,6.227651
0.020000,0.541588,3.241448,0.001463,0.061854,3.025946,197.675420,6.227840
0.020000,0.543891,3.241320,0.003769,0.115328,2.673705,-17.612066,6.228122
0.020000,0.546962,3.241152,0.006845,0.153789,1.923020,-37.534248,6.228498
0.020000,0.550802,3.240942,0.010690,0.192264,1.923778,0.037919,6.228965
0.020000,0.555410,3.240694,0.015305,0.230759,1.924725,0.047352,6.229523
0.020000,0.560788,3.240407,0.020691,0.269276,1.925868,0.057163,6.230169
0.020000,0.566936,3.240083,0.026847,0.307820,1.927193,0.066225,6.230903
0.020000,0.573854,3.239723,0.033775,0.346394,1.928715,0.076091,6.231722
0.020000,0.581544,3.239331,0.041475,0.385003,1.930426,0.085549,6.232623
0.020000,0.590007,3.238907,0.049948,0.423649,1.932331,0.095278,6.233603
0.020000,0.599242,3.238453,0.059195,0.462338,1.934423,0.104563,6.234661
0.020000,0.609252,3.237973,0.069216,0.501072,1.936713,0.114536,6.235792
0.020000,0.620038,3.237468,0.080014,0.539856,1.939194,0.124038,6.236993
0.020000,0.631599,3.236941,0.091587,0.578693,1.941865,0.133556,6.238260
0.020000,0.643939,3.236394,0.103939,0.617588,1.944736,0.143520,6.239589
0.020000,0.657058,3.235831,0.117070,0.656544,1.947795,0.152957,6.240976
0.020000,0.670957,3.235254,0.130981,0.695565,1.951051,0.162839,6.242417
0.020000,0.685639,3.234666,0.145674,0.734655,1.954500,0.172430,6.243906
0.020000,0.701103,3.234070,0.161151,0.773818,1.958145,0.182268,6.245438
0.020000,0.717353,3.233469,0.177412,0.813057,1.961983,0.191865,6.247007
0.020000,0.734390,3.232867,0.194460,0.852378,1.966017,0.201708,6.248609
0.020000,0.752216,3.232265,0.212295,0.891783,1.970243,0.211306,6.250237
0.020000,0.770832,3.231666,0.230921,0.931276,1.974665,0.221124,6.251884
0.020000,0.790240,3.231075,0.250338,0.970861,1.979280,0.230738,6.253545
0.020000,0.810442,3.230493,0.270549,1.010543,1.984090,0.240504,6.255212
0.020000,0.831441,3.229923,0.291555,1.050325,1.989093,0.250120,6.256879
0.020000,0.853238,3.229368,0.313360,1.090211,1.994288,0.259760,6.258538
0.020000,0.875836,3.228829,0.335964,1.130204,1.999676,0.269422,6.260181
0.020000,0.899237,3.228310,0.359370,1.170310,2.005256,0.279004,6.261800
0.020000,0.923442,3.227812,0.383580,1.210530,2.011029,0.288606,6.263388
0.020000,0.948455,3.227336,0.408598,1.250870,2.016992,0.298150,6.264936
0.020000,0.974278,3.226884,0.434424,1.291333,2.023145,0.307696,6.266434
0.020000,1.000913,3.226458,0.461063,1.331923,2.029490,0.317215,6.267875
0.020000,1.028363,3.226056,0.488516,1.372643,2.036024,0.326724,6.269249
0.020000,1.056630,3.225681,0.516786,1.413498,2.042749,0.336224,6.270546
0.020000,1.085718,3.225331,0.545876,1.454491,2.049663,0.345710,6.271757
0.020000,1.115629,3.225006,0.575788,1.495627,2.056767,0.355196,6.272872
0.020000,1.146365,3.224705,0.606526,1.536908,2.064061,0.364700,6.273879
0.020000,1.177931,3.224426,0.638093,1.578339,2.071545,0.374208,6.274770
0.020000,1.210328,3.224166,0.670492,1.619923,2.079220,0.383728,6.275532
0.020000,1.243561,3.223922,0.703725,1.661665,2.087086,0.393300,6.276154
0.020000,1.277631,3.223691,0.737796,1.703568,2.095143,0.402874,6.276626
0.020000,1.312543,3.223468,0.772709,1.745636,2.103393,0.412510,6.276935
0.020000,1.348300,3.223248,0.808466,1.787872,2.111837,0.422170,6.277070
0.020000,1.384905,3.223024,0.845072,1.830282,2.120474,0.431879,6.277018
0.020000,1.422361,3.222788,0.882529,1.872868,2.129307,0.441622,6.276767
0.020000,1.460673,3.222534,0.920842,1.915635,2.138334,0.451393,6.276304
0.020000,1.499844,3.222252,0.960014,1.958586,2.147558,0.461199,6.275616
0.020000,1.539877,3.221931,1.000048,2.001725,2.156978,0.470972,6.274690
0.020000,1.580777,3.221561,1.040949,2.045057,2.166593,0.480745,6.273512
0.020000,1.622546,3.221127,1.082721,2.088585,2.176401,0.490427,6.272068
0.020000,1.665189,3.220617,1.125367,2.132313,2.186402,0.500013,6.270344
0.020000,1.708710,3.220015,1.168892,2.176245,2.196590,0.509401,6.268325
0.020000,1.753112,3.219305,1.213300,2.220384,2.206961,0.518551,6.265997
0.020000,1.798399,3.218467,1.258595,2.264734,2.217507,0.527314,6.263345
0.020000,1.840761,3.217590,1.300966,2.118553,-7.309057,-476.328220,6.263082
0.020000,1.885842,3.216768,1.346054,2.254438,6.794216,705.163681,6.266791
0.020000,1.931759,3.216098,1.391976,2.296067,2.081446,-235.638531,6.270368
0.020000,1.978513,3.215580,1.438733,2.337837,2.088527,0.354057,6.273804
0.020000,2.026106,3.215212,1.486328,2.379751,2.095714,0.359381,6.277088
0.020000,2.074542,3.214993,1.534764,2.421811,2.102988,0.363704,6.280211
0.020000,2.123822,3.214920,1.584044,2.464018,2.110349,0.368023,6.283161
0.020000,2.173950,3.214990,1.634172,2.506375,2.117821,0.373585,0.002743
0.020000,2.224927,3.215196,1.685149,2.548882,2.125371,0.377518,0.005316
0.020000,2.276757,3.215534,1.736980,2.591543,2.133030,0.382956,0.007685
0.020000,2.329442,3.215997,1.789667,2.634359,2.140801,0.388537,0.009839
0.020000,2.382985,3.216576,1.843214,2.677332,2.148668,0.393371,0.011766
0.020000,2.437390,3.217264,1.897623,2.720465,2.156653,0.399261,0.013455
0.020000,2.492660,3.218049,1.952898,2.763760,2.164754,0.405048,0.014895
0.020000,2.548798,3.218919,2.009043,2.807220,2.172976,0.411073,0.016074
0.020000,2.605807,3.219863,2.066060,2.850846,2.181331,0.417751,0.016980
0.020000,2.663691,3.220865,2.123953,2.894643,2.189815,0.424187,0.017601
0.020000,2.722454,3.221911,2.182725,2.938611,2.198443,0.431412,0.017925
0.020000,2.782099,3.222982,2.242380,2.982756,2.207215,0.438633,0.017940
0.020000,2.842631,3.224060,2.302922,3.027078,2.216139,0.446160,0.017633
0.020000,2.904054,3.225125,2.364353,3.071583,2.225217,0.453923,0.016990
0.020000,2.966371,3.226155,2.426679,3.116272,2.234459,0.462077,0.016000
0.020000,3.029586,3.227126,2.489902,3.161149,2.243853,0.469716,0.014648
0.020000,3.093704,3.228012,2.554026,3.206217,2.253423,0.478487,0.012921
0.020000,3.158729,3.228785,2.619056,3.251480,2.263140,0.485888,0.010805
0.020000,3.224665,3.229417,2.684994,3.296941,2.273032,0.494552,0.008287
0.020000,3.291516,3.229875,2.751846,3.342602,2.283050,0.500937,0.005352
0.020000,3.359284,3.230125,2.819616,3.388467,2.293233,0.509122,0.001986
0.020000,3.427975,3.230133,2.888306,3.434537,2.303531,0.514939,6.281359
0.020000,3.497591,3.229860,2.957923,3.480816,2.313927,0.519786,6.277086
0.020000,3.568135,3.229264,3.028469,3.527304,2.324408,0.524031,6.272337
0.020000,3.639608,3.228304,3.099949,3.574003,2.334934,0.526311,6.267099
0.020000,3.712013,3.226934,3.172367,3.620912,2.345464,0.526482,6.261355
0.020000,3.785351,3.225106,3.245728,3.668031,2.355947,0.524155,6.255090
0.020000,3.859622,3.222769,3.320035,3.715357,2.366326,0.518976,6.248291
0.020000,3.934824,3.219870,3.395293,3.762888,2.376527,0.510022,6.240943
0.020000,4.010955,3.216353,3.471505,3.810617,2.386463,0.496819,6.233031
0.020000,4.088012,3.212160,3.548676,3.858538,2.396056,0.479662,6.224542
0.020000,4.165989,3.207230,3.626809,3.906642,2.405166,0.455472,6.215464
0.020000,4.244879,3.201499,3.705907,3.954916,2.413705,0.426963,6.205783
0.020000,4.324674,3.194900,3.785974,4.003346,2.421516,0.390548,6.195489
0.020000,4.405361,3.187365,3.867012,4.051913,2.428372,0.342789,6.184573
0.020000,4.486927,3.178823,3.949024,4.100599,2.434295,0.296158,6.173025
0.020000,4.569355,3.169201,4.032012,4.149377,2.438892,0.229838,6.160839
0.020000,4.652624,3.158423,4.115976,4.198219,2.442091,0.159967,6.148012
0.020000,4.736507,3.146444,4.200710,4.236674,1.922758,-25.966677,6.134573
0.020000,4.820375,3.133292,4.285603,4.244676,0.400071,-76.134345,6.120629
0.020000,4.903603,3.119033,4.370043,4.221997,-1.133944,-76.700743,6.106302
0.020000,4.967170,3.109057,4.434389,3.217296,-50.235024,-2455.053983,6.154286
0.020000,5.032694,3.102147,4.500276,3.294354,3.852897,2704.396059,6.200045
0.020000,5.100409,3.097789,4.568131,3.392739,4.919237,53.316995,6.236030
0.020000,5.170000,3.095497,4.637760,3.481450,4.435536,-24.185054,6.262925
0.020000,5.241212,3.094762,4.708975,3.560766,3.965843,-23.484652,6.281392
0.020000,5.313853,3.095064,4.781617,3.632092,3.566297,-19.977315,0.008811
0.020000,5.387795,3.095878,4.855563,3.697312,3.260990,-15.265330,0.011984
0.020000,5.462959,3.096673,4.930731,3.758414,3.055087,-10.295176,0.008014
0.020000,5.539304,3.096910,5.007077,3.817265,2.942545,-5.627075,6.280247
0.020000,5.616808,3.096032,5.084586,3.875458,2.909674,-1.643559,6.262356
0.020000,5.695449,3.093459,5.163269,3.934163,2.935245,1.278552,6.237490
0.020000,5.775179,3.088581,5.243148,3.993954,2.989553,2.715419,6.205570
0.020000,5.855893,3.080761,5.324240,4.054577,3.031141,2.079369,6.166537
0.020000,5.937391,3.069345,5.406534,4.114690,3.005638,-1.275163,6.120424
0.020000,6.019341,3.053690,5.489966,4.171622,2.846607,-7.951504,6.067456
0.020000,6.101248,3.033217,5.574392,4.221318,2.484812,-18.089785,6.008145
0.020000,6.182436,3.007473,5.659565,4.258607,1.864449,-31.018118,5.943369
0.020000,6.262080,2.976213,5.745124,4.277968,0.968047,-44.820095,5.874399
0.020000,6.339271,2.939457,5.830618,4.274728,-0.161988,-56.501795,5.802838
0.020000,6.413120,2.897519,5.915545,4.246328,-1.420031,-62.902133,5.730471
0.020000,6.482875,2.850967,5.999408,4.193132,-2.659765,-61.986698,5.659057
0.020000,6.548009,2.800548,6.081775,4.118366,-3.738340,-53.928767,5.590126
0.020000,6.608247,2.747082,6.162318,4.027169,-4.559826,-41.074288,5.524842
0.020000,6.663558,2.691366,6.240827,3.925427,-5.087092,-26.363292,5.463953
0.020000,6.714101,2.634114,6.317197,3.818513,-5.345723,-12.931565,5.407825
0.020000,6.754897,2.583337,6.382333,3.256775,-28.086906,-1137.059154,5.379717
0.020000,6.792873,2.534651,6.444078,3.087272,-8.475157,980.587448,5.369762
0.020000,6.830062,2.485923,6.505376,3.064890,-1.119100,367.802847,5.358575
0.020000,6.866416,2.437103,6.566245,3.043456,-1.071694,2.370330,5.346090
0.020000,6.901885,2.388138,6.626707,3.023096,-1.017998,2.684776,5.332230
0.020000,6.936417,2.338973,6.686787,3.003989,-0.955325,3.133688,5.316906
