dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.524672,2.959452,0.000199,0.019886,0.994321,49.716040,6.227557
0.020000,0.524672,2.959452,0.000994,0.059659,1.988642,49.716040,6.227651
0.020000,0.525961,2.959380,0.002585,0.099432,1.988642,0.000000,6.227840
0.020000,0.528343,2.959249,0.004972,0.139205,1.988642,0.000000,6.228122
0.020000,0.531520,2.959074,0.008153,0.178978,1.988642,-0.000000,6.228498
0.020000,0.535492,2.958858,0.012131,0.218751,1.988642,0.000000,6.228965
0.020000,0.540258,2.958600,0.016903,0.258523,1.988642,-0.000000,6.229523
0.020000,0.545818,2.958303,0.022472,0.298296,1.988642,0.000000,6.230169
0.020000,0.552173,2.957969,0.028835,0.338069,1.988642,-0.000000,6.230903
0.020000,0.559322,2.957597,0.035994,0.377842,1.988642,0.000000,6.231722
0.020000,0.567266,2.957192,0.043949,0.417615,1.988642,-0.000000,6.232623
0.020000,0.576006,2.956754,0.052699,0.457388,1.988642,0.000000,6.233603
0.020000,0.585540,2.956286,0.062244,0.497160,1.988642,0.000000,6.234661
0.020000,0.595869,2.955790,0.072585,0.536933,1.988642,0.000000,6.235792
0.020000,0.606993,2.955269,0.083722,0.576706,1.988642,-0.000000,6.236993
0.020000,0.618912,2.954726,0.095654,0.616479,1.988642,0.000000,6.238260
0.020000,0.631627,2.954163,0.108381,0.656252,1.988642,0.000000,6.239589
0.020000,0.645137,2.953583,0.121904,0.696025,1.988642,0.000000,6.240976
0.020000,0.659443,2.952989,0.136222,0.735797,1.988642,-0.000000,6.242417
0.020000,0.674545,2.952384,0.151336,0.775570,1.988642,0.000000,6.243906
0.020000,0.690442,2.951772,0.167245,0.815343,1.988642,0.000000,6.245438
0.020000,0.707135,2.951154,0.183949,0.855116,1.988642,-0.000000,6.247007
0.020000,0.724625,2.950535,0.201449,0.894889,1.988642,0.000000,6.248609
0.020000,0.742910,2.949918,0.219745,0.934662,1.988642,-0.000000,6.250237
0.020000,0.761991,2.949305,0.238836,0.974434,1.988642,0.000000,6.251884
0.020000,0.781868,2.948699,0.258722,1.014207,1.988642,-0.000000,6.253545
0.020000,0.802541,2.948103,0.279404,1.053980,1.988642,0.000000,6.255212
0.020000,0.824011,2.947521,0.300881,1.093753,1.988642,-0.000000,6.256879
0.020000,0.846276,2.946954,0.323154,1.133526,1.988642,0.000000,6.258538
0.020000,0.869338,2.946404,0.346223,1.173299,1.988642,0.000000,6.260181
0.020000,0.893196,2.945875,0.370086,1.213071,1.988642,-0.000000,6.261800
0.020000,0.917850,2.945367,0.394745,1.252844,1.988642,0.000000,6.263388
