dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.508965,2.677389,0.000199,0.019886,0.994321,49.716040,6.227557
0.020000,0.508992,2.677387,0.000226,0.001335,-0.927562,-96.094159,6.227651
0.020000,0.510334,2.677313,0.001569,0.067187,3.292600,211.008117,6.227840
0.020000,0.512796,2.677177,0.004035,0.123309,2.806084,-24.325777,6.228122
0.020000,0.516079,2.676996,0.007323,0.164394,2.054262,-37.591105,6.228498
0.020000,0.520182,2.676773,0.011433,0.205464,2.053504,-0.037912,6.228965
0.020000,0.525105,2.676507,0.016363,0.246515,2.052554,-0.047485,6.229523
0.020000,0.530848,2.676200,0.022114,0.287544,2.051421,-0.056682,6.230169
0.020000,0.537410,2.675855,0.028685,0.328545,2.050086,-0.066712,6.230903
0.020000,0.544790,2.675471,0.036075,0.369517,2.048568,-0.075919,6.231722
0.020000,0.552989,2.675053,0.044284,0.410454,2.046856,-0.085600,6.232623
0.020000,0.562004,2.674601,0.053311,0.451353,2.044955,-0.095032,6.233603
0.020000,0.571837,2.674118,0.063155,0.492210,2.042856,-0.104978,6.234661
0.020000,0.582485,2.673607,0.073816,0.533022,2.040571,-0.114232,6.235792
0.020000,0.593948,2.673070,0.085292,0.573783,2.038091,-0.124027,6.236993
0.020000,0.606225,2.672511,0.097581,0.614492,2.035414,-0.133841,6.238260
0.020000,0.619315,2.671931,0.110684,0.655143,2.032550,-0.143216,6.239589
0.020000,0.633217,2.671334,0.124599,0.695732,2.029486,-0.153180,6.240976
0.020000,0.647929,2.670724,0.139324,0.736257,2.026232,-0.162698,6.242417
0.020000,0.663451,2.670102,0.154858,0.776713,2.022781,-0.172541,6.243906
0.020000,0.679781,2.669473,0.171200,0.817095,2.019138,-0.182137,6.245438
0.020000,0.696917,2.668839,0.188348,0.857401,2.015299,-0.191992,6.247007
0.020000,0.714859,2.668204,0.206301,0.897627,2.011267,-0.201587,6.248609
0.020000,0.733603,2.667571,0.225056,0.937767,2.007038,-0.211431,6.250237
0.020000,0.753150,2.666943,0.244612,0.977820,2.002618,-0.221027,6.251884
0.020000,0.773496,2.666323,0.264968,1.017780,1.998001,-0.230816,6.253545
0.020000,0.794640,2.665714,0.286121,1.057644,1.993193,-0.240415,6.255212
0.020000,0.816580,2.665118,0.308069,1.097408,1.988190,-0.250137,6.256879
0.020000,0.839314,2.664539,0.330810,1.137067,1.982994,-0.259793,6.258538
0.020000,0.862840,2.663979,0.354343,1.176620,1.977607,-0.269385,6.260181
0.020000,0.887155,2.663439,0.378664,1.216060,1.972027,-0.279014,6.261800
0.020000,0.912257,2.662922,0.403772,1.255385,1.966255,-0.288575,6.263388
0.020000,0.938144,2.662430,0.429664,1.294591,1.960292,-0.298154,6.264936
0.020000,0.964814,2.661964,0.456337,1.333674,1.954138,-0.307687,6.266434
0.020000,0.992263,2.661524,0.483790,1.372630,1.947794,-0.317211,6.267875
0.020000,1.020489,2.661111,0.512019,1.411455,1.941260,-0.326716,6.269249
0.020000,1.049489,2.660726,0.541022,1.450146,1.934535,-0.336208,6.270546
0.020000,1.079261,2.660368,0.570796,1.488698,1.927621,-0.345703,6.271757
0.020000,1.109801,2.660036,0.601338,1.527108,1.920517,-0.355199,6.272872
0.020000,1.141107,2.659730,0.632645,1.565373,1.913224,-0.364689,6.273879
0.020000,1.173176,2.659446,0.664715,1.603488,1.905740,-0.374202,6.274770
0.020000,1.206004,2.659183,0.697544,1.641449,1.898065,-0.383743,6.275532
0.020000,1.239588,2.658936,0.731129,1.679253,1.890199,-0.393286,6.276154
0.020000,1.273925,2.658704,0.765467,1.716896,1.882141,-0.402893,6.276626
0.020000,1.309012,2.658479,0.800554,1.754374,1.873891,-0.412513,6.276935
0.020000,1.344845,2.658258,0.836388,1.791682,1.865447,-0.422190,6.277070
0.020000,1.381420,2.658034,0.872964,1.828819,1.856809,-0.431900,6.277018
0.020000,1.418735,2.657800,0.910280,1.865778,1.847976,-0.441652,6.276767
0.020000,1.456786,2.657548,0.948331,1.902557,1.838947,-0.451439,6.276304
0.020000,1.495568,2.657268,0.987114,1.939152,1.829723,-0.461226,6.275616
0.020000,1.535078,2.656952,1.026625,1.975558,1.820302,-0.471044,6.274690
0.020000,1.575311,2.656587,1.066861,2.011771,1.810686,-0.480803,6.273512
0.020000,1.616265,2.656162,1.107816,2.047789,1.800875,-0.490520,6.272068
0.020000,1.657934,2.655664,1.149489,2.083606,1.790873,-0.500101,6.270344
0.020000,1.700314,2.655078,1.191873,2.119220,1.780683,-0.509520,6.268325
0.020000,1.743401,2.654388,1.234966,2.154626,1.770310,-0.518662,6.265997
0.020000,1.787190,2.653578,1.278762,2.189821,1.759760,-0.527480,6.263345
0.020000,1.829404,2.652704,1.320984,2.111120,-3.935048,-284.740407,6.263082
0.020000,1.876580,2.651844,1.368169,2.359208,12.404387,816.971752,6.266791
0.020000,1.924517,2.651144,1.416111,2.397125,1.895850,-525.426835,6.270368
0.020000,1.973212,2.650605,1.464809,2.434900,1.888754,-0.354800,6.273804
0.020000,2.022662,2.650223,1.514260,2.472532,1.881581,-0.358659,6.277088
0.020000,2.072861,2.649996,1.564460,2.510018,1.874309,-0.363606,6.280211
0.020000,2.123808,2.649920,1.615407,2.547357,1.866936,-0.368656,6.283161
0.020000,2.175499,2.649992,1.667098,2.584546,1.859484,-0.372587,0.002743
0.020000,2.227931,2.650204,1.719530,2.621585,1.851916,-0.378431,0.005316
0.020000,2.281099,2.650551,1.772699,2.658470,1.844255,-0.383013,0.007685
0.020000,2.335001,2.651024,1.826603,2.695200,1.836499,-0.387806,0.009839
0.020000,2.389633,2.651615,1.881239,2.731772,1.828624,-0.393775,0.011766
0.020000,2.444992,2.652315,1.936602,2.768185,1.820641,-0.399124,0.013455
0.020000,2.501075,2.653111,1.992691,2.804436,1.812540,-0.405087,0.014895
0.020000,2.557879,2.653992,2.049501,2.840522,1.804312,-0.411354,0.016074
0.020000,2.615400,2.654944,2.107030,2.876441,1.795962,-0.417532,0.016980
0.020000,2.673635,2.655953,2.165274,2.912191,1.787471,-0.424543,0.017601
0.020000,2.732581,2.657001,2.224229,2.947768,1.778844,-0.431345,0.017925
0.020000,2.792235,2.658073,2.283893,2.983169,1.770070,-0.438720,0.017940
0.020000,2.852593,2.659148,2.344261,3.018392,1.761143,-0.446315,0.017633
0.020000,2.913653,2.660207,2.405329,3.053433,1.752061,-0.454138,0.016990
0.020000,2.975410,2.661228,2.467095,3.088290,1.742822,-0.461944,0.016000
0.020000,3.037862,2.662186,2.529554,3.122958,1.733412,-0.470504,0.014648
0.020000,3.101004,2.663059,2.592703,3.157435,1.723851,-0.478027,0.012921
0.020000,3.164834,2.663818,2.656537,3.191717,1.714115,-0.486779,0.010805
0.020000,3.229347,2.664436,2.721053,3.225802,1.704237,-0.493913,0.008287
0.020000,3.294540,2.664883,2.786247,3.259686,1.694185,-0.502596,0.005352
0.020000,3.360406,2.665127,2.852114,3.293366,1.684016,-0.508468,0.001986
0.020000,3.426943,2.665134,2.918651,3.326840,1.673713,-0.515168,6.281359
0.020000,3.494145,2.664870,2.985853,3.360106,1.663296,-0.520810,6.277086
0.020000,3.562006,2.664298,3.053717,3.393162,1.652807,-0.524453,6.272337
0.020000,3.630520,2.663377,3.122237,3.426008,1.642273,-0.526736,6.267099
0.020000,3.699680,2.662069,3.191410,3.458642,1.631732,-0.527022,6.261355
0.020000,3.769480,2.660329,3.261231,3.491067,1.621236,-0.524811,6.255090
