dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.447408,5.539062,0.000198,0.019812,0.990620,49.530986,0.017854
0.020000,0.447388,5.539062,0.000218,0.000983,-0.941466,-96.604265,0.017924
0.020000,0.448145,5.539075,0.000974,0.037817,1.841701,139.158347,0.018063
0.020000,0.450463,5.539117,0.003293,0.115927,3.905510,103.190438,0.018271
0.020000,0.453554,5.539174,0.006384,0.154572,1.932255,-98.662759,0.018549
0.020000,0.457417,5.539247,0.010249,0.193220,1.932359,0.005190,0.018897
0.020000,0.462054,5.539335,0.014886,0.231870,1.932504,0.007282,0.019313
0.020000,0.467463,5.539441,0.020296,0.270523,1.932665,0.008044,0.019798
0.020000,0.473646,5.539565,0.026480,0.309180,1.932859,0.009690,0.020351
0.020000,0.480601,5.539709,0.033437,0.347842,1.933087,0.011395,0.020973
0.020000,0.488330,5.539874,0.041167,0.386509,1.933337,0.012512,0.021663
0.020000,0.496831,5.540061,0.049671,0.425181,1.933612,0.013734,0.022419
0.020000,0.506106,5.540273,0.058948,0.463859,1.933919,0.015363,0.023243
0.020000,0.516154,5.540511,0.068999,0.502545,1.934263,0.017180,0.024134
0.020000,0.526975,5.540777,0.079823,0.541237,1.934619,0.017819,0.025090
0.020000,0.538570,5.541074,0.091422,0.579937,1.935023,0.020194,0.026112
0.020000,0.550939,5.541404,0.103795,0.618646,1.935439,0.020772,0.027199
0.020000,0.564081,5.541769,0.116942,0.657364,1.935895,0.022824,0.028350
0.020000,0.577997,5.542172,0.130864,0.696092,1.936379,0.024178,0.029564
0.020000,0.592687,5.542616,0.145561,0.734829,1.936890,0.025593,0.030842
0.020000,0.608151,5.543104,0.161032,0.773578,1.937434,0.027198,0.032181
0.020000,0.624389,5.543638,0.177279,0.812338,1.938003,0.028423,0.033582
0.020000,0.641401,5.544222,0.194301,0.851111,1.938617,0.030709,0.035042
0.020000,0.659188,5.544859,0.212099,0.889895,1.939242,0.031252,0.036563
0.020000,0.677748,5.545552,0.230673,0.928694,1.939915,0.033644,0.038142
0.020000,0.697084,5.546306,0.250023,0.967506,1.940606,0.034531,0.039778
0.020000,0.717194,5.547123,0.270150,1.006333,1.941341,0.036775,0.041471
0.020000,0.738079,5.548008,0.291053,1.045174,1.942095,0.037713,0.043219
0.020000,0.759738,5.548965,0.312734,1.084032,1.942887,0.039584,0.045022
0.020000,0.782173,5.549996,0.335192,1.122907,1.943717,0.041524,0.046877
0.020000,0.805382,5.551107,0.358428,1.161798,1.944572,0.042729,0.048785
0.020000,0.829366,5.552302,0.382442,1.200707,1.945456,0.044222,0.050743
0.020000,0.854126,5.553584,0.407235,1.239635,1.946383,0.046325,0.052751
0.020000,0.879661,5.554959,0.432807,1.278581,1.947333,0.047481,0.054807
0.020000,0.905970,5.556430,0.459158,1.317548,1.948324,0.049557,0.056909
0.020000,0.933056,5.558002,0.486288,1.356535,1.949340,0.050796,0.059056
0.020000,0.960916,5.559680,0.514199,1.395543,1.950395,0.052764,0.061248
0.020000,0.989552,5.561468,0.542891,1.434572,1.951482,0.054334,0.063481
0.020000,1.018963,5.563372,0.572363,1.473624,1.952597,0.055763,0.065755
0.020000,1.049149,5.565394,0.602617,1.512699,1.953750,0.057636,0.068067
0.020000,1.080110,5.567542,0.633653,1.551798,1.954936,0.059300,0.070417
0.020000,1.111847,5.569818,0.665471,1.590921,1.956151,0.060780,0.072803
0.020000,1.144359,5.572229,0.698073,1.630069,1.957404,0.062631,0.075222
0.020000,1.177647,5.574779,0.731458,1.669243,1.958685,0.064051,0.077673
0.020000,1.211709,5.577473,0.765626,1.708443,1.960002,0.065849,0.080154
0.020000,1.246547,5.580315,0.800580,1.747670,1.961349,0.067365,0.082664
0.020000,1.282160,5.583311,0.836318,1.786924,1.962730,0.069035,0.085199
0.020000,1.318547,5.586466,0.872842,1.826207,1.964142,0.070621,0.087759
0.020000,1.355710,5.589784,0.910153,1.865519,1.965586,0.072193,0.090341
0.020000,1.393647,5.593271,0.948250,1.904860,1.967062,0.073803,0.092943
0.020000,1.432359,5.596930,0.987135,1.944231,1.968569,0.075342,0.095563
0.020000,1.471846,5.600768,1.026807,1.983634,1.970107,0.076877,0.098199
0.020000,1.512107,5.604788,1.067269,2.023067,1.971675,0.078442,0.100848
0.020000,1.553142,5.608996,1.108519,2.062533,1.973274,0.079917,0.103509
0.020000,1.594952,5.613396,1.150560,2.102031,1.974902,0.081416,0.106178
0.020000,1.637536,5.617992,1.193391,2.141562,1.976561,0.082961,0.108855
0.020000,1.680894,5.622790,1.237014,2.181127,1.978246,0.084236,0.111535
0.020000,1.725026,5.627793,1.281428,2.220726,1.979962,0.085784,0.114217
0.020000,1.769931,5.633005,1.326635,2.260360,1.981708,0.087299,0.116899
0.020000,1.815611,5.638432,1.372636,2.300030,1.983477,0.088452,0.119577
0.020000,1.862064,5.644076,1.419431,2.339735,1.985278,0.090041,0.122250
0.020000,1.909290,5.649943,1.467020,2.379477,1.987101,0.091189,0.124914
0.020000,1.957291,5.656035,1.515405,2.419256,1.988956,0.092727,0.127568
0.020000,2.006064,5.662357,1.564587,2.459073,1.990830,0.093724,0.130208
0.020000,2.055611,5.668911,1.614565,2.498928,1.992736,0.095274,0.132831
0.020000,2.105931,5.675702,1.665342,2.538821,1.994665,0.096437,0.135436
0.020000,2.157025,5.682732,1.716917,2.578753,1.996619,0.097724,0.138018
0.020000,2.206519,5.689690,1.766897,2.499026,-3.986384,-299.150159,0.142276
0.020000,2.258078,5.697243,1.819007,2.605483,5.322867,465.462548,0.148577
0.020000,2.310421,5.705243,1.871958,2.647536,2.102649,-161.010910,0.154706
0.020000,2.363549,5.713691,1.925753,2.689774,2.111902,0.462691,0.160649
0.020000,2.417464,5.722588,1.980397,2.732198,2.121217,0.465715,0.166395
0.020000,2.472168,5.731933,2.035893,2.774810,2.130577,0.468008,0.171929
0.020000,2.527663,5.741723,2.092246,2.817609,2.139976,0.469935,0.177239
0.020000,2.583952,5.751954,2.149458,2.860598,2.149410,0.471694,0.182310
0.020000,2.641040,5.762622,2.207533,2.903775,2.158891,0.474053,0.187130
0.020000,2.698928,5.773722,2.266476,2.947144,2.168410,0.475956,0.191685
0.020000,2.757622,5.785244,2.326290,2.990703,2.177971,0.478061,0.195961
0.020000,2.817125,5.797181,2.386979,3.034455,2.187583,0.480615,0.199946
0.020000,2.877444,5.809523,2.448547,3.078400,2.197249,0.483272,0.203624
0.020000,2.938583,5.822256,2.510998,3.122539,2.206975,0.486329,0.206983
0.020000,3.000548,5.835368,2.574335,3.166875,2.216771,0.489769,0.210008
0.020000,3.063347,5.848844,2.638564,3.211408,2.226645,0.493729,0.212686
0.020000,3.126986,5.862666,2.703686,3.256140,2.236608,0.498128,0.215002
0.020000,3.191473,5.876816,2.769708,3.301073,2.246668,0.503015,0.216943
0.020000,3.256817,5.891274,2.836632,3.346210,2.256839,0.508553,0.218493
0.020000,3.323026,5.906018,2.904463,3.391552,2.267128,0.514427,0.219638
0.020000,3.390111,5.921022,2.973205,3.437103,2.277547,0.520985,0.220364
0.020000,3.457857,5.936210,3.042633,3.471389,1.714301,-28.162293,0.220655
0.020000,3.525662,5.951417,3.112123,3.474488,0.154910,-77.969573,0.220504
0.020000,3.592983,5.966488,3.181109,3.449331,-1.257850,-70.638020,0.219919
0.020000,3.659657,5.981359,3.249422,3.415632,-1.684937,-21.354327,0.218914
0.020000,3.725687,5.996003,3.317056,3.381725,-1.695345,-0.520405,0.217505
0.020000,3.791074,6.010395,3.384009,3.347612,-1.705622,-0.513869,0.215705
0.020000,3.855819,6.024510,3.450275,3.313297,-1.715774,-0.507581,0.213529
0.020000,3.919923,6.038326,3.515850,3.278781,-1.725815,-0.502050,0.210992
0.020000,3.983385,6.051825,3.580732,3.244066,-1.735751,-0.496805,0.208107
0.020000,4.043505,6.064446,3.642162,3.071544,-8.626094,-344.517138,0.210945
0.020000,4.093412,6.076185,3.693431,2.563452,-25.404565,-838.923529,0.250622
0.020000,4.142861,6.089832,3.744729,2.564901,0.072402,1273.848346,0.287394
0.020000,4.191882,6.105237,3.796113,2.569189,0.214436,7.101682,0.321058
0.020000,4.240494,6.122245,3.847615,2.575092,0.295122,4.034312,0.351500
0.020000,4.288717,6.140692,3.899246,2.581568,0.323822,1.434989,0.378680
0.020000,4.336569,6.160413,3.951002,2.587794,0.311300,-0.626104,0.402616
0.020000,4.384066,6.181241,4.002865,2.593157,0.268130,-2.158489,0.423367
0.020000,4.431229,6.203011,4.054810,2.597233,0.203797,-3.216666,0.441025
0.020000,4.478079,6.225562,4.106805,2.599757,0.126197,-3.880011,0.455701
0.020000,4.524641,6.248738,4.158817,2.600587,0.041500,-4.234828,0.467512
0.020000,4.570944,6.272391,4.210810,2.599672,-0.045740,-4.362031,0.476584
0.020000,4.617014,6.296377,4.262751,2.597025,-0.132361,-4.331050,0.483038
0.020000,4.662883,6.320562,4.314605,2.592697,-0.216383,-4.201076,0.486994
0.020000,4.708580,6.344817,4.366340,2.586763,-0.296707,-4.016209,0.488564
0.020000,4.754135,6.369022,4.417926,2.579304,-0.372959,-3.812612,0.487857
0.020000,4.799576,6.393061,4.469334,2.570398,-0.445266,-3.615306,0.484975
0.020000,4.844929,6.416826,4.520536,2.560115,-0.514145,-3.443997,0.480016
0.020000,4.890216,6.440214,4.571507,2.548508,-0.580363,-3.310856,0.473073
0.020000,4.939899,6.464880,4.626975,2.773441,11.246650,591.350649,0.445267
0.020000,4.989308,6.487669,4.681387,2.720562,-2.643939,-694.529458,0.420528
0.020000,5.035820,6.508022,4.732157,2.538500,-9.103116,-322.958845,0.405877
0.020000,5.079334,6.526551,4.779452,2.364764,-8.686792,20.816185,0.400721
0.020000,5.119798,6.543749,4.823419,2.198326,-8.321912,18.244006,0.404544
0.020000,5.157181,6.559994,4.864179,2.038023,-8.015136,15.338775,0.416909
0.020000,5.191470,6.575570,4.901840,1.883036,-7.749341,13.289762,0.437440
0.020000,5.222672,6.590671,4.936504,1.733218,-7.490903,12.921910,0.465771
0.020000,5.250825,6.605428,4.968290,1.589319,-7.194948,14.797765,0.501482
0.020000,5.276019,6.619916,4.997352,1.453094,-6.811288,19.182968,0.544030
0.020000,5.298402,6.634184,5.023897,1.327229,-6.293245,25.902185,0.592682
0.020000,5.318196,6.648280,5.048197,1.215028,-5.610020,34.161248,0.646471
0.020000,5.335686,6.662271,5.070594,1.119824,-4.760222,42.489889,0.704195
0.020000,5.351194,6.676258,5.091478,1.044211,-3.780630,48.979571,0.764466
0.020000,5.366474,6.691748,5.113237,1.087924,2.185621,298.312558,0.815416
0.020000,5.381674,6.708680,5.135990,1.137674,2.487521,15.095029,0.863463
0.020000,5.395507,6.725670,5.157899,1.095436,-2.111901,-229.971128,0.911696
0.020000,5.408088,6.742737,5.179102,1.060146,-1.764498,17.370175,0.959621
0.020000,5.419527,6.759911,5.199737,1.031767,-1.418952,17.277268,1.006751
0.020000,5.429930,6.777223,5.219934,1.009860,-1.095342,16.180539,1.052627
0.020000,5.439387,6.794702,5.239808,0.993664,-0.809805,14.276807,1.096845
0.020000,5.447979,6.812367,5.259451,0.982171,-0.574664,11.757057,1.139072
0.020000,5.455774,6.830225,5.278936,0.974257,-0.395717,8.947373,1.179055
0.020000,5.462830,6.848270,5.298312,0.968778,-0.273953,6.088174,1.216620
0.020000,5.469200,6.866481,5.317605,0.964667,-0.205548,3.420282,1.251672
0.020000,5.474928,6.884827,5.336825,0.960992,-0.183749,1.089961,1.284180
0.020000,5.480060,6.903266,5.355965,0.956985,-0.200327,-0.828944,1.314166
0.020000,5.484635,6.921750,5.375006,0.952051,-0.246722,-2.319717,1.341696
0.020000,5.488696,6.940224,5.393921,0.945752,-0.314944,-3.411133,1.366868
0.020000,5.492280,6.958634,5.412676,0.937793,-0.397932,-4.149383,1.389798
0.020000,5.495428,6.976925,5.431236,0.927993,-0.490025,-4.604651,1.410617
0.020000,5.498178,6.995042,5.449562,0.916259,-0.586661,-4.831804,1.429461
0.020000,5.500566,7.012935,5.467613,0.902571,-0.684424,-4.888141,1.446470
0.020000,5.502629,7.030554,5.485352,0.886951,-0.781014,-4.829525,1.461779
0.020000,5.504401,7.047853,5.502741,0.869460,-0.874531,-4.675820,1.475521
0.020000,5.505913,7.064789,5.519745,0.850178,-0.964114,-4.479161,1.487824
0.020000,5.507195,7.081323,5.536329,0.829197,-1.049059,-4.247222,1.498806
0.020000,5.508276,7.097419,5.552461,0.806617,-1.128979,-3.996019,1.508582
0.020000,5.509180,7.113044,5.568112,0.782539,-1.203910,-3.746576,1.517257
0.020000,5.509931,7.128166,5.583253,0.757061,-1.273893,-3.499132,1.524931
0.020000,5.510551,7.142759,5.597859,0.730280,-1.339033,-3.257018,1.531695
0.020000,5.511058,7.156795,5.611904,0.702288,-1.399591,-3.027875,1.537636
0.020000,5.511468,7.170253,5.625368,0.673172,-1.455819,-2.811390,1.542833
0.020000,5.511798,7.183109,5.638228,0.643013,-1.507954,-2.606773,1.547359
0.020000,5.512061,7.195344,5.650466,0.611888,-1.556241,-2.414347,1.551284
0.020000,5.512267,7.206939,5.662063,0.579869,-1.600940,-2.234957,1.554671
0.020000,5.512427,7.217878,5.673004,0.547026,-1.642172,-2.061562,1.557577
0.020000,5.512550,7.228146,5.683272,0.513422,-1.680203,-1.901572,1.560058
0.020000,5.512643,7.237728,5.692854,0.479117,-1.715217,-1.750722,1.562161
0.020000,5.512712,7.246611,5.701738,0.444173,-1.747230,-1.600619,1.563933
0.020000,5.512762,7.254784,5.709911,0.408643,-1.776495,-1.463285,1.565416
0.020000,5.512797,7.262235,5.717362,0.372582,-1.803043,-1.327392,1.566646
0.020000,5.512821,7.268956,5.724083,0.336043,-1.826946,-1.195149,1.567657
0.020000,5.512838,7.274938,5.730065,0.299077,-1.848303,-1.067836,1.568480
0.020000,5.512848,7.280172,5.735300,0.261734,-1.867148,-0.942254,1.569142
0.020000,5.512854,7.284654,5.739781,0.224064,-1.883526,-0.818894,1.569666
0.020000,5.512858,7.288376,5.743503,0.186114,-1.897474,-0.697416,1.570070
0.020000,5.512860,7.291335,5.746462,0.147934,-1.908983,-0.575417,1.570373
0.020000,5.512860,7.293526,5.748653,0.109572,-1.918124,-0.457060,1.570586
0.020000,5.512860,7.294948,5.750075,0.071075,-1.924854,-0.336494,1.570719
0.020000,5.512860,7.295628,5.750755,0.034024,-1.852556,3.614896,1.570782
0.020000,5.512860,7.295791,5.750918,0.008125,-1.294964,27.879612,1.570796
0.020000,5.512860,7.295791,5.750918,0.000000,-0.406226,44.436885,1.570796
