dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.452452,5.256607,0.000198,0.019812,0.990620,49.530986,0.017854
0.020000,0.452452,5.256607,0.000991,0.059437,1.981239,49.530986,0.017924
0.020000,0.453247,5.256621,0.002576,0.099062,1.981239,0.000000,0.018063
0.020000,0.455624,5.256665,0.004953,0.138687,1.981239,0.000000,0.018271
0.020000,0.458794,5.256723,0.008123,0.178312,1.981239,0.000000,0.018549
0.020000,0.462755,5.256797,0.012086,0.217936,1.981239,-0.000000,0.018897
0.020000,0.467510,5.256888,0.016841,0.257561,1.981239,0.000000,0.019313
0.020000,0.473056,5.256996,0.022388,0.297186,1.981239,-0.000000,0.019798
0.020000,0.479395,5.257124,0.028728,0.336811,1.981239,0.000000,0.020351
0.020000,0.486526,5.257271,0.035860,0.376435,1.981239,0.000000,0.020973
0.020000,0.494449,5.257440,0.043785,0.416060,1.981239,0.000000,0.021663
0.020000,0.503164,5.257632,0.052503,0.455685,1.981239,-0.000000,0.022419
0.020000,0.512672,5.257849,0.062013,0.495310,1.981239,0.000000,0.023243
0.020000,0.522971,5.258093,0.072315,0.534935,1.981239,-0.000000,0.024134
0.020000,0.534063,5.258366,0.083410,0.574559,1.981239,0.000000,0.025090
0.020000,0.545946,5.258671,0.095298,0.614184,1.981239,0.000000,0.026112
0.020000,0.558622,5.259009,0.107978,0.653809,1.981239,-0.000000,0.027199
0.020000,0.572089,5.259383,0.121450,0.693434,1.981239,0.000000,0.028350
0.020000,0.586348,5.259796,0.135715,0.733059,1.981239,0.000000,0.029564
0.020000,0.601398,5.260250,0.150772,0.772683,1.981239,-0.000000,0.030842
0.020000,0.617240,5.260750,0.166622,0.812308,1.981239,0.000000,0.032181
0.020000,0.633874,5.261297,0.183265,0.851933,1.981239,0.000000,0.033582
0.020000,0.651298,5.261895,0.200700,0.891558,1.981239,0.000000,0.035042
0.020000,0.669514,5.262547,0.218927,0.931183,1.981239,-0.000000,0.036563
0.020000,0.688521,5.263258,0.237947,0.970807,1.981239,0.000000,0.038142
0.020000,0.708318,5.264029,0.257759,1.010432,1.981239,0.000000,0.039778
0.020000,0.728906,5.264866,0.278364,1.050057,1.981239,0.000000,0.041471
0.020000,0.750284,5.265772,0.299762,1.089682,1.981239,-0.000000,0.043219
0.020000,0.772453,5.266751,0.321951,1.129306,1.981239,0.000000,0.045022
0.020000,0.795411,5.267807,0.344934,1.168931,1.981239,-0.000000,0.046877
0.020000,0.819158,5.268943,0.368709,1.208556,1.981239,0.000000,0.048785
0.020000,0.843695,5.270165,0.393276,1.248181,1.981239,-0.000000,0.050743
0.020000,0.869021,5.271477,0.418636,1.287806,1.981239,0.000000,0.052751
0.020000,0.895136,5.272883,0.444788,1.327430,1.981239,0.000000,0.054807
0.020000,0.922039,5.274387,0.471733,1.367055,1.981239,-0.000000,0.056909
0.020000,0.949729,5.275995,0.499470,1.406680,1.981239,0.000000,0.059056
0.020000,0.978208,5.277710,0.528000,1.446305,1.981239,0.000000,0.061248
0.020000,1.007473,5.279537,0.557323,1.485930,1.981239,0.000000,0.063481
0.020000,1.037525,5.281482,0.587437,1.525554,1.981239,-0.000000,0.065755
0.020000,1.068363,5.283549,0.618345,1.565179,1.981239,0.000000,0.068067
0.020000,1.099987,5.285742,0.650045,1.604804,1.981239,-0.000000,0.070417
0.020000,1.132396,5.288067,0.682537,1.644429,1.981239,0.000000,0.072803
0.020000,1.165590,5.290528,0.715822,1.684054,1.981239,-0.000000,0.075222
0.020000,1.199567,5.293131,0.749899,1.723678,1.981239,0.000000,0.077673
0.020000,1.234329,5.295880,0.784769,1.763303,1.981239,0.000000,0.080154
0.020000,1.269873,5.298780,0.820431,1.802928,1.981239,0.000000,0.082664
0.020000,1.306199,5.301836,0.856886,1.842553,1.981239,-0.000000,0.085199
0.020000,1.343307,5.305053,0.894133,1.882177,1.981239,0.000000,0.087759
0.020000,1.381196,5.308436,0.932173,1.921802,1.981239,-0.000000,0.090341
0.020000,1.419866,5.311990,0.971005,1.961427,1.981239,0.000000,0.092943
0.020000,1.459315,5.315719,1.010630,2.001052,1.981239,0.000000,0.095563
0.020000,1.499542,5.319629,1.051048,2.040677,1.981239,-0.000000,0.098199
0.020000,1.540548,5.323724,1.092257,2.080301,1.981239,0.000000,0.100848
0.020000,1.582331,5.328008,1.134260,2.119926,1.981239,0.000000,0.103509
0.020000,1.624891,5.332487,1.177054,2.159551,1.981239,-0.000000,0.106178
0.020000,1.668227,5.337164,1.220642,2.199176,1.981239,0.000000,0.108855
0.020000,1.712337,5.342045,1.265021,2.238801,1.981239,-0.000000,0.111535
0.020000,1.757222,5.347133,1.310194,2.278425,1.981239,0.000000,0.114217
0.020000,1.802880,5.352433,1.356158,2.318050,1.981239,0.000000,0.116899
0.020000,1.849311,5.357949,1.402916,2.357675,1.981239,-0.000000,0.119577
0.020000,1.896514,5.363685,1.450465,2.397300,1.981239,0.000000,0.122250
0.020000,1.944487,5.369644,1.498808,2.436925,1.981239,0.000000,0.124914
0.020000,1.993231,5.375830,1.547942,2.476549,1.981239,-0.000000,0.127568
0.020000,2.042744,5.382248,1.597870,2.516174,1.981239,0.000000,0.130208
0.020000,2.093025,5.388900,1.648589,2.555799,1.981239,0.000000,0.132831
