dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.457495,4.974152,0.000198,0.019812,0.990620,49.530986,0.017854
0.020000,0.457515,4.974152,0.000218,0.000983,-0.941466,-96.604265,0.017924
0.020000,0.458350,4.974167,0.001053,0.041748,2.038262,148.986374,0.018063
0.020000,0.460786,4.974212,0.003489,0.121821,4.003651,98.269471,0.018271
0.020000,0.464034,4.974272,0.006738,0.162426,2.030231,-98.671019,0.018549
0.020000,0.468093,4.974348,0.010798,0.203028,2.030113,-0.005901,0.018897
0.020000,0.472965,4.974441,0.015671,0.243628,2.029982,-0.006555,0.019313
0.020000,0.478648,4.974552,0.021355,0.284224,2.029810,-0.008614,0.019798
0.020000,0.485144,4.974682,0.027852,0.324816,2.029614,-0.009756,0.020351
0.020000,0.492450,4.974833,0.035160,0.365404,2.029397,-0.010847,0.020973
0.020000,0.500568,4.975006,0.043279,0.405987,2.029146,-0.012569,0.021663
0.020000,0.509497,4.975203,0.052211,0.446564,2.028862,-0.014196,0.022419
0.020000,0.519237,4.975426,0.061953,0.487136,2.028554,-0.015412,0.023243
0.020000,0.529788,4.975675,0.072507,0.527700,2.028225,-0.016447,0.024134
0.020000,0.541150,4.975955,0.083873,0.568257,2.027850,-0.018739,0.025090
0.020000,0.553322,4.976267,0.096049,0.608806,2.027466,-0.019227,0.026112
0.020000,0.566304,4.976613,0.109036,0.649347,2.027033,-0.021622,0.027199
0.020000,0.580097,4.976996,0.122833,0.689879,2.026583,-0.022490,0.028350
0.020000,0.594699,4.977419,0.137441,0.730401,2.026101,-0.024115,0.029564
0.020000,0.610110,4.977885,0.152860,0.770912,2.025587,-0.025696,0.030842
0.020000,0.626330,4.978396,0.169088,0.811413,2.025045,-0.027103,0.032181
0.020000,0.643359,4.978956,0.186126,0.851903,2.024467,-0.028929,0.033582
0.020000,0.661196,4.979568,0.203973,0.892380,2.023873,-0.029667,0.035042
0.020000,0.679841,4.980236,0.222630,0.932845,2.023228,-0.032256,0.036563
0.020000,0.699293,4.980963,0.242096,0.973296,2.022570,-0.032928,0.038142
