dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.447408,5.539062,0.000199,0.019925,0.996259,49.812937,0.017854
0.020000,0.447388,5.539062,0.000219,0.000989,-0.946825,-97.154177,0.017924
0.020000,0.448159,5.539076,0.000990,0.038539,1.877516,141.217039,0.018064
0.020000,0.450490,5.539118,0.003322,0.116587,3.902412,101.244781,0.018274
0.020000,0.453599,5.539175,0.006431,0.155452,1.943255,-97.957806,0.018553
0.020000,0.457485,5.539248,0.010317,0.194320,1.943360,0.005208,0.018903
0.020000,0.462148,5.539337,0.014981,0.233190,1.943508,0.007439,0.019321
0.020000,0.467588,5.539444,0.020422,0.272063,1.943669,0.008042,0.019809
0.020000,0.473805,5.539568,0.026641,0.310940,1.943868,0.009948,0.020366
0.020000,0.480800,5.539713,0.033637,0.349822,1.944095,0.011353,0.020991
0.020000,0.488573,5.539879,0.041411,0.388709,1.944347,0.012593,0.021684
0.020000,0.497123,5.540068,0.049964,0.427602,1.944631,0.014172,0.022445
0.020000,0.506450,5.540281,0.059294,0.466501,1.944937,0.015312,0.023274
0.020000,0.516555,5.540521,0.069402,0.505406,1.945287,0.017493,0.024169
0.020000,0.527439,5.540789,0.080288,0.544319,1.945650,0.018142,0.025131
0.020000,0.539100,5.541088,0.091953,0.583240,1.946050,0.020020,0.026159
0.020000,0.551538,5.541420,0.104396,0.622170,1.946477,0.021335,0.027252
0.020000,0.564756,5.541788,0.117618,0.661109,1.946943,0.023299,0.028409
0.020000,0.578751,5.542195,0.131620,0.700057,1.947421,0.023927,0.029630
0.020000,0.593524,5.542642,0.146400,0.739016,1.947944,0.026144,0.030914
0.020000,0.609076,5.543133,0.161960,0.777986,1.948494,0.027485,0.032261
0.020000,0.625407,5.543672,0.178299,0.816967,1.949075,0.029083,0.033669
0.020000,0.642516,5.544261,0.195418,0.855961,1.949683,0.030384,0.035138
0.020000,0.660404,5.544903,0.213318,0.894968,1.950326,0.032122,0.036666
0.020000,0.679070,5.545603,0.231997,0.933988,1.951002,0.033845,0.038254
0.020000,0.698516,5.546363,0.251458,0.973022,1.951704,0.035065,0.039899
0.020000,0.718740,5.547188,0.271699,1.012071,1.952444,0.037013,0.041601
0.020000,0.739744,5.548080,0.292722,1.051135,1.953211,0.038370,0.043358
0.020000,0.761527,5.549045,0.314526,1.090215,1.954011,0.039958,0.045170
0.020000,0.784089,5.550086,0.337112,1.129312,1.954850,0.041961,0.047035
0.020000,0.807431,5.551207,0.360481,1.168426,1.955716,0.043297,0.048953
0.020000,0.831552,5.552413,0.384632,1.207559,1.956610,0.044736,0.050921
0.020000,0.856453,5.553707,0.409566,1.246709,1.957545,0.046705,0.052939
0.020000,0.882133,5.555095,0.435284,1.285880,1.958511,0.048347,0.055005
0.020000,0.908593,5.556580,0.461785,1.325070,1.959507,0.049790,0.057118
0.020000,0.935832,5.558167,0.489071,1.364281,1.960542,0.051734,0.059276
0.020000,0.963851,5.559860,0.517141,1.403513,1.961604,0.053118,0.061477
0.020000,0.992650,5.561666,0.545996,1.442767,1.962704,0.054970,0.063721
0.020000,1.022228,5.563587,0.575637,1.482044,1.963836,0.056597,0.066006
0.020000,1.052587,5.565629,0.606064,1.521344,1.965000,0.058218,0.068329
0.020000,1.083725,5.567797,0.637278,1.560668,1.966199,0.059967,0.070690
0.020000,1.115642,5.570096,0.669278,1.600016,1.967430,0.061547,0.073086
0.020000,1.148340,5.572530,0.702066,1.639390,1.968695,0.063252,0.075516
0.020000,1.181817,5.575104,0.735641,1.678790,1.969994,0.064945,0.077978
0.020000,1.216073,5.577824,0.770006,1.718216,1.971324,0.066474,0.080470
0.020000,1.251109,5.580694,0.805159,1.757670,1.972688,0.068238,0.082990
0.020000,1.286925,5.583719,0.841102,1.797152,1.974084,0.069791,0.085536
0.020000,1.323520,5.586904,0.877835,1.836662,1.975513,0.071445,0.088107
0.020000,1.360894,5.590255,0.915360,1.876202,1.976973,0.073014,0.090699
0.020000,1.399047,5.593775,0.953675,1.915771,1.978467,0.074661,0.093311
0.020000,1.437980,5.597470,0.992782,1.955371,1.979991,0.076226,0.095941
0.020000,1.477691,5.601345,1.032682,1.995002,1.981545,0.077702,0.098586
