dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.452452,5.256607,0.000199,0.019925,0.996259,49.812937,0.017854
0.020000,0.452452,5.256607,0.000996,0.059776,1.992517,49.812937,0.017924
0.020000,0.453262,5.256622,0.002590,0.099626,1.992517,0.000000,0.018064
0.020000,0.455652,5.256665,0.004981,0.139476,1.992517,0.000000,0.018274
0.020000,0.458840,5.256724,0.008169,0.179327,1.992517,0.000000,0.018553
0.020000,0.462824,5.256798,0.012154,0.219177,1.992517,0.000000,0.018903
0.020000,0.467605,5.256890,0.016936,0.259027,1.992517,0.000000,0.019321
0.020000,0.473183,5.256999,0.022515,0.298878,1.992517,0.000000,0.019809
0.020000,0.479558,5.257127,0.028892,0.338728,1.992517,-0.000000,0.020366
0.020000,0.486730,5.257275,0.036065,0.378578,1.992517,0.000000,0.020991
0.020000,0.494698,5.257445,0.044035,0.418429,1.992517,0.000000,0.021684
0.020000,0.503463,5.257639,0.052802,0.458279,1.992517,0.000000,0.022445
0.020000,0.513024,5.257857,0.062366,0.498129,1.992517,0.000000,0.023274
0.020000,0.523383,5.258103,0.072727,0.537980,1.992517,0.000000,0.024169
0.020000,0.534537,5.258378,0.083885,0.577830,1.992517,0.000000,0.025131
0.020000,0.546489,5.258685,0.095840,0.617680,1.992517,-0.000000,0.026159
0.020000,0.559236,5.259025,0.108592,0.657531,1.992517,0.000000,0.027252
0.020000,0.572780,5.259402,0.122141,0.697381,1.992517,-0.000000,0.028409
0.020000,0.587120,5.259819,0.136487,0.737231,1.992517,0.000000,0.029630
0.020000,0.602256,5.260277,0.151631,0.777082,1.992517,-0.000000,0.030914
0.020000,0.618188,5.260780,0.167571,0.816932,1.992517,0.000000,0.032261
0.020000,0.634916,5.261332,0.184308,0.856783,1.992517,-0.000000,0.033669
0.020000,0.652440,5.261935,0.201842,0.896633,1.992517,0.000000,0.035138
0.020000,0.670760,5.262593,0.220173,0.936483,1.992517,-0.000000,0.036666
0.020000,0.689874,5.263309,0.239301,0.976334,1.992517,0.000000,0.038254
0.020000,0.709784,5.264088,0.259227,1.016184,1.992517,-0.000000,0.039899
0.020000,0.730489,5.264932,0.279949,1.056034,1.992517,-0.000000,0.041601
0.020000,0.751989,5.265846,0.301468,1.095885,1.992517,0.000000,0.043358
0.020000,0.774283,5.266833,0.323784,1.135735,1.992517,-0.000000,0.045170
0.020000,0.797372,5.267899,0.346897,1.175585,1.992517,0.000000,0.047035
0.020000,0.821255,5.269046,0.370808,1.215436,1.992517,-0.000000,0.048953
0.020000,0.845931,5.270279,0.395515,1.255286,1.992517,0.000000,0.050921
0.020000,0.871401,5.271603,0.421019,1.295136,1.992517,-0.000000,0.052939
0.020000,0.897664,5.273022,0.447320,1.334987,1.992517,0.000000,0.055005
0.020000,0.924720,5.274540,0.474418,1.374837,1.992517,-0.000000,0.057118
0.020000,0.952568,5.276163,0.502314,1.414687,1.992517,0.000000,0.059276
0.020000,0.981208,5.277894,0.531006,1.454538,1.992517,-0.000000,0.061477
0.020000,1.010639,5.279739,0.560495,1.494388,1.992517,0.000000,0.063721
0.020000,1.040862,5.281702,0.590781,1.534238,1.992517,-0.000000,0.066006
0.020000,1.071875,5.283788,0.621865,1.574089,1.992517,0.000000,0.068329
0.020000,1.103678,5.286003,0.653745,1.613939,1.992517,-0.000000,0.070690
0.020000,1.136271,5.288350,0.686422,1.653790,1.992517,0.000000,0.073086
0.020000,1.169653,5.290835,0.719897,1.693640,1.992517,0.000000,0.075516
0.020000,1.203823,5.293463,0.754168,1.733490,1.992517,-0.000000,0.077978
0.020000,1.238782,5.296238,0.789236,1.773341,1.992517,0.000000,0.080470
0.020000,1.274527,5.299166,0.825101,1.813191,1.992517,-0.000000,0.082990
0.020000,1.311059,5.302252,0.861764,1.853041,1.992517,0.000000,0.085536
0.020000,1.348378,5.305500,0.899223,1.892892,1.992517,-0.000000,0.088107
