dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.457495,4.974152,0.000199,0.019925,0.996259,49.812937,0.017854
0.020000,0.457515,4.974152,0.000219,0.000989,-0.946825,-97.154177,0.017924
0.020000,0.458365,4.974168,0.001069,0.042493,2.075195,151.100986,0.018064
0.020000,0.460814,4.974212,0.003519,0.122515,4.001110,96.295773,0.018274
0.020000,0.464081,4.974272,0.006786,0.163351,2.041787,-97.966160,0.018553
0.020000,0.468164,4.974349,0.010870,0.204184,2.041667,-0.006012,0.018903
0.020000,0.473063,4.974443,0.015770,0.245015,2.041536,-0.006552,0.019321
0.020000,0.478779,4.974554,0.021487,0.285842,2.041360,-0.008812,0.019809
0.020000,0.485311,4.974686,0.028020,0.326665,2.041165,-0.009713,0.020366
0.020000,0.492659,4.974838,0.035370,0.367484,2.040942,-0.011153,0.020991
0.020000,0.500823,4.975012,0.043536,0.408298,2.040687,-0.012779,0.021684
0.020000,0.509803,4.975210,0.052518,0.449106,2.040405,-0.014065,0.022445
0.020000,0.519599,4.975434,0.062316,0.489908,2.040089,-0.015827,0.023274
0.020000,0.530210,4.975686,0.072930,0.530703,2.039759,-0.016515,0.024169
0.020000,0.541636,4.975967,0.084360,0.571490,2.039382,-0.018831,0.025131
0.020000,0.553878,4.976281,0.096605,0.612270,2.038985,-0.019875,0.026159
0.020000,0.566934,4.976630,0.109666,0.653041,2.038554,-0.021532,0.027252
0.020000,0.580804,4.977016,0.123542,0.693803,2.038103,-0.022529,0.028409
0.020000,0.595489,4.977443,0.138233,0.734555,2.037604,-0.024950,0.029630
0.020000,0.610988,4.977912,0.153739,0.775297,2.037090,-0.025727,0.030914
0.020000,0.627301,4.978427,0.170060,0.816028,2.036541,-0.027445,0.032261
0.020000,0.644426,4.978992,0.187195,0.856747,2.035962,-0.028919,0.033669
0.020000,0.662365,4.979609,0.205144,0.897454,2.035348,-0.030727,0.035138
0.020000,0.681116,4.980283,0.223907,0.938148,2.034706,-0.032099,0.036666
0.020000,0.700678,4.981016,0.243484,0.978829,2.034036,-0.033511,0.038254
0.020000,0.721053,4.981813,0.263873,1.019495,2.033326,-0.035473,0.039899
0.020000,0.742238,4.982677,0.285076,1.060147,2.032592,-0.036693,0.041601
0.020000,0.764234,4.983611,0.307092,1.100784,2.031821,-0.038553,0.043358
0.020000,0.787040,4.984622,0.329920,1.141404,2.031018,-0.040193,0.045170
0.020000,0.810655,4.985711,0.353560,1.182008,2.030189,-0.041416,0.047035
