dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.110120,0.917964,0.000199,0.019909,0.995448,49.772394,0.025744
0.020000,0.110050,0.917962,0.000269,0.003517,-0.819603,-90.752537,0.025993
0.020000,0.109909,0.917958,0.000410,0.007031,0.175697,49.764984,0.026491
0.020000,0.110392,0.917971,0.000893,0.024159,0.856406,34.035471,0.027237
0.020000,0.113296,0.918052,0.003798,0.145230,6.053562,259.857805,0.028231
0.020000,0.116925,0.918157,0.007429,0.181559,1.816448,-211.855700,0.029472
0.020000,0.121281,0.918288,0.011787,0.217894,1.816730,0.014099,0.030960
0.020000,0.126364,0.918450,0.016872,0.254254,1.817997,0.063346,0.032693
0.020000,0.132173,0.918646,0.022684,0.290621,1.818376,0.018960,0.034669
0.020000,0.138709,0.918880,0.029225,0.327015,1.819674,0.064901,0.036889
0.020000,0.145972,0.919157,0.036493,0.363428,1.820673,0.049945,0.039349
0.020000,0.153963,0.919482,0.044491,0.399873,1.822222,0.077418,0.042048
0.020000,0.162682,0.919862,0.053218,0.436346,1.823664,0.072109,0.044984
0.020000,0.172128,0.920302,0.062675,0.472847,1.825031,0.068370,0.048154
0.020000,0.182304,0.920810,0.072863,0.509403,1.827821,0.139473,0.051556
0.020000,0.193208,0.921392,0.083782,0.545984,1.829036,0.060736,0.055187
0.020000,0.204841,0.922058,0.095435,0.582616,1.831592,0.127843,0.059043
0.020000,0.217204,0.922814,0.107821,0.619298,1.834107,0.125709,0.063121
0.020000,0.230297,0.923670,0.120941,0.656030,1.836621,0.125726,0.067418
0.020000,0.244120,0.924634,0.134798,0.692835,1.840257,0.181794,0.071928
0.020000,0.258673,0.925717,0.149392,0.729690,1.842764,0.125328,0.076648
0.020000,0.273958,0.926929,0.164724,0.766621,1.846550,0.189341,0.081572
0.020000,0.289973,0.928280,0.180797,0.803629,1.850370,0.190986,0.086695
0.020000,0.306721,0.929780,0.197611,0.840714,1.854274,0.195187,0.092012
0.020000,0.324200,0.931442,0.215169,0.877887,1.858631,0.217853,0.097516
0.020000,0.342411,0.933276,0.233472,0.915153,1.863323,0.234614,0.103200
0.020000,0.361354,0.935294,0.252522,0.952521,1.868380,0.252839,0.109058
0.020000,0.381029,0.937508,0.272322,0.989990,1.873448,0.253400,0.115082
0.020000,0.401438,0.939931,0.292873,1.027575,1.879228,0.288981,0.121264
0.020000,0.422578,0.942576,0.314179,1.065276,1.885091,0.293180,0.127597
0.020000,0.444452,0.945454,0.336241,1.103102,1.891285,0.309695,0.134070
0.020000,0.467058,0.948579,0.359062,1.141060,1.897912,0.331336,0.140674
0.020000,0.490397,0.951965,0.382645,1.179159,1.904934,0.351102,0.147401
0.020000,0.514469,0.955623,0.406993,1.217402,1.912168,0.361691,0.154239
0.020000,0.539273,0.959568,0.432109,1.255796,1.919658,0.374539,0.161178
0.020000,0.564809,0.963812,0.457996,1.294353,1.927853,0.409736,0.168206
0.020000,0.591078,0.968370,0.484658,1.333070,1.935891,0.401919,0.175312
0.020000,0.618080,0.973253,0.512097,1.371961,1.944547,0.432795,0.182483
0.020000,0.645813,0.978474,0.540318,1.411030,1.953426,0.443917,0.189708
0.020000,0.674278,0.984048,0.569323,1.450281,1.962577,0.457587,0.196973
0.020000,0.703475,0.989986,0.599118,1.489724,1.972145,0.478389,0.204264
0.020000,0.733403,0.996300,0.629705,1.529360,1.981772,0.481355,0.211568
0.020000,0.764063,1.003003,0.661089,1.569196,1.991791,0.500950,0.218871
0.020000,0.795454,1.010106,0.693274,1.609236,2.002020,0.511446,0.226158
0.020000,0.827577,1.017621,0.726263,1.649485,2.012465,0.522255,0.233415
0.020000,0.860430,1.025557,0.760062,1.689948,2.023127,0.533086,0.240626
0.020000,0.894016,1.033927,0.794675,1.730627,2.033964,0.541857,0.247775
0.020000,0.928333,1.042738,0.830105,1.771527,2.044980,0.550776,0.254849
0.020000,0.963383,1.052001,0.866358,1.812650,2.056139,0.557987,0.261830
0.020000,0.999166,1.061723,0.903438,1.853999,2.067458,0.565911,0.268702
0.020000,1.035683,1.071911,0.941350,1.895577,2.078912,0.572719,0.275450
0.020000,1.072934,1.082574,0.980098,1.937385,2.090411,0.574946,0.282057
0.020000,1.110922,1.093716,1.019686,1.979427,2.102084,0.583638,0.288507
0.020000,1.149649,1.105343,1.060120,2.021704,2.113837,0.587667,0.294783
0.020000,1.189115,1.117459,1.101405,2.064217,2.125676,0.591923,0.300868
0.020000,1.229325,1.130066,1.143544,2.106967,2.137478,0.590128,0.306745
0.020000,1.270279,1.143167,1.186543,2.149959,2.149615,0.606859,0.312397
0.020000,1.311983,1.156762,1.230407,2.193189,2.161520,0.595253,0.317808
0.020000,1.354440,1.170852,1.275140,2.236664,2.173755,0.611747,0.322960
0.020000,1.397654,1.185433,1.320748,2.280384,2.185990,0.611713,0.327836
0.020000,1.441630,1.200504,1.367235,2.324349,2.198226,0.611837,0.332418
0.020000,1.486374,1.216060,1.414606,2.368565,2.210792,0.628266,0.336689
0.020000,1.531893,1.232094,1.462867,2.413030,2.223260,0.623433,0.340631
0.020000,1.578194,1.248601,1.512022,2.457751,2.236044,0.639177,0.344226
0.020000,1.625284,1.265571,1.562076,2.502729,2.248914,0.643494,0.347455
0.020000,1.673173,1.282993,1.613036,2.547969,2.262011,0.654857,0.350301
0.020000,1.721870,1.300855,1.664905,2.593475,2.275274,0.663136,0.352744
0.020000,1.771386,1.319142,1.717690,2.639253,2.288899,0.681278,0.354765
0.020000,1.821732,1.337840,1.771396,2.685306,2.302684,0.689254,0.356345
0.020000,1.872921,1.356929,1.826029,2.731644,2.316896,0.710594,0.357463
0.020000,1.924967,1.376390,1.881595,2.778272,2.331407,0.725564,0.358098
0.020000,1.977885,1.396201,1.938099,2.825199,2.346316,0.745411,0.358231
0.020000,2.031689,1.416335,1.995547,2.872432,2.361651,0.766772,0.357839
0.020000,2.086398,1.436766,2.053947,2.919981,2.377455,0.790197,0.356899
0.020000,2.142030,1.457464,2.113304,2.967855,2.393723,0.813403,0.355389
0.020000,2.198603,1.478397,2.173625,3.016065,2.410505,0.839108,0.353285
0.020000,2.256138,1.499527,2.234918,3.064623,2.427870,0.868229,0.350562
0.020000,2.314656,1.520817,2.297188,3.113537,2.445695,0.891252,0.347195
0.020000,2.374180,1.542224,2.360445,3.162820,2.464162,0.923373,0.343158
0.020000,2.434734,1.563701,2.424694,3.212482,2.483086,0.946173,0.338424
0.020000,2.496341,1.585200,2.489945,3.262533,2.502571,0.974258,0.332965
0.020000,2.559027,1.606665,2.556205,3.312983,2.522480,0.995442,0.326753
