dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.117392,0.635557,0.000199,0.019909,0.995448,49.772394,0.025744
0.020000,0.117392,0.635557,0.000995,0.059727,1.990896,49.772394,0.025993
0.020000,0.117392,0.635557,0.002588,0.099545,1.990896,0.000000,0.026491
0.020000,0.118086,0.635576,0.004977,0.139363,1.990896,0.000000,0.027237
0.020000,0.121270,0.635665,0.008163,0.179181,1.990896,-0.000000,0.028231
0.020000,0.125250,0.635779,0.012144,0.218999,1.990896,0.000000,0.029472
0.020000,0.130026,0.635924,0.016923,0.258816,1.990896,-0.000000,0.030960
0.020000,0.135598,0.636101,0.022497,0.298634,1.990896,0.000000,0.032693
0.020000,0.141965,0.636316,0.028868,0.338452,1.990896,-0.000000,0.034669
0.020000,0.149127,0.636572,0.036035,0.378270,1.990896,0.000000,0.036889
0.020000,0.157085,0.636876,0.043999,0.418088,1.990896,0.000000,0.039349
0.020000,0.165838,0.637232,0.052759,0.457906,1.990896,0.000000,0.042048
0.020000,0.175385,0.637648,0.062315,0.497724,1.990896,-0.000000,0.044984
0.020000,0.185727,0.638130,0.072668,0.537542,1.990896,0.000000,0.048154
0.020000,0.196862,0.638685,0.083817,0.577360,1.990896,-0.000000,0.051556
0.020000,0.208790,0.639323,0.095762,0.617178,1.990896,0.000000,0.055187
0.020000,0.221511,0.640050,0.108504,0.656996,1.990896,0.000000,0.059043
0.020000,0.235024,0.640876,0.122042,0.696814,1.990896,0.000000,0.063121
0.020000,0.249328,0.641811,0.136376,0.736631,1.990896,-0.000000,0.067418
0.020000,0.264422,0.642865,0.151507,0.776449,1.990896,0.000000,0.071928
0.020000,0.280305,0.644047,0.167434,0.816267,1.990896,-0.000000,0.076648
0.020000,0.296976,0.645369,0.184158,0.856085,1.990896,0.000000,0.081572
0.020000,0.314434,0.646841,0.201678,0.895903,1.990896,-0.000000,0.086695
0.020000,0.332677,0.648475,0.219994,0.935721,1.990896,0.000000,0.092012
0.020000,0.351704,0.650284,0.239107,0.975539,1.990896,-0.000000,0.097516
0.020000,0.371513,0.652279,0.259016,1.015357,1.990896,0.000000,0.103200
0.020000,0.392102,0.654472,0.279721,1.055175,1.990896,-0.000000,0.109058
0.020000,0.413468,0.656877,0.301223,1.094993,1.990896,0.000000,0.115082
0.020000,0.435611,0.659506,0.323521,1.134811,1.990896,0.000000,0.121264
0.020000,0.458527,0.662372,0.346615,1.174629,1.990896,0.000000,0.127597
0.020000,0.482213,0.665489,0.370506,1.214446,1.990896,0.000000,0.134070
0.020000,0.506668,0.668870,0.395193,1.254264,1.990896,0.000000,0.140674
0.020000,0.531887,0.672528,0.420676,1.294082,1.990896,-0.000000,0.147401
0.020000,0.557868,0.676477,0.446956,1.333900,1.990896,0.000000,0.154239
0.020000,0.584608,0.680729,0.474032,1.373718,1.990896,0.000000,0.161178
0.020000,0.612104,0.685299,0.501905,1.413536,1.990896,0.000000,0.168206
0.020000,0.640351,0.690200,0.530574,1.453354,1.990896,0.000000,0.175312
0.020000,0.669346,0.695443,0.560039,1.493172,1.990896,0.000000,0.182483
0.020000,0.699085,0.701043,0.590301,1.532990,1.990896,0.000000,0.189708
0.020000,0.729564,0.707010,0.621359,1.572808,1.990896,0.000000,0.196973
0.020000,0.760779,0.713359,0.653213,1.612626,1.990896,-0.000000,0.204264
0.020000,0.792726,0.720099,0.685864,1.652443,1.990896,0.000000,0.211568
0.020000,0.825402,0.727242,0.719311,1.692261,1.990896,0.000000,0.218871
0.020000,0.858801,0.734800,0.753554,1.732079,1.990896,0.000000,0.226158
0.020000,0.892919,0.742781,0.788594,1.771897,1.990896,0.000000,0.233415
0.020000,0.927753,0.751196,0.824430,1.811715,1.990896,0.000000,0.240626
0.020000,0.963298,0.760054,0.861062,1.851533,1.990896,0.000000,0.247775
0.020000,0.999551,0.769362,0.898491,1.891351,1.990896,-0.000000,0.254849
0.020000,1.036508,0.779129,0.936716,1.931169,1.990896,0.000000,0.261830
0.020000,1.074164,0.789360,0.975738,1.970987,1.990896,-0.000000,0.268702
0.020000,1.112517,0.800061,1.015556,2.010805,1.990896,0.000000,0.275450
0.020000,1.151563,0.811237,1.056170,2.050623,1.990896,-0.000000,0.282057
0.020000,1.191300,0.822892,1.097581,2.090441,1.990896,-0.000000,0.288507
0.020000,1.231724,0.835029,1.139788,2.130258,1.990896,0.000000,0.294783
0.020000,1.272834,0.847649,1.182791,2.170076,1.990896,-0.000000,0.300868
0.020000,1.314627,0.860753,1.226591,2.209894,1.990896,0.000000,0.306745
0.020000,1.357103,0.874340,1.271187,2.249712,1.990896,-0.000000,0.312397
0.020000,1.400260,0.888409,1.316579,2.289530,1.990896,0.000000,0.317808
0.020000,1.444098,0.902957,1.362768,2.329348,1.990896,0.000000,0.322960
0.020000,1.488617,0.917979,1.409753,2.369166,1.990896,-0.000000,0.327836
0.020000,1.533818,0.933469,1.457535,2.408984,1.990896,0.000000,0.332418
0.020000,1.579702,0.949421,1.506113,2.448802,1.990896,-0.000000,0.336689
0.020000,1.626271,0.965826,1.555487,2.488620,1.990896,0.000000,0.340631
0.020000,1.673528,0.982673,1.605657,2.528438,1.990896,-0.000000,0.344226
0.020000,1.721477,0.999952,1.656624,2.568256,1.990896,0.000000,0.347455
0.020000,1.770121,1.017649,1.708388,2.608073,1.990896,0.000000,0.350301
0.020000,1.819466,1.035749,1.760947,2.647891,1.990896,-0.000000,0.352744
0.020000,1.869518,1.054234,1.814303,2.687709,1.990896,0.000000,0.354765
0.020000,1.920282,1.073087,1.868456,2.727527,1.990896,-0.000000,0.356345
0.020000,1.971767,1.092287,1.923404,2.767345,1.990896,0.000000,0.357463
0.020000,2.023982,1.111811,1.979149,2.807163,1.990896,-0.000000,0.358098
0.020000,2.076934,1.131634,2.035691,2.846981,1.990896,0.000000,0.358231
0.020000,2.130635,1.151730,2.093029,2.886799,1.990896,-0.000000,0.357839
0.020000,2.185096,1.172068,2.151163,2.926617,1.990896,0.000000,0.356899
0.020000,2.240327,1.192617,2.210093,2.966435,1.990896,0.000000,0.355389
0.020000,2.296343,1.213344,2.269820,3.006253,1.990896,-0.000000,0.353285
0.020000,2.353155,1.234209,2.330344,3.046071,1.990896,0.000000,0.350562
0.020000,2.410780,1.255174,2.391663,3.085888,1.990896,0.000000,0.347195
0.020000,2.469231,1.276194,2.453779,3.125706,1.990896,0.000000,0.343158
0.020000,2.528524,1.297225,2.516691,3.165524,1.990896,-0.000000,0.338424
0.020000,2.588675,1.318215,2.580400,3.205342,1.990896,0.000000,0.332965
0.020000,2.649701,1.339113,2.644905,3.245160,1.990896,0.000000,0.326753
0.020000,2.711619,1.359860,2.710206,3.284978,1.990896,-0.000000,0.319760
0.020000,2.774445,1.380396,2.776304,3.324796,1.990896,0.000000,0.311956
0.020000,2.838198,1.400655,2.843198,3.364614,1.990896,-0.000000,0.303312
0.020000,2.902892,1.420570,2.910889,3.404432,1.990896,0.000000,0.293798
0.020000,2.968545,1.440066,2.979376,3.444250,1.990896,-0.000000,0.283384
0.020000,3.035172,1.459065,3.048659,3.484068,1.990896,0.000000,0.272044
0.020000,3.102787,1.477484,3.118738,3.523886,1.990896,0.000000,0.259748
0.020000,3.171403,1.495237,3.189614,3.563703,1.990896,-0.000000,0.246473
0.020000,3.241030,1.512232,3.261286,3.603521,1.990896,0.000000,0.232194
0.020000,3.311678,1.528373,3.333755,3.643339,1.990896,-0.000000,0.216891
0.020000,3.383156,1.543520,3.406821,3.663248,0.995448,-49.772394,0.200595
0.020000,3.454925,1.557478,3.479936,3.648274,-0.748704,-87.207582,0.183432
0.020000,3.526438,1.570089,3.552553,3.613391,-1.744152,-49.772394,0.165561
0.020000,3.597429,1.581283,3.624422,3.573573,-1.990896,-12.337207,0.147091
0.020000,3.667829,1.591035,3.695496,3.533755,-1.990896,0.000000,0.128088
0.020000,3.737613,1.599337,3.765773,3.493937,-1.990896,-0.000000,0.108613
0.020000,3.806754,1.606185,3.835253,3.454119,-1.990896,0.000000,0.088727
0.020000,3.875225,1.611582,3.903937,3.414302,-1.990896,-0.000000,0.068494
0.020000,3.942996,1.615536,3.971825,3.374484,-1.990896,0.000000,0.047977
0.020000,4.010039,1.618061,4.038917,3.334666,-1.990896,0.000000,0.027244
0.020000,4.076323,1.619177,4.105212,3.294848,-1.990896,-0.000000,0.006358
0.020000,4.141820,1.618908,4.170711,3.255030,-1.990896,0.000000,6.268571
0.020000,4.204796,1.617735,4.235413,3.215212,-1.990896,-0.000000,0.017849
0.020000,4.268245,1.624680,4.299319,3.175394,-1.990896,0.000000,0.190263
0.020000,4.329298,1.640508,4.362429,3.135576,-1.990896,-0.000000,0.310079
0.020000,4.387721,1.662128,4.424742,3.095758,-1.990896,0.000000,0.394147
0.020000,4.443736,1.687535,4.486259,3.055940,-1.990896,0.000000,0.454428
0.020000,4.497660,1.715439,4.546980,3.016122,-1.990896,-0.000000,0.498457
0.020000,4.549796,1.744978,4.606904,2.976304,-1.990896,0.000000,0.530928
0.020000,4.600403,1.775552,4.666032,2.936487,-1.990896,0.000000,0.554817
0.020000,4.649703,1.806730,4.724363,2.896669,-1.990896,0.000000,0.572054
0.020000,4.697880,1.838182,4.781899,2.856851,-1.990896,-0.000000,0.583908
0.020000,4.745092,1.869651,4.838638,2.817033,-1.990896,0.000000,0.591220
0.020000,4.791478,1.900923,4.894580,2.777215,-1.990896,-0.000000,0.594526
0.020000,4.837158,1.931816,4.949726,2.737397,-1.990896,0.000000,0.594144
0.020000,4.882245,1.962166,5.004076,2.697579,-1.990896,0.000000,0.590215
0.020000,4.926840,1.991818,5.057629,2.657761,-1.990896,-0.000000,0.582725
0.020000,4.971043,2.020617,5.110386,2.617943,-1.990896,0.000000,0.571513
0.020000,5.014948,2.048405,5.162347,2.578125,-1.990896,-0.000000,0.556256
0.020000,5.058652,2.075007,5.213511,2.538307,-1.990896,0.000000,0.536443
0.020000,5.102251,2.100225,5.263879,2.498489,-1.990896,-0.000000,0.511331
0.020000,5.145842,2.123826,5.313451,2.458672,-1.990896,0.000000,0.479865
0.020000,5.189523,2.145522,5.362226,2.418854,-1.990896,0.000000,0.440580
0.020000,5.233386,2.164953,5.410205,2.379036,-1.990896,-0.000000,0.391440
0.020000,5.277506,2.181652,5.457388,2.339218,-1.990896,0.000000,0.329656
0.020000,5.321914,2.195012,5.503774,2.299400,-1.990896,-0.000000,0.251500
0.020000,5.366540,2.204245,5.549364,2.259582,-1.990896,0.000000,0.152333
0.020000,5.411114,2.208373,5.594157,2.219764,-1.990896,-0.000000,0.027373
0.020000,5.455020,2.206323,5.638154,2.179946,-1.990896,0.000000,6.157404
0.020000,5.497194,2.197229,5.681355,2.140128,-1.990896,0.000000,5.980653
0.020000,5.536274,2.180928,5.723759,2.100310,-1.990896,-0.000000,5.794960
0.020000,5.571098,2.158255,5.765367,2.060492,-1.990896,0.000000,5.619756
0.020000,5.601178,2.130731,5.806179,2.020675,-1.990896,-0.000000,5.468618
0.020000,5.626707,2.099952,5.846194,1.980857,-1.990896,0.000000,5.345088
0.020000,5.648244,2.067195,5.885413,1.941039,-1.990896,-0.000000,5.246285
0.020000,5.666428,2.033358,5.923836,1.901221,-1.990896,0.000000,5.167354
0.020000,5.681842,1.999041,5.961462,1.861403,-1.990896,-0.000000,5.103729
0.020000,5.694973,1.964637,5.998292,1.821585,-1.990896,0.000000,5.051769
0.020000,5.706214,1.930405,6.034325,1.781767,-1.990896,0.000000,5.008739
0.020000,5.715879,1.896520,6.069563,1.741949,-1.990896,0.000000,4.972623
0.020000,5.724217,1.863107,6.104003,1.702131,-1.990896,-0.000000,4.941936
0.020000,5.731431,1.830246,6.137648,1.662313,-1.990896,0.000000,4.915572
0.020000,5.737684,1.797999,6.170496,1.622495,-1.990896,0.000000,4.892698
0.020000,5.743110,1.766411,6.202548,1.582677,-1.990896,0.000000,4.872679
0.020000,5.747822,1.735513,6.233803,1.542860,-1.990896,0.000000,4.855025
0.020000,5.751911,1.705330,6.264262,1.503042,-1.990896,-0.000000,4.839349
0.020000,5.755458,1.675881,6.293925,1.463224,-1.990896,0.000000,4.825347
0.020000,5.758529,1.647178,6.322791,1.423406,-1.990896,-0.000000,4.812773
0.020000,5.761182,1.619234,6.350861,1.383588,-1.990896,0.000000,4.801428
0.020000,5.763466,1.592056,6.378135,1.343770,-1.990896,0.000000,4.791149
0.020000,5.765424,1.565652,6.404612,1.303952,-1.990896,0.000000,4.781803
0.020000,5.767095,1.540024,6.430293,1.264134,-1.990896,0.000000,4.773276
0.020000,5.768512,1.515181,6.455177,1.224316,-1.990896,0.000000,4.765474
0.020000,5.769703,1.491122,6.479265,1.184498,-1.990896,0.000000,4.758318
0.020000,5.770695,1.467852,6.502557,1.144680,-1.990896,0.000000,4.751740
0.020000,5.771512,1.445371,6.525052,1.104862,-1.990896,-0.000000,4.745682
0.020000,5.772173,1.423683,6.546752,1.065045,-1.990896,0.000000,4.740093
0.020000,5.772698,1.402787,6.567654,1.025227,-1.990896,0.000000,4.734930
0.020000,5.773102,1.382684,6.587761,0.985409,-1.990896,-0.000000,4.730157
0.020000,5.773403,1.363377,6.607071,0.945591,-1.990896,0.000000,4.725739
0.020000,5.773612,1.344863,6.625584,0.905773,-1.990896,0.000000,4.721649
0.020000,5.773742,1.327148,6.643302,0.865955,-1.990896,-0.000000,4.717860
0.020000,5.773805,1.310227,6.660222,0.826137,-1.990896,0.000000,4.714352
0.020000,5.773810,1.294101,6.676347,0.786319,-1.990896,0.000000,4.711103
0.020000,5.773767,1.278774,6.691675,0.746501,-1.990896,-0.000000,4.708097
0.020000,5.773685,1.264243,6.706207,0.706683,-1.990896,0.000000,4.705319
0.020000,5.773570,1.250508,6.719943,0.666865,-1.990896,0.000000,4.702753
0.020000,5.773430,1.237569,6.732882,0.627047,-1.990896,0.000000,4.700389
0.020000,5.773271,1.225427,6.745024,0.587230,-1.990896,-0.000000,4.698215
0.020000,5.773099,1.214082,6.756371,0.547412,-1.990896,0.000000,4.696221
0.020000,5.772919,1.203534,6.766921,0.507594,-1.990896,0.000000,4.694400
0.020000,5.772735,1.193781,6.776675,0.467776,-1.990896,-0.000000,4.692742
0.020000,5.772552,1.184827,6.785632,0.427958,-1.990896,0.000000,4.691242
0.020000,5.772374,1.176666,6.793793,0.388140,-1.990896,0.000000,4.689892
0.020000,5.772204,1.169303,6.801158,0.348322,-1.990896,0.000000,4.688690
0.020000,5.772045,1.162738,6.807726,0.308504,-1.990896,0.000000,4.687628
0.020000,5.771899,1.156967,6.813498,0.268686,-1.990896,0.000000,4.686704
0.020000,5.771770,1.151994,6.818473,0.228868,-1.990896,-0.000000,4.685914
0.020000,5.771658,1.147817,6.822652,0.189050,-1.990896,0.000000,4.685255
0.020000,5.771565,1.144434,6.826035,0.149232,-1.990896,0.000000,4.684724
0.020000,5.771493,1.141850,6.828622,0.109415,-1.990896,0.000000,4.684320
0.020000,5.771442,1.140060,6.830412,0.069597,-1.990896,-0.000000,4.684041
0.020000,5.771414,1.139066,6.831406,0.029779,-1.990896,-0.000000,4.683887
0.020000,5.771404,1.138718,6.831753,0.004935,-1.242192,37.435188,4.683833
0.020000,5.771403,1.138669,6.831802,0.000000,-0.246744,49.772394,4.683825
0.020000,5.771403,1.138669,6.831802,0.000000,0.000000,12.337207,4.683825
