dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.124664,0.353151,0.000199,0.019909,0.995448,49.772394,0.025744
0.020000,0.124734,0.353153,0.000269,0.003517,-0.819603,-90.752537,0.025993
0.020000,0.124875,0.353157,0.000410,0.007031,0.175697,49.764984,0.026491
0.020000,0.125779,0.353181,0.001315,0.045237,1.910333,86.731806,0.027237
0.020000,0.129244,0.353277,0.004781,0.173310,6.403623,224.664520,0.028231
0.020000,0.133575,0.353402,0.009113,0.216623,2.165650,-211.898689,0.029472
0.020000,0.138771,0.353559,0.014312,0.259916,2.164629,-0.051029,0.030960
0.020000,0.144832,0.353752,0.020376,0.303205,2.164490,-0.006948,0.032693
0.020000,0.151757,0.353985,0.027305,0.346465,2.162987,-0.075136,0.034669
0.020000,0.159546,0.354264,0.035099,0.389710,2.162262,-0.036274,0.036889
0.020000,0.168198,0.354594,0.043758,0.432927,2.160846,-0.070787,0.039349
0.020000,0.177713,0.354982,0.053280,0.476122,2.159735,-0.055578,0.042048
0.020000,0.188089,0.355434,0.063666,0.519284,2.158128,-0.080345,0.044984
0.020000,0.199325,0.355957,0.074914,0.562405,2.156044,-0.104191,0.048154
0.020000,0.211420,0.356561,0.087024,0.605510,2.155242,-0.040103,0.051556
0.020000,0.224372,0.357253,0.099995,0.648553,2.152136,-0.155292,0.055187
0.020000,0.238181,0.358042,0.113827,0.691556,2.150172,-0.098208,0.059043
0.020000,0.252844,0.358939,0.128517,0.734510,2.147679,-0.124644,0.063121
0.020000,0.268359,0.359953,0.144065,0.777404,2.144685,-0.149679,0.067418
0.020000,0.284724,0.361095,0.160470,0.820254,2.142494,-0.109542,0.071928
0.020000,0.301937,0.362376,0.177730,0.863022,2.138416,-0.203912,0.076648
0.020000,0.319995,0.363808,0.195845,0.905727,2.135280,-0.156802,0.081572
0.020000,0.338895,0.365402,0.214812,0.948359,2.131585,-0.184750,0.086695
0.020000,0.358634,0.367170,0.234630,0.990907,2.127370,-0.210747,0.092012
0.020000,0.379209,0.369126,0.255298,1.033368,2.123050,-0.216025,0.097516
0.020000,0.400615,0.371282,0.276812,1.075737,2.118464,-0.229301,0.103200
0.020000,0.422849,0.373650,0.299172,1.118009,2.113628,-0.241792,0.109058
0.020000,0.445907,0.376245,0.322376,1.160172,2.108112,-0.275803,0.115082
0.020000,0.469784,0.379080,0.346420,1.202226,2.102723,-0.269421,0.121264
0.020000,0.494475,0.382169,0.371304,1.244160,2.096715,-0.300406,0.127597
0.020000,0.519974,0.385524,0.397023,1.285968,2.090369,-0.317330,0.134070
0.020000,0.546277,0.389161,0.423576,1.327644,2.083798,-0.328542,0.140674
0.020000,0.573377,0.393091,0.450960,1.369183,2.076957,-0.342065,0.147401
0.020000,0.601268,0.397330,0.479171,1.410576,2.069633,-0.366153,0.154239
0.020000,0.629944,0.401891,0.508207,1.451813,2.061888,-0.387276,0.161178
0.020000,0.659398,0.406786,0.538065,1.492898,2.054245,-0.382134,0.168206
0.020000,0.689623,0.412030,0.568742,1.533813,2.045725,-0.426033,0.175312
0.020000,0.720612,0.417634,0.600233,1.574557,2.037236,-0.424408,0.182483
0.020000,0.752356,0.423611,0.632535,1.615124,2.028345,-0.444576,0.189708
0.020000,0.784849,0.429973,0.665645,1.655507,2.019133,-0.460601,0.196973
0.020000,0.818083,0.436732,0.699559,1.695703,2.009789,-0.467172,0.204264
0.020000,0.852049,0.443898,0.734273,1.735701,1.999937,-0.492602,0.211568
0.020000,0.886740,0.451482,0.769783,1.775501,1.989988,-0.497485,0.218871
0.020000,0.922147,0.459494,0.806085,1.815097,1.979767,-0.511059,0.226158
0.020000,0.958262,0.467942,0.843175,1.854483,1.969316,-0.522512,0.233415
0.020000,0.995076,0.476836,0.881048,1.893656,1.958673,-0.532150,0.240626
0.020000,1.032581,0.486182,0.919700,1.932613,1.947827,-0.542303,0.247775
0.020000,1.070769,0.495987,0.959127,1.971349,1.936817,-0.550505,0.254849
0.020000,1.109632,0.506257,0.999325,2.009862,1.925639,-0.558885,0.261830
0.020000,1.149162,0.516997,1.040288,2.048149,1.914343,-0.564834,0.268702
0.020000,1.189351,0.528210,1.082012,2.086208,1.902933,-0.570512,0.275450
0.020000,1.230192,0.539900,1.124492,2.124034,1.891336,-0.579848,0.282057
0.020000,1.271677,0.552068,1.167725,2.161629,1.879718,-0.580880,0.288507
0.020000,1.313799,0.564714,1.211705,2.198989,1.867997,-0.586072,0.294783
0.020000,1.356552,0.577839,1.256427,2.236112,1.856191,-0.590264,0.300868
0.020000,1.399930,0.591439,1.301887,2.272996,1.844182,-0.600484,0.306745
0.020000,1.443927,0.605513,1.348080,2.309643,1.832371,-0.590504,0.312397
0.020000,1.488537,0.620056,1.395001,2.346046,1.820149,-0.611148,0.317808
0.020000,1.533757,0.635062,1.442645,2.382209,1.808109,-0.601965,0.322960
0.020000,1.579581,0.650524,1.491007,2.418126,1.795884,-0.611265,0.327836
0.020000,1.626006,0.666434,1.540083,2.453795,1.783457,-0.621324,0.332418
0.020000,1.673030,0.682782,1.589868,2.489218,1.771147,-0.615527,0.336689
0.020000,1.720649,0.699557,1.640355,2.524388,1.758470,-0.633854,0.340631
0.020000,1.768863,0.716746,1.691542,2.559304,1.745819,-0.632520,0.344226
0.020000,1.817670,0.734334,1.743421,2.593962,1.732910,-0.645489,0.347455
0.020000,1.867070,0.752305,1.795988,2.628359,1.719836,-0.653670,0.350301
0.020000,1.917063,0.770643,1.849238,2.662489,1.706479,-0.667873,0.352744
0.020000,1.967650,0.789326,1.903165,2.696348,1.692979,-0.675003,0.354765
0.020000,2.018832,0.808334,1.957763,2.729929,1.679062,-0.695819,0.356345
0.020000,2.070614,0.827644,2.013028,2.763228,1.664935,-0.706374,0.357463
0.020000,2.122996,0.847231,2.068953,2.796236,1.650396,-0.726935,0.358098
0.020000,2.175984,0.867068,2.125531,2.828946,1.635475,-0.746049,0.358231
0.020000,2.229581,0.887124,2.182758,2.861348,1.620133,-0.767103,0.357839
0.020000,2.283793,0.907370,2.240627,2.893435,1.604345,-0.789403,0.356899
0.020000,2.338624,0.927771,2.299131,2.925196,1.588046,-0.814946,0.355389
0.020000,2.394082,0.948290,2.358263,2.956621,1.571234,-0.840617,0.353285
0.020000,2.450173,0.968891,2.418017,2.987699,1.553934,-0.865003,0.350562
0.020000,2.506904,0.989530,2.478386,3.018419,1.536001,-0.896622,0.347195
0.020000,2.564281,1.010165,2.539361,3.048772,1.517608,-0.919661,0.343158
0.020000,2.622314,1.030749,2.600936,3.078743,1.498593,-0.950764,0.338424
0.020000,2.681009,1.051231,2.663103,3.108326,1.479109,-0.974195,0.332965
0.020000,2.740375,1.071560,2.725853,3.137508,1.459114,-0.999759,0.326753
0.020000,2.800420,1.091679,2.789179,3.166285,1.438863,-1.012517,0.319760
0.020000,2.861151,1.111531,2.853071,3.194646,1.418062,-1.040062,0.311956
0.020000,2.922575,1.131051,2.917523,3.222592,1.397294,-1.038397,0.303312
0.020000,2.984701,1.150175,2.982526,3.250122,1.376481,-1.040651,0.293798
0.020000,3.047534,1.168833,3.048071,3.277239,1.355847,-1.031729,0.283384
0.020000,3.111080,1.186954,3.114150,3.303953,1.335718,-1.006436,0.272044
0.020000,3.175344,1.204461,3.180755,3.330283,1.316491,-0.961358,0.259748
0.020000,3.240329,1.221275,3.247880,3.356251,1.298400,-0.904532,0.246473
0.020000,3.306037,1.237314,3.315518,3.381892,1.282023,-0.818838,0.232194
0.020000,3.372470,1.252492,3.383663,3.407249,1.267868,-0.707748,0.216891
0.020000,3.439445,1.266684,3.452124,3.423069,0.790985,-23.844169,0.200595
0.020000,3.506455,1.279717,3.520390,3.413298,-0.488533,-63.975888,0.183432
0.020000,3.572995,1.291452,3.587958,3.378361,-1.746852,-62.915953,0.165561
0.020000,3.638833,1.301834,3.654608,3.332536,-2.291270,-27.220890,0.147091
0.020000,3.703915,1.310850,3.720312,3.285206,-2.366495,-3.761277,0.128088
0.020000,3.768236,1.318502,3.785087,3.238713,-2.324652,2.092174,0.108613
0.020000,3.831786,1.324796,3.848948,3.193082,-2.281534,2.155903,0.088727
0.020000,3.894559,1.329744,3.911915,3.148356,-2.236298,2.261774,0.068494
0.020000,3.956544,1.333361,3.974006,3.104543,-2.190641,2.282858,0.047977
0.020000,4.017734,1.335666,4.035239,3.061658,-2.144267,2.318711,0.027244
0.020000,4.078119,1.336682,4.095633,3.019691,-2.098343,2.296201,0.006358
0.020000,4.137692,1.336438,4.155206,2.978647,-2.052199,2.307206,6.268571
0.020000,4.209838,1.335280,4.227362,3.607799,31.457584,1675.489123,0.017849
0.020000,4.321670,1.347278,4.339836,5.623682,100.794190,3466.830313,0.190263
0.020000,4.415498,1.371481,4.436735,4.844958,-38.936221,-6986.520578,0.310079
0.020000,4.496207,1.401288,4.522772,4.301863,-27.154747,589.073715,0.394147
0.020000,4.567739,1.433706,4.601307,3.926724,-18.756945,419.890093,0.454428
0.020000,4.632715,1.467313,4.674460,3.657676,-13.452408,265.226862,0.498457
0.020000,4.692835,1.501367,4.743555,3.454718,-10.147906,165.225118,0.530928
0.020000,4.749221,1.535428,4.809430,3.293746,-8.048617,104.964416,0.554817
0.020000,4.802637,1.569206,4.872630,3.160009,-6.686842,68.088782,0.572054
0.020000,4.853619,1.602488,4.933513,3.044187,-5.791105,44.786840,0.583908
0.020000,4.902550,1.635102,4.992318,2.940216,-5.198517,29.629403,0.591220
0.020000,4.949711,1.666896,5.049194,2.843826,-4.819531,18.949318,0.594526
0.020000,4.995302,1.697729,5.104233,2.751915,-4.595525,11.200262,0.594144
0.020000,5.039467,1.727459,5.157472,2.661992,-4.496138,4.969370,0.590215
0.020000,5.082300,1.755940,5.208910,2.571876,-4.505840,-0.485106,0.582725
0.020000,5.123849,1.783011,5.258500,2.479482,-4.619705,-5.693225,0.571513
0.020000,5.164111,1.808495,5.306150,2.382501,-4.849039,-11.466736,0.556256
0.020000,5.203033,1.832189,5.351716,2.278331,-5.208495,-17.972802,0.536443
0.020000,5.240489,1.853859,5.394989,2.163632,-5.734916,-26.321027,0.511331
0.020000,5.276261,1.873232,5.435670,2.034051,-6.479091,-37.208741,0.479865
0.020000,5.309999,1.889999,5.473345,1.883734,-7.515850,-51.837955,0.440580
0.020000,5.341165,1.903821,5.507438,1.704677,-8.952828,-71.848907,0.391440
0.020000,5.368956,1.914363,5.537162,1.486190,-10.924340,-98.575613,0.329656
0.020000,5.392217,1.921399,5.561463,1.215057,-13.556688,-131.617372,0.251500
