dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.076873,7.889644,0.000198,0.019830,0.991486,49.574290,6.256999
0.020000,0.076920,7.889642,0.000245,0.002319,-0.875521,-93.350341,6.256835
0.020000,0.077012,7.889640,0.000337,0.004636,0.115841,49.568084,6.256506
0.020000,0.077879,7.889616,0.001204,0.043354,1.935898,91.002880,6.256014
0.020000,0.081236,7.889524,0.004562,0.167890,6.226783,214.544215,6.255359
0.020000,0.085431,7.889406,0.008759,0.209846,2.097828,-206.447747,6.254542
0.020000,0.090465,7.889259,0.013795,0.251788,2.097069,-0.037952,6.253562
0.020000,0.096336,7.889082,0.019669,0.293720,2.096638,-0.021530,6.252422
0.020000,0.103046,7.888871,0.026382,0.335630,2.095473,-0.058267,6.251123
0.020000,0.110592,7.888623,0.033932,0.377525,2.094747,-0.036257,6.249665
0.020000,0.118975,7.888335,0.042320,0.419395,2.093518,-0.061456,6.248051
0.020000,0.128194,7.888003,0.051545,0.461243,2.092389,-0.056468,6.246282
0.020000,0.138248,7.887622,0.061606,0.503063,2.091005,-0.069190,6.244360
0.020000,0.149136,7.887188,0.072504,0.544853,2.089514,-0.074572,6.242287
0.020000,0.160858,7.886695,0.084236,0.586614,2.088039,-0.073721,6.240065
0.020000,0.173413,7.886139,0.096803,0.628338,2.086184,-0.092756,6.237697
0.020000,0.186799,7.885512,0.110203,0.670023,2.084269,-0.095768,6.235186
0.020000,0.201015,7.884811,0.124436,0.711668,2.082231,-0.101868,6.232534
0.020000,0.216060,7.884027,0.139502,0.753270,2.080102,-0.106450,6.229745
0.020000,0.231932,7.883155,0.155398,0.794826,2.077788,-0.115704,6.226821
0.020000,0.248631,7.882187,0.172125,0.836331,2.075262,-0.126312,6.223767
0.020000,0.266154,7.881116,0.189681,0.877783,2.072593,-0.133444,6.220585
0.020000,0.284499,7.879936,0.208064,0.919179,2.069817,-0.138825,6.217281
0.020000,0.303666,7.878638,0.227274,0.960515,2.066795,-0.151097,6.213858
0.020000,0.323651,7.877215,0.247310,1.001792,2.063869,-0.146288,6.210321
0.020000,0.344453,7.875658,0.268170,1.042999,2.060338,-0.176561,6.206674
0.020000,0.366069,7.873960,0.289853,1.084139,2.057002,-0.166797,6.202922
0.020000,0.388497,7.872112,0.312357,1.125207,2.053407,-0.179724,6.199070
0.020000,0.411735,7.870107,0.335681,1.166199,2.049575,-0.191605,6.195124
0.020000,0.435779,7.867935,0.359823,1.207109,2.045526,-0.202476,6.191090
0.020000,0.460627,7.865588,0.384782,1.247940,2.041550,-0.198779,6.186973
0.020000,0.486276,7.863059,0.410556,1.288683,2.037115,-0.221754,6.182778
0.020000,0.512724,7.860337,0.437143,1.329336,2.032679,-0.221801,6.178514
