dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.069477,7.607240,0.000198,0.019830,0.991486,49.574290,6.256999
0.020000,0.069477,7.607240,0.000991,0.059489,1.982972,49.574290,6.256835
0.020000,0.069477,7.607240,0.002578,0.099149,1.982972,-0.000000,6.256506
0.020000,0.070204,7.607221,0.004957,0.138808,1.982972,0.000000,6.256014
0.020000,0.073376,7.607133,0.008130,0.178467,1.982972,-0.000000,6.255359
0.020000,0.077340,7.607021,0.012096,0.218127,1.982972,0.000000,6.254542
0.020000,0.082097,7.606883,0.016855,0.257786,1.982972,-0.000000,6.253562
0.020000,0.087647,7.606715,0.022408,0.297446,1.982972,0.000000,6.252422
0.020000,0.093990,7.606516,0.028753,0.337105,1.982972,0.000000,6.251123
0.020000,0.101124,7.606282,0.035892,0.376765,1.982972,0.000000,6.249665
0.020000,0.109052,7.606010,0.043824,0.416424,1.982972,0.000000,6.248051
0.020000,0.117771,7.605695,0.052549,0.456083,1.982972,0.000000,6.246282
0.020000,0.127282,7.605335,0.062067,0.495743,1.982972,-0.000000,6.244360
0.020000,0.137586,7.604924,0.072378,0.535402,1.982972,0.000000,6.242287
0.020000,0.148681,7.604458,0.083483,0.575062,1.982972,-0.000000,6.240065
0.020000,0.160567,7.603931,0.095381,0.614721,1.982972,-0.000000,6.237697
0.020000,0.173244,7.603338,0.108072,0.654381,1.982972,0.000000,6.235186
0.020000,0.186712,7.602673,0.121556,0.694040,1.982972,0.000000,6.232534
0.020000,0.200970,7.601930,0.135834,0.733699,1.982972,-0.000000,6.229745
0.020000,0.216018,7.601103,0.150904,0.773359,1.982972,0.000000,6.226821
0.020000,0.231855,7.600185,0.166768,0.813018,1.982972,0.000000,6.223767
0.020000,0.248481,7.599170,0.183425,0.852678,1.982972,0.000000,6.220585
0.020000,0.265895,7.598049,0.200875,0.892337,1.982972,0.000000,6.217281
0.020000,0.284096,7.596816,0.219118,0.931997,1.982972,0.000000,6.213858
0.020000,0.303085,7.595464,0.238155,0.971656,1.982972,-0.000000,6.210321
0.020000,0.322859,7.593984,0.257985,1.011316,1.982972,0.000000,6.206674
0.020000,0.343419,7.592369,0.278608,1.050975,1.982972,-0.000000,6.202922
0.020000,0.364763,7.590611,0.300024,1.090634,1.982972,0.000000,6.199070
0.020000,0.386890,7.588701,0.322233,1.130294,1.982972,0.000000,6.195124
0.020000,0.409799,7.586632,0.345235,1.169953,1.982972,0.000000,6.191090
0.020000,0.433489,7.584395,0.369031,1.209613,1.982972,0.000000,6.186973
0.020000,0.457959,7.581981,0.393620,1.249272,1.982972,0.000000,6.182778
0.020000,0.483208,7.579383,0.419002,1.288932,1.982972,-0.000000,6.178514
0.020000,0.509234,7.576592,0.445177,1.328591,1.982972,-0.000000,6.174186
0.020000,0.536036,7.573599,0.472146,1.368250,1.982972,0.000000,6.169800
0.020000,0.563612,7.570397,0.499907,1.407910,1.982972,0.000000,6.165365
0.020000,0.591961,7.566977,0.528462,1.447569,1.982972,0.000000,6.160888
0.020000,0.621082,7.563330,0.557810,1.487229,1.982972,0.000000,6.156375
0.020000,0.650972,7.559450,0.587951,1.526888,1.982972,0.000000,6.151834
0.020000,0.681631,7.555329,0.618885,1.566548,1.982972,-0.000000,6.147275
0.020000,0.713056,7.550958,0.650613,1.606207,1.982972,0.000000,6.142704
0.020000,0.745245,7.546330,0.683134,1.645866,1.982972,0.000000,6.138131
0.020000,0.778198,7.541439,0.716448,1.685526,1.982972,0.000000,6.133563
0.020000,0.811913,7.536278,0.750555,1.725185,1.982972,0.000000,6.129010
0.020000,0.846387,7.530840,0.785455,1.764845,1.982972,0.000000,6.124481
0.020000,0.881619,7.525119,0.821149,1.804504,1.982972,0.000000,6.119985
0.020000,0.917607,7.519111,0.857635,1.844164,1.982972,0.000000,6.115531
0.020000,0.954350,7.512808,0.894915,1.883823,1.982972,-0.000000,6.111129
0.020000,0.991847,7.506208,0.932988,1.923482,1.982972,0.000000,6.106788
0.020000,1.030095,7.499305,0.971854,1.963142,1.982972,-0.000000,6.102520
0.020000,1.069094,7.492097,1.011514,2.002801,1.982972,0.000000,6.098333
0.020000,1.108842,7.484580,1.051966,2.042461,1.982972,-0.000000,6.094238
0.020000,1.149338,7.476751,1.093212,2.082120,1.982972,0.000000,6.090245
0.020000,1.190581,7.468610,1.135251,2.121780,1.982972,0.000000,6.086365
0.020000,1.232570,7.460154,1.178083,2.161439,1.982972,0.000000,6.082609
0.020000,1.275305,7.451385,1.221709,2.201098,1.982972,0.000000,6.078988
0.020000,1.318785,7.442301,1.266127,2.240758,1.982972,-0.000000,6.075512
0.020000,1.363010,7.432905,1.311339,2.280417,1.982972,0.000000,6.072192
0.020000,1.407979,7.423198,1.357344,2.320077,1.982972,-0.000000,6.069041
0.020000,1.453693,7.413184,1.404142,2.359736,1.982972,0.000000,6.066069
0.020000,1.500153,7.402867,1.451734,2.399396,1.982972,0.000000,6.063289
0.020000,1.547358,7.392251,1.500118,2.439055,1.982972,0.000000,6.060711
0.020000,1.595311,7.381342,1.549296,2.478715,1.982972,0.000000,6.058348
0.020000,1.644012,7.370148,1.599267,2.518374,1.982972,-0.000000,6.056212
0.020000,1.693463,7.358677,1.650031,2.558033,1.982972,0.000000,6.054316
0.020000,1.743665,7.346937,1.701588,2.597693,1.982972,-0.000000,6.052672
0.020000,1.794623,7.334940,1.753938,2.637352,1.982972,0.000000,6.051292
0.020000,1.846337,7.322697,1.807082,2.677012,1.982972,0.000000,6.050190
0.020000,1.898811,7.310221,1.861019,2.716671,1.982972,0.000000,6.049379
0.020000,1.952048,7.297526,1.915749,2.756331,1.982972,0.000000,6.048873
0.020000,2.006053,7.284628,1.971272,2.795990,1.982972,-0.000000,6.048684
0.020000,2.060828,7.271545,2.027588,2.835649,1.982972,0.000000,6.048828
0.020000,2.116379,7.258295,2.084698,2.875309,1.982972,-0.000000,6.049318
0.020000,2.172711,7.244899,2.142601,2.914968,1.982972,0.000000,6.050169
0.020000,2.229829,7.231379,2.201297,2.954628,1.982972,-0.000000,6.051395
0.020000,2.287738,7.217758,2.260786,2.994287,1.982972,0.000000,6.053013
0.020000,2.346444,7.204062,2.321068,3.033947,1.982972,0.000000,6.055038
0.020000,2.405953,7.190319,2.382144,3.073606,1.982972,-0.000000,6.057485
0.020000,2.466272,7.176559,2.444013,3.113265,1.982972,0.000000,6.060370
0.020000,2.527407,7.162812,2.506674,3.152925,1.982972,-0.000000,6.063711
0.020000,2.589366,7.149112,2.570130,3.192584,1.982972,0.000000,6.067524
0.020000,2.652155,7.135496,2.634378,3.232244,1.982972,-0.000000,6.071826
0.020000,2.715781,7.122002,2.699419,3.271903,1.982972,-0.000000,6.076634
0.020000,2.780251,7.108670,2.765254,3.311563,1.982972,0.000000,6.081966
0.020000,2.845573,7.095542,2.831882,3.351222,1.982972,-0.000000,6.087840
0.020000,2.911753,7.082666,2.899303,3.390881,1.982972,0.000000,6.094274
0.020000,2.978797,7.070088,2.967517,3.430541,1.982972,-0.000000,6.101285
0.020000,3.046713,7.057860,3.036524,3.470200,1.982972,0.000000,6.108890
0.020000,3.115504,7.046035,3.106325,3.509860,1.982972,-0.000000,6.117108
0.020000,3.185177,7.034670,3.176919,3.549519,1.982972,-0.000000,6.125955
0.020000,3.255735,7.023823,3.248306,3.589179,1.982972,0.000000,6.135448
0.020000,3.327181,7.013558,3.320486,3.628838,1.982972,-0.000000,6.145601
0.020000,3.399297,7.003966,3.393238,3.646355,0.875840,-55.356584,6.156397
0.020000,3.471469,6.995178,3.465944,3.624212,-1.107132,-99.148581,6.167744
0.020000,3.543124,6.987294,3.538031,3.584553,-1.982972,-43.791997,6.179538
0.020000,3.614079,6.980347,3.609326,3.544893,-1.982972,0.000000,6.191728
0.020000,3.684324,6.974346,3.679827,3.505234,-1.982972,-0.000000,6.204287
0.020000,3.753848,6.969298,3.749535,3.465574,-1.982972,0.000000,6.217188
0.020000,3.822641,6.965205,3.818450,3.425915,-1.982972,-0.000000,6.230404
