dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.062080,7.324837,0.000198,0.019830,0.991486,49.574290,6.256999
0.020000,0.062033,7.324838,0.000245,0.002319,-0.875521,-93.350341,6.256835
0.020000,0.061941,7.324841,0.000337,0.004636,0.115841,49.568084,6.256506
0.020000,0.062530,7.324825,0.000927,0.029458,1.241091,56.262515,6.256014
0.020000,0.065516,7.324743,0.003914,0.149384,5.996304,237.760674,6.255359
0.020000,0.069250,7.324637,0.007649,0.186749,1.868255,-206.402456,6.254542
0.020000,0.073730,7.324507,0.012132,0.224123,1.868693,0.021897,6.253562
0.020000,0.078958,7.324349,0.017362,0.261516,1.869652,0.047931,6.252422
0.020000,0.084934,7.324161,0.023340,0.298920,1.870188,0.026790,6.251123
0.020000,0.091657,7.323941,0.030067,0.336347,1.871350,0.058124,6.249665
0.020000,0.099128,7.323684,0.037543,0.373793,1.872302,0.047608,6.248051
0.020000,0.107348,7.323388,0.045768,0.411265,1.873586,0.064190,6.246282
0.020000,0.116317,7.323048,0.054744,0.448762,1.874891,0.065218,6.244360
0.020000,0.126035,7.322660,0.064470,0.486289,1.876351,0.073024,6.242287
0.020000,0.136503,7.322220,0.074947,0.523851,1.878084,0.086653,6.240065
0.020000,0.147721,7.321723,0.086175,0.561446,1.879740,0.082790,6.237697
0.020000,0.159689,7.321163,0.098157,0.599078,1.881610,0.093492,6.235186
0.020000,0.172409,7.320535,0.110892,0.636751,1.883644,0.101715,6.232534
0.020000,0.185880,7.319833,0.124381,0.674468,1.885876,0.111575,6.229745
0.020000,0.200103,7.319052,0.138626,0.712233,1.888226,0.117530,6.226821
0.020000,0.215079,7.318184,0.153627,0.750047,1.890677,0.122531,6.223767
0.020000,0.230808,7.317223,0.169385,0.787912,1.893295,0.130903,6.220585
0.020000,0.247290,7.316162,0.185902,0.825835,1.896117,0.141098,6.217281
0.020000,0.264527,7.314995,0.203178,0.863815,1.899023,0.145338,6.213858
0.020000,0.282519,7.313714,0.221215,0.901862,1.902327,0.165161,6.210321
0.020000,0.301266,7.312311,0.240015,0.939970,1.905399,0.153607,6.206674
0.020000,0.320769,7.310779,0.259578,0.978149,1.908964,0.178259,6.202922
0.020000,0.341028,7.309110,0.279906,1.016401,1.912617,0.182640,6.199070
0.020000,0.362045,7.307296,0.301000,1.054729,1.916378,0.188060,6.195124
0.020000,0.383819,7.305329,0.322863,1.093134,1.920267,0.194459,6.191090
0.020000,0.406351,7.303201,0.345496,1.131625,1.924549,0.214112,6.186973
0.020000,0.429642,7.300904,0.368900,1.170200,1.928742,0.209619,6.182778
0.020000,0.453692,7.298429,0.393077,1.208865,1.933259,0.225875,6.178514
0.020000,0.478502,7.295768,0.418029,1.247623,1.937901,0.232067,6.174186
0.020000,0.504073,7.292913,0.443759,1.286478,1.942720,0.240967,6.169800
0.020000,0.530405,7.289855,0.470268,1.325432,1.947738,0.250911,6.165365
0.020000,0.557498,7.286587,0.497557,1.364490,1.952860,0.256082,6.160888
0.020000,0.585354,7.283099,0.525630,1.403653,1.958175,0.265749,6.156375
0.020000,0.613972,7.279384,0.554489,1.442926,1.963656,0.274042,6.151834
0.020000,0.643354,7.275434,0.584135,1.482312,1.969292,0.281823,6.147275
0.020000,0.673500,7.271241,0.614572,1.521814,1.975101,0.290425,6.142704
0.020000,0.704411,7.266797,0.645800,1.561434,1.981020,0.295973,6.138131
0.020000,0.736087,7.262095,0.677824,1.601177,1.987117,0.304864,6.133563
0.020000,0.768530,7.257129,0.710645,1.641044,1.993353,0.311764,6.129010
0.020000,0.801740,7.251890,0.744265,1.681038,1.999727,0.318696,6.124481
0.020000,0.835719,7.246373,0.778689,1.721163,2.006234,0.325383,6.119985
0.020000,0.870466,7.240572,0.813917,1.761421,2.012884,0.332486,6.115531
0.020000,0.905984,7.234479,0.849953,1.801814,2.019636,0.337622,6.111129
0.020000,0.942273,7.228092,0.886800,1.842344,2.026544,0.345355,6.106788
0.020000,0.979334,7.221403,0.924461,1.883015,2.033538,0.349734,6.102520
0.020000,1.017170,7.214410,0.962937,1.923829,2.040683,0.357238,6.098333
0.020000,1.055781,7.207108,1.002233,1.964787,2.047923,0.362009,6.094238
0.020000,1.095170,7.199493,1.042351,2.005893,2.055281,0.367890,6.090245
0.020000,1.135338,7.191564,1.083294,2.047147,2.062728,0.372352,6.086365
0.020000,1.176287,7.183318,1.125065,2.088553,2.070297,0.378460,6.082609
0.020000,1.218019,7.174754,1.167667,2.130113,2.077991,0.384716,6.078988
