dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.674541,4.391920,0.000198,0.019850,0.992489,49.624456,0.000354
0.020000,1.674553,4.391920,0.000211,0.000613,-0.961829,-97.715908,0.000311
0.020000,1.674577,4.391920,0.000235,0.001228,0.030721,49.627504,0.000224
0.020000,1.674614,4.391920,0.000272,0.001844,0.030843,0.006099,0.000093
0.020000,1.676143,4.391920,0.001801,0.076431,3.729330,184.924366,6.283104
0.020000,1.680175,4.391919,0.005833,0.201588,6.257823,126.424651,6.282885
0.020000,1.685013,4.391917,0.010671,0.241926,2.016900,-212.046166,6.282622
0.020000,1.690658,4.391913,0.016316,0.282260,2.016700,-0.010009,6.282313
0.020000,1.697111,4.391906,0.022768,0.322608,2.017442,0.037098,6.281958
0.020000,1.704370,4.391896,0.030028,0.362969,2.018044,0.030085,6.281556
0.020000,1.712437,4.391881,0.038095,0.403339,2.018501,0.022856,6.281107
0.020000,1.721311,4.391860,0.046969,0.443715,2.018808,0.015386,6.280610
0.020000,1.730994,4.391833,0.056652,0.484129,2.020672,0.093196,6.280063
0.020000,1.741484,4.391797,0.067142,0.524530,2.020051,-0.031071,6.279465
0.020000,1.752783,4.391751,0.078442,0.564976,2.022313,0.113093,6.278815
0.020000,1.764892,4.391694,0.090550,0.605419,2.022127,-0.009286,6.278113
0.020000,1.777809,4.391624,0.103468,0.645889,2.023522,0.069732,6.277355
0.020000,1.791537,4.391538,0.117195,0.686385,2.024778,0.062800,6.276542
0.020000,1.806074,4.391435,0.131734,0.726902,2.025886,0.055438,6.275670
0.020000,1.821423,4.391313,0.147082,0.767439,2.026839,0.047621,6.274739
0.020000,1.837582,4.391168,0.163242,0.808008,2.028460,0.081074,6.273747
0.020000,1.854554,4.390999,0.180215,0.848613,2.030246,0.089264,6.272691
0.020000,1.872337,4.390802,0.197999,0.889236,2.031152,0.045301,6.271569
0.020000,1.890934,4.390575,0.216597,0.929889,2.032613,0.073072,6.270379
0.020000,1.910344,4.390315,0.236009,0.970586,2.034875,0.113101,6.269119
0.020000,1.930568,4.390017,0.256235,1.011319,2.036648,0.088626,6.267786
0.020000,1.951607,4.389678,0.277277,1.052095,2.038785,0.106875,6.266377
0.020000,1.973462,4.389294,0.299135,1.092904,2.040437,0.082608,6.264890
0.020000,1.996132,4.388862,0.321810,1.133743,2.041979,0.077078,6.263321
0.020000,2.019620,4.388376,0.345303,1.174646,2.045131,0.157592,6.261667
0.020000,2.043926,4.387831,0.369615,1.215577,2.046550,0.070963,6.259926
0.020000,2.069050,4.387224,0.394746,1.256588,2.050561,0.200561,6.258093
0.020000,2.094994,4.386548,0.420699,1.297626,2.051904,0.067119,6.256164
0.020000,2.121758,4.385797,0.447473,1.338724,2.054908,0.150234,6.254137
0.020000,2.149343,4.384967,0.475071,1.379879,2.057764,0.142792,6.252006
0.020000,2.177750,4.384049,0.503493,1.421094,2.060724,0.148020,6.249768
0.020000,2.206981,4.383037,0.532741,1.462401,2.065334,0.230467,6.247417
0.020000,2.237034,4.381925,0.562815,1.503724,2.066185,0.042538,6.244949
0.020000,2.267914,4.380704,0.593719,1.545177,2.072658,0.323680,6.242360
0.020000,2.299619,4.379366,0.625452,1.586664,2.074335,0.083862,6.239642
0.020000,2.332151,4.377902,0.658017,1.628241,2.078824,0.224435,6.236792
0.020000,2.365511,4.376303,0.691415,1.669904,2.083190,0.218311,6.233803
0.020000,2.399699,4.374560,0.725648,1.711653,2.087414,0.211182,6.230669
0.020000,2.434717,4.372662,0.760718,1.753482,2.091475,0.203061,6.227383
0.020000,2.470567,4.370598,0.796627,1.795456,2.098707,0.361605,6.223938
0.020000,2.507248,4.368356,0.833376,1.837471,2.100749,0.102111,6.220327
0.020000,2.544762,4.365924,0.870969,1.879644,2.108620,0.393518,6.216542
0.020000,2.583110,4.363288,0.909407,1.921913,2.113442,0.241122,6.212575
0.020000,2.622292,4.360435,0.948693,1.964298,2.119289,0.292334,6.208418
0.020000,2.662310,4.357350,0.988830,2.006810,2.125597,0.315407,6.204061
0.020000,2.703164,4.354018,1.029819,2.049486,2.133764,0.408365,6.199495
0.020000,2.744854,4.350420,1.071665,2.092277,2.139552,0.289377,6.194709
0.020000,2.787382,4.346541,1.114369,2.135230,2.147665,0.405657,6.189693
0.020000,2.830748,4.342360,1.157936,2.178331,2.155042,0.368828,6.184435
0.020000,2.874952,4.337858,1.202368,2.221619,2.164405,0.468179,6.178923
0.020000,2.919994,4.333014,1.247670,2.265094,2.173751,0.467291,6.173145
0.020000,2.965874,4.327805,1.293845,2.308755,2.183058,0.465327,6.167087
0.020000,3.012592,4.322206,1.340897,2.352601,2.192306,0.462441,6.160734
0.020000,3.060147,4.316194,1.388831,2.396672,2.203536,0.561471,6.154072
0.020000,3.108538,4.309740,1.437650,2.440962,2.214510,0.548708,6.147084
0.020000,3.157763,4.302816,1.487361,2.485522,2.228006,0.674821,6.139754
0.020000,3.207822,4.295390,1.537967,2.530307,2.239240,0.561686,6.132062
0.020000,3.258711,4.287432,1.589474,2.575366,2.252972,0.686596,6.123991
0.020000,3.310427,4.278905,1.641889,2.620743,2.268826,0.792705,6.115519
0.020000,3.362967,4.269773,1.695216,2.666362,2.280941,0.605742,6.106626
0.020000,3.416326,4.259997,1.749464,2.712369,2.300368,0.971338,6.097289
0.020000,3.470498,4.249535,1.804637,2.758668,2.314934,0.728295,6.087483
0.020000,3.525477,4.238343,1.860744,2.805333,2.333243,0.915480,6.077184
0.020000,3.581255,4.226374,1.917791,2.852366,2.351652,0.920413,6.066365
0.020000,3.637822,4.213577,1.975788,2.899832,2.373330,1.083943,6.054997
0.020000,3.695167,4.199901,2.034741,2.947654,2.391059,0.886410,6.043052
0.020000,3.753277,4.185287,2.094660,2.995974,2.416022,1.248177,6.030499
0.020000,3.812136,4.169677,2.155554,3.044702,2.436418,1.019785,6.017306
0.020000,3.871727,4.153006,2.217432,3.093912,2.460478,1.203009,6.003439
0.020000,3.932028,4.135209,2.280305,3.143629,2.485851,1.268629,5.988863
0.020000,3.993014,4.116214,2.344181,3.193801,2.508607,1.137844,5.973545
0.020000,4.054658,4.095947,2.409071,3.244515,2.535708,1.355039,5.957446
0.020000,4.116927,4.074329,2.474986,3.295743,2.561373,1.283244,5.940532
0.020000,4.179784,4.051279,2.541936,3.347499,2.587815,1.322083,5.922764
0.020000,4.243185,4.026710,2.609931,3.399737,2.611903,1.204431,5.904108
0.020000,4.307081,4.000534,2.678980,3.452479,2.637076,1.258632,5.884528
0.020000,4.371415,3.972658,2.749094,3.505684,2.660260,1.159220,5.863991
0.020000,4.436124,3.942989,2.820281,3.559327,2.682180,1.095976,5.842467
0.020000,4.501135,3.911430,2.892547,3.613338,2.700530,0.917498,5.819929
0.020000,4.566368,3.877884,2.965900,3.667645,2.715365,0.741762,5.796355
0.020000,4.631731,3.842254,3.040344,3.722185,2.726990,0.581231,5.771731
0.020000,4.697124,3.804444,3.115880,3.776819,2.731700,0.235509,5.746049
0.020000,4.762247,3.764479,3.192288,3.820400,2.179029,-27.633552,5.719388
0.020000,4.826439,3.722658,3.268903,3.830706,0.515339,-83.184483,5.692007
0.020000,4.889067,3.679347,3.345048,3.807262,-1.172231,-84.378524,5.664196
0.020000,4.949885,3.634725,3.420479,3.771559,-1.785120,-30.644455,5.636111
0.020000,5.008836,3.588861,3.495170,3.734560,-1.849991,-3.243532,5.607835
0.020000,5.065875,3.541831,3.569098,3.696371,-1.909433,-2.972106,5.579452
0.020000,5.120962,3.493720,3.642237,3.656961,-1.970490,-3.052850,5.551049
0.020000,5.174066,3.444616,3.714564,3.616343,-2.030916,-3.021295,5.522711
0.020000,5.225162,3.394615,3.786054,3.574523,-2.091007,-3.004538,5.494523
0.020000,5.274238,3.343818,3.856685,3.531540,-2.149126,-2.905972,5.466567
0.020000,5.321287,3.292327,3.926434,3.487465,-2.203754,-2.731369,5.438922
0.020000,5.366315,3.240246,3.995281,3.442364,-2.255038,-2.564243,5.411660
0.020000,5.409336,3.187680,4.063208,3.396333,-2.301565,-2.326344,5.384847
0.020000,5.450370,3.134730,4.130197,3.349438,-2.344771,-2.160285,5.358543
0.020000,5.489449,3.081498,4.196233,3.301814,-2.381182,-1.820572,5.332800
0.020000,5.526610,3.028081,4.261304,3.253562,-2.412620,-1.571904,5.307662
0.020000,5.561897,2.974573,4.325401,3.204818,-2.437186,-1.228295,5.283166
0.020000,5.595359,2.921061,4.388514,3.155638,-2.458985,-1.089928,5.259343
0.020000,5.627051,2.867631,4.450636,3.106118,-2.476003,-0.850887,5.236213
0.020000,5.657030,2.814359,4.511764,3.056394,-2.486181,-0.508914,5.213793
0.020000,5.685358,2.761318,4.571895,3.006579,-2.490771,-0.229514,5.192093
0.020000,5.712095,2.708575,4.631028,2.956638,-2.497026,-0.312744,5.171115
0.020000,5.737307,2.656192,4.689163,2.906739,-2.494976,0.102495,5.150861
0.020000,5.761057,2.604224,4.746301,2.856892,-2.492349,0.131368,5.131325
0.020000,5.783410,2.552722,4.802444,2.807167,-2.486227,0.306082,5.112498
0.020000,5.804430,2.501732,4.857597,2.757642,-2.476293,0.496704,5.094368
0.020000,5.824180,2.451295,4.911763,2.708296,-2.467299,0.449716,5.076922
0.020000,5.842721,2.401449,4.964946,2.659148,-2.457383,0.495767,5.060144
0.020000,5.860115,2.352226,5.017151,2.610279,-2.443464,0.695950,5.044015
0.020000,5.876418,2.303656,5.068385,2.561689,-2.429471,0.699672,5.028518
0.020000,5.891688,2.255764,5.118652,2.513340,-2.417446,0.601274,5.013633
0.020000,5.905980,2.208576,5.167957,2.465261,-2.403990,0.672764,4.999339
0.020000,5.919345,2.162109,5.216308,2.417526,-2.386714,0.863806,4.985617
0.020000,5.931833,2.116384,5.263707,2.369990,-2.376796,0.495909,4.972446
0.020000,5.943494,2.071415,5.310164,2.322818,-2.358604,0.909590,4.959806
0.020000,5.954372,2.027216,5.355682,2.275894,-2.346221,0.619170,4.947678
0.020000,5.964513,1.983799,5.400267,2.229278,-2.330772,0.772455,4.936040
0.020000,5.973957,1.941175,5.443925,2.182889,-2.319490,0.564084,4.924876
0.020000,5.982745,1.899353,5.486660,2.136766,-2.306118,0.668605,4.914165
0.020000,5.990915,1.858340,5.528479,2.090953,-2.290651,0.773351,4.903890
0.020000,5.998502,1.818144,5.569385,2.045284,-2.283483,0.358377,4.894034
0.020000,6.005541,1.778768,5.609385,1.999988,-2.264785,0.934936,4.884580
0.020000,6.012065,1.740221,5.648480,1.954752,-2.261800,0.149232,4.875513
0.020000,6.018103,1.702505,5.686677,1.909836,-2.245781,0.800933,4.866816
0.020000,6.023687,1.665622,5.723979,1.865142,-2.234731,0.552501,4.858476
0.020000,6.028842,1.629579,5.760390,1.820510,-2.231604,0.156357,4.850478
0.020000,6.033597,1.594374,5.795914,1.776230,-2.213977,0.881370,4.842809
0.020000,6.037976,1.560011,5.830555,1.732056,-2.208710,0.263361,4.835456
0.020000,6.042002,1.526489,5.864318,1.688127,-2.196419,0.614522,4.828407
0.020000,6.045698,1.493814,5.897202,1.644197,-2.196503,-0.004174,4.821652
0.020000,6.049085,1.461982,5.929213,1.600546,-2.182580,0.696116,4.815178
0.020000,6.052184,1.430996,5.960354,1.557047,-2.174957,0.381171,4.808975
0.020000,6.055013,1.400857,5.990625,1.513577,-2.173472,0.074256,4.803034
0.020000,6.057592,1.371564,6.020032,1.470328,-2.162441,0.551558,4.797346
0.020000,6.059936,1.343115,6.048577,1.427277,-2.152574,0.493351,4.791901
0.020000,6.062063,1.315514,6.076260,1.384143,-2.156697,-0.206187,4.786691
0.020000,6.063988,1.288757,6.103086,1.341273,-2.143489,0.660439,4.781709
0.020000,6.065725,1.262846,6.129056,1.298493,-2.139005,0.224186,4.776947
0.020000,6.067288,1.237779,6.154171,1.255778,-2.135774,0.161529,4.772397
0.020000,6.068690,1.213556,6.178434,1.213150,-2.131387,0.219369,4.768054
0.020000,6.069944,1.190177,6.201847,1.170633,-2.125855,0.276600,4.763910
0.020000,6.071062,1.167640,6.224412,1.128249,-2.119194,0.333057,4.759960
0.020000,6.072054,1.145946,6.246128,1.085811,-2.121889,-0.134747,4.756199
0.020000,6.072930,1.125093,6.267000,1.043582,-2.111453,0.521761,4.752620
0.020000,6.073702,1.105082,6.287026,1.001306,-2.113784,-0.116544,4.749220
0.020000,6.074377,1.085909,6.306210,0.959224,-2.104097,0.484368,4.745993
0.020000,6.074965,1.067576,6.324553,0.917147,-2.103847,0.012488,4.742934
0.020000,6.075475,1.050081,6.342055,0.875096,-2.102574,0.063661,4.740041
0.020000,6.075912,1.033425,6.358717,0.833090,-2.100285,0.114446,4.737309
0.020000,6.076286,1.017607,6.374540,0.791150,-2.096990,0.164750,4.734734
0.020000,6.076603,1.002624,6.389526,0.749296,-2.092700,0.214486,4.732313
0.020000,6.076869,0.988476,6.403677,0.707548,-2.087429,0.263573,4.730042
0.020000,6.077090,0.975165,6.416990,0.665639,-2.095450,-0.401038,4.727920
0.020000,6.077271,0.962686,6.429470,0.624019,-2.080992,0.722873,4.725942
0.020000,6.077418,0.951043,6.441113,0.582163,-2.092807,-0.590764,4.724108
0.020000,6.077536,0.940233,6.451924,0.540552,-2.080528,0.613955,4.722413
0.020000,6.077628,0.930255,6.461903,0.498921,-2.081578,-0.052464,4.720857
0.020000,6.077699,0.921109,6.471048,0.457287,-2.081698,-0.006042,4.719437
0.020000,6.077752,0.912796,6.479362,0.415669,-2.080895,0.040185,4.718151
0.020000,6.077791,0.905315,6.486843,0.374086,-2.079172,0.086162,4.716998
0.020000,6.077818,0.898664,6.493495,0.332555,-2.076535,0.131834,4.715977
0.020000,6.077837,0.892842,6.499316,0.291094,-2.073019,0.175799,4.715086
0.020000,6.077848,0.887854,6.504304,0.249394,-2.085012,-0.599664,4.714324
0.020000,6.077855,0.883693,6.508466,0.208058,-2.066805,0.910359,4.713690
0.020000,6.077858,0.880365,6.511794,0.166399,-2.082945,-0.807024,4.713183
0.020000,6.077860,0.877865,6.514293,0.124999,-2.069997,0.647438,4.712803
0.020000,6.077860,0.876194,6.515964,0.083546,-2.072678,-0.134062,4.712550
0.020000,6.077860,0.875353,6.516806,0.042056,-2.074471,-0.089647,4.712422
0.020000,6.077860,0.875137,6.517021,0.010789,-1.563342,25.556442,4.712389
0.020000,6.077860,0.875134,6.517024,0.000137,-0.532611,51.536545,4.712389
0.020000,6.077860,0.875134,6.517024,0.000000,-0.006860,26.287549,4.712389
