dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.674641,4.109420,0.000198,0.019850,0.992489,49.624456,0.000354
0.020000,1.674641,4.109420,0.000992,0.059549,1.984978,49.624456,0.000311
0.020000,1.674641,4.109420,0.002580,0.099249,1.984978,0.000000,0.000224
0.020000,1.674641,4.109420,0.004962,0.138948,1.984978,0.000000,0.000093
0.020000,1.676120,4.109420,0.008138,0.178648,1.984978,-0.000000,6.283104
0.020000,1.680090,4.109419,0.012108,0.218348,1.984978,0.000000,6.282885
0.020000,1.684854,4.109417,0.016872,0.258047,1.984978,-0.000000,6.282622
0.020000,1.690412,4.109413,0.022430,0.297747,1.984978,0.000000,6.282313
0.020000,1.696764,4.109407,0.028782,0.337446,1.984978,0.000000,6.281958
0.020000,1.703910,4.109396,0.035928,0.377146,1.984978,0.000000,6.281556
0.020000,1.711850,4.109382,0.043868,0.416845,1.984978,0.000000,6.281107
0.020000,1.720583,4.109361,0.052602,0.456545,1.984978,-0.000000,6.280610
0.020000,1.730111,4.109334,0.062130,0.496245,1.984978,0.000000,6.280063
0.020000,1.740433,4.109299,0.072452,0.535944,1.984978,0.000000,6.279465
0.020000,1.751549,4.109254,0.083568,0.575644,1.984978,-0.000000,6.278815
0.020000,1.763459,4.109198,0.095477,0.615343,1.984978,0.000000,6.278113
0.020000,1.776162,4.109128,0.108181,0.655043,1.984978,0.000000,6.277355
0.020000,1.789660,4.109044,0.121679,0.694742,1.984978,0.000000,6.276542
0.020000,1.803951,4.108943,0.135971,0.734442,1.984978,0.000000,6.275670
0.020000,1.819037,4.108823,0.151057,0.774142,1.984978,0.000000,6.274739
0.020000,1.834916,4.108681,0.166937,0.813841,1.984978,0.000000,6.273747
0.020000,1.851589,4.108515,0.183610,0.853541,1.984978,0.000000,6.272691
0.020000,1.869056,4.108321,0.201078,0.893240,1.984978,0.000000,6.271569
0.020000,1.887316,4.108098,0.219340,0.932940,1.984978,0.000000,6.270379
0.020000,1.906370,4.107842,0.238396,0.972639,1.984978,-0.000000,6.269119
0.020000,1.926218,4.107550,0.258246,1.012339,1.984978,0.000000,6.267786
0.020000,1.946859,4.107218,0.278889,1.052038,1.984978,0.000000,6.266377
0.020000,1.968293,4.106841,0.300327,1.091738,1.984978,0.000000,6.264890
0.020000,1.990521,4.106417,0.322559,1.131438,1.984978,-0.000000,6.263321
0.020000,2.013542,4.105941,0.345585,1.171137,1.984978,0.000000,6.261667
0.020000,2.037356,4.105408,0.369404,1.210837,1.984978,0.000000,6.259926
0.020000,2.061962,4.104813,0.394018,1.250536,1.984978,0.000000,6.258093
0.020000,2.087361,4.104151,0.419426,1.290236,1.984978,-0.000000,6.256164
0.020000,2.113553,4.103417,0.445628,1.329935,1.984978,0.000000,6.254137
0.020000,2.140536,4.102604,0.472623,1.369635,1.984978,0.000000,6.252006
0.020000,2.168311,4.101707,0.500413,1.409335,1.984978,-0.000000,6.249768
0.020000,2.196878,4.100718,0.528997,1.449034,1.984978,0.000000,6.247417
0.020000,2.226235,4.099631,0.558374,1.488734,1.984978,-0.000000,6.244949
0.020000,2.256384,4.098439,0.588546,1.528433,1.984978,0.000000,6.242360
0.020000,2.287322,4.097133,0.619512,1.568133,1.984978,-0.000000,6.239642
0.020000,2.319049,4.095706,0.651271,1.607832,1.984978,0.000000,6.236792
0.020000,2.351566,4.094148,0.683825,1.647532,1.984978,0.000000,6.233803
0.020000,2.384870,4.092450,0.717173,1.687232,1.984978,0.000000,6.230669
0.020000,2.418961,4.090602,0.751314,1.726931,1.984978,-0.000000,6.227383
0.020000,2.453840,4.088593,0.786250,1.766631,1.984978,0.000000,6.223938
0.020000,2.489502,4.086414,0.821979,1.806330,1.984978,0.000000,6.220327
0.020000,2.525949,4.084051,0.858503,1.846030,1.984978,0.000000,6.216542
0.020000,2.563179,4.081492,0.895821,1.885729,1.984978,0.000000,6.212575
0.020000,2.601190,4.078724,0.933932,1.925429,1.984978,-0.000000,6.208418
0.020000,2.639981,4.075734,0.972838,1.965128,1.984978,0.000000,6.204061
0.020000,2.679549,4.072506,1.012537,2.004828,1.984978,0.000000,6.199495
0.020000,2.719892,4.069025,1.053031,2.044528,1.984978,0.000000,6.194709
0.020000,2.761009,4.065274,1.094319,2.084227,1.984978,0.000000,6.189693
0.020000,2.802896,4.061236,1.136400,2.123927,1.984978,0.000000,6.184435
0.020000,2.845551,4.056892,1.179276,2.163626,1.984978,-0.000000,6.178923
0.020000,2.888970,4.052222,1.222945,2.203326,1.984978,0.000000,6.173145
0.020000,2.933150,4.047206,1.267409,2.243025,1.984978,-0.000000,6.167087
0.020000,2.978086,4.041822,1.312666,2.282725,1.984978,0.000000,6.160734
0.020000,3.023774,4.036045,1.358718,2.322425,1.984978,0.000000,6.154072
0.020000,3.070208,4.029852,1.405563,2.362124,1.984978,0.000000,6.147084
0.020000,3.117383,4.023217,1.453203,2.401824,1.984978,0.000000,6.139754
0.020000,3.165292,4.016110,1.501636,2.441523,1.984978,0.000000,6.132062
0.020000,3.213928,4.008504,1.550864,2.481223,1.984978,0.000000,6.123991
0.020000,3.263283,4.000366,1.600885,2.520922,1.984978,0.000000,6.115519
0.020000,3.313348,3.991665,1.651700,2.560622,1.984978,-0.000000,6.106626
0.020000,3.364112,3.982364,1.703310,2.600322,1.984978,0.000000,6.097289
0.020000,3.415565,3.972428,1.755713,2.640021,1.984978,0.000000,6.087483
0.020000,3.467693,3.961816,1.808911,2.679721,1.984978,0.000000,6.077184
0.020000,3.520482,3.950488,1.862902,2.719420,1.984978,0.000000,6.066365
0.020000,3.573917,3.938400,1.917687,2.759120,1.984978,0.000000,6.054997
0.020000,3.627980,3.925507,1.973267,2.798819,1.984978,0.000000,6.043052
0.020000,3.682650,3.911758,2.029640,2.838519,1.984978,0.000000,6.030499
0.020000,3.737907,3.897103,2.086808,2.878218,1.984978,-0.000000,6.017306
0.020000,3.793725,3.881488,2.144769,2.917918,1.984978,0.000000,6.003439
0.020000,3.850077,3.864857,2.203524,2.957618,1.984978,-0.000000,5.988863
0.020000,3.906932,3.847149,2.263074,2.997317,1.984978,0.000000,5.973545
0.020000,3.964256,3.828302,2.323417,3.037017,1.984978,0.000000,5.957446
0.020000,4.022011,3.808252,2.384554,3.076716,1.984978,0.000000,5.940532
0.020000,4.080155,3.786930,2.446486,3.116416,1.984978,0.000000,5.922764
0.020000,4.138642,3.764266,2.509211,3.156115,1.984978,0.000000,5.904108
0.020000,4.197419,3.740187,2.572730,3.195815,1.984978,-0.000000,5.884528
0.020000,4.256430,3.714618,2.637044,3.235515,1.984978,0.000000,5.863991
0.020000,4.315612,3.687484,2.702151,3.275214,1.984978,0.000000,5.842467
0.020000,4.374896,3.658705,2.768052,3.314914,1.984978,-0.000000,5.819929
0.020000,4.434207,3.628205,2.834747,3.354613,1.984978,0.000000,5.796355
0.020000,4.493463,3.595904,2.902237,3.394313,1.984978,0.000000,5.771731
0.020000,4.552575,3.561726,2.970520,3.434012,1.984978,0.000000,5.746049
0.020000,4.611279,3.525701,3.039399,3.453862,0.992489,-49.624456,5.719388
0.020000,4.668991,3.488102,3.108280,3.434275,-0.979368,-98.592849,5.692007
0.020000,4.725157,3.449260,3.176571,3.394838,-1.971857,-49.624456,5.664196
0.020000,4.779578,3.409332,3.244071,3.355138,-1.984978,-0.656063,5.636111
0.020000,4.832225,3.368373,3.310777,3.315439,-1.984978,0.000000,5.607835
0.020000,4.883079,3.326444,3.376688,3.275739,-1.984978,0.000000,5.579452
0.020000,4.932122,3.283611,3.441806,3.236039,-1.984978,0.000000,5.551049
0.020000,4.979348,3.239942,3.506130,3.196340,-1.984978,0.000000,5.522711
0.020000,5.024754,3.195511,3.569660,3.156640,-1.984978,0.000000,5.494523
0.020000,5.068342,3.150393,3.632396,3.116941,-1.984978,0.000000,5.466567
0.020000,5.110124,3.104668,3.694337,3.077241,-1.984978,-0.000000,5.438922
0.020000,5.150115,3.058413,3.755485,3.037542,-1.984978,0.000000,5.411660
0.020000,5.188338,3.011707,3.815839,2.997842,-1.984978,0.000000,5.384847
0.020000,5.224820,2.964631,3.875399,2.958142,-1.984978,0.000000,5.358543
0.020000,5.259596,2.917261,3.934165,2.918443,-1.984978,0.000000,5.332800
0.020000,5.292701,2.869674,3.992137,2.878743,-1.984978,0.000000,5.307662
0.020000,5.324178,2.821942,4.049315,2.839044,-1.984978,0.000000,5.283166
0.020000,5.354073,2.774137,4.105698,2.799344,-1.984978,0.000000,5.259343
0.020000,5.382431,2.726326,4.161288,2.759645,-1.984978,0.000000,5.236213
0.020000,5.409304,2.678573,4.216084,2.719945,-1.984978,-0.000000,5.213793
0.020000,5.434743,2.630940,4.270086,2.680245,-1.984978,0.000000,5.192093
0.020000,5.458801,2.583482,4.323294,2.640546,-1.984978,-0.000000,5.171115
0.020000,5.481531,2.536255,4.375708,2.600846,-1.984978,0.000000,5.150861
0.020000,5.502987,2.489306,4.427328,2.561147,-1.984978,0.000000,5.131325
0.020000,5.523222,2.442683,4.478154,2.521447,-1.984978,0.000000,5.112498
0.020000,5.542290,2.396428,4.528186,2.481748,-1.984978,0.000000,5.094368
0.020000,5.560243,2.350580,4.577424,2.442048,-1.984978,0.000000,5.076922
0.020000,5.577132,2.305177,4.625868,2.402349,-1.984978,-0.000000,5.060144
0.020000,5.593007,2.260249,4.673518,2.362649,-1.984978,0.000000,5.044015
0.020000,5.607917,2.215829,4.720374,2.322949,-1.984978,0.000000,5.028518
0.020000,5.621910,2.171944,4.766436,2.283250,-1.984978,-0.000000,5.013633
0.020000,5.635031,2.128620,4.811704,2.243550,-1.984978,0.000000,4.999339
0.020000,5.647324,2.085879,4.856178,2.203851,-1.984978,0.000000,4.985617
0.020000,5.658832,2.043743,4.899858,2.164151,-1.984978,0.000000,4.972446
0.020000,5.669596,2.002230,4.942744,2.124452,-1.984978,0.000000,4.959806
0.020000,5.679656,1.961359,4.984836,2.084752,-1.984978,-0.000000,4.947678
0.020000,5.689049,1.921143,5.026134,2.045052,-1.984978,0.000000,4.936040
0.020000,5.697811,1.881598,5.066638,2.005353,-1.984978,0.000000,4.924876
0.020000,5.705977,1.842737,5.106348,1.965653,-1.984978,-0.000000,4.914165
