dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.674741,3.826920,0.000198,0.019850,0.992489,49.624456,0.000354
0.020000,1.674728,3.826920,0.000211,0.000613,-0.961829,-97.715908,0.000311
0.020000,1.674704,3.826920,0.000235,0.001228,0.030721,49.627504,0.000224
0.020000,1.674667,3.826920,0.000272,0.001844,0.030843,0.006099,0.000093
0.020000,1.676097,3.826920,0.001702,0.071501,3.482813,172.598511,6.283104
0.020000,1.680005,3.826919,0.005610,0.195406,6.195254,135.622048,6.282885
0.020000,1.684695,3.826917,0.010300,0.234479,1.953657,-212.079840,6.282622
0.020000,1.690165,3.826913,0.015771,0.273533,1.952700,-0.047894,6.282313
0.020000,1.696417,3.826907,0.022022,0.312583,1.952524,-0.008752,6.281958
0.020000,1.703449,3.826897,0.029055,0.351625,1.952082,-0.022140,6.281556
0.020000,1.711263,3.826882,0.036868,0.390652,1.951365,-0.035812,6.281107
0.020000,1.719856,3.826862,0.045461,0.429660,1.950369,-0.049799,6.280610
0.020000,1.729229,3.826836,0.054834,0.468675,1.950743,0.018669,6.280063
0.020000,1.739382,3.826801,0.064987,0.507646,1.948570,-0.108625,6.279465
0.020000,1.750314,3.826757,0.075920,0.546627,1.949046,0.023800,6.278815
0.020000,1.762026,3.826701,0.087631,0.585567,1.947008,-0.101894,6.278113
0.020000,1.774515,3.826633,0.100121,0.624494,1.946351,-0.032855,6.277355
0.020000,1.787783,3.826550,0.113389,0.663402,1.945408,-0.047177,6.276542
0.020000,1.801829,3.826451,0.127435,0.702286,1.944166,-0.062093,6.275670
0.020000,1.816651,3.826333,0.142258,0.741138,1.942613,-0.077637,6.274739
0.020000,1.832250,3.826193,0.157857,0.779969,1.941542,-0.053559,6.273747
0.020000,1.848624,3.826030,0.174233,0.818778,1.940459,-0.054164,6.272691
0.020000,1.865774,3.825841,0.191384,0.857545,1.938352,-0.105339,6.271569
0.020000,1.883698,3.825622,0.209309,0.896277,1.936601,-0.087566,6.270379
0.020000,1.902396,3.825370,0.228009,0.934986,1.935433,-0.058365,6.269119
0.020000,1.921867,3.825084,0.247482,0.973658,1.933599,-0.091694,6.267786
0.020000,1.942111,3.824758,0.267728,1.012296,1.931915,-0.084223,6.266377
0.020000,1.963125,3.824389,0.288746,1.050887,1.929554,-0.118067,6.264890
0.020000,1.984910,3.823973,0.310534,1.089424,1.926868,-0.134258,6.263321
0.020000,2.007464,3.823506,0.333093,1.127934,1.925503,-0.068285,6.261667
0.020000,2.030785,3.822984,0.356420,1.166379,1.922235,-0.163401,6.259926
0.020000,2.054874,3.822402,0.380516,1.204803,1.921205,-0.051497,6.258093
0.020000,2.079729,3.821754,0.405379,1.243150,1.917354,-0.192551,6.256164
0.020000,2.105348,3.821036,0.431008,1.281447,1.914824,-0.126490,6.254137
0.020000,2.131730,3.820241,0.457402,1.319684,1.911864,-0.147990,6.252006
0.020000,2.158873,3.819364,0.484559,1.357858,1.908703,-0.158068,6.249768
0.020000,2.186776,3.818399,0.512479,1.395994,1.906798,-0.095254,6.247417
0.020000,2.215436,3.817338,0.541159,1.434013,1.900970,-0.291367,6.244949
0.020000,2.244854,3.816175,0.570600,1.472017,1.900154,-0.040815,6.242360
0.020000,2.275025,3.814901,0.600798,1.509904,1.894392,-0.288115,6.239642
0.020000,2.305948,3.813510,0.631752,1.547723,1.890916,-0.173808,6.236792
0.020000,2.337621,3.811992,0.663461,1.585461,1.886905,-0.200541,6.233803
0.020000,2.370041,3.810339,0.695924,1.623107,1.882317,-0.229371,6.230669
0.020000,2.403205,3.808541,0.729137,1.660649,1.877110,-0.260352,6.227383
0.020000,2.437112,3.806589,0.763099,1.698138,1.874408,-0.135097,6.223938
0.020000,2.471756,3.804472,0.797809,1.735463,1.866271,-0.406876,6.220327
0.020000,2.507137,3.802178,0.833263,1.772725,1.863086,-0.159270,6.216542
0.020000,2.543249,3.799696,0.869460,1.809853,1.856427,-0.332942,6.212575
0.020000,2.580088,3.797014,0.906397,1.846855,1.850106,-0.316012,6.208418
0.020000,2.617651,3.794118,0.944072,1.883726,1.843552,-0.327725,6.204061
0.020000,2.655934,3.790995,0.982482,1.920487,1.838028,-0.276191,6.199495
0.020000,2.694930,3.787630,1.021623,1.957077,1.829515,-0.425644,6.194709
0.020000,2.734636,3.784008,1.061494,1.993525,1.822377,-0.356902,6.189693
0.020000,2.775045,3.780112,1.102090,2.029799,1.813695,-0.434111,6.184435
0.020000,2.816150,3.775926,1.143408,2.065918,1.805955,-0.387010,6.178923
0.020000,2.857947,3.771431,1.185445,2.101862,1.797225,-0.436466,6.173145
0.020000,2.900426,3.766608,1.228197,2.137611,1.787431,-0.489743,6.167087
0.020000,2.943580,3.761437,1.271660,2.173141,1.776495,-0.546792,6.160734
0.020000,2.987401,3.755897,1.315829,2.208465,1.766234,-0.513043,6.154072
0.020000,3.031878,3.749965,1.360701,2.243556,1.754510,-0.586197,6.147084
0.020000,3.077002,3.743617,1.406269,2.278432,1.743804,-0.535306,6.139754
0.020000,3.122762,3.736830,1.452530,2.313025,1.729650,-0.707692,6.132062
0.020000,3.169145,3.729576,1.499477,2.347352,1.716345,-0.665245,6.123991
0.020000,3.216139,3.721828,1.547105,2.381421,1.703450,-0.644760,6.115519
0.020000,3.263728,3.713556,1.595408,2.415132,1.685570,-0.893978,6.106626
