dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.673994,4.391919,0.000199,0.019914,0.995721,49.786068,0.002290
0.020000,1.674190,4.391920,0.000395,0.009808,-0.505316,-75.051848,0.001596
0.020000,1.674582,4.391920,0.000788,0.019633,0.491229,49.827237,0.000206
0.020000,1.677327,4.391918,0.003533,0.137233,5.880003,269.438704,6.281302
0.020000,1.681303,4.391904,0.007509,0.198797,3.078193,-140.090536,6.278506
0.020000,1.686278,4.391872,0.012484,0.248775,2.498916,-28.963831,6.274993
0.020000,1.692255,4.391811,0.018461,0.298828,2.502658,0.187116,6.270754
0.020000,1.699237,4.391707,0.025444,0.349159,2.516538,0.694003,6.265773
0.020000,1.707230,4.391545,0.033438,0.399715,2.527811,0.563660,6.260034
0.020000,1.716235,4.391307,0.042447,0.450445,2.536491,0.433994,6.253520
0.020000,1.726261,4.390973,0.052478,0.501543,2.554890,0.919919,6.246211
0.020000,1.737309,4.390519,0.063536,0.552893,2.567504,0.630694,6.238084
0.020000,1.749388,4.389920,0.075629,0.604682,2.589456,1.097625,6.229113
0.020000,1.762500,4.389145,0.088764,0.656744,2.603080,0.681190,6.219274
0.020000,1.776651,4.388164,0.102949,0.709251,2.625353,1.113667,6.208538
0.020000,1.791844,4.386938,0.118192,0.762129,2.643937,0.929201,6.196876
0.020000,1.808085,4.385430,0.134502,0.815515,2.669299,1.268093,6.184257
0.020000,1.825373,4.383596,0.151887,0.869258,2.687137,0.891889,6.170651
0.020000,1.843711,4.381388,0.170357,0.923504,2.712310,1.258658,6.156026
0.020000,1.863095,4.378755,0.189920,0.978111,2.730320,0.900479,6.140353
0.020000,1.883522,4.375643,0.210583,1.033154,2.752172,1.092596,6.123604
0.020000,1.904984,4.371992,0.232353,1.088523,2.768463,0.814593,6.105753
0.020000,1.927470,4.367740,0.255238,1.144233,2.785478,0.850741,6.086778
0.020000,1.950964,4.362819,0.279241,1.200166,2.796668,0.559513,6.066664
0.020000,1.975442,4.357162,0.304365,1.256177,2.800515,0.192347,6.045403
0.020000,2.000877,4.350695,0.330609,1.312212,2.801788,0.063623,6.022994
0.020000,2.027233,4.343346,0.357970,1.368041,2.791442,-0.517314,5.999452
0.020000,2.054465,4.335040,0.386441,1.423562,2.776029,-0.770619,5.974799
0.020000,2.082523,4.325703,0.416011,1.478504,2.747121,-1.445417,5.949077
0.020000,2.111343,4.315265,0.446663,1.532596,2.704606,-2.125767,5.922343
0.020000,2.140856,4.303659,0.478376,1.585642,2.652305,-2.615016,5.894674
0.020000,2.170981,4.290824,0.511122,1.637317,2.583736,-3.428436,5.866166
0.020000,2.201634,4.276705,0.544870,1.687376,2.502967,-4.038475,5.836933
0.020000,2.232717,4.261258,0.579580,1.735515,2.406942,-4.801237,5.807111
0.020000,2.264134,4.244451,0.615210,1.781500,2.299219,-5.386159,5.776854
0.020000,2.295782,4.226262,0.651712,1.825097,2.179877,-5.967126,5.746329
0.020000,2.327557,4.206683,0.689035,1.866149,2.052595,-6.364085,5.715718
0.020000,2.359360,4.185720,0.727125,1.904523,1.918691,-6.695191,5.685209
0.020000,2.391095,4.163390,0.765929,1.940176,1.782667,-6.801223,5.654997
0.020000,2.422673,4.139724,0.805391,1.973110,1.646670,-6.799824,5.625272
0.020000,2.454016,4.114763,0.845459,2.003402,1.514594,-6.603789,5.596223
0.020000,2.485056,4.088556,0.886083,2.031177,1.388780,-6.290702,5.568028
0.020000,2.515738,4.061162,0.927215,2.056606,1.271426,-5.867697,5.540852
0.020000,2.546019,4.032641,0.968812,2.079886,1.164029,-5.369880,5.514848
