dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.674641,4.109420,0.000199,0.019914,0.995721,49.786068,0.002290
0.020000,1.674641,4.109420,0.000996,0.059743,1.991443,49.786068,0.001596
0.020000,1.674641,4.109420,0.002589,0.099572,1.991443,-0.000000,0.000206
0.020000,1.676795,4.109418,0.004979,0.139401,1.991443,0.000000,6.281302
0.020000,1.679981,4.109408,0.008165,0.179230,1.991443,0.000000,6.278506
0.020000,1.683964,4.109382,0.012148,0.219059,1.991443,0.000000,6.274993
0.020000,1.688743,4.109333,0.016927,0.258888,1.991443,-0.000000,6.270754
0.020000,1.694318,4.109249,0.022503,0.298716,1.991443,-0.000000,6.265773
0.020000,1.700690,4.109120,0.028876,0.338545,1.991443,0.000000,6.260034
0.020000,1.707856,4.108931,0.036045,0.378374,1.991443,0.000000,6.253520
0.020000,1.715818,4.108666,0.044011,0.418203,1.991443,-0.000000,6.246211
0.020000,1.724572,4.108306,0.052773,0.458032,1.991443,0.000000,6.238084
0.020000,1.734120,4.107833,0.062332,0.497861,1.991443,0.000000,6.229113
0.020000,1.744458,4.107222,0.072688,0.537690,1.991443,-0.000000,6.219274
0.020000,1.755583,4.106450,0.083840,0.577518,1.991443,0.000000,6.208538
0.020000,1.767492,4.105490,0.095788,0.617347,1.991443,0.000000,6.196876
0.020000,1.780183,4.104311,0.108534,0.657176,1.991443,0.000000,6.184257
0.020000,1.793649,4.102882,0.122075,0.697005,1.991443,-0.000000,6.170651
0.020000,1.807885,4.101168,0.136414,0.736834,1.991443,0.000000,6.156026
0.020000,1.822882,4.099132,0.151549,0.776663,1.991443,-0.000000,6.140353
0.020000,1.838631,4.096732,0.167480,0.816492,1.991443,0.000000,6.123604
0.020000,1.855122,4.093927,0.184208,0.856320,1.991443,0.000000,6.105753
0.020000,1.872341,4.090671,0.201733,0.896149,1.991443,-0.000000,6.086778
0.020000,1.890274,4.086916,0.220054,0.935978,1.991443,0.000000,6.066664
0.020000,1.908900,4.082611,0.239172,0.975807,1.991443,0.000000,6.045403
0.020000,1.928200,4.077704,0.259087,1.015636,1.991443,0.000000,6.022994
0.020000,1.948149,4.072141,0.279798,1.055465,1.991443,-0.000000,5.999452
0.020000,1.968721,4.065867,0.301305,1.095294,1.991443,-0.000000,5.974799
0.020000,1.989883,4.058824,0.323609,1.135122,1.991443,0.000000,5.949077
0.020000,2.011603,4.050958,0.346710,1.174951,1.991443,-0.000000,5.922343
0.020000,2.033842,4.042213,0.370607,1.214780,1.991443,0.000000,5.894674
0.020000,2.056558,4.032534,0.395301,1.254609,1.991443,0.000000,5.866166
0.020000,2.079710,4.021870,0.420792,1.294438,1.991443,0.000000,5.836933
0.020000,2.103250,4.010172,0.447079,1.334267,1.991443,0.000000,5.807111
0.020000,2.127130,3.997396,0.474163,1.374095,1.991443,0.000000,5.776854
0.020000,2.151301,3.983504,0.502043,1.413924,1.991443,-0.000000,5.746329
0.020000,2.175714,3.968461,0.530719,1.453753,1.991443,0.000000,5.715718
0.020000,2.200321,3.952240,0.560193,1.493582,1.991443,0.000000,5.685209
0.020000,2.225075,3.934821,0.590463,1.533411,1.991443,0.000000,5.654997
0.020000,2.249934,3.916191,0.621529,1.573240,1.991443,0.000000,5.625272
0.020000,2.274857,3.896341,0.653392,1.613069,1.991443,0.000000,5.596223
0.020000,2.299810,3.875272,0.686052,1.652897,1.991443,-0.000000,5.568028
0.020000,2.324765,3.852989,0.719508,1.692726,1.991443,0.000000,5.540852
0.020000,2.349698,3.829505,0.753761,1.732555,1.991443,0.000000,5.514848
0.020000,2.374594,3.804835,0.788810,1.772384,1.991443,0.000000,5.490152
0.020000,2.399443,3.779001,0.824656,1.812213,1.991443,0.000000,5.466886
0.020000,2.424243,3.752027,0.861299,1.852042,1.991443,-0.000000,5.445154
0.020000,2.449001,3.723944,0.898738,1.891871,1.991443,0.000000,5.425050
0.020000,2.473729,3.694781,0.936974,1.931699,1.991443,0.000000,5.406656
0.020000,2.498447,3.664573,0.976006,1.971528,1.991443,0.000000,5.390042
0.020000,2.523183,3.633357,1.015835,2.011357,1.991443,0.000000,5.375277
0.020000,2.547971,3.601171,1.056460,2.051186,1.991443,0.000000,5.362422
0.020000,2.572854,3.568056,1.097882,2.091015,1.991443,-0.000000,5.351543
0.020000,2.597882,3.534056,1.140101,2.130844,1.991443,0.000000,5.342706
0.020000,2.623111,3.499217,1.183116,2.170673,1.991443,0.000000,5.335983
0.020000,2.648608,3.463588,1.226928,2.210501,1.991443,-0.000000,5.331458
0.020000,2.674446,3.427224,1.271536,2.250330,1.991443,0.000000,5.329228
0.020000,2.700706,3.390184,1.316941,2.290159,1.991443,-0.000000,5.329403
0.020000,2.727481,3.352532,1.363143,2.329988,1.991443,0.000000,5.332115
0.020000,2.754873,3.314342,1.410141,2.369817,1.991443,0.000000,5.337518
0.020000,2.782993,3.275695,1.457935,2.409646,1.991443,-0.000000,5.345792
0.020000,2.811966,3.236687,1.506526,2.449475,1.991443,0.000000,5.357145
0.020000,2.841926,3.197425,1.555914,2.489303,1.991443,-0.000000,5.371815
0.020000,2.873022,3.158036,1.606099,2.529132,1.991443,0.000000,5.390071
0.020000,2.905411,3.118667,1.657080,2.568961,1.991443,-0.000000,5.412210
0.020000,2.939265,3.079492,1.708857,2.608790,1.991443,0.000000,5.438550
0.020000,2.974762,3.040714,1.761431,2.648619,1.991443,0.000000,5.469418
0.020000,3.012085,3.002568,1.814802,2.688448,1.991443,-0.000000,5.505129
0.020000,3.051418,2.965331,1.868969,2.728277,1.991443,0.000000,5.545952
0.020000,3.092933,2.929317,1.923933,2.768105,1.991443,-0.000000,5.592060
0.020000,3.136780,2.894879,1.979693,2.807934,1.991443,0.000000,5.643476
0.020000,3.183072,2.862401,2.036250,2.847763,1.991443,0.000000,5.699999
0.020000,3.231873,2.832286,2.093604,2.887592,1.991443,-0.000000,5.761149
0.020000,3.283178,2.804936,2.151754,2.927421,1.991443,0.000000,5.826128
0.020000,3.336912,2.780727,2.210701,2.967250,1.991443,-0.000000,5.893838
0.020000,3.392923,2.759978,2.270444,3.007079,1.991443,0.000000,5.962957
0.020000,3.449249,2.743379,2.330984,3.046907,1.991443,0.000000,6.028448
0.020000,3.508718,2.728363,2.392320,3.086736,1.991443,-0.000000,6.043100
0.020000,3.569170,2.714011,2.454453,3.126565,1.991443,0.000000,6.056873
0.020000,3.630586,2.700290,2.517383,3.166394,1.991443,-0.000000,6.069709
0.020000,3.692945,2.687164,2.581109,3.206223,1.991443,0.000000,6.081556
0.020000,3.756230,2.674591,2.645632,3.246052,1.991443,0.000000,6.092361
0.020000,3.820424,2.662520,2.710951,3.285881,1.991443,-0.000000,6.102075
0.020000,3.885510,2.650897,2.777067,3.325709,1.991443,0.000000,6.110651
0.020000,3.951473,2.639660,2.843979,3.365538,1.991443,-0.000000,6.118041
0.020000,4.018295,2.628742,2.911688,3.405367,1.991443,0.000000,6.124200
0.020000,4.085965,2.618069,2.980194,3.445196,1.991443,-0.000000,6.129083
0.020000,4.154465,2.607562,3.049496,3.485025,1.991443,0.000000,6.132643
0.020000,4.223784,2.597133,3.119595,3.524854,1.991443,0.000000,6.134835
0.020000,4.293906,2.586690,3.190490,3.564682,1.991443,-0.000000,6.135611
0.020000,4.364816,2.576133,3.262182,3.604511,1.991443,0.000000,6.134923
0.020000,4.436499,2.565355,3.334671,3.644340,1.991443,-0.000000,6.132721
0.020000,4.508937,2.554242,3.407956,3.684169,1.991443,0.000000,6.128954
0.020000,4.582110,2.542675,3.482038,3.723998,1.991443,0.000000,6.123569
0.020000,4.655995,2.530523,3.556916,3.763827,1.991443,-0.000000,6.116514
0.020000,4.730567,2.517651,3.632591,3.803656,1.991443,0.000000,6.107735
0.020000,4.805795,2.503916,3.709062,3.843484,1.991443,-0.000000,6.097179
0.020000,4.881641,2.489168,3.786330,3.883313,1.991443,0.000000,6.084796
0.020000,4.958065,2.473248,3.864395,3.923142,1.991443,0.000000,6.070541
0.020000,5.035014,2.455994,3.943256,3.962971,1.991443,-0.000000,6.054372
0.020000,5.112431,2.437236,4.022913,4.002800,1.991443,0.000000,6.036260
0.020000,5.190245,2.416800,4.103368,4.042629,1.991443,-0.000000,6.016186
0.020000,5.266115,2.396711,4.184619,4.082458,1.991443,0.000000,6.056308
