dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.675288,3.826921,0.000199,0.019914,0.995721,49.786068,0.002290
0.020000,1.675091,3.826920,0.000395,0.009808,-0.505316,-75.051848,0.001596
0.020000,1.674699,3.826920,0.000788,0.019633,0.491229,49.827237,0.000206
0.020000,1.676263,3.826919,0.002352,0.078202,2.928472,121.862145,6.281302
0.020000,1.678659,3.826911,0.004748,0.119811,2.080430,-42.402094,6.278506
0.020000,1.681650,3.826891,0.007739,0.149544,1.486682,-29.687429,6.274993
0.020000,1.685231,3.826855,0.011320,0.179065,1.476035,-0.532317,6.270754
0.020000,1.689399,3.826792,0.015489,0.208443,1.468903,-0.356598,6.265773
0.020000,1.694150,3.826696,0.020241,0.237596,1.457643,-0.563037,6.260034
0.020000,1.699477,3.826555,0.025570,0.266443,1.442343,-0.764954,6.253520
0.020000,1.705375,3.826359,0.031471,0.295050,1.430352,-0.599594,6.246211
0.020000,1.711836,3.826094,0.037937,0.323301,1.412574,-0.888903,6.238084
0.020000,1.718852,3.825745,0.044962,0.351262,1.398016,-0.727857,6.229113
0.020000,1.726415,3.825299,0.052538,0.378792,1.376536,-1.074015,6.219274
0.020000,1.734515,3.824737,0.060657,0.405957,1.358248,-0.914391,6.208538
0.020000,1.743140,3.824041,0.069311,0.432684,1.336319,-1.096469,6.196876
0.020000,1.752281,3.823193,0.078492,0.459026,1.317126,-0.959634,6.184257
0.020000,1.761925,3.822169,0.088189,0.484888,1.293094,-1.201612,6.170651
0.020000,1.772059,3.820949,0.098396,0.510353,1.273250,-0.992223,6.156026
0.020000,1.782669,3.819509,0.109104,0.535359,1.250313,-1.146841,6.140353
0.020000,1.793741,3.817822,0.120303,0.559987,1.231383,-0.946499,6.123604
0.020000,1.805260,3.815863,0.131988,0.584237,1.212490,-0.944632,6.105753
0.020000,1.817212,3.813602,0.144152,0.608206,1.198449,-0.702031,6.086778
0.020000,1.829583,3.811012,0.156791,0.631953,1.187352,-0.554871,6.066664
0.020000,1.842358,3.808060,0.169902,0.655559,1.180280,-0.353583,6.045403
0.020000,1.855523,3.804713,0.183486,0.679193,1.181747,0.073310,6.022994
0.020000,1.869066,3.800936,0.197546,0.702977,1.189182,0.371775,5.999452
0.020000,1.882976,3.796694,0.212089,0.727141,1.208187,0.950270,5.974799
0.020000,1.897244,3.791946,0.227126,0.751872,1.236577,1.419490,5.949077
0.020000,1.911863,3.786651,0.242674,0.777398,1.276286,1.985461,5.922343
0.020000,1.926827,3.780766,0.258754,0.804015,1.330849,2.728105,5.894674
0.020000,1.942135,3.774244,0.275394,0.831976,1.398025,3.358842,5.866166
0.020000,1.957786,3.767035,0.292625,0.861580,1.480212,4.109349,5.836933
0.020000,1.973782,3.759086,0.310487,0.893086,1.575302,4.754495,5.807111
0.020000,1.990125,3.750342,0.329022,0.926757,1.683565,5.413133,5.776854
0.020000,2.006820,3.740746,0.348278,0.962807,1.802481,5.945803,5.746329
0.020000,2.023871,3.730239,0.368307,1.001416,1.930456,6.398754,5.715718
0.020000,2.041281,3.718761,0.389161,1.042694,2.063890,6.671685,5.685209
0.020000,2.059056,3.706253,0.410895,1.086701,2.200382,6.824635,5.654997
0.020000,2.077194,3.692657,0.433563,1.133424,2.336112,6.786500,5.625272
0.020000,2.095698,3.677919,0.457219,1.182792,2.468428,6.615784,5.596223
0.020000,2.114565,3.661987,0.481913,1.234680,2.594377,6.297443,5.568028
0.020000,2.133793,3.644817,0.507691,1.288915,2.711758,5.869075,5.540852
0.020000,2.153378,3.626368,0.534597,1.345295,2.819001,5.362110,5.514848
0.020000,2.173317,3.606608,0.562669,1.403607,2.915596,4.829741,5.490152
0.020000,2.193609,3.585510,0.591941,1.463623,3.000826,4.261531,5.466886
0.020000,2.214253,3.563055,0.622444,1.525141,3.075871,3.752245,5.445154
0.020000,2.235255,3.539231,0.654203,1.587963,3.141129,3.262899,5.425050
0.020000,2.256621,3.514031,0.687242,1.651937,3.198696,2.878345,5.406656
0.020000,2.278366,3.487455,0.721581,1.716930,3.249658,2.548081,5.390042
0.020000,2.300511,3.459508,0.757238,1.782863,3.296621,2.348149,5.375277
0.020000,2.323083,3.430198,0.794232,1.849694,3.341545,2.246238,5.362422
0.020000,2.346119,3.399540,0.832580,1.917421,3.386355,2.240493,5.351543
0.020000,2.369667,3.367550,0.872302,1.986093,3.433610,2.362727,5.342706
0.020000,2.393782,3.334249,0.913418,2.055799,3.485303,2.584683,5.335983
0.020000,2.418535,3.299660,0.955952,2.126676,3.543851,2.927374,5.331458
0.020000,2.444007,3.263810,0.999930,2.198906,3.611494,3.382142,5.329228
