dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.602169,4.344004,0.000200,0.019955,0.997751,49.887554,0.002117
0.020000,1.602239,4.344004,0.000269,0.003483,-0.823625,-91.068787,0.001871
0.020000,1.602379,4.344004,0.000409,0.006968,0.174282,49.895339,0.001377
0.020000,1.602588,4.344005,0.000618,0.010460,0.174593,0.015565,0.000637
0.020000,1.604004,4.344004,0.002034,0.070790,3.016510,142.095809,6.282833
0.020000,1.608345,4.344000,0.006375,0.217067,7.313830,214.866011,6.281595
0.020000,1.613555,4.343988,0.011585,0.260529,2.173128,-257.035068,6.280104
0.020000,1.619635,4.343964,0.017665,0.303984,2.172749,-0.018977,6.278360
0.020000,1.626586,4.343924,0.024616,0.347537,2.177606,0.242872,6.276358
0.020000,1.634409,4.343861,0.032439,0.391159,2.181140,0.176685,6.274095
0.020000,1.643105,4.343771,0.041136,0.434826,2.183347,0.110360,6.271568
0.020000,1.652674,4.343647,0.050706,0.478511,2.184229,0.044081,6.268772
0.020000,1.663116,4.343480,0.061150,0.522187,2.183790,-0.021960,6.265704
0.020000,1.674438,4.343263,0.072473,0.566166,2.198973,0.759174,6.262358
0.020000,1.686633,4.342987,0.084672,0.609931,2.188238,-0.536740,6.258729
0.020000,1.699710,4.342642,0.097753,0.654050,2.205980,0.887090,6.254809
0.020000,1.713666,4.342216,0.111715,0.698116,2.203300,-0.133982,6.250594
0.020000,1.728502,4.341699,0.126560,0.742280,2.208153,0.242636,6.246077
0.020000,1.744221,4.341077,0.142291,0.786550,2.213539,0.269313,6.241249
0.020000,1.760822,4.340338,0.158910,0.830906,2.217773,0.211681,6.236104
0.020000,1.778312,4.339466,0.176421,0.875577,2.233573,0.789986,6.230632
0.020000,1.796686,4.338446,0.194823,0.920090,2.225615,-0.397907,6.224824
0.020000,1.815949,4.337261,0.214122,0.964974,2.244230,0.930783,6.218672
0.020000,1.836099,4.335894,0.234319,1.009826,2.242612,-0.080917,6.212165
0.020000,1.857139,4.334325,0.255417,1.054896,2.253477,0.543266,6.205292
0.020000,1.879068,4.332533,0.277420,1.100148,2.262613,0.456795,6.198043
0.020000,1.901889,4.330498,0.300331,1.145549,2.270023,0.370484,6.190406
0.020000,1.925599,4.328196,0.324152,1.191063,2.275719,0.284829,6.182369
0.020000,1.950199,4.325602,0.348888,1.236824,2.288025,0.615275,6.173920
0.020000,1.975687,4.322692,0.374543,1.282713,2.294496,0.323547,6.165046
0.020000,2.002065,4.319437,0.401120,1.328881,2.308371,0.693746,6.155732
0.020000,2.029327,4.315808,0.428623,1.375144,2.313166,0.239773,6.145967
0.020000,2.057472,4.311775,0.457056,1.421625,2.324027,0.543025,6.135736
0.020000,2.086496,4.307306,0.486421,1.468278,2.332666,0.431960,6.125024
0.020000,2.116396,4.302365,0.516727,1.515260,2.349084,0.820919,6.113818
0.020000,2.147163,4.296919,0.547972,1.562263,2.350183,0.054911,6.102104
0.020000,2.178793,4.290928,0.580164,1.609632,2.368432,0.912472,6.089867
0.020000,2.211276,4.284354,0.613306,1.657072,2.372017,0.179256,6.077095
0.020000,2.244602,4.277155,0.647400,1.704721,2.382455,0.521868,6.063774
0.020000,2.278758,4.269290,0.682451,1.752517,2.389797,0.367148,6.049892
0.020000,2.313733,4.260712,0.718463,1.800595,2.403895,0.704870,6.035437
0.020000,2.349508,4.251377,0.755435,1.848624,2.401451,-0.122188,6.020402
0.020000,2.386066,4.241236,0.793374,1.896947,2.416136,0.734224,6.004775
0.020000,2.423386,4.230242,0.832279,1.945247,2.414985,-0.057508,5.988553
0.020000,2.461441,4.218343,0.872151,1.993616,2.418441,0.172792,5.971731
0.020000,2.500207,4.205490,0.912992,2.042062,2.422297,0.192771,5.954307
0.020000,2.539650,4.191632,0.954799,2.090342,2.414010,-0.414334,5.936287
0.020000,2.579739,4.176717,0.997573,2.138665,2.416186,0.108792,5.917673
0.020000,2.620434,4.160693,1.041308,2.186781,2.405766,-0.520975,5.898478
0.020000,2.661693,4.143512,1.086002,2.234688,2.395371,-0.519745,5.878715
0.020000,2.703473,4.125124,1.131649,2.282369,2.384031,-0.567012,5.858405
0.020000,2.745722,4.105481,1.178241,2.329597,2.361411,-1.130994,5.837573
0.020000,2.788389,4.084540,1.225771,2.376481,2.344196,-0.860786,5.816249
0.020000,2.831418,4.062257,1.274227,2.422813,2.316608,-1.379372,5.794469
0.020000,2.874750,4.038596,1.323598,2.468560,2.287356,-1.462627,5.772277
0.020000,2.918323,4.013520,1.373871,2.513634,2.253684,-1.683580,5.749719
0.020000,2.962072,3.987003,1.425029,2.557919,2.214272,-1.970601,5.726850
0.020000,3.005933,3.959019,1.477057,2.601397,2.173883,-2.019439,5.703729
0.020000,3.049840,3.929549,1.529937,2.643994,2.129829,-2.202724,5.680417
0.020000,3.093726,3.898580,1.583650,2.685631,2.081892,-2.396826,5.656984
0.020000,3.137527,3.866107,1.638175,2.726257,2.031263,-2.531483,5.633500
0.020000,3.181177,3.832128,1.693492,2.765854,1.979869,-2.569658,5.610037
0.020000,3.224618,3.796648,1.749580,2.804404,1.927510,-2.617948,5.586671
0.020000,3.267790,3.759679,1.806418,2.841907,1.875149,-2.618059,5.563475
0.020000,3.310640,3.721236,1.863985,2.878356,1.822429,-2.635993,5.540524
0.020000,3.353119,3.681342,1.922261,2.913784,1.771393,-2.551794,5.517891
0.020000,3.395184,3.640021,1.981226,2.948221,1.721883,-2.475511,5.495645
0.020000,3.436796,3.597305,2.040860,2.981719,1.674861,-2.351106,5.473854
0.020000,3.477923,3.553225,2.101147,3.014333,1.630712,-2.207448,5.452579
0.020000,3.518540,3.507818,2.162069,3.046120,1.589342,-2.068498,5.431879
0.020000,3.558627,3.461121,2.223612,3.077151,1.551584,-1.887901,5.411808
0.020000,3.598171,3.413175,2.285762,3.107493,1.517093,-1.724556,5.392415
0.020000,3.637165,3.364018,2.348506,3.137220,1.486360,-1.536665,5.373743
0.020000,3.675607,3.313693,2.411834,3.166409,1.459411,-1.347421,5.355830
0.020000,3.713502,3.262239,2.475736,3.195100,1.434560,-1.242572,5.338712
0.020000,3.750860,3.209699,2.540204,3.223387,1.414337,-1.011141,5.322417
0.020000,3.787695,3.156113,2.605230,3.251286,1.394968,-0.968472,5.306972
0.020000,3.824028,3.101520,2.670807,3.278877,1.379573,-0.769736,5.292400
0.020000,3.859882,3.045961,2.736931,3.306192,1.365713,-0.692983,5.278719
0.020000,3.895286,2.989474,2.803597,3.333261,1.353465,-0.612397,5.265949
0.020000,3.930271,2.932096,2.870799,3.360104,1.342132,-0.566651,5.254103
0.020000,3.964768,2.874047,2.938325,3.376314,0.810536,-26.579827,5.243229
0.020000,3.998562,2.815815,3.005652,3.366361,-0.497665,-65.410019,5.233402
0.020000,4.031463,2.757893,3.072266,3.330681,-1.784023,-64.317934,5.224667
0.020000,4.063397,2.700584,3.137872,3.280304,-2.518853,-36.741493,5.217015
0.020000,4.094397,2.644006,3.202386,3.225703,-2.730047,-10.559678,5.210404
0.020000,4.124539,2.588187,3.265823,3.171852,-2.692552,1.874756,5.204779
0.020000,4.153892,2.533152,3.328197,3.118703,-2.657416,1.756798,5.200092
0.020000,4.182522,2.478922,3.389521,3.066190,-2.625652,1.588206,5.196297
0.020000,4.210487,2.425515,3.449806,3.014284,-2.595303,1.517420,5.193352
0.020000,4.237843,2.372948,3.509065,2.962931,-2.567681,1.381119,5.191217
0.020000,4.264639,2.321236,3.567307,2.912092,-2.541929,1.287609,5.189855
0.020000,4.290921,2.270393,3.624541,2.861732,-2.517990,1.196930,5.189233
0.020000,4.316732,2.220430,3.680778,2.811817,-2.495773,1.110866,5.189320
0.020000,4.342109,2.171356,3.736024,2.762317,-2.474997,1.038771,5.190086
0.020000,4.367087,2.123183,3.790288,2.713205,-2.455590,0.970343,5.191503
0.020000,4.391699,2.075918,3.843577,2.664457,-2.437412,0.908928,5.193545
0.020000,4.415972,2.029568,3.895898,2.616053,-2.420193,0.860955,5.196189
0.020000,4.439933,1.984140,3.947258,2.567975,-2.403907,0.814282,5.199412
0.020000,4.463604,1.939640,3.997662,2.520205,-2.388496,0.770564,5.203190
0.020000,4.487005,1.896073,4.047117,2.472735,-2.373481,0.750752,5.207504
0.020000,4.510155,1.853442,4.095628,2.425552,-2.359179,0.715069,5.212333
0.020000,4.533069,1.811751,4.143201,2.378648,-2.345168,0.700567,5.217657
0.020000,4.555762,1.771003,4.189841,2.332013,-2.331749,0.670969,5.223457
0.020000,4.578243,1.731200,4.235554,2.285650,-2.318188,0.678028,5.229713
0.020000,4.600523,1.692344,4.280345,2.239552,-2.304864,0.666187,5.236408
0.020000,4.622609,1.654434,4.324219,2.193717,-2.291737,0.656359,5.243522
0.020000,4.644508,1.617471,4.367182,2.148144,-2.278680,0.652871,5.251037
0.020000,4.666223,1.581453,4.409239,2.102856,-2.264387,0.714649,5.258933
0.020000,4.687757,1.546380,4.450396,2.057817,-2.251961,0.621294,5.267192
0.020000,4.709111,1.512248,4.490657,2.013061,-2.237810,0.707527,5.275793
0.020000,4.730285,1.479055,4.530029,1.968592,-2.223437,0.718678,5.284718
0.020000,4.751277,1.446796,4.568517,1.924399,-2.209671,0.688267,5.293946
0.020000,4.772086,1.415467,4.606127,1.880505,-2.194673,0.749919,5.303456
0.020000,4.792705,1.385061,4.642865,1.836905,-2.179983,0.734522,5.313227
0.020000,4.813132,1.355572,4.678737,1.793599,-2.165322,0.733025,5.323238
0.020000,4.833359,1.326994,4.713750,1.750627,-2.148581,0.837051,5.333467
0.020000,4.853380,1.299317,4.747909,1.707952,-2.133761,0.741028,5.343891
0.020000,4.873187,1.272533,4.781221,1.665606,-2.117312,0.822427,5.354487
0.020000,4.892772,1.246633,4.813692,1.623590,-2.100811,0.825072,5.365233
0.020000,4.912126,1.221605,4.845331,1.581904,-2.084275,0.826785,5.376104
0.020000,4.931240,1.197439,4.876142,1.540550,-2.067714,0.828047,5.387077
0.020000,4.950102,1.174122,4.906132,1.499542,-2.050405,0.865452,5.398129
0.020000,4.968703,1.151643,4.935310,1.458862,-2.033975,0.821508,5.409234
0.020000,4.987031,1.129987,4.963680,1.418534,-2.016404,0.878558,5.420370
0.020000,5.005076,1.109142,4.991251,1.378534,-1.999999,0.820231,5.431511
0.020000,5.022827,1.089093,5.018028,1.338871,-1.983174,0.841254,5.442635
0.020000,5.040270,1.069826,5.044019,1.299538,-1.966634,0.827001,5.453719
0.020000,5.057396,1.051325,5.069230,1.260537,-1.950048,0.829285,5.464738
0.020000,5.074192,1.033575,5.093667,1.221846,-1.934556,0.774589,5.475670
0.020000,5.090647,1.016561,5.117336,1.183474,-1.918598,0.797908,5.486494
0.020000,5.106748,1.000266,5.140244,1.145400,-1.903711,0.744355,5.497188
0.020000,5.122485,0.984675,5.162397,1.107619,-1.889028,0.734131,5.507732
0.020000,5.137846,0.969772,5.183799,1.070121,-1.874938,0.704530,5.518104
0.020000,5.152820,0.955540,5.204457,1.032892,-1.861421,0.675827,5.528287
0.020000,5.167395,0.941964,5.224375,0.995919,-1.848642,0.638956,5.538261
0.020000,5.181561,0.929028,5.243559,0.959194,-1.836277,0.618261,5.548011
0.020000,5.195307,0.916715,5.262013,0.922699,-1.824721,0.577775,5.557518
0.020000,5.208623,0.905012,5.279742,0.886421,-1.813926,0.539760,5.566769
0.020000,5.221499,0.893901,5.296749,0.850345,-1.803774,0.507625,5.575748
0.020000,5.233925,0.883369,5.313038,0.814462,-1.794169,0.480228,5.584442
0.020000,5.245892,0.873400,5.328613,0.778762,-1.785008,0.458081,5.592838
0.020000,5.257391,0.863980,5.343477,0.743213,-1.777459,0.377431,5.600925
0.020000,5.268413,0.855097,5.357634,0.707826,-1.769311,0.407408,5.608692
0.020000,5.278950,0.846735,5.371085,0.672574,-1.762623,0.334401,5.616129
0.020000,5.288994,0.838883,5.383834,0.637446,-1.756398,0.311255,5.623228
0.020000,5.298537,0.831529,5.395883,0.602435,-1.750527,0.293526,5.629979
0.020000,5.307574,0.824659,5.407234,0.567537,-1.744923,0.280195,5.636377
0.020000,5.316095,0.818264,5.417888,0.532707,-1.741478,0.172280,5.642414
0.020000,5.324096,0.812333,5.427848,0.497987,-1.736000,0.273868,5.648084
0.020000,5.331570,0.806855,5.437114,0.463334,-1.732664,0.166822,5.653382
0.020000,5.338512,0.801822,5.445689,0.428743,-1.729544,0.156007,5.658303
0.020000,5.344917,0.797224,5.453573,0.394213,-1.726527,0.150837,5.662843
0.020000,5.350780,0.793054,5.460768,0.359742,-1.723527,0.150001,5.666999
0.020000,5.356097,0.789304,5.467274,0.325303,-1.721958,0.078426,5.670767
0.020000,5.360863,0.785967,5.473093,0.290923,-1.719016,0.147143,5.674144
0.020000,5.365076,0.783038,5.478224,0.256547,-1.718772,0.012177,5.677128
0.020000,5.368732,0.780511,5.482668,0.222222,-1.716283,0.124453,5.679718
0.020000,5.371829,0.778381,5.486426,0.187920,-1.715075,0.060398,5.681911
0.020000,5.374364,0.776646,5.489499,0.153618,-1.715111,-0.001802,5.683705
0.020000,5.376336,0.775300,5.491886,0.119354,-1.713204,0.095356,5.685101
0.020000,5.377743,0.774343,5.493588,0.085091,-1.713122,0.004117,5.686096
0.020000,5.378584,0.773771,5.494605,0.050846,-1.712245,0.043834,5.686692
0.020000,5.378932,0.773535,5.495025,0.021010,-1.491824,11.021043,5.686938
0.020000,5.379000,0.773489,5.495108,0.004149,-0.843050,32.438715,5.686986
0.020000,5.379000,0.773489,5.495108,0.000000,-0.207449,31.780045,5.686986
