dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.602768,4.061505,0.000200,0.019955,0.997751,49.887554,0.002117
0.020000,1.602768,4.061505,0.000998,0.059865,1.995502,49.887554,0.001871
0.020000,1.602768,4.061505,0.002594,0.099775,1.995502,0.000000,0.001377
0.020000,1.602768,4.061505,0.004989,0.139685,1.995502,0.000000,0.000637
0.020000,1.603904,4.061505,0.008182,0.179595,1.995502,0.000000,6.282833
0.020000,1.607896,4.061501,0.012173,0.219505,1.995502,0.000000,6.281595
0.020000,1.612685,4.061489,0.016962,0.259415,1.995502,0.000000,6.280104
0.020000,1.618272,4.061467,0.022549,0.299325,1.995502,0.000000,6.278360
0.020000,1.624657,4.061430,0.028935,0.339235,1.995502,0.000000,6.276358
0.020000,1.631841,4.061373,0.036119,0.379145,1.995502,0.000000,6.274095
0.020000,1.639823,4.061290,0.044101,0.419055,1.995502,0.000000,6.271568
0.020000,1.648603,4.061176,0.052881,0.458965,1.995502,0.000000,6.268772
0.020000,1.658178,4.061023,0.062459,0.498876,1.995502,0.000000,6.265704
0.020000,1.668554,4.060825,0.072836,0.538786,1.995502,0.000000,6.262358
0.020000,1.679725,4.060572,0.084011,0.578696,1.995502,0.000000,6.258729
0.020000,1.691695,4.060255,0.095984,0.618606,1.995502,0.000000,6.254809
0.020000,1.704460,4.059866,0.108755,0.658516,1.995502,0.000000,6.250594
0.020000,1.718021,4.059393,0.122324,0.698426,1.995502,0.000000,6.246077
0.020000,1.732377,4.058826,0.136692,0.738336,1.995502,0.000000,6.241249
0.020000,1.747527,4.058151,0.151858,0.778246,1.995502,0.000000,6.236104
0.020000,1.763473,4.057356,0.167822,0.818156,1.995502,0.000000,6.230632
0.020000,1.780208,4.056427,0.184584,0.858066,1.995502,0.000000,6.224824
0.020000,1.797736,4.055349,0.202144,0.897976,1.995502,0.000000,6.218672
0.020000,1.816053,4.054106,0.220503,0.937886,1.995502,0.000000,6.212165
0.020000,1.835156,4.052681,0.239660,0.977796,1.995502,0.000000,6.205292
0.020000,1.855045,4.051056,0.259615,1.017706,1.995502,0.000000,6.198043
0.020000,1.875716,4.049213,0.280368,1.057616,1.995502,0.000000,6.190406
0.020000,1.897166,4.047130,0.301919,1.097526,1.995502,0.000000,6.182369
0.020000,1.919393,4.044787,0.324269,1.137436,1.995502,0.000000,6.173920
0.020000,1.942391,4.042161,0.347417,1.177346,1.995502,0.000000,6.165046
0.020000,1.966157,4.039228,0.371363,1.217256,1.995502,0.000000,6.155732
0.020000,1.990685,4.035964,0.396107,1.257166,1.995502,0.000000,6.145967
0.020000,2.015969,4.032341,0.421650,1.297076,1.995502,0.000000,6.135736
0.020000,2.042001,4.028332,0.447990,1.336986,1.995502,0.000000,6.125024
0.020000,2.068778,4.023908,0.475129,1.376896,1.995502,0.000000,6.113818
0.020000,2.096286,4.019038,0.503066,1.416807,1.995502,0.000000,6.102104
0.020000,2.124520,4.013690,0.531801,1.456717,1.995502,0.000000,6.089867
0.020000,2.153466,4.007832,0.561335,1.496627,1.995502,0.000000,6.077095
0.020000,2.183114,4.001428,0.591666,1.536537,1.995502,0.000000,6.063774
0.020000,2.213449,3.994443,0.622796,1.576447,1.995502,0.000000,6.049892
0.020000,2.244458,3.986837,0.654724,1.616357,1.995502,0.000000,6.035437
0.020000,2.276123,3.978575,0.687450,1.656267,1.995502,0.000000,6.020402
0.020000,2.308428,3.969614,0.720975,1.696177,1.995502,-0.000000,6.004775
0.020000,2.341351,3.959915,0.755298,1.736087,1.995502,0.000000,5.988553
0.020000,2.374871,3.949435,0.790418,1.775997,1.995502,-0.000000,5.971731
0.020000,2.408965,3.938131,0.826337,1.815907,1.995502,0.000000,5.954307
