dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.603366,3.779005,0.000200,0.019955,0.997751,49.887554,0.002117
0.020000,1.603296,3.779005,0.000269,0.003483,-0.823625,-91.068787,0.001871
0.020000,1.603157,3.779005,0.000409,0.006968,0.174282,49.895339,0.001377
0.020000,1.602947,3.779005,0.000618,0.010460,0.174593,0.015565,0.000637
0.020000,1.603805,3.779005,0.001475,0.042857,1.619858,72.263249,6.282833
0.020000,1.607446,3.779001,0.005117,0.182080,6.961137,267.063922,6.281595
0.020000,1.611815,3.778991,0.009485,0.218423,1.817150,-257.199332,6.280104
0.020000,1.616909,3.778971,0.014579,0.254697,1.813698,-0.172605,6.278360
0.020000,1.622728,3.778937,0.020398,0.290979,1.814095,0.019847,6.276358
0.020000,1.629273,3.778885,0.026943,0.327235,1.812831,-0.063209,6.274095
0.020000,1.636541,3.778809,0.034212,0.363433,1.809899,-0.146607,6.271568
0.020000,1.644531,3.778705,0.042203,0.399539,1.805296,-0.230134,6.268772
0.020000,1.653240,3.778567,0.050913,0.435520,1.799025,-0.313567,6.265704
0.020000,1.662671,3.778386,0.060346,0.471624,1.805189,0.308230,6.262358
0.020000,1.672817,3.778156,0.070494,0.507407,1.789159,-0.801498,6.258729
0.020000,1.683679,3.777869,0.081360,0.543331,1.796228,0.353439,6.254809
0.020000,1.695255,3.777516,0.092941,0.579045,1.785685,-0.527162,6.250594
0.020000,1.707541,3.777088,0.105234,0.614661,1.780781,-0.245217,6.246077
0.020000,1.720534,3.776574,0.118238,0.650174,1.775676,-0.255209,6.241249
0.020000,1.734231,3.775964,0.131949,0.685554,1.768971,-0.335278,6.236104
0.020000,1.748633,3.775246,0.146368,0.720976,1.771130,0.107950,6.230632
0.020000,1.763731,3.774408,0.161489,0.756037,1.753054,-0.903800,6.224824
0.020000,1.779524,3.773437,0.177312,0.791161,1.756173,0.155973,6.218672
0.020000,1.796006,3.772318,0.193832,0.826001,1.742002,-0.708560,6.212165
0.020000,1.813173,3.771038,0.211047,0.860749,1.737406,-0.229800,6.205292
0.020000,1.831021,3.769580,0.228955,0.895363,1.730719,-0.334350,6.198043
0.020000,1.849544,3.767928,0.247551,0.929803,1.721978,-0.437049,6.190406
0.020000,1.868734,3.766065,0.266831,0.964028,1.711239,-0.536979,6.182369
0.020000,1.888587,3.763972,0.286794,0.998133,1.705263,-0.298793,6.173920
