dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.603366,4.344004,0.000200,0.019955,0.997751,49.887554,6.281068
0.020000,1.603296,4.344004,0.000269,0.003483,-0.823625,-91.068787,6.281315
0.020000,1.603157,4.344004,0.000409,0.006968,0.174282,49.895339,6.281808
0.020000,1.602947,4.344005,0.000618,0.010460,0.174593,0.015565,6.282549
0.020000,1.603805,4.344005,0.001475,0.042857,1.619858,72.263249,0.000352
0.020000,1.607446,4.344008,0.005117,0.182080,6.961137,267.063922,0.001590
0.020000,1.611815,4.344019,0.009485,0.218423,1.817150,-257.199332,0.003081
0.020000,1.616909,4.344039,0.014579,0.254697,1.813698,-0.172605,0.004826
0.020000,1.622728,4.344073,0.020398,0.290979,1.814095,0.019847,0.006828
0.020000,1.629273,4.344125,0.026943,0.327235,1.812831,-0.063209,0.009091
0.020000,1.636541,4.344200,0.034212,0.363433,1.809899,-0.146607,0.011618
0.020000,1.644531,4.344304,0.042203,0.399539,1.805296,-0.230134,0.014413
0.020000,1.653240,4.344443,0.050913,0.435520,1.799025,-0.313567,0.017481
0.020000,1.662671,4.344624,0.060346,0.471624,1.805189,0.308230,0.020828
0.020000,1.672817,4.344853,0.070494,0.507407,1.789159,-0.801498,0.024457
0.020000,1.683679,4.345140,0.081360,0.543331,1.796228,0.353439,0.028376
0.020000,1.695255,4.345493,0.092941,0.579045,1.785685,-0.527162,0.032591
0.020000,1.707541,4.345921,0.105234,0.614661,1.780781,-0.245217,0.037108
0.020000,1.720534,4.346435,0.118238,0.650174,1.775676,-0.255209,0.041936
0.020000,1.734231,4.347045,0.131949,0.685554,1.768971,-0.335278,0.047081
0.020000,1.748633,4.347763,0.146368,0.720976,1.771130,0.107950,0.052554
0.020000,1.763731,4.348601,0.161489,0.756037,1.753054,-0.903800,0.058361
0.020000,1.779524,4.349573,0.177312,0.791161,1.756173,0.155973,0.064514
0.020000,1.796006,4.350691,0.193832,0.826001,1.742002,-0.708560,0.071021
0.020000,1.813173,4.351972,0.211047,0.860749,1.737406,-0.229800,0.077893
0.020000,1.831021,4.353430,0.228955,0.895363,1.730719,-0.334350,0.085142
0.020000,1.849544,4.355082,0.247551,0.929803,1.721978,-0.437049,0.092779
0.020000,1.868734,4.356945,0.266831,0.964028,1.711239,-0.536979,0.100816
0.020000,1.888587,4.359038,0.286794,0.998133,1.705263,-0.298793,0.109265
0.020000,1.909094,4.361379,0.307434,1.032013,1.694020,-0.562126,0.118140
0.020000,1.930249,4.363990,0.328750,1.065778,1.688242,-0.288899,0.127453
0.020000,1.952042,4.366890,0.350735,1.099273,1.674751,-0.674583,0.137218
0.020000,1.974465,4.370103,0.373387,1.132589,1.665801,-0.447495,0.147450
0.020000,1.997507,4.373652,0.396701,1.165686,1.654853,-0.547382,0.158161
0.020000,2.021160,4.377560,0.420674,1.198686,1.649967,-0.244325,0.169367
0.020000,2.045410,4.381853,0.445301,1.231346,1.633011,-0.847783,0.181081
0.020000,2.070247,4.386557,0.470580,1.263943,1.629843,-0.158409,0.193318
0.020000,2.095657,4.391699,0.496505,1.296254,1.615581,-0.713096,0.206091
0.020000,2.121626,4.397309,0.523073,1.328403,1.607424,-0.407844,0.219412
0.020000,2.148140,4.403414,0.550281,1.360360,1.597844,-0.479007,0.233293
0.020000,2.175183,4.410046,0.578126,1.392256,1.594804,-0.151979,0.247748
0.020000,2.202738,4.417236,0.606603,1.423869,1.580650,-0.707697,0.262784
0.020000,2.230789,4.425017,0.635713,1.455505,1.581804,0.057675,0.278410
0.020000,2.259316,4.433421,0.665453,1.486971,1.573293,-0.425524,0.294633
0.020000,2.288301,4.442483,0.695821,1.518398,1.571346,-0.097379,0.311455
0.020000,2.317723,4.452238,0.726818,1.549862,1.573198,0.092633,0.328878
0.020000,2.347560,4.462721,0.758443,1.581259,1.569886,-0.165595,0.346899
0.020000,2.377792,4.473969,0.790700,1.612841,1.579096,0.460463,0.365512
0.020000,2.408396,4.486019,0.823590,1.644519,1.583910,0.240695,0.384708
0.020000,2.439348,4.498908,0.857118,1.676408,1.594410,0.525040,0.404470
0.020000,2.470625,4.512674,0.891291,1.708614,1.610328,0.795858,0.424780
0.020000,2.502201,4.527354,0.926113,1.741101,1.624353,0.701254,0.445612
0.020000,2.534053,4.542987,0.961594,1.774087,1.649306,1.247675,0.466937
0.020000,2.566155,4.559611,0.997746,1.807559,1.673610,1.215194,0.488716
0.020000,2.598482,4.577264,1.034578,1.841637,1.703857,1.512341,0.510908
0.020000,2.631009,4.595982,1.072106,1.876395,1.737912,1.702763,0.533466
0.020000,2.663708,4.615802,1.110344,1.911885,1.774532,1.831019,0.556335
0.020000,2.696556,4.636760,1.149308,1.948222,1.816831,2.114935,0.579457
0.020000,2.729527,4.658890,1.189018,1.985466,1.862173,2.267111,0.602768
0.020000,2.762596,4.682226,1.229491,2.023657,1.909580,2.370325,0.626201
0.020000,2.795738,4.706797,1.270747,2.062836,1.958958,2.468921,0.649686
0.020000,2.828928,4.732634,1.312808,2.103049,2.010655,2.584834,0.673148
0.020000,2.862143,4.759763,1.355695,2.144316,2.063320,2.633229,0.696515
0.020000,2.895361,4.788209,1.399428,2.186645,2.116434,2.655724,0.719710
0.020000,2.928558,4.817993,1.444028,2.230014,2.168464,2.601484,0.742661
0.020000,2.961716,4.849134,1.489516,2.274409,2.219768,2.565223,0.765294
0.020000,2.994814,4.881647,1.535912,2.319791,2.269113,2.467262,0.787540
0.020000,3.027834,4.915545,1.583234,2.366117,2.316269,2.357762,0.809332
0.020000,3.060761,4.950836,1.631501,2.413331,2.360726,2.222876,0.830606
0.020000,3.093580,4.987527,1.680728,2.461367,2.401780,2.052679,0.851306
0.020000,3.126280,5.025620,1.730931,2.510160,2.439666,1.894334,0.871377
0.020000,3.158852,5.065114,1.782124,2.559638,2.473880,1.710685,0.890770
0.020000,3.191288,5.106006,1.834319,2.609734,2.504787,1.545343,0.909443
0.020000,3.223586,5.148290,1.887527,2.660385,2.532564,1.388865,0.927355
0.020000,3.255745,5.191956,1.941757,2.711507,2.556091,1.176311,0.944474
0.020000,3.287768,5.236993,1.997018,2.763065,2.577934,1.092180,0.960769
0.020000,3.319659,5.283389,2.053318,2.814974,2.595425,0.874549,0.976213
0.020000,3.351430,5.331128,2.110662,2.867211,2.611855,0.821514,0.990786
0.020000,3.383092,5.380193,2.169056,2.919727,2.625819,0.698168,1.004466
0.020000,3.414664,5.430567,2.228506,2.972489,2.638093,0.613712,1.017237
0.020000,3.446164,5.482230,2.289015,3.025465,2.648799,0.535320,1.029082
0.020000,3.477522,5.534998,2.350398,3.069119,2.182688,-23.305576,1.039957
0.020000,3.508529,5.588428,2.412173,3.088759,0.982010,-60.033881,1.049783
0.020000,3.538991,5.642059,2.473851,3.083920,-0.241941,-61.197557,1.058518
0.020000,3.568821,5.695592,2.535134,3.064142,-0.988938,-37.349840,1.066170
0.020000,3.598026,5.748894,2.595913,3.038924,-1.260905,-13.598376,1.072782
0.020000,3.626658,5.801916,2.656172,3.012956,-1.298363,-1.872900,1.078406
0.020000,3.654765,5.854615,2.715898,2.986298,-1.332901,-1.726907,1.083093
0.020000,3.682393,5.906950,2.775077,2.958983,-1.365755,-1.642698,1.086888
0.020000,3.709587,5.958882,2.833699,2.931076,-1.395355,-1.479969,1.089834
0.020000,3.736385,6.010379,2.891751,2.902610,-1.423285,-1.396525,1.091969
0.020000,3.762827,6.061408,2.949224,2.873629,-1.449063,-1.288869,1.093330
0.020000,3.788948,6.111939,3.006107,2.844170,-1.472972,-1.195470,1.093952
0.020000,3.814781,6.161946,3.062392,2.814264,-1.495263,-1.114562,1.093865
0.020000,3.840357,6.211403,3.118071,2.783945,-1.515991,-1.036405,1.093100
0.020000,3.865704,6.260287,3.173136,2.753236,-1.535405,-0.970669,1.091683
0.020000,3.890849,6.308576,3.227579,2.722163,-1.553673,-0.913428,1.089640
0.020000,3.915815,6.356249,3.281394,2.690747,-1.570820,-0.857356,1.086996
0.020000,3.940625,6.403287,3.334574,2.659005,-1.587102,-0.814065,1.083774
