dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.602768,4.061505,0.000200,0.019955,0.997751,49.887554,6.281068
0.020000,1.602768,4.061505,0.000998,0.059865,1.995502,49.887554,6.281315
0.020000,1.602768,4.061505,0.002594,0.099775,1.995502,0.000000,6.281808
0.020000,1.602768,4.061505,0.004989,0.139685,1.995502,0.000000,6.282549
0.020000,1.603904,4.061505,0.008182,0.179595,1.995502,0.000000,0.000352
0.020000,1.607896,4.061509,0.012173,0.219505,1.995502,0.000000,0.001590
0.020000,1.612685,4.061520,0.016962,0.259415,1.995502,0.000000,0.003081
0.020000,1.618272,4.061542,0.022549,0.299325,1.995502,0.000000,0.004826
0.020000,1.624657,4.061579,0.028935,0.339235,1.995502,0.000000,0.006828
0.020000,1.631841,4.061636,0.036119,0.379145,1.995502,0.000000,0.009091
0.020000,1.639823,4.061719,0.044101,0.419055,1.995502,0.000000,0.011618
0.020000,1.648603,4.061833,0.052881,0.458965,1.995502,0.000000,0.014413
0.020000,1.658178,4.061986,0.062459,0.498876,1.995502,0.000000,0.017481
0.020000,1.668554,4.062185,0.072836,0.538786,1.995502,0.000000,0.020828
0.020000,1.679725,4.062438,0.084011,0.578696,1.995502,0.000000,0.024457
0.020000,1.691695,4.062754,0.095984,0.618606,1.995502,0.000000,0.028376
0.020000,1.704460,4.063143,0.108755,0.658516,1.995502,0.000000,0.032591
0.020000,1.718021,4.063616,0.122324,0.698426,1.995502,0.000000,0.037108
0.020000,1.732377,4.064184,0.136692,0.738336,1.995502,0.000000,0.041936
0.020000,1.747527,4.064858,0.151858,0.778246,1.995502,0.000000,0.047081
0.020000,1.763473,4.065653,0.167822,0.818156,1.995502,0.000000,0.052554
0.020000,1.780208,4.066582,0.184584,0.858066,1.995502,0.000000,0.058361
0.020000,1.797736,4.067660,0.202144,0.897976,1.995502,0.000000,0.064514
0.020000,1.816053,4.068903,0.220503,0.937886,1.995502,0.000000,0.071021
0.020000,1.835156,4.070328,0.239660,0.977796,1.995502,0.000000,0.077893
0.020000,1.855045,4.071953,0.259615,1.017706,1.995502,0.000000,0.085142
0.020000,1.875716,4.073797,0.280368,1.057616,1.995502,0.000000,0.092779
0.020000,1.897166,4.075879,0.301919,1.097526,1.995502,0.000000,0.100816
0.020000,1.919393,4.078222,0.324269,1.137436,1.995502,0.000000,0.109265
0.020000,1.942391,4.080848,0.347417,1.177346,1.995502,0.000000,0.118140
0.020000,1.966157,4.083781,0.371363,1.217256,1.995502,0.000000,0.127453
0.020000,1.990685,4.087046,0.396107,1.257166,1.995502,0.000000,0.137218
0.020000,2.015969,4.090669,0.421650,1.297076,1.995502,0.000000,0.147450
0.020000,2.042001,4.094678,0.447990,1.336986,1.995502,0.000000,0.158161
0.020000,2.068778,4.099102,0.475129,1.376896,1.995502,0.000000,0.169367
0.020000,2.096286,4.103972,0.503066,1.416807,1.995502,0.000000,0.181081
0.020000,2.124520,4.109319,0.531801,1.456717,1.995502,0.000000,0.193318
0.020000,2.153466,4.115177,0.561335,1.496627,1.995502,0.000000,0.206091
0.020000,2.183114,4.121581,0.591666,1.536537,1.995502,0.000000,0.219412
0.020000,2.213449,4.128567,0.622796,1.576447,1.995502,0.000000,0.233293
0.020000,2.244458,4.136172,0.654724,1.616357,1.995502,0.000000,0.247748
0.020000,2.276123,4.144434,0.687450,1.656267,1.995502,0.000000,0.262784
0.020000,2.308428,4.153395,0.720975,1.696177,1.995502,-0.000000,0.278410
0.020000,2.341351,4.163095,0.755298,1.736087,1.995502,0.000000,0.294633
0.020000,2.374871,4.173575,0.790418,1.775997,1.995502,-0.000000,0.311455
0.020000,2.408965,4.184879,0.826337,1.815907,1.995502,0.000000,0.328878
0.020000,2.443605,4.197049,0.863055,1.855817,1.995502,-0.000000,0.346899
0.020000,2.478765,4.210131,0.900570,1.895727,1.995502,0.000000,0.365512
0.020000,2.514415,4.224168,0.938884,1.935637,1.995502,-0.000000,0.384708
0.020000,2.550520,4.239202,0.977996,1.975547,1.995502,0.000000,0.404470
0.020000,2.587049,4.255280,1.017906,2.015457,1.995502,-0.000000,0.424780
0.020000,2.623961,4.272441,1.058614,2.055367,1.995502,0.000000,0.445612
0.020000,2.661221,4.290728,1.100120,2.095277,1.995502,0.000000,0.466937
0.020000,2.698787,4.310182,1.142425,2.135187,1.995502,0.000000,0.488716
0.020000,2.736616,4.330839,1.185528,2.175097,1.995502,0.000000,0.510908
0.020000,2.774666,4.352736,1.229429,2.215007,1.995502,0.000000,0.533466
0.020000,2.812890,4.375904,1.274128,2.254917,1.995502,0.000000,0.556335
0.020000,2.851245,4.400376,1.319626,2.294827,1.995502,0.000000,0.579457
0.020000,2.889684,4.426176,1.365921,2.334738,1.995502,0.000000,0.602768
0.020000,2.928161,4.453327,1.413015,2.374648,1.995502,0.000000,0.626201
0.020000,2.966632,4.481850,1.460907,2.414558,1.995502,0.000000,0.649686
0.020000,3.005053,4.511758,1.509597,2.454468,1.995502,0.000000,0.673148
0.020000,3.043380,4.543062,1.559086,2.494378,1.995502,0.000000,0.696515
0.020000,3.081575,4.575770,1.609372,2.534288,1.995502,0.000000,0.719710
0.020000,3.119599,4.609883,1.660457,2.574198,1.995502,0.000000,0.742661
0.020000,3.157418,4.645401,1.712340,2.614108,1.995502,0.000000,0.765294
0.020000,3.194999,4.682317,1.765022,2.654018,1.995502,0.000000,0.787540
0.020000,3.232315,4.720625,1.818501,2.693928,1.995502,0.000000,0.809332
0.020000,3.269342,4.760310,1.872779,2.733838,1.995502,0.000000,0.830606
0.020000,3.306060,4.801359,1.927855,2.773748,1.995502,0.000000,0.851306
0.020000,3.342454,4.843754,1.983729,2.813658,1.995502,0.000000,0.871377
0.020000,3.378511,4.887475,2.040401,2.853568,1.995502,0.000000,0.890770
0.020000,3.414227,4.932499,2.097871,2.893478,1.995502,0.000000,0.909443
0.020000,3.449597,4.978803,2.156140,2.933388,1.995502,0.000000,0.927355
0.020000,3.484624,5.026363,2.215207,2.973298,1.995502,0.000000,0.944474
0.020000,3.519314,5.075152,2.275072,3.013208,1.995502,0.000000,0.960769
0.020000,3.553677,5.125143,2.335735,3.053118,1.995502,0.000000,0.976213
0.020000,3.587729,5.176308,2.397197,3.093028,1.995502,0.000000,0.990786
0.020000,3.621487,5.228621,2.459456,3.132938,1.995502,0.000000,1.004466
0.020000,3.654975,5.282051,2.522514,3.172848,1.995502,0.000000,1.017237
0.020000,3.688218,5.336572,2.586370,3.212758,1.995502,0.000000,1.029082
0.020000,3.721145,5.391981,2.650825,3.232714,0.997751,-49.887554,1.039957
0.020000,3.753546,5.447811,2.715376,3.222427,-0.514336,-75.604375,1.049783
0.020000,3.785227,5.503588,2.779523,3.192185,-1.512087,-49.887554,1.058518
0.020000,3.816109,5.559009,2.842967,3.152275,-1.995502,-24.170733,1.066170
0.020000,3.846211,5.613949,2.905614,3.112365,-1.995502,0.000000,1.072782
0.020000,3.875598,5.668369,2.967462,3.072455,-1.995502,0.000000,1.078406
0.020000,3.904329,5.722236,3.028512,3.032545,-1.995502,0.000000,1.083093
0.020000,3.932458,5.775519,3.088764,2.992635,-1.995502,0.000000,1.086888
0.020000,3.960037,5.828189,3.148217,2.952725,-1.995502,0.000000,1.089834
0.020000,3.987114,5.880220,3.206873,2.912815,-1.995502,0.000000,1.091969
0.020000,4.013733,5.931590,3.264730,2.872905,-1.995502,0.000000,1.093330
0.020000,4.039935,5.982278,3.321789,2.832995,-1.995502,0.000000,1.093952
0.020000,4.065756,6.032263,3.378050,2.793085,-1.995502,0.000000,1.093865
0.020000,4.091233,6.081528,3.433512,2.753175,-1.995502,0.000000,1.093100
0.020000,4.116396,6.130057,3.488177,2.713265,-1.995502,0.000000,1.091683
0.020000,4.141274,6.177834,3.542043,2.673354,-1.995502,0.000000,1.089640
0.020000,4.165894,6.224845,3.595111,2.633444,-1.995502,0.000000,1.086996
0.020000,4.190279,6.271078,3.647381,2.593534,-1.995502,0.000000,1.083774
0.020000,4.214451,6.316521,3.698852,2.553624,-1.995502,0.000000,1.079995
0.020000,4.238429,6.361162,3.749525,2.513714,-1.995502,0.000000,1.075681
0.020000,4.262230,6.404992,3.799401,2.473804,-1.995502,0.000000,1.070853
0.020000,4.285869,6.448000,3.848478,2.433894,-1.995502,0.000000,1.065529
0.020000,4.309359,6.490180,3.896756,2.393984,-1.995502,0.000000,1.059729
0.020000,4.332709,6.531521,3.944237,2.354074,-1.995502,0.000000,1.053472
0.020000,4.355930,6.572019,3.990919,2.314164,-1.995502,0.000000,1.046777
0.020000,4.379028,6.611665,4.036804,2.274254,-1.995502,0.000000,1.039663
0.020000,4.402009,6.650454,4.081890,2.234344,-1.995502,0.000000,1.032148
