dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.602169,3.779005,0.000200,0.019955,0.997751,49.887554,6.281068
0.020000,1.602239,3.779005,0.000269,0.003483,-0.823625,-91.068787,6.281315
0.020000,1.602379,3.779005,0.000409,0.006968,0.174282,49.895339,6.281808
0.020000,1.602588,3.779005,0.000618,0.010460,0.174593,0.015565,6.282549
0.020000,1.604004,3.779005,0.002034,0.070790,3.016510,142.095809,0.000352
0.020000,1.608345,3.779009,0.006375,0.217067,7.313830,214.866011,0.001590
0.020000,1.613555,3.779021,0.011585,0.260529,2.173128,-257.035068,0.003081
0.020000,1.619635,3.779045,0.017665,0.303984,2.172749,-0.018977,0.004826
0.020000,1.626586,3.779086,0.024616,0.347537,2.177606,0.242872,0.006828
0.020000,1.634409,3.779148,0.032439,0.391159,2.181140,0.176685,0.009091
0.020000,1.643105,3.779238,0.041136,0.434826,2.183347,0.110360,0.011618
0.020000,1.652674,3.779363,0.050706,0.478511,2.184229,0.044081,0.014413
0.020000,1.663116,3.779529,0.061150,0.522187,2.183790,-0.021960,0.017481
0.020000,1.674438,3.779746,0.072473,0.566166,2.198973,0.759174,0.020828
0.020000,1.686633,3.780022,0.084672,0.609931,2.188238,-0.536740,0.024457
0.020000,1.699710,3.780368,0.097753,0.654050,2.205980,0.887090,0.028376
0.020000,1.713666,3.780793,0.111715,0.698116,2.203300,-0.133982,0.032591
0.020000,1.728502,3.781310,0.126560,0.742280,2.208153,0.242636,0.037108
0.020000,1.744221,3.781932,0.142291,0.786550,2.213539,0.269313,0.041936
0.020000,1.760822,3.782671,0.158910,0.830906,2.217773,0.211681,0.047081
0.020000,1.778312,3.783543,0.176421,0.875577,2.233573,0.789986,0.052554
0.020000,1.796686,3.784563,0.194823,0.920090,2.225615,-0.397907,0.058361
0.020000,1.815949,3.785748,0.214122,0.964974,2.244230,0.930783,0.064514
0.020000,1.836099,3.787115,0.234319,1.009826,2.242612,-0.080917,0.071021
0.020000,1.857139,3.788685,0.255417,1.054896,2.253477,0.543266,0.077893
0.020000,1.879068,3.790476,0.277420,1.100148,2.262613,0.456795,0.085142
0.020000,1.901889,3.792512,0.300331,1.145549,2.270023,0.370484,0.092779
0.020000,1.925599,3.794814,0.324152,1.191063,2.275719,0.284829,0.100816
0.020000,1.950199,3.797407,0.348888,1.236824,2.288025,0.615275,0.109265
0.020000,1.975687,3.800317,0.374543,1.282713,2.294496,0.323547,0.118140
0.020000,2.002065,3.803573,0.401120,1.328881,2.308371,0.693746,0.127453
0.020000,2.029327,3.807201,0.428623,1.375144,2.313166,0.239773,0.137218
0.020000,2.057472,3.811234,0.457056,1.421625,2.324027,0.543025,0.147450
0.020000,2.086496,3.815704,0.486421,1.468278,2.332666,0.431960,0.158161
0.020000,2.116396,3.820644,0.516727,1.515260,2.349084,0.820919,0.169367
0.020000,2.147163,3.826091,0.547972,1.562263,2.350183,0.054911,0.181081
0.020000,2.178793,3.832081,0.580164,1.609632,2.368432,0.912472,0.193318
0.020000,2.211276,3.838656,0.613306,1.657072,2.372017,0.179256,0.206091
0.020000,2.244602,3.845854,0.647400,1.704721,2.382455,0.521868,0.219412
0.020000,2.278758,3.853720,0.682451,1.752517,2.389797,0.367148,0.233293
0.020000,2.313733,3.862297,0.718463,1.800595,2.403895,0.704870,0.247748
0.020000,2.349508,3.871633,0.755435,1.848624,2.401451,-0.122188,0.262784
0.020000,2.386066,3.881773,0.793374,1.896947,2.416136,0.734224,0.278410
0.020000,2.423386,3.892768,0.832279,1.945247,2.414985,-0.057508,0.294633
0.020000,2.461441,3.904666,0.872151,1.993616,2.418441,0.172792,0.311455
0.020000,2.500207,3.917519,0.912992,2.042062,2.422297,0.192771,0.328878
0.020000,2.539650,3.931378,0.954799,2.090342,2.414010,-0.414334,0.346899
0.020000,2.579739,3.946293,0.997573,2.138665,2.416186,0.108792,0.365512
0.020000,2.620434,3.962316,1.041308,2.186781,2.405766,-0.520975,0.384708
0.020000,2.661693,3.979497,1.086002,2.234688,2.395371,-0.519745,0.404470
0.020000,2.703473,3.997886,1.131649,2.282369,2.384031,-0.567012,0.424780
0.020000,2.745722,4.017528,1.178241,2.329597,2.361411,-1.130994,0.445612
0.020000,2.788389,4.038470,1.225771,2.376481,2.344196,-0.860786,0.466937
0.020000,2.831418,4.060752,1.274227,2.422813,2.316608,-1.379372,0.488716
0.020000,2.874750,4.084414,1.323598,2.468560,2.287356,-1.462627,0.510908
0.020000,2.918323,4.109489,1.373871,2.513634,2.253684,-1.683580,0.533466
0.020000,2.962072,4.136006,1.425029,2.557919,2.214272,-1.970601,0.556335
0.020000,3.005933,4.163991,1.477057,2.601397,2.173883,-2.019439,0.579457
0.020000,3.049840,4.193461,1.529937,2.643994,2.129829,-2.202724,0.602768
