dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.674741,4.391920,0.000198,0.019850,0.992489,49.624456,6.282831
0.020000,1.674728,4.391920,0.000211,0.000613,-0.961829,-97.715908,6.282875
0.020000,1.674704,4.391920,0.000235,0.001228,0.030721,49.627504,6.282962
0.020000,1.674667,4.391920,0.000272,0.001844,0.030843,0.006099,6.283092
0.020000,1.676097,4.391920,0.001702,0.071501,3.482813,172.598511,0.000081
0.020000,1.680005,4.391921,0.005610,0.195406,6.195254,135.622048,0.000300
0.020000,1.684695,4.391923,0.010300,0.234479,1.953657,-212.079840,0.000564
0.020000,1.690165,4.391927,0.015771,0.273533,1.952700,-0.047894,0.000873
0.020000,1.696417,4.391933,0.022022,0.312583,1.952524,-0.008752,0.001228
0.020000,1.703449,4.391943,0.029055,0.351625,1.952082,-0.022140,0.001629
0.020000,1.711263,4.391958,0.036868,0.390652,1.951365,-0.035812,0.002078
0.020000,1.719856,4.391978,0.045461,0.429660,1.950369,-0.049799,0.002576
0.020000,1.729229,4.392005,0.054834,0.468675,1.950743,0.018669,0.003123
0.020000,1.739382,4.392039,0.064987,0.507646,1.948570,-0.108625,0.003720
0.020000,1.750314,4.392084,0.075920,0.546627,1.949046,0.023800,0.004370
0.020000,1.762026,4.392139,0.087631,0.585567,1.947008,-0.101894,0.005073
0.020000,1.774515,4.392207,0.100121,0.624494,1.946351,-0.032855,0.005830
0.020000,1.787783,4.392290,0.113389,0.663402,1.945408,-0.047177,0.006644
0.020000,1.801829,4.392389,0.127435,0.702286,1.944166,-0.062093,0.007515
0.020000,1.816651,4.392507,0.142258,0.741138,1.942613,-0.077637,0.008446
0.020000,1.832250,4.392647,0.157857,0.779969,1.941542,-0.053559,0.009439
0.020000,1.848624,4.392810,0.174233,0.818778,1.940459,-0.054164,0.010495
0.020000,1.865774,4.393000,0.191384,0.857545,1.938352,-0.105339,0.011616
0.020000,1.883698,4.393218,0.209309,0.896277,1.936601,-0.087566,0.012806
0.020000,1.902396,4.393470,0.228009,0.934986,1.935433,-0.058365,0.014066
0.020000,1.921867,4.393757,0.247482,0.973658,1.933599,-0.091694,0.015400
0.020000,1.942111,4.394083,0.267728,1.012296,1.931915,-0.084223,0.016808
0.020000,1.963125,4.394451,0.288746,1.050887,1.929554,-0.118067,0.018296
0.020000,1.984910,4.394867,0.310534,1.089424,1.926868,-0.134258,0.019865
0.020000,2.007464,4.395334,0.333093,1.127934,1.925503,-0.068285,0.021518
0.020000,2.030785,4.395856,0.356420,1.166379,1.922235,-0.163401,0.023260
0.020000,2.054874,4.396438,0.380516,1.204803,1.921205,-0.051497,0.025093
0.020000,2.079729,4.397086,0.405379,1.243150,1.917354,-0.192551,0.027021
0.020000,2.105348,4.397804,0.431008,1.281447,1.914824,-0.126490,0.029048
0.020000,2.131730,4.398599,0.457402,1.319684,1.911864,-0.147990,0.031179
0.020000,2.158873,4.399476,0.484559,1.357858,1.908703,-0.158068,0.033418
0.020000,2.186776,4.400441,0.512479,1.395994,1.906798,-0.095254,0.035768
0.020000,2.215436,4.401502,0.541159,1.434013,1.900970,-0.291367,0.038236
0.020000,2.244854,4.402666,0.570600,1.472017,1.900154,-0.040815,0.040826
0.020000,2.275025,4.403939,0.600798,1.509904,1.894392,-0.288115,0.043543
0.020000,2.305948,4.405330,0.631752,1.547723,1.890916,-0.173808,0.046393
0.020000,2.337621,4.406848,0.663461,1.585461,1.886905,-0.200541,0.049382
