dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.674641,4.109420,0.000198,0.019850,0.992489,49.624456,6.282831
0.020000,1.674641,4.109420,0.000992,0.059549,1.984978,49.624456,6.282875
0.020000,1.674641,4.109420,0.002580,0.099249,1.984978,-0.000000,6.282962
0.020000,1.674641,4.109420,0.004962,0.138948,1.984978,-0.000000,6.283092
0.020000,1.676120,4.109420,0.008138,0.178648,1.984978,0.000000,0.000081
0.020000,1.680090,4.109421,0.012108,0.218348,1.984978,0.000000,0.000300
0.020000,1.684854,4.109423,0.016872,0.258047,1.984978,-0.000000,0.000564
0.020000,1.690412,4.109427,0.022430,0.297747,1.984978,0.000000,0.000873
0.020000,1.696764,4.109434,0.028782,0.337446,1.984978,0.000000,0.001228
0.020000,1.703910,4.109444,0.035928,0.377146,1.984978,0.000000,0.001629
0.020000,1.711850,4.109459,0.043868,0.416845,1.984978,0.000000,0.002078
0.020000,1.720583,4.109479,0.052602,0.456545,1.984978,0.000000,0.002576
0.020000,1.730111,4.109506,0.062130,0.496245,1.984978,-0.000000,0.003123
0.020000,1.740433,4.109541,0.072452,0.535944,1.984978,0.000000,0.003720
0.020000,1.751549,4.109586,0.083568,0.575644,1.984978,0.000000,0.004370
0.020000,1.763459,4.109642,0.095477,0.615343,1.984978,0.000000,0.005073
0.020000,1.776162,4.109712,0.108181,0.655043,1.984978,0.000000,0.005830
0.020000,1.789660,4.109796,0.121679,0.694742,1.984978,0.000000,0.006644
0.020000,1.803951,4.109897,0.135971,0.734442,1.984978,0.000000,0.007515
0.020000,1.819037,4.110017,0.151057,0.774142,1.984978,0.000000,0.008446
0.020000,1.834916,4.110159,0.166937,0.813841,1.984978,-0.000000,0.009439
0.020000,1.851589,4.110326,0.183610,0.853541,1.984978,0.000000,0.010495
0.020000,1.869056,4.110519,0.201078,0.893240,1.984978,-0.000000,0.011616
0.020000,1.887316,4.110742,0.219340,0.932940,1.984978,0.000000,0.012806
0.020000,1.906370,4.110998,0.238396,0.972639,1.984978,-0.000000,0.014066
0.020000,1.926218,4.111290,0.258246,1.012339,1.984978,0.000000,0.015400
0.020000,1.946859,4.111622,0.278889,1.052038,1.984978,0.000000,0.016808
0.020000,1.968293,4.111999,0.300327,1.091738,1.984978,-0.000000,0.018296
0.020000,1.990521,4.112423,0.322559,1.131438,1.984978,0.000000,0.019865
0.020000,2.013542,4.112899,0.345585,1.171137,1.984978,-0.000000,0.021518
0.020000,2.037356,4.113432,0.369404,1.210837,1.984978,0.000000,0.023260
0.020000,2.061962,4.114027,0.394018,1.250536,1.984978,-0.000000,0.025093
0.020000,2.087361,4.114689,0.419426,1.290236,1.984978,0.000000,0.027021
0.020000,2.113553,4.115423,0.445628,1.329935,1.984978,-0.000000,0.029048
0.020000,2.140536,4.116236,0.472623,1.369635,1.984978,0.000000,0.031179
0.020000,2.168311,4.117134,0.500413,1.409335,1.984978,-0.000000,0.033418
0.020000,2.196878,4.118122,0.528997,1.449034,1.984978,0.000000,0.035768
0.020000,2.226235,4.119209,0.558374,1.488734,1.984978,0.000000,0.038236
0.020000,2.256384,4.120401,0.588546,1.528433,1.984978,0.000000,0.040826
0.020000,2.287322,4.121707,0.619512,1.568133,1.984978,-0.000000,0.043543
0.020000,2.319049,4.123134,0.651271,1.607832,1.984978,0.000000,0.046393
0.020000,2.351566,4.124692,0.683825,1.647532,1.984978,0.000000,0.049382
0.020000,2.384870,4.126390,0.717173,1.687232,1.984978,0.000000,0.052517
0.020000,2.418961,4.128238,0.751314,1.726931,1.984978,-0.000000,0.055803
0.020000,2.453840,4.130247,0.786250,1.766631,1.984978,0.000000,0.059248
0.020000,2.489502,4.132426,0.821979,1.806330,1.984978,0.000000,0.062859
0.020000,2.525949,4.134789,0.858503,1.846030,1.984978,-0.000000,0.066643
0.020000,2.563179,4.137348,0.895821,1.885729,1.984978,0.000000,0.070610
0.020000,2.601190,4.140116,0.933932,1.925429,1.984978,-0.000000,0.074767
0.020000,2.639981,4.143106,0.972838,1.965128,1.984978,0.000000,0.079124
0.020000,2.679549,4.146334,1.012537,2.004828,1.984978,0.000000,0.083691
0.020000,2.719892,4.149815,1.053031,2.044528,1.984978,-0.000000,0.088476
0.020000,2.761009,4.153566,1.094319,2.084227,1.984978,0.000000,0.093493
0.020000,2.802896,4.157604,1.136400,2.123927,1.984978,0.000000,0.098750
0.020000,2.845551,4.161948,1.179276,2.163626,1.984978,0.000000,0.104262
0.020000,2.888970,4.166618,1.222945,2.203326,1.984978,0.000000,0.110040
0.020000,2.933150,4.171634,1.267409,2.243025,1.984978,-0.000000,0.116098
0.020000,2.978086,4.177018,1.312666,2.282725,1.984978,0.000000,0.122451
0.020000,3.023774,4.182795,1.358718,2.322425,1.984978,-0.000000,0.129113
0.020000,3.070208,4.188988,1.405563,2.362124,1.984978,0.000000,0.136101
0.020000,3.117383,4.195624,1.453203,2.401824,1.984978,0.000000,0.143432
0.020000,3.165292,4.202730,1.501636,2.441523,1.984978,0.000000,0.151123
0.020000,3.213928,4.210336,1.550864,2.481223,1.984978,0.000000,0.159194
0.020000,3.263283,4.218474,1.600885,2.520922,1.984978,0.000000,0.167666
0.020000,3.313348,4.227175,1.651700,2.560622,1.984978,-0.000000,0.176559
0.020000,3.364112,4.236476,1.703310,2.600322,1.984978,0.000000,0.185897
0.020000,3.415565,4.246413,1.755713,2.640021,1.984978,0.000000,0.195702
0.020000,3.467693,4.257024,1.808911,2.679721,1.984978,-0.000000,0.206001
0.020000,3.520482,4.268352,1.862902,2.719420,1.984978,0.000000,0.216821
0.020000,3.573917,4.280440,1.917687,2.759120,1.984978,0.000000,0.228188
0.020000,3.627980,4.293334,1.973267,2.798819,1.984978,0.000000,0.240133
0.020000,3.682650,4.307082,2.029640,2.838519,1.984978,0.000000,0.252686
0.020000,3.737907,4.321737,2.086808,2.878218,1.984978,-0.000000,0.265880
0.020000,3.793725,4.337352,2.144769,2.917918,1.984978,0.000000,0.279747
0.020000,3.850077,4.353983,2.203524,2.957618,1.984978,0.000000,0.294322
0.020000,3.906932,4.371691,2.263074,2.997317,1.984978,-0.000000,0.309641
0.020000,3.964256,4.390538,2.323417,3.037017,1.984978,0.000000,0.325739
0.020000,4.022011,4.410588,2.384554,3.076716,1.984978,0.000000,0.342653
0.020000,4.080155,4.431910,2.446486,3.116416,1.984978,0.000000,0.360421
0.020000,4.138642,4.454575,2.509211,3.156115,1.984978,0.000000,0.379077
0.020000,4.197419,4.478654,2.572730,3.195815,1.984978,-0.000000,0.398657
0.020000,4.256430,4.504222,2.637044,3.235515,1.984978,0.000000,0.419194
0.020000,4.315612,4.531357,2.702151,3.275214,1.984978,0.000000,0.440719
0.020000,4.374896,4.560135,2.768052,3.314914,1.984978,0.000000,0.463257
0.020000,4.434207,4.590635,2.834747,3.354613,1.984978,-0.000000,0.486830
0.020000,4.493463,4.622936,2.902237,3.394313,1.984978,0.000000,0.511454
0.020000,4.552575,4.657114,2.970520,3.434012,1.984978,0.000000,0.537136
0.020000,4.611279,4.693139,3.039399,3.453862,0.992489,-49.624456,0.563797
0.020000,4.668991,4.730738,3.108280,3.434275,-0.979368,-98.592849,0.591178
0.020000,4.725157,4.769580,3.176571,3.394838,-1.971857,-49.624456,0.618989
0.020000,4.779578,4.809508,3.244071,3.355138,-1.984978,-0.656063,0.647074
0.020000,4.832225,4.850467,3.310777,3.315439,-1.984978,0.000000,0.675350
0.020000,4.883079,4.892396,3.376688,3.275739,-1.984978,0.000000,0.703733
0.020000,4.932122,4.935229,3.441806,3.236039,-1.984978,0.000000,0.732136
0.020000,4.979348,4.978898,3.506130,3.196340,-1.984978,0.000000,0.760475
0.020000,5.024754,5.023330,3.569660,3.156640,-1.984978,0.000000,0.788662
0.020000,5.068342,5.068447,3.632396,3.116941,-1.984978,-0.000000,0.816618
0.020000,5.110124,5.114173,3.694337,3.077241,-1.984978,0.000000,0.844263
0.020000,5.150115,5.160428,3.755485,3.037542,-1.984978,-0.000000,0.871525
0.020000,5.188338,5.207133,3.815839,2.997842,-1.984978,0.000000,0.898338
0.020000,5.224820,5.254209,3.875399,2.958142,-1.984978,0.000000,0.924643
0.020000,5.259596,5.301579,3.934165,2.918443,-1.984978,0.000000,0.950386
0.020000,5.292701,5.349166,3.992137,2.878743,-1.984978,0.000000,0.975523
0.020000,5.324178,5.396898,4.049315,2.839044,-1.984978,0.000000,1.000019
0.020000,5.354073,5.444703,4.105698,2.799344,-1.984978,0.000000,1.023843
0.020000,5.382431,5.492514,4.161288,2.759645,-1.984978,-0.000000,1.046972
0.020000,5.409304,5.540267,4.216084,2.719945,-1.984978,0.000000,1.069392
0.020000,5.434743,5.587900,4.270086,2.680245,-1.984978,0.000000,1.091093
0.020000,5.458801,5.635358,4.323294,2.640546,-1.984978,0.000000,1.112070
0.020000,5.481531,5.682586,4.375708,2.600846,-1.984978,0.000000,1.132324
0.020000,5.502987,5.729534,4.427328,2.561147,-1.984978,0.000000,1.151861
0.020000,5.523222,5.776157,4.478154,2.521447,-1.984978,0.000000,1.170688
0.020000,5.542290,5.822412,4.528186,2.481748,-1.984978,0.000000,1.188817
0.020000,5.560243,5.868260,4.577424,2.442048,-1.984978,0.000000,1.206263
0.020000,5.577132,5.913664,4.625868,2.402349,-1.984978,-0.000000,1.223042
0.020000,5.593007,5.958591,4.673518,2.362649,-1.984978,0.000000,1.239170
0.020000,5.607917,6.003011,4.720374,2.322949,-1.984978,0.000000,1.254667
0.020000,5.621910,6.046896,4.766436,2.283250,-1.984978,0.000000,1.269553
0.020000,5.635031,6.090220,4.811704,2.243550,-1.984978,0.000000,1.283846
0.020000,5.647324,6.132961,4.856178,2.203851,-1.984978,0.000000,1.297568
0.020000,5.658832,6.175097,4.899858,2.164151,-1.984978,0.000000,1.310739
0.020000,5.669596,6.216610,4.942744,2.124452,-1.984978,0.000000,1.323379
0.020000,5.679656,6.257481,4.984836,2.084752,-1.984978,-0.000000,1.335508
0.020000,5.689049,6.297697,5.026134,2.045052,-1.984978,0.000000,1.347145
0.020000,5.697811,6.337242,5.066638,2.005353,-1.984978,0.000000,1.358310
0.020000,5.705977,6.376103,5.106348,1.965653,-1.984978,0.000000,1.369020
0.020000,5.713579,6.414269,5.145264,1.925954,-1.984978,0.000000,1.379295
0.020000,5.720650,6.451729,5.183386,1.886254,-1.984978,0.000000,1.389151
0.020000,5.727219,6.488476,5.220714,1.846555,-1.984978,0.000000,1.398605
0.020000,5.733315,6.524497,5.257248,1.806855,-1.984978,-0.000000,1.407672
0.020000,5.738965,6.559788,5.292988,1.767155,-1.984978,-0.000000,1.416369
0.020000,5.744196,6.594341,5.327934,1.727456,-1.984978,0.000000,1.424710
0.020000,5.749032,6.628147,5.362087,1.687756,-1.984978,0.000000,1.432707
0.020000,5.753496,6.661205,5.395445,1.648057,-1.984978,0.000000,1.440376
0.020000,5.757612,6.693508,5.428009,1.608357,-1.984978,-0.000000,1.447729
0.020000,5.761401,6.725053,5.459779,1.568658,-1.984978,0.000000,1.454778
0.020000,5.764882,6.755832,5.490755,1.528958,-1.984978,-0.000000,1.461534
0.020000,5.768076,6.785844,5.520937,1.489259,-1.984978,0.000000,1.468008
0.020000,5.771001,6.815087,5.550326,1.449559,-1.984978,-0.000000,1.474210
0.020000,5.773673,6.843555,5.578920,1.409859,-1.984978,0.000000,1.480151
0.020000,5.776111,6.871248,5.606720,1.370160,-1.984978,-0.000000,1.485839
0.020000,5.778329,6.898164,5.633726,1.330460,-1.984978,0.000000,1.491284
0.020000,5.780343,6.924298,5.659938,1.290761,-1.984978,-0.000000,1.496494
0.020000,5.782166,6.949650,5.685357,1.251061,-1.984978,0.000000,1.501476
0.020000,5.783813,6.974219,5.709981,1.211362,-1.984978,-0.000000,1.506239
0.020000,5.785296,6.998003,5.733811,1.171662,-1.984978,0.000000,1.510788
0.020000,5.786628,7.021001,5.756847,1.131962,-1.984978,0.000000,1.515132
0.020000,5.787819,7.043211,5.779090,1.092263,-1.984978,-0.000000,1.519275
0.020000,5.788881,7.064634,5.800538,1.052563,-1.984978,0.000000,1.523225
0.020000,5.789825,7.085266,5.821192,1.012864,-1.984978,0.000000,1.526987
0.020000,5.790659,7.105109,5.841052,0.973164,-1.984978,-0.000000,1.530565
0.020000,5.791393,7.124161,5.860119,0.933465,-1.984978,0.000000,1.533966
0.020000,5.792037,7.142422,5.878391,0.893765,-1.984978,-0.000000,1.537193
0.020000,5.792597,7.159892,5.895869,0.854065,-1.984978,0.000000,1.540251
0.020000,5.793083,7.176569,5.912554,0.814366,-1.984978,-0.000000,1.543144
0.020000,5.793500,7.192454,5.928444,0.774666,-1.984978,0.000000,1.545877
0.020000,5.793857,7.207545,5.943540,0.734967,-1.984978,0.000000,1.548452
0.020000,5.794159,7.221844,5.957843,0.695267,-1.984978,0.000000,1.550873
0.020000,5.794413,7.235351,5.971351,0.655568,-1.984978,0.000000,1.553143
0.020000,5.794624,7.248063,5.984065,0.615868,-1.984978,-0.000000,1.555266
0.020000,5.794797,7.259983,5.995986,0.576169,-1.984978,0.000000,1.557243
0.020000,5.794938,7.271107,6.007112,0.536469,-1.984978,-0.000000,1.559078
0.020000,5.795050,7.281439,6.017444,0.496769,-1.984978,0.000000,1.560772
0.020000,5.795138,7.290977,6.026983,0.457070,-1.984978,-0.000000,1.562328
0.020000,5.795206,7.299722,6.035727,0.417370,-1.984978,0.000000,1.563749
0.020000,5.795257,7.307672,6.043678,0.377671,-1.984978,0.000000,1.565034
0.020000,5.795294,7.314828,6.050834,0.337971,-1.984978,0.000000,1.566187
0.020000,5.795320,7.321190,6.057196,0.298272,-1.984978,0.000000,1.567208
0.020000,5.795338,7.326760,6.062765,0.258572,-1.984978,0.000000,1.568100
0.020000,5.795349,7.331533,6.067539,0.218872,-1.984978,0.000000,1.568862
0.020000,5.795355,7.335515,6.071520,0.179173,-1.984978,0.000000,1.569496
0.020000,5.795358,7.338700,6.074706,0.139473,-1.984978,0.000000,1.570002
0.020000,5.795360,7.341092,6.077099,0.099774,-1.984978,-0.000000,1.570382
0.020000,5.795360,7.342692,6.078697,0.060074,-1.984978,0.000000,1.570636
0.020000,5.795360,7.343497,6.079502,0.020375,-1.984978,0.000000,1.570763
0.020000,5.795360,7.343703,6.079708,0.000262,-1.005610,48.968393,1.570796
0.020000,5.795360,7.343706,6.079711,0.000000,-0.013121,49.624456,1.570796
0.020000,5.795360,7.343706,6.079711,0.000000,0.000000,0.656063,1.570796
