dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.674541,3.826920,0.000198,0.019850,0.992489,49.624456,6.282831
0.020000,1.674553,3.826920,0.000211,0.000613,-0.961829,-97.715908,6.282875
0.020000,1.674577,3.826920,0.000235,0.001228,0.030721,49.627504,6.282962
0.020000,1.674614,3.826920,0.000272,0.001844,0.030843,0.006099,6.283092
0.020000,1.676143,3.826920,0.001801,0.076431,3.729330,184.924366,0.000081
0.020000,1.680175,3.826921,0.005833,0.201588,6.257823,126.424651,0.000300
0.020000,1.685013,3.826923,0.010671,0.241926,2.016900,-212.046166,0.000564
0.020000,1.690658,3.826927,0.016316,0.282260,2.016700,-0.010009,0.000873
0.020000,1.697111,3.826934,0.022768,0.322608,2.017442,0.037098,0.001228
0.020000,1.704370,3.826944,0.030028,0.362969,2.018044,0.030085,0.001629
0.020000,1.712437,3.826959,0.038095,0.403339,2.018501,0.022856,0.002078
0.020000,1.721311,3.826980,0.046969,0.443715,2.018808,0.015386,0.002576
0.020000,1.730994,3.827007,0.056652,0.484129,2.020672,0.093196,0.003123
0.020000,1.741484,3.827043,0.067142,0.524530,2.020051,-0.031071,0.003720
0.020000,1.752783,3.827089,0.078442,0.564976,2.022313,0.113093,0.004370
0.020000,1.764892,3.827146,0.090550,0.605419,2.022127,-0.009286,0.005073
0.020000,1.777809,3.827217,0.103468,0.645889,2.023522,0.069732,0.005830
0.020000,1.791537,3.827302,0.117195,0.686385,2.024778,0.062800,0.006644
0.020000,1.806074,3.827405,0.131734,0.726902,2.025886,0.055438,0.007515
0.020000,1.821423,3.827528,0.147082,0.767439,2.026839,0.047621,0.008446
0.020000,1.837582,3.827672,0.163242,0.808008,2.028460,0.081074,0.009439
0.020000,1.854554,3.827841,0.180215,0.848613,2.030246,0.089264,0.010495
0.020000,1.872337,3.828038,0.197999,0.889236,2.031152,0.045301,0.011616
0.020000,1.890934,3.828265,0.216597,0.929889,2.032613,0.073072,0.012806
0.020000,1.910344,3.828526,0.236009,0.970586,2.034875,0.113101,0.014066
0.020000,1.930568,3.828824,0.256235,1.011319,2.036648,0.088626,0.015400
0.020000,1.951607,3.829162,0.277277,1.052095,2.038785,0.106875,0.016808
0.020000,1.973462,3.829546,0.299135,1.092904,2.040437,0.082608,0.018296
0.020000,1.996132,3.829978,0.321810,1.133743,2.041979,0.077078,0.019865
0.020000,2.019620,3.830464,0.345303,1.174646,2.045131,0.157592,0.021518
0.020000,2.043926,3.831009,0.369615,1.215577,2.046550,0.070963,0.023260
0.020000,2.069050,3.831616,0.394746,1.256588,2.050561,0.200561,0.025093
0.020000,2.094994,3.832292,0.420699,1.297626,2.051904,0.067119,0.027021
0.020000,2.121758,3.833043,0.447473,1.338724,2.054908,0.150234,0.029048
0.020000,2.149343,3.833874,0.475071,1.379879,2.057764,0.142792,0.031179
0.020000,2.177750,3.834791,0.503493,1.421094,2.060724,0.148020,0.033418
0.020000,2.206981,3.835803,0.532741,1.462401,2.065334,0.230467,0.035768
0.020000,2.237034,3.836915,0.562815,1.503724,2.066185,0.042538,0.038236
0.020000,2.267914,3.838136,0.593719,1.545177,2.072658,0.323680,0.040826
0.020000,2.299619,3.839474,0.625452,1.586664,2.074335,0.083862,0.043543
0.020000,2.332151,3.840938,0.658017,1.628241,2.078824,0.224435,0.046393
0.020000,2.365511,3.842537,0.691415,1.669904,2.083190,0.218311,0.049382
0.020000,2.399699,3.844280,0.725648,1.711653,2.087414,0.211182,0.052517
0.020000,2.434717,3.846178,0.760718,1.753482,2.091475,0.203061,0.055803
0.020000,2.470567,3.848242,0.796627,1.795456,2.098707,0.361605,0.059248
0.020000,2.507248,3.850484,0.833376,1.837471,2.100749,0.102111,0.062859
0.020000,2.544762,3.852917,0.870969,1.879644,2.108620,0.393518,0.066643
0.020000,2.583110,3.855552,0.909407,1.921913,2.113442,0.241122,0.070610
0.020000,2.622292,3.858405,0.948693,1.964298,2.119289,0.292334,0.074767
0.020000,2.662310,3.861490,0.988830,2.006810,2.125597,0.315407,0.079124
0.020000,2.703164,3.864823,1.029819,2.049486,2.133764,0.408365,0.083691
0.020000,2.744854,3.868420,1.071665,2.092277,2.139552,0.289377,0.088476
0.020000,2.787382,3.872299,1.114369,2.135230,2.147665,0.405657,0.093493
0.020000,2.830748,3.876480,1.157936,2.178331,2.155042,0.368828,0.098750
0.020000,2.874952,3.880982,1.202368,2.221619,2.164405,0.468179,0.104262
0.020000,2.919994,3.885826,1.247670,2.265094,2.173751,0.467291,0.110040
0.020000,2.965874,3.891036,1.293845,2.308755,2.183058,0.465327,0.116098
0.020000,3.012592,3.896634,1.340897,2.352601,2.192306,0.462441,0.122451
0.020000,3.060147,3.902646,1.388831,2.396672,2.203536,0.561471,0.129113
0.020000,3.108538,3.909100,1.437650,2.440962,2.214510,0.548708,0.136101
0.020000,3.157763,3.916024,1.487361,2.485522,2.228006,0.674821,0.143432
0.020000,3.207822,3.923450,1.537967,2.530307,2.239240,0.561686,0.151123
0.020000,3.258711,3.931408,1.589474,2.575366,2.252972,0.686596,0.159194
0.020000,3.310427,3.939935,1.641889,2.620743,2.268826,0.792705,0.167666
0.020000,3.362967,3.949067,1.695216,2.666362,2.280941,0.605742,0.176559
0.020000,3.416326,3.958843,1.749464,2.712369,2.300368,0.971338,0.185897
0.020000,3.470498,3.969305,1.804637,2.758668,2.314934,0.728295,0.195702
0.020000,3.525477,3.980497,1.860744,2.805333,2.333243,0.915480,0.206001
0.020000,3.581255,3.992466,1.917791,2.852366,2.351652,0.920413,0.216821
0.020000,3.637822,4.005263,1.975788,2.899832,2.373330,1.083943,0.228188
0.020000,3.695167,4.018940,2.034741,2.947654,2.391059,0.886410,0.240133
0.020000,3.753277,4.033553,2.094660,2.995974,2.416022,1.248177,0.252686
0.020000,3.812136,4.049164,2.155554,3.044702,2.436418,1.019785,0.265880
0.020000,3.871727,4.065834,2.217432,3.093912,2.460478,1.203009,0.279747
0.020000,3.932028,4.083631,2.280305,3.143629,2.485851,1.268629,0.294322
0.020000,3.993014,4.102626,2.344181,3.193801,2.508607,1.137844,0.309641
0.020000,4.054658,4.122893,2.409071,3.244515,2.535708,1.355039,0.325739
0.020000,4.116927,4.144511,2.474986,3.295743,2.561373,1.283244,0.342653
0.020000,4.179784,4.167561,2.541936,3.347499,2.587815,1.322083,0.360421
0.020000,4.243185,4.192130,2.609931,3.399737,2.611903,1.204431,0.379077
0.020000,4.307081,4.218306,2.678980,3.452479,2.637076,1.258632,0.398657
0.020000,4.371415,4.246182,2.749094,3.505684,2.660260,1.159220,0.419194
0.020000,4.436124,4.275851,2.820281,3.559327,2.682180,1.095976,0.440719
0.020000,4.501135,4.307410,2.892547,3.613338,2.700530,0.917498,0.463257
0.020000,4.566368,4.340956,2.965900,3.667645,2.715365,0.741762,0.486830
0.020000,4.631731,4.376586,3.040344,3.722185,2.726990,0.581231,0.511454
0.020000,4.697124,4.414396,3.115880,3.776819,2.731700,0.235509,0.537136
0.020000,4.762247,4.454361,3.192288,3.820400,2.179029,-27.633552,0.563797
0.020000,4.826439,4.496183,3.268903,3.830706,0.515339,-83.184483,0.591178
0.020000,4.889067,4.539493,3.345048,3.807262,-1.172231,-84.378524,0.618989
0.020000,4.949885,4.584115,3.420479,3.771559,-1.785120,-30.644455,0.647074
