dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.674819,4.391920,0.000200,0.019986,0.999311,49.965549,6.282555
0.020000,1.674784,4.391920,0.000235,0.001736,-0.912501,-95.590596,6.282678
0.020000,1.674714,4.391920,0.000304,0.003473,0.086816,49.965832,6.282924
0.020000,1.675310,4.391920,0.000900,0.029794,1.316065,61.462482,0.000108
0.020000,1.678369,4.391921,0.003959,0.152942,6.157402,242.066813,0.000599
0.020000,1.682193,4.391925,0.007782,0.191177,1.911782,-212.280964,0.001214
0.020000,1.686781,4.391932,0.012370,0.229406,1.911428,-0.017716,0.001953
0.020000,1.692134,4.391945,0.017723,0.267641,1.911758,0.016525,0.002814
0.020000,1.698251,4.391965,0.023841,0.305866,1.911216,-0.027142,0.003799
0.020000,1.705133,4.391995,0.030722,0.344092,1.911323,0.005383,0.004908
0.020000,1.712779,4.392037,0.038369,0.382312,1.911017,-0.015338,0.006141
0.020000,1.721189,4.392094,0.046779,0.420533,1.911031,0.000731,0.007497
0.020000,1.730364,4.392170,0.055954,0.458749,1.910804,-0.011379,0.008978
0.020000,1.740303,4.392267,0.065893,0.496956,1.910352,-0.022583,0.010584
0.020000,1.751005,4.392390,0.076597,0.535175,1.910938,0.029299,0.012315
0.020000,1.762472,4.392542,0.088064,0.573375,1.910003,-0.046740,0.014170
0.020000,1.774702,4.392727,0.100296,0.611575,1.910020,0.000852,0.016151
0.020000,1.787695,4.392951,0.113291,0.649772,1.909813,-0.010365,0.018258
0.020000,1.801452,4.393217,0.127051,0.687959,1.909376,-0.021822,0.020491
0.020000,1.815972,4.393532,0.141574,0.726155,1.909792,0.020775,0.022851
0.020000,1.831254,4.393900,0.156860,0.764332,1.908846,-0.047302,0.025337
0.020000,1.847298,4.394328,0.172910,0.802510,1.908899,0.002637,0.027950
0.020000,1.864105,4.394821,0.189724,0.840684,1.908722,-0.008833,0.030690
0.020000,1.881673,4.395385,0.207301,0.878851,1.908327,-0.019758,0.033559
0.020000,1.900002,4.396028,0.225641,0.917012,1.908077,-0.012509,0.036555
0.020000,1.919091,4.396756,0.244745,0.955171,1.907926,-0.007555,0.039680
0.020000,1.938941,4.397576,0.264611,0.993326,1.907773,-0.007618,0.042934
0.020000,1.959550,4.398497,0.285241,1.031472,1.907305,-0.023396,0.046316
0.020000,1.980917,4.399525,0.306633,1.069618,1.907288,-0.000871,0.049829
0.020000,2.003043,4.400668,0.328788,1.107759,1.907038,-0.012492,0.053471
0.020000,2.025926,4.401936,0.351706,1.145893,1.906685,-0.017652,0.057243
0.020000,2.049565,4.403337,0.375387,1.184023,1.906543,-0.007109,0.061145
0.020000,2.073959,4.404880,0.399830,1.222153,1.906501,-0.002069,0.065178
0.020000,2.099108,4.406574,0.425035,1.260279,1.906276,-0.011269,0.069341
0.020000,2.125009,4.408429,0.451003,1.298397,1.905885,-0.019548,0.073636
0.020000,2.151663,4.410455,0.477734,1.336524,1.906368,0.024131,0.078062
0.020000,2.179067,4.412661,0.505227,1.374639,1.905767,-0.030018,0.082619
0.020000,2.207220,4.415059,0.533482,1.412757,1.905858,0.004514,0.087307
0.020000,2.236121,4.417659,0.562499,1.450872,1.905790,-0.003388,0.092127
0.020000,2.265768,4.420472,0.592279,1.488991,1.905926,0.006812,0.097078
0.020000,2.296158,4.423509,0.622821,1.527108,1.905858,-0.003411,0.102160
0.020000,2.327291,4.426783,0.654126,1.565230,1.906121,0.013154,0.107373
0.020000,2.359165,4.430304,0.686193,1.603352,1.906060,-0.003029,0.112718
0.020000,2.391775,4.434086,0.719022,1.641477,1.906245,0.009223,0.118193
0.020000,2.425122,4.438141,0.752614,1.679613,1.906816,0.028544,0.123798
0.020000,2.459202,4.442481,0.786969,1.717745,1.906622,-0.009698,0.129533
0.020000,2.494012,4.447119,0.822087,1.755890,1.907245,0.031164,0.135398
0.020000,2.529550,4.452069,0.857968,1.794044,1.907685,0.022004,0.141391
0.020000,2.565812,4.457344,0.894612,1.832208,1.908187,0.025076,0.147513
0.020000,2.602796,4.462958,0.932020,1.870378,1.908532,0.017263,0.153762
0.020000,2.640498,4.468924,0.970191,1.908564,1.909305,0.038665,0.160138
0.020000,2.678915,4.475257,1.009126,1.946762,1.909904,0.029960,0.166639
0.020000,2.718043,4.481972,1.048826,1.984978,1.910757,0.042637,0.173264
0.020000,2.757877,4.489082,1.089290,2.023209,1.911567,0.040473,0.180013
0.020000,2.798415,4.496603,1.130519,2.061458,1.912460,0.044656,0.186884
0.020000,2.839650,4.504550,1.172514,2.099731,1.913621,0.058086,0.193875
0.020000,2.881580,4.512938,1.215274,2.138024,1.914648,0.051322,0.200985
0.020000,2.924199,4.521781,1.258801,2.176340,1.915824,0.058818,0.208212
0.020000,2.967502,4.531096,1.303095,2.214683,1.917139,0.065737,0.215554
0.020000,3.011484,4.540898,1.348156,2.253056,1.918654,0.075749,0.223010
0.020000,3.056140,4.551203,1.393985,2.291455,1.919981,0.066353,0.230577
0.020000,3.101463,4.562027,1.440583,2.329889,1.921654,0.083629,0.238253
0.020000,3.147448,4.573385,1.487950,2.368356,1.923377,0.086184,0.246036
0.020000,3.194089,4.585293,1.536087,2.406859,1.925143,0.088279,0.253923
0.020000,3.241380,4.597768,1.584995,2.445399,1.927010,0.093350,0.261910
0.020000,3.289313,4.610826,1.634675,2.483981,1.929099,0.104460,0.269997
0.020000,3.337881,4.624482,1.685127,2.522604,1.931148,0.102475,0.278179
0.020000,3.387079,4.638752,1.736352,2.561271,1.933354,0.110265,0.286453
0.020000,3.436898,4.653653,1.788352,2.599985,1.935675,0.116061,0.294817
0.020000,3.487330,4.669201,1.841127,2.638746,1.938087,0.120576,0.303266
0.020000,3.538369,4.685412,1.894678,2.677558,1.940569,0.124100,0.311797
0.020000,3.590006,4.702301,1.949006,2.716421,1.943173,0.130216,0.320407
0.020000,3.642232,4.719884,2.004113,2.755338,1.945855,0.134115,0.329091
0.020000,3.695040,4.738177,2.059999,2.794311,1.948627,0.138588,0.337847
0.020000,3.748420,4.757195,2.116666,2.833341,1.951496,0.143456,0.346669
0.020000,3.802363,4.776955,2.174115,2.872429,1.954393,0.144871,0.355553
0.020000,3.856861,4.797470,2.232346,2.911577,1.957420,0.151350,0.364496
0.020000,3.911905,4.818756,2.291362,2.950787,1.960503,0.154123,0.373493
0.020000,3.967484,4.840827,2.351163,2.990060,1.963656,0.157656,0.382539
0.020000,4.023589,4.863699,2.411751,3.029396,1.966763,0.155343,0.391631
0.020000,4.080210,4.887385,2.473127,3.068798,1.970144,0.169032,0.400762
0.020000,4.137338,4.911900,2.535292,3.108264,1.973269,0.156248,0.409930
0.020000,4.194961,4.937256,2.598248,3.147798,1.976705,0.171848,0.419129
0.020000,4.253071,4.963468,2.661996,3.187399,1.980058,0.167613,0.428354
0.020000,4.311656,4.990548,2.726538,3.227066,1.983342,0.164231,0.437600
0.020000,4.370707,5.018510,2.791874,3.266802,1.986799,0.172833,0.446863
0.020000,4.430212,5.047365,2.858006,3.306605,1.990167,0.168375,0.456139
0.020000,4.490161,5.077126,2.924935,3.346477,1.993605,0.171915,0.465421
0.020000,4.550543,5.107803,2.992664,3.386416,1.996930,0.166266,0.474706
0.020000,4.611348,5.139409,3.061192,3.426422,2.000305,0.168739,0.483988
0.020000,4.672564,5.171954,3.130522,3.466497,2.003738,0.171644,0.493263
0.020000,4.734182,5.205448,3.200655,3.506634,2.006873,0.156779,0.502526
0.020000,4.796190,5.239902,3.271592,3.546842,2.010394,0.176018,0.511773
0.020000,4.858577,5.275325,3.343334,3.587109,2.013360,0.148311,0.520999
0.020000,4.921333,5.311725,3.415883,3.627443,2.016684,0.166184,0.530199
0.020000,4.984447,5.349113,3.489239,3.667839,2.019806,0.156124,0.539369
0.020000,5.047909,5.387495,3.563405,3.708293,2.022694,0.144395,0.548505
0.020000,5.111707,5.426880,3.638381,3.748812,2.025973,0.163941,0.557603
0.020000,5.175833,5.467275,3.714169,3.789385,2.028623,0.132532,0.566658
0.020000,5.240274,5.508687,3.790770,3.830019,2.031682,0.152928,0.575666
0.020000,5.305021,5.551121,3.868184,3.870704,2.034298,0.130775,0.584624
0.020000,5.369904,5.594477,3.946219,3.901759,1.552712,-24.079280,0.593505
0.020000,5.445945,5.644303,4.037130,4.545579,32.191010,1531.914885,0.546878
0.020000,5.534002,5.693451,4.137974,5.042169,24.829525,-368.074228,0.474088
0.020000,5.619706,5.734412,4.232963,4.749473,-14.634814,-1973.216947,0.419652
0.020000,5.703163,5.769515,4.323502,4.526953,-11.126021,175.439654,0.378157
0.020000,5.784628,5.800320,4.410597,4.354752,-8.610056,125.798217,0.346035
0.020000,5.864308,5.827883,4.494910,4.215630,-6.956092,82.698203,0.320936
0.020000,5.942361,5.852950,4.576889,4.098944,-5.834299,56.089671,0.301272
0.020000,6.018901,5.876067,4.656844,3.997774,-5.058489,38.790503,0.285943
0.020000,6.094012,5.897650,4.734994,3.907510,-4.513184,27.265227,0.274175
0.020000,6.167750,5.918024,4.811495,3.825046,-4.123233,19.497584,0.265415
0.020000,6.240152,5.937451,4.886458,3.748150,-3.844779,13.922692,0.259271
0.020000,6.311238,5.956147,4.959962,3.675173,-3.648847,9.796607,0.255463
0.020000,6.381014,5.974296,5.032060,3.604884,-3.514472,6.718746,0.253802
0.020000,6.449473,5.992055,5.102785,3.536255,-3.431420,4.152568,0.254169
0.020000,6.516596,6.009565,5.172153,3.468443,-3.390605,2.040778,0.256508
0.020000,6.582349,6.026950,5.240167,3.400666,-3.388854,0.087526,0.260814
0.020000,6.646688,6.044327,5.306811,3.332195,-3.423554,-1.734987,0.267139
0.020000,6.709548,6.061803,5.372055,3.262226,-3.498438,-3.744174,0.275587
0.020000,6.770849,6.079479,5.435853,3.189902,-3.616221,-5.889183,0.286324
0.020000,6.830484,6.097451,5.498138,3.114227,-3.783739,-8.375889,0.299588
0.020000,6.888320,6.115809,5.558818,3.033985,-4.012107,-11.418383,0.315703
0.020000,6.944186,6.134637,5.617770,2.947625,-4.317978,-15.293563,0.335101
0.020000,6.997860,6.154005,5.674832,2.853109,-4.725804,-20.391289,0.358360
0.020000,7.049061,6.173969,5.729788,2.747769,-5.267037,-27.061640,0.386243
0.020000,7.097424,6.194551,5.782348,2.628006,-5.988127,-36.054518,0.419774
0.020000,7.142477,6.215717,5.832125,2.488886,-6.956014,-48.394363,0.460321
0.020000,7.183617,6.237337,5.878600,2.323738,-8.257405,-65.069560,0.509725
0.020000,7.220081,6.259120,5.921075,2.123757,-9.999033,-87.081368,0.570450
0.020000,7.250960,6.280510,5.958639,1.878197,-12.277980,-113.947384,0.645722
0.020000,7.275293,6.300562,5.990169,1.576508,-15.084483,-140.325138,0.739512
0.020000,7.292364,6.317882,6.014489,1.215960,-18.027367,-147.144188,0.855991
0.020000,7.302300,6.330904,6.030868,0.818968,-19.849611,-91.112180,0.997746
0.020000,7.306692,6.338912,6.040001,0.456643,-18.116280,86.666535,1.162333
0.020000,7.308257,6.343532,6.044880,0.243943,-10.634954,374.066277,1.339161
0.020000,7.308977,6.348759,6.050155,0.263784,0.992025,581.348962,1.511754
0.020000,7.308710,6.358439,6.059839,0.484201,11.020859,501.441695,1.665901
0.020000,7.306087,6.374070,6.075689,0.792465,15.413185,219.616328,1.795391
0.020000,7.300023,6.395045,6.097522,1.091677,14.960625,-22.628022,1.900876
0.020000,7.290212,6.419944,6.124285,1.338152,12.323710,-131.845763,1.986081
0.020000,7.276897,6.447394,6.154794,1.525439,9.364378,-147.966607,2.055205
0.020000,7.260558,6.476334,6.188028,1.661676,6.811838,-127.626976,2.111860
0.020000,7.241720,6.506021,6.223187,1.757980,4.815205,-99.831675,2.158877
0.020000,7.220867,6.535953,6.259667,1.824011,3.301573,-75.681587,2.198388
0.020000,7.198416,6.565802,6.297017,1.867489,2.173855,-56.385881,2.231992
0.020000,7.174714,6.595352,6.334898,1.894048,1.327955,-42.294986,2.260888
0.020000,7.150047,6.624464,6.373055,1.907866,0.690913,-31.852136,2.285983
0.020000,7.124652,6.653046,6.411289,1.911689,0.191143,-24.988476,2.307968
0.020000,7.098721,6.681045,6.449451,1.908110,-0.178950,-18.504682,2.327385
0.020000,7.072416,6.708425,6.487420,1.898423,-0.484334,-15.269156,2.344654
0.020000,7.045869,6.735169,6.525103,1.884163,-0.712982,-11.432419,2.360110
0.020000,7.019192,6.761266,6.562422,1.865935,-0.911421,-9.921937,2.374022
0.020000,6.992481,6.786714,6.599315,1.844651,-1.064215,-7.639707,2.386606
0.020000,6.965813,6.811518,6.635735,1.821003,-1.182407,-5.909588,2.398043
0.020000,6.939258,6.835681,6.671638,1.795132,-1.293522,-5.555767,2.408479
0.020000,6.912875,6.859209,6.706987,1.767493,-1.381980,-4.422910,2.418038
0.020000,6.886713,6.882115,6.741760,1.738653,-1.441995,-3.000738,2.426822
0.020000,6.860820,6.904401,6.775923,1.708148,-1.525257,-4.163089,2.434918
0.020000,6.835231,6.926082,6.809462,1.676939,-1.560403,-1.757297,2.442401
0.020000,6.809980,6.947165,6.842358,1.644797,-1.607139,-2.336799,2.449335
0.020000,6.785098,6.967659,6.874593,1.611742,-1.652740,-2.280057,2.455773
0.020000,6.760612,6.987574,6.906155,1.578087,-1.682739,-1.499988,2.461765
0.020000,6.736546,7.006917,6.937031,1.543806,-1.714063,-1.566172,2.467351
0.020000,6.712919,7.025697,6.967213,1.509111,-1.734759,-1.034799,2.472567
0.020000,6.689751,7.043924,6.996691,1.473908,-1.760115,-1.267811,2.477445
0.020000,6.667057,7.061603,7.025459,1.438373,-1.776771,-0.832797,2.482014
0.020000,6.644855,7.078743,7.053507,1.402396,-1.798842,-1.103553,2.486297
0.020000,6.623159,7.095349,7.080828,1.366074,-1.816131,-0.864424,2.490317
0.020000,6.601980,7.111428,7.107419,1.329558,-1.825775,-0.482225,2.494093
0.020000,6.581329,7.126988,7.133276,1.292861,-1.834873,-0.454887,2.497643
0.020000,6.561217,7.142033,7.158393,1.255831,-1.851483,-0.830518,2.500983
0.020000,6.541655,7.156569,7.182764,1.218572,-1.862924,-0.572021,2.504127
0.020000,6.522650,7.170600,7.206388,1.181180,-1.869622,-0.334939,2.507086
0.020000,6.504208,7.184134,7.229263,1.143740,-1.871979,-0.117839,2.509874
0.020000,6.486340,7.197174,7.251383,1.106013,-1.886391,-0.720612,2.512501
0.020000,6.469051,7.209722,7.272746,1.068155,-1.892873,-0.324058,2.514975
0.020000,6.452347,7.221785,7.293350,1.030194,-1.898077,-0.260219,2.517305
0.020000,6.436232,7.233367,7.313195,0.992267,-1.896350,0.086326,2.519499
0.020000,6.420713,7.244471,7.332278,0.954120,-1.907330,-0.548969,2.521564
0.020000,6.405796,7.255100,7.350594,0.915817,-1.915168,-0.391936,2.523507
0.020000,6.391485,7.265255,7.368143,0.877416,-1.920038,-0.243470,2.525333
0.020000,6.377784,7.274942,7.384922,0.838974,-1.922103,-0.103240,2.527047
0.020000,6.364695,7.284163,7.400933,0.800543,-1.921521,0.029071,2.528655
0.020000,6.352220,7.292923,7.416176,0.762174,-1.918446,0.153773,2.530162
0.020000,6.340367,7.301220,7.430644,0.723396,-1.938947,-1.025045,2.531570
0.020000,6.329135,7.309060,7.444342,0.684908,-1.924359,0.729373,2.532884
0.020000,6.318530,7.316441,7.457263,0.646038,-1.943532,-0.958631,2.534108
0.020000,6.308550,7.323371,7.469413,0.607480,-1.927888,0.782190,2.535244
0.020000,6.299199,7.329848,7.480788,0.568760,-1.935996,-0.405386,2.536295
0.020000,6.290484,7.335873,7.491383,0.529761,-1.949969,-0.698643,2.537264
0.020000,6.282401,7.341449,7.501202,0.490965,-1.939780,0.509412,2.538153
0.020000,6.274953,7.346577,7.510245,0.452150,-1.940749,-0.048431,2.538964
0.020000,6.268143,7.351259,7.518509,0.413180,-1.948527,-0.388916,2.539699
0.020000,6.261974,7.355494,7.525992,0.374170,-1.950486,-0.097916,2.540360
0.020000,6.256442,7.359286,7.532699,0.335326,-1.942177,0.415452,2.540948
0.020000,6.251548,7.362637,7.538630,0.296552,-1.938703,0.173671,2.541465
0.020000,6.247303,7.365541,7.543774,0.257204,-1.967389,-1.434299,2.541911
0.020000,6.243693,7.368007,7.548146,0.218573,-1.931569,1.791022,2.542288
0.020000,6.240733,7.370029,7.551731,0.179257,-1.965802,-1.711676,2.542596
0.020000,6.238414,7.371611,7.554538,0.140362,-1.944727,1.053778,2.542837
0.020000,6.236738,7.372755,7.556567,0.101433,-1.946480,-0.087675,2.543011
0.020000,6.235707,7.373458,7.557815,0.062414,-1.950920,-0.221977,2.543117
0.020000,6.235256,7.373765,7.558361,0.027280,-1.756736,9.709170,2.543164
0.020000,6.235160,7.373831,7.558477,0.005836,-1.072178,34.227909,2.543174
0.020000,6.235160,7.373831,7.558477,0.000000,-0.291808,39.018490,2.543174
