dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.674641,4.109420,0.000200,0.019986,0.999311,49.965549,6.282555
0.020000,1.674641,4.109420,0.000999,0.059959,1.998622,49.965549,6.282678
0.020000,1.674641,4.109420,0.002598,0.099931,1.998622,0.000000,6.282924
0.020000,1.675341,4.109420,0.004997,0.139904,1.998622,0.000000,0.000108
0.020000,1.678538,4.109421,0.008194,0.179876,1.998622,-0.000000,0.000599
0.020000,1.682536,4.109425,0.012192,0.219848,1.998622,0.000000,0.001214
0.020000,1.687332,4.109432,0.016988,0.259821,1.998622,0.000000,0.001953
0.020000,1.692929,4.109446,0.022584,0.299793,1.998622,-0.000000,0.002814
0.020000,1.699324,4.109467,0.028980,0.339766,1.998622,0.000000,0.003799
0.020000,1.706519,4.109498,0.036175,0.379738,1.998622,-0.000000,0.004908
0.020000,1.714513,4.109542,0.044170,0.419711,1.998622,0.000000,0.006141
0.020000,1.723307,4.109602,0.052963,0.459683,1.998622,0.000000,0.007497
0.020000,1.732900,4.109681,0.062557,0.499655,1.998622,-0.000000,0.008978
0.020000,1.743292,4.109783,0.072950,0.539628,1.998622,0.000000,0.010584
0.020000,1.754484,4.109911,0.084142,0.579600,1.998622,-0.000000,0.012315
0.020000,1.766475,4.110070,0.096134,0.619573,1.998622,0.000000,0.014170
0.020000,1.779265,4.110264,0.108925,0.659545,1.998622,0.000000,0.016151
0.020000,1.792853,4.110498,0.122516,0.699518,1.998622,-0.000000,0.018258
0.020000,1.807240,4.110777,0.136906,0.739490,1.998622,0.000000,0.020491
0.020000,1.822426,4.111106,0.152095,0.779463,1.998622,0.000000,0.022851
0.020000,1.838411,4.111491,0.168084,0.819435,1.998622,0.000000,0.025337
0.020000,1.855193,4.111938,0.184873,0.859407,1.998622,-0.000000,0.027950
0.020000,1.872774,4.112454,0.202460,0.899380,1.998622,0.000000,0.030690
0.020000,1.891151,4.113044,0.220848,0.939352,1.998622,0.000000,0.033559
0.020000,1.910326,4.113717,0.240034,0.979325,1.998622,-0.000000,0.036555
0.020000,1.930298,4.114478,0.260021,1.019297,1.998622,0.000000,0.039680
0.020000,1.951066,4.115337,0.280806,1.059270,1.998622,-0.000000,0.042934
0.020000,1.972630,4.116300,0.302392,1.099242,1.998622,0.000000,0.046316
0.020000,1.994988,4.117375,0.324776,1.139215,1.998622,-0.000000,0.049829
0.020000,2.018141,4.118572,0.347960,1.179187,1.998622,0.000000,0.053471
0.020000,2.042088,4.119899,0.371944,1.219159,1.998622,0.000000,0.057243
0.020000,2.066828,4.121365,0.396726,1.259132,1.998622,-0.000000,0.061145
0.020000,2.092359,4.122980,0.422309,1.299104,1.998622,0.000000,0.065178
0.020000,2.118681,4.124753,0.448691,1.339077,1.998622,-0.000000,0.069341
0.020000,2.145793,4.126695,0.475872,1.379049,1.998622,0.000000,0.073636
0.020000,2.173693,4.128815,0.503853,1.419022,1.998622,-0.000000,0.078062
0.020000,2.202380,4.131125,0.532633,1.458994,1.998622,0.000000,0.082619
0.020000,2.231853,4.133635,0.562212,1.498966,1.998622,-0.000000,0.087307
0.020000,2.262110,4.136356,0.592591,1.538939,1.998622,0.000000,0.092127
0.020000,2.293149,4.139302,0.623770,1.578911,1.998622,-0.000000,0.097078
0.020000,2.324968,4.142482,0.655748,1.618884,1.998622,0.000000,0.102160
0.020000,2.357566,4.145910,0.688525,1.658856,1.998622,-0.000000,0.107373
0.020000,2.390940,4.149597,0.722102,1.698829,1.998622,0.000000,0.112718
0.020000,2.425087,4.153557,0.756478,1.738801,1.998622,-0.000000,0.118193
0.020000,2.460006,4.157803,0.791654,1.778774,1.998622,0.000000,0.123798
0.020000,2.495693,4.162348,0.827629,1.818746,1.998622,-0.000000,0.129533
0.020000,2.532145,4.167205,0.864404,1.858718,1.998622,0.000000,0.135398
0.020000,2.569360,4.172388,0.901978,1.898691,1.998622,-0.000000,0.141391
0.020000,2.607334,4.177912,0.940352,1.938663,1.998622,0.000000,0.147513
0.020000,2.646063,4.183791,0.979525,1.978636,1.998622,-0.000000,0.153762
0.020000,2.685544,4.190039,1.019497,2.018608,1.998622,0.000000,0.160138
0.020000,2.725773,4.196671,1.060269,2.058581,1.998622,0.000000,0.166639
0.020000,2.766745,4.203702,1.101840,2.098553,1.998622,0.000000,0.173264
0.020000,2.808457,4.211147,1.144211,2.138525,1.998622,-0.000000,0.180013
0.020000,2.850902,4.219022,1.187381,2.178498,1.998622,0.000000,0.186884
0.020000,2.894078,4.227343,1.231351,2.218470,1.998622,0.000000,0.193875
0.020000,2.937977,4.236124,1.276120,2.258443,1.998622,0.000000,0.200985
0.020000,2.982595,4.245383,1.321689,2.298415,1.998622,-0.000000,0.208212
0.020000,3.027926,4.255134,1.368057,2.338388,1.998622,0.000000,0.215554
0.020000,3.073964,4.265394,1.415224,2.378360,1.998622,0.000000,0.223010
0.020000,3.120702,4.276180,1.463191,2.418333,1.998622,0.000000,0.230577
0.020000,3.168135,4.287507,1.511958,2.458305,1.998622,-0.000000,0.238253
0.020000,3.216254,4.299392,1.561523,2.498277,1.998622,0.000000,0.246036
0.020000,3.265054,4.311852,1.611889,2.538250,1.998622,0.000000,0.253923
0.020000,3.314526,4.324902,1.663053,2.578222,1.998622,0.000000,0.261910
0.020000,3.364663,4.338560,1.715017,2.618195,1.998622,-0.000000,0.269997
0.020000,3.415457,4.352842,1.767781,2.658167,1.998622,0.000000,0.278179
0.020000,3.466900,4.367763,1.821344,2.698140,1.998622,0.000000,0.286453
0.020000,3.518982,4.383342,1.875707,2.738112,1.998622,0.000000,0.294817
0.020000,3.571696,4.399593,1.930869,2.778085,1.998622,-0.000000,0.303266
0.020000,3.625031,4.416533,1.986830,2.818057,1.998622,0.000000,0.311797
0.020000,3.678980,4.434178,2.043591,2.858029,1.998622,0.000000,0.320407
0.020000,3.733531,4.452544,2.101151,2.898002,1.998622,0.000000,0.329091
0.020000,3.788676,4.471647,2.159511,2.937974,1.998622,0.000000,0.337847
0.020000,3.844404,4.491501,2.218670,2.977947,1.998622,-0.000000,0.346669
0.020000,3.900704,4.512124,2.278629,3.017919,1.998622,0.000000,0.355553
0.020000,3.957566,4.533529,2.339387,3.057892,1.998622,0.000000,0.364496
0.020000,4.014980,4.555732,2.400945,3.097864,1.998622,0.000000,0.373493
0.020000,4.072934,4.578746,2.463302,3.137836,1.998622,-0.000000,0.382539
0.020000,4.131418,4.602588,2.526458,3.177809,1.998622,0.000000,0.391631
0.020000,4.190419,4.627269,2.590414,3.217781,1.998622,0.000000,0.400762
0.020000,4.249927,4.652805,2.655169,3.257754,1.998622,0.000000,0.409930
0.020000,4.309929,4.679208,2.720724,3.297726,1.998622,-0.000000,0.419129
0.020000,4.370414,4.706492,2.787078,3.337699,1.998622,0.000000,0.428354
0.020000,4.431371,4.734668,2.854232,3.377671,1.998622,0.000000,0.437600
0.020000,4.492786,4.763749,2.922185,3.417644,1.998622,0.000000,0.446863
0.020000,4.554649,4.793748,2.990938,3.457616,1.998622,-0.000000,0.456139
0.020000,4.616946,4.824674,3.060490,3.497588,1.998622,0.000000,0.465421
0.020000,4.679667,4.856540,3.130841,3.537561,1.998622,0.000000,0.474706
0.020000,4.742798,4.889355,3.201992,3.577533,1.998622,0.000000,0.483988
0.020000,4.806329,4.923130,3.273943,3.617506,1.998622,-0.000000,0.493263
0.020000,4.870245,4.957874,3.346692,3.657478,1.998622,0.000000,0.502526
0.020000,4.934537,4.993597,3.420242,3.697451,1.998622,0.000000,0.511773
0.020000,4.999190,5.030306,3.494590,3.737423,1.998622,0.000000,0.520999
0.020000,5.064195,5.068011,3.569739,3.777395,1.998622,0.000000,0.530199
0.020000,5.129538,5.106719,3.645686,3.817368,1.998622,-0.000000,0.539369
0.020000,5.195208,5.146437,3.722433,3.857340,1.998622,0.000000,0.548505
0.020000,5.261193,5.187171,3.799980,3.897313,1.998622,0.000000,0.557603
0.020000,5.327483,5.228930,3.878326,3.937285,1.998622,0.000000,0.566658
0.020000,5.394065,5.271717,3.957471,3.977258,1.998622,-0.000000,0.575666
0.020000,5.460929,5.315539,4.037416,4.017230,1.998622,0.000000,0.584624
0.020000,5.527898,5.360289,4.117961,4.037216,0.999311,-49.965549,0.593505
0.020000,5.592852,5.403005,4.198624,4.029163,-0.402648,-70.097927,0.546878
0.020000,5.662971,5.442108,4.278927,4.001124,-1.401959,-49.965549,0.474088
0.020000,5.734808,5.476424,4.358550,3.961152,-1.998622,-29.833170,0.419652
0.020000,5.807464,5.506974,4.437373,3.921179,-1.998622,0.000000,0.378157
0.020000,5.880444,5.534565,4.515397,3.881207,-1.998622,0.000000,0.346035
0.020000,5.953424,5.559807,4.592622,3.841234,-1.998622,0.000000,0.320936
0.020000,6.026188,5.583173,4.669047,3.801262,-1.998622,-0.000000,0.301272
