dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.674463,3.826920,0.000200,0.019986,0.999311,49.965549,6.282555
0.020000,1.674497,3.826920,0.000235,0.001736,-0.912501,-95.590596,6.282678
0.020000,1.674567,3.826920,0.000304,0.003473,0.086816,49.965832,6.282924
0.020000,1.675371,3.826920,0.001108,0.040212,1.836987,87.508574,0.000108
0.020000,1.678708,3.826921,0.004445,0.166835,6.331148,224.708030,0.000599
0.020000,1.682879,3.826925,0.008616,0.208549,2.085702,-212.272301,0.001214
0.020000,1.687884,3.826933,0.013621,0.250259,2.085482,-0.011006,0.001953
0.020000,1.693724,3.826947,0.019461,0.291980,2.086041,0.027944,0.002814
0.020000,1.700397,3.826969,0.026135,0.333693,2.085678,-0.018134,0.003799
0.020000,1.707906,3.827002,0.033643,0.375414,2.086055,0.018864,0.004908
0.020000,1.716248,3.827048,0.041986,0.417135,2.086010,-0.002276,0.006141
0.020000,1.725425,3.827110,0.051163,0.458861,2.086343,0.016665,0.007497
0.020000,1.735437,3.827193,0.061175,0.500590,2.086439,0.004796,0.008978
0.020000,1.746282,3.827299,0.072021,0.542316,2.086316,-0.006157,0.010584
0.020000,1.757963,3.827433,0.083702,0.584063,2.087349,0.051658,0.012315
0.020000,1.770478,3.827598,0.096218,0.625798,2.086745,-0.030214,0.014170
0.020000,1.783827,3.827801,0.109569,0.667542,2.087199,0.022741,0.016151
0.020000,1.798011,3.828045,0.123755,0.709291,2.087428,0.011415,0.018258
0.020000,1.813029,3.828336,0.138776,0.751039,2.087422,-0.000285,0.020491
0.020000,1.828881,3.828679,0.154632,0.792807,2.088360,0.046909,0.022851
0.020000,1.845568,3.829082,0.171323,0.834563,2.087823,-0.026851,0.025337
0.020000,1.863088,3.829548,0.188850,0.876331,2.088385,0.028099,0.027950
0.020000,1.881442,3.830087,0.207212,0.918105,2.088702,0.015861,0.030690
0.020000,1.900630,3.830703,0.226409,0.959880,2.088784,0.004061,0.033559
0.020000,1.920651,3.831405,0.246443,1.001661,2.089022,0.011943,0.036555
0.020000,1.941505,3.832201,0.267312,1.043448,2.089365,0.017150,0.039680
0.020000,1.963191,3.833097,0.289016,1.085242,2.089699,0.016695,0.042934
0.020000,1.985709,3.834103,0.311557,1.127036,2.089677,-0.001124,0.046316
0.020000,2.009059,3.835226,0.334934,1.168838,2.090131,0.022703,0.049829
0.020000,2.033240,3.836476,0.359147,1.210645,2.090311,0.009009,0.053471
0.020000,2.058250,3.837862,0.384196,1.252452,2.090354,0.002148,0.057243
0.020000,2.084090,3.839393,0.410081,1.294264,2.090598,0.012213,0.061145
0.020000,2.110759,3.841080,0.436803,1.336082,2.090919,0.016023,0.065178
0.020000,2.138254,3.842932,0.464361,1.377902,2.090999,0.004009,0.069341
0.020000,2.166576,3.844960,0.492755,1.419719,2.090854,-0.007269,0.073636
0.020000,2.195723,3.847175,0.521986,1.461551,2.091613,0.037992,0.078062
0.020000,2.225694,3.849588,0.552054,1.503374,2.091133,-0.024006,0.082619
0.020000,2.256486,3.852211,0.582958,1.545201,2.091347,0.010669,0.087307
0.020000,2.288099,3.855054,0.614698,1.587027,2.091319,-0.001363,0.092127
0.020000,2.320531,3.858132,0.647275,1.628856,2.091441,0.006089,0.097078
0.020000,2.353778,3.861455,0.680689,1.670681,2.091259,-0.009123,0.102160
0.020000,2.387841,3.865037,0.714939,1.712508,2.091351,0.004637,0.107373
0.020000,2.422715,3.868890,0.750026,1.754328,2.090996,-0.017767,0.112718
0.020000,2.458399,3.873028,0.785949,1.796144,2.090808,-0.009407,0.118193
0.020000,2.494889,3.877465,0.822708,1.837963,2.090935,0.006341,0.123798
0.020000,2.532184,3.882214,0.860303,1.879765,2.090110,-0.041253,0.129533
0.020000,2.570278,3.887290,0.898734,1.921566,2.090057,-0.002641,0.135398
0.020000,2.609170,3.892707,0.938002,1.963360,2.089674,-0.019123,0.141391
0.020000,2.648855,3.898480,0.978105,2.005144,2.089223,-0.022578,0.147513
0.020000,2.689330,3.904624,1.019043,2.046913,2.088457,-0.038298,0.153762
0.020000,2.730590,3.911153,1.060816,2.088674,2.088009,-0.022396,0.160138
