dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.354256,7.282764,0.000200,0.019974,0.998712,49.935618,6.282573
0.020000,0.354225,7.282764,0.000232,0.001595,-0.918948,-95.883035,6.282686
0.020000,0.354161,7.282764,0.000295,0.003189,0.079694,49.932107,6.282912
0.020000,0.354527,7.282764,0.000661,0.018295,0.755298,33.780222,0.000065
0.020000,0.357595,7.282765,0.003730,0.153427,6.756605,300.065356,0.000516
0.020000,0.361431,7.282768,0.007566,0.191794,1.918333,-241.913643,0.001078
0.020000,0.366034,7.282774,0.012169,0.230167,1.918635,0.015107,0.001753
0.020000,0.371405,7.282786,0.017540,0.268547,1.919013,0.018924,0.002538
0.020000,0.377544,7.282804,0.023679,0.306941,1.919715,0.035104,0.003433
0.020000,0.384451,7.282831,0.030586,0.345339,1.919905,0.009486,0.004437
0.020000,0.392126,7.282870,0.038261,0.383757,1.920866,0.048063,0.005551
0.020000,0.400569,7.282922,0.046704,0.422183,1.921325,0.022938,0.006772
0.020000,0.409782,7.282990,0.055917,0.460625,1.922108,0.039152,0.008099
0.020000,0.419763,7.283078,0.065899,0.499084,1.922964,0.042786,0.009532
0.020000,0.430514,7.283189,0.076650,0.537564,1.923963,0.049949,0.011069
0.020000,0.442034,7.283326,0.088171,0.576059,1.924755,0.039610,0.012709
0.020000,0.454324,7.283493,0.100463,0.614576,1.925881,0.056319,0.014450
0.020000,0.467385,7.283694,0.113525,0.653118,1.927080,0.059924,0.016291
0.020000,0.481217,7.283932,0.127359,0.691684,1.928283,0.060162,0.018229
0.020000,0.495820,7.284214,0.141964,0.730274,1.929500,0.060836,0.020264
0.020000,0.511194,7.284542,0.157342,0.768890,1.930816,0.065833,0.022393
0.020000,0.527340,7.284921,0.173493,0.807538,1.932403,0.079332,0.024614
0.020000,0.544259,7.285357,0.190417,0.846216,1.933875,0.073595,0.026925
0.020000,0.561950,7.285855,0.208115,0.884925,1.935455,0.079025,0.029324
0.020000,0.580415,7.286420,0.226589,0.923668,1.937154,0.084933,0.031807
0.020000,0.599654,7.287056,0.245838,0.962449,1.939079,0.096255,0.034374
0.020000,0.619666,7.287771,0.265863,1.001264,1.940724,0.082262,0.037021
0.020000,0.640453,7.288569,0.286666,1.040122,1.942886,0.108095,0.039745
0.020000,0.662015,7.289457,0.308246,1.079018,1.944838,0.097571,0.042543
0.020000,0.684353,7.290440,0.330605,1.117958,1.946964,0.106305,0.045413
0.020000,0.707466,7.291525,0.353744,1.156943,1.949276,0.115608,0.048351
0.020000,0.731356,7.292717,0.377663,1.195974,1.951519,0.112155,0.051355
0.020000,0.756023,7.294023,0.402364,1.235053,1.953962,0.122170,0.054419
0.020000,0.781466,7.295448,0.427848,1.274182,1.956439,0.123816,0.057542
