dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.354084,7.000189,0.000200,0.019974,0.998712,49.935618,6.282573
0.020000,0.354084,7.000189,0.000999,0.059923,1.997425,49.935618,6.282686
0.020000,0.354084,7.000189,0.002597,0.099871,1.997425,-0.000000,6.282912
0.020000,0.354545,7.000189,0.004994,0.139820,1.997425,0.000000,0.000065
0.020000,0.357741,7.000190,0.008189,0.179768,1.997425,0.000000,0.000516
0.020000,0.361736,7.000193,0.012184,0.219717,1.997425,-0.000000,0.001078
0.020000,0.366530,7.000200,0.016978,0.259665,1.997425,0.000000,0.001753
0.020000,0.372122,7.000212,0.022571,0.299614,1.997425,-0.000000,0.002538
0.020000,0.378514,7.000231,0.028963,0.339562,1.997425,0.000000,0.003433
0.020000,0.385705,7.000259,0.036153,0.379511,1.997425,0.000000,0.004437
0.020000,0.393694,7.000299,0.044143,0.419459,1.997425,-0.000000,0.005551
0.020000,0.402483,7.000353,0.052932,0.459408,1.997425,0.000000,0.006772
0.020000,0.412070,7.000425,0.062519,0.499356,1.997425,-0.000000,0.008099
0.020000,0.422456,7.000516,0.072906,0.539305,1.997425,0.000000,0.009532
0.020000,0.433641,7.000631,0.084092,0.579253,1.997425,0.000000,0.011069
0.020000,0.445625,7.000774,0.096076,0.619202,1.997425,0.000000,0.012709
0.020000,0.458407,7.000947,0.108860,0.659150,1.997425,0.000000,0.014450
0.020000,0.471988,7.001156,0.122442,0.699099,1.997425,-0.000000,0.016291
0.020000,0.486368,7.001404,0.136824,0.739047,1.997425,0.000000,0.018229
0.020000,0.501545,7.001697,0.152004,0.778996,1.997425,0.000000,0.020264
0.020000,0.517521,7.002037,0.167983,0.818944,1.997425,0.000000,0.022393
0.020000,0.534295,7.002432,0.184762,0.858893,1.997425,-0.000000,0.024614
0.020000,0.551866,7.002885,0.202339,0.898841,1.997425,0.000000,0.026925
0.020000,0.570235,7.003401,0.220715,0.938790,1.997425,0.000000,0.029324
0.020000,0.589402,7.003987,0.239891,0.978738,1.997425,0.000000,0.031807
