dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.353911,6.717614,0.000200,0.019974,0.998712,49.935618,6.282573
0.020000,0.353943,6.717614,0.000232,0.001595,-0.918948,-95.883035,6.282686
0.020000,0.354006,6.717614,0.000295,0.003189,0.079694,49.932107,6.282912
0.020000,0.354563,6.717614,0.000853,0.027856,1.233324,57.681520,0.000065
0.020000,0.357887,6.717615,0.004176,0.166162,6.915312,284.099392,0.000516
0.020000,0.362041,6.717618,0.008330,0.207692,2.076510,-241.940083,0.001078
0.020000,0.367025,6.717625,0.013314,0.249215,2.076138,-0.018620,0.001753
0.020000,0.372839,6.717638,0.019128,0.290729,2.075706,-0.021591,0.002538
0.020000,0.379484,6.717658,0.025773,0.332239,2.075481,-0.011239,0.003433
0.020000,0.386959,6.717687,0.033248,0.373730,2.074557,-0.046199,0.004437
0.020000,0.395263,6.717728,0.041552,0.415216,2.074322,-0.011750,0.005551
0.020000,0.404396,6.717785,0.050686,0.456684,2.073396,-0.046328,0.006772
0.020000,0.414359,6.717859,0.060649,0.498138,2.072671,-0.036258,0.008099
0.020000,0.425150,6.717954,0.071440,0.539575,2.071873,-0.039901,0.009532
0.020000,0.436769,6.718074,0.083060,0.580996,2.071076,-0.039834,0.011069
0.020000,0.449216,6.718222,0.095508,0.622395,2.069900,-0.058788,0.012709
0.020000,0.462490,6.718402,0.108783,0.663773,2.068928,-0.048620,0.014450
0.020000,0.476591,6.718619,0.122886,0.705131,2.067873,-0.052736,0.016291
0.020000,0.491518,6.718876,0.137815,0.746464,2.066661,-0.060605,0.018229
0.020000,0.507271,6.719180,0.153571,0.787770,2.065299,-0.068115,0.020264
0.020000,0.523848,6.719533,0.170152,0.829047,2.063877,-0.071077,0.022393
0.020000,0.541249,6.719942,0.187558,0.870299,2.062577,-0.065001,0.024614
0.020000,0.559474,6.720412,0.205788,0.911518,2.060981,-0.079783,0.026925
0.020000,0.578520,6.720948,0.224842,0.952705,2.059329,-0.082636,0.029324
0.020000,0.598388,6.721555,0.244719,0.993858,2.057627,-0.085090,0.031807
0.020000,0.619076,6.722240,0.265419,1.034977,2.055990,-0.081837,0.034374
0.020000,0.640584,6.723008,0.286940,1.076055,2.053872,-0.105909,0.037021
0.020000,0.662909,6.723866,0.309282,1.117097,2.052127,-0.087253,0.039745
0.020000,0.686051,6.724819,0.332444,1.158097,2.049972,-0.107771,0.042543
0.020000,0.710009,6.725873,0.356425,1.199053,2.047818,-0.107667,0.045413
0.020000,0.734781,6.727035,0.381224,1.239967,2.045677,-0.107040,0.048351
0.020000,0.760366,6.728312,0.406841,1.280832,2.043274,-0.120147,0.051355
0.020000,0.786762,6.729709,0.433274,1.321650,2.040897,-0.118866,0.054419
0.020000,0.813968,6.731234,0.460522,1.362417,2.038365,-0.126589,0.057542
0.020000,0.841982,6.732892,0.488585,1.403134,2.035806,-0.127966,0.060719
0.020000,0.870801,6.734691,0.517461,1.443796,2.033111,-0.134752,0.063946
0.020000,0.900426,6.736637,0.547149,1.484402,2.030292,-0.140942,0.067220
0.020000,0.930852,6.738736,0.577648,1.524952,2.027504,-0.139419,0.070536
0.020000,0.962080,6.740995,0.608957,1.565441,2.024455,-0.152462,0.073891
0.020000,0.994105,6.743421,0.641074,1.605870,2.021447,-0.150352,0.077280
0.020000,1.026927,6.746019,0.673999,1.646236,2.018312,-0.156758,0.080698
0.020000,1.060543,6.748796,0.707729,1.686537,2.015062,-0.162531,0.084142
0.020000,1.094952,6.751758,0.742265,1.726771,2.011707,-0.167722,0.087605
0.020000,1.130149,6.754911,0.777604,1.766939,2.008366,-0.167078,0.091084
0.020000,1.166134,6.758262,0.813744,1.807035,2.004808,-0.177888,0.094574
0.020000,1.202904,6.761815,0.850686,1.847060,2.001243,-0.178234,0.098069
0.020000,1.240457,6.765576,0.888426,1.887011,1.997574,-0.183478,0.101564
0.020000,1.278789,6.769550,0.926964,1.926887,1.993811,-0.188154,0.105054
0.020000,1.317899,6.773743,0.966297,1.966687,1.990000,-0.190551,0.108533
0.020000,1.357783,6.778159,1.006425,2.006408,1.986055,-0.197236,0.111997
0.020000,1.398440,6.782803,1.047346,2.046050,1.982073,-0.199074,0.115438
0.020000,1.439866,6.787678,1.089059,2.085610,1.978000,-0.203666,0.118852
0.020000,1.482059,6.792790,1.131560,2.125087,1.973845,-0.207745,0.122233
0.020000,1.525017,6.798140,1.174850,2.164479,1.969617,-0.211396,0.125575
0.020000,1.568736,6.803733,1.218926,2.203786,1.965320,-0.214888,0.128870
0.020000,1.613215,6.809570,1.263786,2.243005,1.960949,-0.218542,0.132115
0.020000,1.658450,6.815655,1.309428,2.282135,1.956504,-0.222253,0.135301
0.020000,1.704440,6.821990,1.355852,2.321174,1.951987,-0.225811,0.138423
