dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.227133,4.457777,0.000197,0.019698,0.984885,49.244271,0.001281
0.020000,2.227265,4.457778,0.000328,0.006560,-0.656901,-82.089303,0.000817
0.020000,2.227719,4.457778,0.000783,0.022731,0.808568,73.273437,6.283072
0.020000,2.230479,4.457775,0.003542,0.137963,5.761591,247.651167,6.281672
0.020000,2.234161,4.457766,0.007224,0.184121,2.307923,-172.683423,6.279795
0.020000,2.238768,4.457745,0.011831,0.230342,2.311056,0.156637,6.277432
0.020000,2.244304,4.457706,0.017367,0.276795,2.322610,0.577729,6.274571
0.020000,2.250772,4.457639,0.023836,0.323443,2.332435,0.491256,6.271198
0.020000,2.258177,4.457536,0.031242,0.370279,2.341762,0.466318,6.267297
0.020000,2.266524,4.457385,0.039591,0.417448,2.358475,0.835651,6.262846
0.020000,2.275821,4.457172,0.048889,0.464925,2.373820,0.767278,6.257823
0.020000,2.286072,4.456883,0.059145,0.512775,2.392512,0.934590,6.252201
0.020000,2.297286,4.456501,0.070366,0.561047,2.413618,1.055292,6.245951
0.020000,2.309472,4.456005,0.082562,0.609805,2.437917,1.214967,6.239038
0.020000,2.322640,4.455373,0.095744,0.659123,2.465870,1.397636,6.231423
0.020000,2.336799,4.454580,0.109926,0.709071,2.497428,1.577906,6.223062
0.020000,2.351961,4.453598,0.125119,0.759680,2.530429,1.650053,6.213906
0.020000,2.368138,4.452395,0.141341,0.811097,2.570845,2.020799,6.203900
0.020000,2.385343,4.450933,0.158608,0.863365,2.613394,2.127447,6.192982
0.020000,2.403592,4.449174,0.176941,0.916649,2.664192,2.539871,6.181081
0.020000,2.422897,4.447070,0.196361,0.970985,2.716829,2.631860,6.168122
0.020000,2.443276,4.444570,0.216893,1.026576,2.779553,3.136210,6.154017
0.020000,2.464744,4.441614,0.238564,1.083554,2.848868,3.465752,6.138669
0.020000,2.487318,4.438138,0.261403,1.141976,2.921129,3.613039,6.121973
0.020000,2.511013,4.434064,0.285446,1.202123,3.007327,4.309918,6.103808
0.020000,2.535843,4.429309,0.310727,1.264074,3.097543,4.510806,6.084046
0.020000,2.561822,4.423777,0.337289,1.328080,3.200307,5.138183,6.062542
0.020000,2.588958,4.417358,0.365174,1.394259,3.308944,5.431831,6.039142
0.020000,2.617255,4.409930,0.394430,1.462782,3.426186,5.862136,6.013680
0.020000,2.646709,4.401357,0.425105,1.533785,3.550142,6.197792,5.985980
0.020000,2.677302,4.391483,0.457252,1.607339,3.677703,6.378065,5.955861
0.020000,2.709003,4.380141,0.490921,1.683455,3.805787,6.404174,5.923142
0.020000,2.741759,4.367146,0.526161,1.761976,3.926047,6.013006,5.887652
0.020000,2.775489,4.352300,0.563014,1.842658,4.034106,5.402956,5.849240
0.020000,2.810078,4.335396,0.601512,1.924906,4.112383,3.913853,5.807792
0.020000,2.845368,4.316229,0.641671,2.007943,4.151868,1.974257,5.763254
0.020000,2.881152,4.294602,0.683484,2.090644,4.135047,-0.841059,5.715649
0.020000,2.917174,4.270341,0.726913,2.171480,4.041823,-4.661213,5.665108
0.020000,2.953123,4.243316,0.771887,2.248694,3.860670,-9.057640,5.611887
0.020000,2.988646,4.213455,0.818294,2.320329,3.581778,-13.944608,5.556383
0.020000,3.023361,4.180760,0.865981,2.384381,3.202577,-18.960039,5.499131
0.020000,3.056882,4.145318,0.914764,2.439151,2.738504,-23.203657,5.440790
0.020000,3.088840,4.107296,0.964433,2.483437,2.214304,-26.209983,5.382102
0.020000,3.118919,4.066937,1.014768,2.516761,1.666208,-27.404793,5.323844
0.020000,3.146869,4.024530,1.065557,2.539447,1.134275,-26.596681,5.266769
0.020000,3.172390,3.980645,1.116324,2.538331,-0.055780,-59.502756,5.211857
0.020000,3.195089,3.936348,1.166098,2.488694,-2.481875,-121.304727,5.160442
0.020000,3.214823,3.892671,1.214026,2.396436,-4.612895,-106.551006,5.113461
0.020000,3.231819,3.850071,1.259892,2.293254,-5.159105,-27.310477,5.070998
0.020000,3.246425,3.808688,1.303776,2.194240,-4.950693,10.420589,5.032757
0.020000,3.258957,3.768602,1.345776,2.099988,-4.712585,11.905366,4.998401
0.020000,3.269700,3.729850,1.385990,2.010683,-4.465268,12.365855,4.967578
0.020000,3.278903,3.692441,1.424514,1.926215,-4.223393,12.093765,4.939947
0.020000,3.286783,3.656365,1.461440,1.846316,-3.994949,11.422194,4.915185
0.020000,3.293526,3.621600,1.496853,1.770611,-3.785250,10.484969,4.892993
0.020000,3.299292,3.588119,1.530827,1.698714,-3.594867,9.519115,4.873101
0.020000,3.304219,3.555889,1.563432,1.630248,-3.423266,8.580092,4.855268
0.020000,3.308424,3.524876,1.594728,1.564823,-3.271261,7.600223,4.839277
0.020000,3.312010,3.495048,1.624771,1.502118,-3.135246,6.800750,4.824937
0.020000,3.315062,3.466374,1.653607,1.441811,-3.015339,5.995381,4.812077
0.020000,3.317656,3.438823,1.681280,1.383646,-2.908279,5.352974,4.800545
0.020000,3.319855,3.412367,1.707827,1.327369,-2.813851,4.721409,4.790208
0.020000,3.321715,3.386979,1.733283,1.272778,-2.729552,4.214952,4.780948
0.020000,3.323284,3.362636,1.757676,1.219681,-2.654833,3.735924,4.772656
0.020000,3.324603,3.339315,1.781035,1.167927,-2.587725,3.355442,4.765240
0.020000,3.325709,3.316995,1.803382,1.117368,-2.527950,2.988748,4.758614
0.020000,3.326632,3.295657,1.824740,1.067883,-2.474212,2.686899,4.752702
0.020000,3.327400,3.275284,1.845127,1.019368,-2.425765,2.422328,4.747435
0.020000,3.328035,3.255860,1.864562,0.971725,-2.382129,2.181824,4.742752
0.020000,3.328557,3.237370,1.883059,0.924876,-2.342494,1.981743,4.738597
