dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.227495,4.175203,0.000197,0.019698,0.984885,49.244271,0.001281
0.020000,2.227495,4.175203,0.000985,0.059093,1.969771,49.244271,0.000817
0.020000,2.227687,4.175203,0.002561,0.098489,1.969771,0.000000,6.283072
0.020000,2.230051,4.175201,0.004924,0.137884,1.969771,0.000000,6.281672
0.020000,2.233203,4.175193,0.008076,0.177279,1.969771,-0.000000,6.279795
0.020000,2.237142,4.175175,0.012016,0.216675,1.969771,-0.000000,6.277432
0.020000,2.241869,4.175141,0.016743,0.256070,1.969771,0.000000,6.274571
0.020000,2.247385,4.175084,0.022258,0.295466,1.969771,0.000000,6.271198
0.020000,2.253687,4.174996,0.028562,0.334861,1.969771,0.000000,6.267297
0.020000,2.260777,4.174868,0.035653,0.374256,1.969771,0.000000,6.262846
0.020000,2.268654,4.174688,0.043532,0.413652,1.969771,-0.000000,6.257823
0.020000,2.277318,4.174444,0.052199,0.453047,1.969771,-0.000000,6.252201
0.020000,2.286767,4.174122,0.061654,0.492443,1.969771,0.000000,6.245951
0.020000,2.297002,4.173705,0.071897,0.531838,1.969771,-0.000000,6.239038
0.020000,2.308020,4.173177,0.082927,0.571234,1.969771,0.000000,6.231423
0.020000,2.319820,4.172516,0.094746,0.610629,1.969771,-0.000000,6.223062
0.020000,2.332400,4.171701,0.107353,0.650024,1.969771,0.000000,6.213906
0.020000,2.345757,4.170707,0.120747,0.689420,1.969771,0.000000,6.203900
0.020000,2.359889,4.169507,0.134929,0.728815,1.969771,0.000000,6.192982
0.020000,2.374790,4.168071,0.149900,0.768211,1.969771,0.000000,6.181081
0.020000,2.390455,4.166364,0.165658,0.807606,1.969771,0.000000,6.168122
0.020000,2.406878,4.164349,0.182204,0.847001,1.969771,0.000000,6.154017
0.020000,2.424050,4.161985,0.199538,0.886397,1.969771,0.000000,6.138669
0.020000,2.441960,4.159227,0.217660,0.925792,1.969771,0.000000,6.121973
0.020000,2.460597,4.156023,0.236569,0.965188,1.969771,-0.000000,6.103808
0.020000,2.479942,4.152319,0.256267,1.004583,1.969771,0.000000,6.084046
0.020000,2.499978,4.148052,0.276753,1.043979,1.969771,0.000000,6.062542
0.020000,2.520680,4.143156,0.298026,1.083374,1.969771,0.000000,6.039142
0.020000,2.542018,4.137556,0.320088,1.122769,1.969771,-0.000000,6.013680
0.020000,2.563957,4.131170,0.342937,1.162165,1.969771,0.000000,5.985980
0.020000,2.586451,4.123911,0.366574,1.201560,1.969771,0.000000,5.955861
0.020000,2.609448,4.115685,0.391000,1.240956,1.969771,-0.000000,5.923142
0.020000,2.632883,4.106388,0.416213,1.280351,1.969771,0.000000,5.887652
0.020000,2.656679,4.095916,0.442214,1.319746,1.969771,0.000000,5.849240
0.020000,2.680747,4.084155,0.469002,1.359142,1.969771,-0.000000,5.807792
0.020000,2.704978,4.070996,0.496579,1.398537,1.969771,0.000000,5.763254
0.020000,2.729252,4.056327,0.524944,1.437933,1.969771,0.000000,5.715649
