dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.227857,3.892628,0.000197,0.019698,0.984885,49.244271,0.001281
0.020000,2.227726,3.892628,0.000328,0.006560,-0.656901,-82.089303,0.000817
0.020000,2.227655,3.892628,0.000399,0.003549,-0.150555,25.317282,6.283072
0.020000,2.229623,3.892626,0.002367,0.098409,4.743034,244.679439,6.281672
0.020000,2.232245,3.892620,0.004989,0.131080,1.633544,-155.474482,6.279795
0.020000,2.235517,3.892605,0.008260,0.163575,1.624723,-0.441059,6.277432
0.020000,2.239435,3.892577,0.012179,0.195953,1.618905,-0.290917,6.274571
0.020000,2.243998,3.892530,0.016742,0.228127,1.608709,-0.509762,6.271198
0.020000,2.249198,3.892457,0.021942,0.260024,1.594854,-0.692763,6.267297
0.020000,2.255030,3.892351,0.027776,0.291677,1.582653,-0.610064,6.262846
0.020000,2.261488,3.892204,0.034236,0.322991,1.565674,-0.848963,6.257823
0.020000,2.268564,3.892005,0.041314,0.353929,1.546917,-0.937827,6.252201
0.020000,2.276248,3.891743,0.049003,0.384436,1.525364,-1.077643,6.245951
0.020000,2.284531,3.891405,0.057292,0.414459,1.501132,-1.211587,6.239038
0.020000,2.293399,3.890980,0.066171,0.443940,1.474047,-1.354277,6.231423
0.020000,2.302841,3.890451,0.075627,0.472810,1.443521,-1.526292,6.223062
0.020000,2.312839,3.889804,0.085647,0.500961,1.407525,-1.799787,6.213906
0.020000,2.323377,3.889020,0.096213,0.528348,1.369347,-1.908899,6.203900
0.020000,2.334434,3.888081,0.107310,0.554842,1.324741,-2.230335,6.192982
0.020000,2.345988,3.886967,0.118918,0.580379,1.276850,-2.394532,6.181081
0.020000,2.358013,3.885657,0.131014,0.604793,1.220689,-2.808070,6.168122
0.020000,2.370479,3.884128,0.143574,0.628004,1.160540,-3.007442,6.154017
0.020000,2.383355,3.882356,0.156571,0.649867,1.093166,-3.368709,6.138669
0.020000,2.396603,3.880316,0.169975,0.670178,1.015531,-3.881750,6.121973
0.020000,2.410180,3.877982,0.183752,0.688844,0.933325,-4.110279,6.103808
0.020000,2.424042,3.875328,0.197865,0.705645,0.840007,-4.665874,6.084046
0.020000,2.438135,3.872328,0.212273,0.720447,0.740136,-4.993597,6.062542
0.020000,2.452402,3.868954,0.226934,0.733050,0.630131,-5.500227,6.039142
0.020000,2.466781,3.865181,0.241801,0.743301,0.512569,-5.878124,6.013680
0.020000,2.481205,3.860984,0.256822,0.751074,0.388626,-6.197139,5.985980
0.020000,2.495600,3.856340,0.271948,0.756286,0.260613,-6.400620,5.955861
0.020000,2.509892,3.851228,0.287127,0.758949,0.133138,-6.373765,5.923142
0.020000,2.524006,3.845631,0.302310,0.759175,0.011330,-6.090403,5.887652
0.020000,2.537870,3.839531,0.317456,0.757288,-0.094351,-5.284068,5.849240
0.020000,2.551416,3.832914,0.332532,0.753786,-0.175096,-4.037219,5.807792
0.020000,2.564589,3.825762,0.347522,0.749498,-0.214426,-1.966530,5.763254
0.020000,2.577352,3.818051,0.362433,0.745569,-0.196432,0.899736,5.715649
0.020000,2.589687,3.809747,0.377302,0.743468,-0.105045,4.569305,5.665108
0.020000,2.601597,3.800795,0.392202,0.744992,0.076160,9.060296,5.611887
0.020000,2.613113,3.791117,0.407245,0.752121,0.356467,14.015336,5.556383
0.020000,2.624277,3.780602,0.422581,0.766819,0.734880,18.920650,5.499131
0.020000,2.635144,3.769110,0.438397,0.790810,1.199582,23.235086,5.440790
0.020000,2.645763,3.756473,0.454903,0.825298,1.724372,26.239517,5.382102
0.020000,2.656166,3.742507,0.472318,0.870762,2.273218,27.442295,5.323844
0.020000,2.666364,3.727026,0.490856,0.926876,2.805702,26.624187,5.266769
0.020000,2.676280,3.709962,0.510593,0.986846,2.998512,9.640488,5.211857
0.020000,2.685724,3.691519,0.531313,1.036008,2.458093,-27.020950,5.160442
0.020000,2.694522,3.672033,0.552693,1.068979,1.648551,-40.477071,5.113461
0.020000,2.702621,3.651719,0.574561,1.093432,1.222669,-21.294102,5.070998
0.020000,2.710030,3.630714,0.596836,1.113716,1.014192,-10.423867,5.032757
