dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.077002,7.889715,0.000213,0.021333,1.066667,53.333333,6.256550
0.020000,0.077026,7.889715,0.000237,0.001183,-1.007526,-103.709636,6.256466
0.020000,0.077073,7.889713,0.000284,0.002364,0.059059,53.329235,6.256298
0.020000,0.078340,7.889679,0.001551,0.063343,3.048946,149.494359,6.256048
0.020000,0.081846,7.889583,0.005059,0.175381,5.601923,127.648855,6.255714
0.020000,0.086228,7.889462,0.009443,0.219215,2.191673,-170.512493,6.255298
0.020000,0.091487,7.889314,0.014704,0.263040,2.191262,-0.020564,6.254800
0.020000,0.097622,7.889138,0.020841,0.306855,2.190744,-0.025913,6.254220
0.020000,0.104632,7.888932,0.027854,0.350659,2.190213,-0.026523,6.253560
0.020000,0.112517,7.888696,0.035743,0.394450,2.189527,-0.034281,6.252820
0.020000,0.121278,7.888426,0.044508,0.438226,2.188809,-0.035898,6.252002
0.020000,0.130913,7.888121,0.054147,0.481986,2.187984,-0.041269,6.251107
0.020000,0.141422,7.887779,0.064662,0.525727,2.187079,-0.045268,6.250135
0.020000,0.152804,7.887397,0.076051,0.569449,2.186113,-0.048275,6.249089
0.020000,0.165060,7.886972,0.088314,0.613150,2.185037,-0.053824,6.247969
0.020000,0.178188,7.886501,0.101450,0.656828,2.183873,-0.058178,6.246778
0.020000,0.192188,7.885983,0.115460,0.700481,2.182646,-0.061375,6.245517
0.020000,0.207059,7.885412,0.130342,0.744107,2.181341,-0.065254,6.244189
0.020000,0.222801,7.884787,0.146096,0.787706,2.179908,-0.071609,6.242794
0.020000,0.239412,7.884104,0.162722,0.831274,2.178429,-0.073990,6.241335
0.020000,0.256893,7.883358,0.180218,0.874811,2.176859,-0.078483,6.239815
0.020000,0.275241,7.882547,0.198584,0.918315,2.175187,-0.083587,6.238236
0.020000,0.294457,7.881667,0.217820,0.961784,2.173446,-0.087075,6.236600
0.020000,0.314538,7.880714,0.237924,1.005216,2.171602,-0.092164,6.234909
0.020000,0.335485,7.879684,0.258897,1.048610,2.169703,-0.094955,6.233167
0.020000,0.357296,7.878572,0.280736,1.091964,2.167686,-0.100883,6.231377
0.020000,0.379970,7.877376,0.303441,1.135276,2.165595,-0.104523,6.229541
0.020000,0.403506,7.876090,0.327012,1.178544,2.163400,-0.109760,6.227662
0.020000,0.427902,7.874710,0.351448,1.221767,2.161158,-0.112122,6.225744
0.020000,0.453158,7.873233,0.376746,1.264943,2.158793,-0.118244,6.223790
0.020000,0.479272,7.871654,0.402908,1.308070,2.156354,-0.121957,6.221803
0.020000,0.506242,7.869969,0.429931,1.351147,2.153840,-0.125694,6.219787
0.020000,0.534068,7.868174,0.457814,1.394171,2.151212,-0.131369,6.217746
0.020000,0.562747,7.866265,0.486557,1.437141,2.148530,-0.134121,6.215684
0.020000,0.592278,7.864237,0.516158,1.480056,2.145740,-0.139482,6.213604
0.020000,0.622661,7.862088,0.546616,1.522914,2.142875,-0.143286,6.211510
0.020000,0.653892,7.859812,0.577931,1.565712,2.139923,-0.147580,6.209407
0.020000,0.685971,7.857407,0.610100,1.608450,2.136884,-0.151925,6.207299
0.020000,0.718896,7.854869,0.643122,1.651125,2.133765,-0.155966,6.205190
0.020000,0.752665,7.852194,0.676997,1.693736,2.130559,-0.160287,6.203086
0.020000,0.787276,7.849379,0.711722,1.736282,2.127271,-0.164427,6.200989
0.020000,0.822728,7.846421,0.747298,1.778760,2.123903,-0.168377,6.198907
0.020000,0.859019,7.843317,0.783721,1.821169,2.120447,-0.172795,6.196842
0.020000,0.896147,7.840065,0.820991,1.863507,2.116916,-0.176572,6.194801
0.020000,0.934110,7.836662,0.859107,1.905773,2.113298,-0.180882,6.192788
0.020000,0.972907,7.833106,0.898066,1.947965,2.109603,-0.184741,6.190809
0.020000,1.012535,7.829396,0.937868,1.990082,2.105825,-0.188910,6.188868
0.020000,1.052994,7.825530,0.978510,2.032121,2.101970,-0.192786,6.186972
0.020000,1.094280,7.821506,1.019992,2.074082,2.098028,-0.197084,6.185126
0.020000,1.136392,7.817325,1.062311,2.115962,2.094018,-0.200493,6.183336
