dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.069477,7.607240,0.000213,0.021333,1.066667,53.333333,6.256550
0.020000,0.069477,7.607240,0.001067,0.064000,2.133333,53.333333,6.256466
0.020000,0.069477,7.607240,0.002773,0.106667,2.133333,0.000000,6.256298
0.020000,0.070672,7.607208,0.005333,0.149333,2.133333,0.000000,6.256048
0.020000,0.074084,7.607115,0.008747,0.192000,2.133333,-0.000000,6.255714
0.020000,0.078349,7.606997,0.013013,0.234667,2.133333,0.000000,6.255298
0.020000,0.083467,7.606853,0.018133,0.277333,2.133333,0.000000,6.254800
0.020000,0.089438,7.606681,0.024107,0.320000,2.133333,0.000000,6.254220
0.020000,0.096262,7.606481,0.030933,0.362667,2.133333,-0.000000,6.253560
0.020000,0.103938,7.606251,0.038613,0.405333,2.133333,0.000000,6.252820
0.020000,0.112468,7.605989,0.047147,0.448000,2.133333,0.000000,6.252002
0.020000,0.121850,7.605692,0.056533,0.490667,2.133333,-0.000000,6.251107
0.020000,0.132084,7.605358,0.066773,0.533333,2.133333,0.000000,6.250135
0.020000,0.143171,7.604986,0.077867,0.576000,2.133333,-0.000000,6.249089
0.020000,0.155111,7.604572,0.089813,0.618667,2.133333,0.000000,6.247969
0.020000,0.167903,7.604114,0.102613,0.661333,2.133333,-0.000000,6.246778
0.020000,0.181546,7.603608,0.116267,0.704000,2.133333,0.000000,6.245517
0.020000,0.196042,7.603052,0.130773,0.746667,2.133333,-0.000000,6.244189
0.020000,0.211390,7.602443,0.146133,0.789333,2.133333,0.000000,6.242794
0.020000,0.227590,7.601776,0.162347,0.832000,2.133333,-0.000000,6.241335
0.020000,0.244641,7.601049,0.179413,0.874667,2.133333,0.000000,6.239815
0.020000,0.262544,7.600258,0.197333,0.917333,2.133333,0.000000,6.238236
0.020000,0.281297,7.599399,0.216107,0.960000,2.133333,-0.000000,6.236600
0.020000,0.300902,7.598468,0.235733,1.002667,2.133333,0.000000,6.234909
0.020000,0.321357,7.597462,0.256213,1.045333,2.133333,-0.000000,6.233167
0.020000,0.342663,7.596376,0.277547,1.088000,2.133333,0.000000,6.231377
0.020000,0.364819,7.595207,0.299733,1.130667,2.133333,0.000000,6.229541
0.020000,0.387824,7.593950,0.322773,1.173333,2.133333,0.000000,6.227662
0.020000,0.411680,7.592601,0.346667,1.216000,2.133333,0.000000,6.225744
0.020000,0.436384,7.591156,0.371413,1.258667,2.133333,-0.000000,6.223790
0.020000,0.461937,7.589611,0.397013,1.301333,2.133333,0.000000,6.221803
0.020000,0.488339,7.587962,0.423467,1.344000,2.133333,-0.000000,6.219787
0.020000,0.515589,7.586204,0.450773,1.386667,2.133333,0.000000,6.217746
0.020000,0.543687,7.584333,0.478933,1.429333,2.133333,0.000000,6.215684
0.020000,0.572632,7.582346,0.507947,1.472000,2.133333,0.000000,6.213604
0.020000,0.602424,7.580238,0.537813,1.514667,2.133333,-0.000000,6.211510
0.020000,0.633063,7.578006,0.568533,1.557333,2.133333,0.000000,6.209407
0.020000,0.664548,7.575645,0.600107,1.600000,2.133333,0.000000,6.207299
0.020000,0.696879,7.573153,0.632533,1.642667,2.133333,0.000000,6.205190
0.020000,0.730055,7.570525,0.665813,1.685333,2.133333,0.000000,6.203086
0.020000,0.764076,7.567758,0.699947,1.728000,2.133333,0.000000,6.200989
0.020000,0.798941,7.564849,0.734933,1.770667,2.133333,-0.000000,6.198907
0.020000,0.834651,7.561795,0.770773,1.813333,2.133333,0.000000,6.196842
0.020000,0.871204,7.558593,0.807467,1.856000,2.133333,-0.000000,6.194801
0.020000,0.908601,7.555241,0.845013,1.898667,2.133333,0.000000,6.192788
0.020000,0.946841,7.551736,0.883413,1.941333,2.133333,-0.000000,6.190809
0.020000,0.985923,7.548077,0.922667,1.984000,2.133333,-0.000000,6.188868
0.020000,1.025848,7.544262,0.962773,2.026667,2.133333,0.000000,6.186972
0.020000,1.066615,7.540289,1.003733,2.069333,2.133333,-0.000000,6.185126
0.020000,1.108224,7.536158,1.045547,2.112000,2.133333,0.000000,6.183336
0.020000,1.150674,7.531867,1.088213,2.154667,2.133333,0.000000,6.181607
0.020000,1.193966,7.527418,1.131733,2.197333,2.133333,-0.000000,6.179945
0.020000,1.238099,7.522810,1.176107,2.240000,2.133333,0.000000,6.178357
0.020000,1.283074,7.518043,1.221333,2.282667,2.133333,0.000000,6.176849
0.020000,1.328890,7.513119,1.267413,2.325333,2.133333,-0.000000,6.175426
0.020000,1.375548,7.508040,1.314347,2.368000,2.133333,0.000000,6.174095
0.020000,1.423047,7.502807,1.362133,2.410667,2.133333,0.000000,6.172863
0.020000,1.471389,7.497424,1.410773,2.453333,2.133333,0.000000,6.171736
0.020000,1.520572,7.491894,1.460267,2.496000,2.133333,0.000000,6.170721
0.020000,1.570598,7.486221,1.510613,2.538667,2.133333,-0.000000,6.169825
0.020000,1.621467,7.480409,1.561813,2.581333,2.133333,0.000000,6.169054
0.020000,1.673180,7.474464,1.613867,2.624000,2.133333,0.000000,6.168417
0.020000,1.725737,7.468392,1.666773,2.666667,2.133333,0.000000,6.167919
