dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.061951,7.324766,0.000213,0.021333,1.066667,53.333333,6.256550
0.020000,0.061927,7.324766,0.000237,0.001183,-1.007526,-103.709636,6.256466
0.020000,0.061880,7.324767,0.000284,0.002364,0.059059,53.329235,6.256298
0.020000,0.063005,7.324737,0.001409,0.056259,2.694756,131.784887,6.256048
0.020000,0.066322,7.324646,0.004728,0.165952,5.484621,139.493250,6.255714
0.020000,0.070470,7.324532,0.008878,0.207452,2.075019,-170.480112,6.255298
0.020000,0.075447,7.324392,0.013857,0.248960,2.075422,0.020142,6.254800
0.020000,0.081254,7.324225,0.019666,0.290478,2.075883,0.023037,6.254220
0.020000,0.087892,7.324030,0.026306,0.332008,2.076491,0.030437,6.253560
0.020000,0.095359,7.323806,0.033777,0.373550,2.077113,0.031092,6.252820
0.020000,0.103657,7.323551,0.042080,0.415107,2.077865,0.037585,6.252002
0.020000,0.112787,7.323262,0.051213,0.456681,2.078676,0.040550,6.251107
0.020000,0.122747,7.322938,0.061179,0.498272,2.079573,0.044841,6.250135
0.020000,0.133538,7.322575,0.071976,0.539884,2.080575,0.050103,6.249089
0.020000,0.145162,7.322172,0.083607,0.581517,2.081635,0.052985,6.247969
0.020000,0.157617,7.321726,0.096070,0.623172,2.082775,0.057029,6.246778
0.020000,0.170905,7.321234,0.109367,0.664852,2.084019,0.062202,6.245517
0.020000,0.185026,7.320692,0.123498,0.706560,2.085354,0.066760,6.244189
0.020000,0.199980,7.320098,0.138464,0.748294,2.086734,0.068996,6.242794
0.020000,0.215768,7.319448,0.154265,0.790059,2.088235,0.075033,6.241335
0.020000,0.232390,7.318740,0.170903,0.831855,2.089817,0.079092,6.239815
0.020000,0.249846,7.317968,0.188376,0.873685,2.091469,0.082595,6.238236
0.020000,0.268138,7.317131,0.206687,0.915549,2.093222,0.087656,6.236600
0.020000,0.287266,7.316223,0.225836,0.957450,2.095046,0.091214,6.234909
0.020000,0.307229,7.315241,0.245824,0.999390,2.096986,0.096977,6.233167
0.020000,0.328030,7.314181,0.266651,1.041369,2.098981,0.099763,6.231377
0.020000,0.349667,7.313039,0.288319,1.083391,2.101076,0.104738,6.229541
0.020000,0.372143,7.311811,0.310828,1.125456,2.103240,0.108194,6.227662
0.020000,0.395457,7.310492,0.334180,1.167566,2.105528,0.114397,6.225744
0.020000,0.419610,7.309080,0.358374,1.209724,2.107868,0.117003,6.223790
0.020000,0.444603,7.307568,0.383413,1.251930,2.110306,0.121902,6.221803
0.020000,0.470437,7.305954,0.409296,1.294186,2.112841,0.126766,6.219787
0.020000,0.497111,7.304234,0.436026,1.336495,2.115436,0.129756,6.217746
