dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.110117,0.918039,0.000213,0.021333,1.066667,53.333333,0.025749
0.020000,0.110041,0.918037,0.000289,0.003769,-0.878194,-97.243019,0.026015
0.020000,0.109891,0.918033,0.000439,0.007536,0.188303,53.324822,0.026549
0.020000,0.110715,0.918055,0.001264,0.041209,1.683675,74.768619,0.027348
0.020000,0.113826,0.918142,0.004376,0.155616,5.720358,201.834123,0.028413
0.020000,0.117715,0.918255,0.008267,0.194546,1.946498,-188.692987,0.029743
0.020000,0.122383,0.918398,0.012937,0.233490,1.947211,0.035651,0.031336
0.020000,0.127829,0.918574,0.018386,0.272445,1.947758,0.027336,0.033192
0.020000,0.134053,0.918787,0.024614,0.311421,1.948760,0.050120,0.035309
0.020000,0.141057,0.919043,0.031622,0.350420,1.949985,0.061249,0.037686
0.020000,0.148840,0.919346,0.039411,0.389454,1.951677,0.084624,0.040320
0.020000,0.157403,0.919704,0.047982,0.428519,1.953233,0.077786,0.043209
0.020000,0.166746,0.920123,0.057334,0.467612,1.954687,0.072717,0.046350
0.020000,0.176869,0.920610,0.067469,0.506744,1.956605,0.095867,0.049742
0.020000,0.187773,0.921172,0.078387,0.545922,1.958857,0.112595,0.053381
0.020000,0.199458,0.921819,0.090090,0.585153,1.961554,0.134860,0.057262
0.020000,0.211925,0.922560,0.102579,0.624437,1.964195,0.132062,0.061384
0.020000,0.225174,0.923403,0.115855,0.663773,1.966830,0.131763,0.065741
0.020000,0.239205,0.924359,0.129918,0.703174,1.970049,0.160946,0.070329
0.020000,0.254018,0.925439,0.144771,0.742645,1.973537,0.174396,0.075143
0.020000,0.269615,0.926652,0.160415,0.782196,1.977532,0.199741,0.080178
0.020000,0.285995,0.928012,0.176851,0.821827,1.981574,0.202097,0.085428
0.020000,0.303159,0.929529,0.194082,0.861541,1.985723,0.207437,0.090887
0.020000,0.321107,0.931216,0.212109,0.901355,1.990699,0.248796,0.096547
0.020000,0.339839,0.933086,0.230935,0.941268,1.995612,0.245656,0.102403
0.020000,0.359356,0.935151,0.250561,0.981292,2.001214,0.280133,0.108445
0.020000,0.379658,0.937425,0.270989,1.021431,2.006970,0.287796,0.114667
0.020000,0.400744,0.939922,0.292223,1.061690,2.012943,0.298608,0.121058
0.020000,0.422616,0.942656,0.314265,1.102090,2.020008,0.353290,0.127611
0.020000,0.445273,0.945641,0.337117,1.142621,2.026513,0.325239,0.134314
0.020000,0.468715,0.948890,0.360783,1.183300,2.033952,0.371945,0.141158
0.020000,0.492942,0.952419,0.385266,1.224132,2.041628,0.383816,0.148132
0.020000,0.517954,0.956243,0.410569,1.265131,2.049946,0.415898,0.155224
0.020000,0.543751,0.960375,0.436694,1.306294,2.058155,0.410448,0.162422
0.020000,0.570333,0.964831,0.463647,1.347638,2.067189,0.451679,0.169714
0.020000,0.597699,0.969625,0.491431,1.389167,2.076450,0.463063,0.177086
0.020000,0.625850,0.974771,0.520048,1.430887,2.085988,0.476904,0.184526
0.020000,0.654786,0.980284,0.549504,1.472804,2.095844,0.492791,0.192018
0.020000,0.684506,0.986179,0.579803,1.514930,2.106304,0.522979,0.199549
0.020000,0.715009,0.992469,0.610948,1.557265,2.116780,0.523813,0.207103
0.020000,0.746297,0.999167,0.642945,1.599820,2.127712,0.546587,0.214665
0.020000,0.778368,1.006287,0.675797,1.642598,2.138918,0.560312,0.222219
0.020000,0.811223,1.013841,0.709509,1.685605,2.150376,0.572925,0.229749
0.020000,0.844861,1.021842,0.744086,1.728847,2.162066,0.584500,0.237239
0.020000,0.879283,1.030301,0.779532,1.772327,2.174001,0.596754,0.244671
0.020000,0.914490,1.039230,0.815853,1.816050,2.186138,0.606836,0.252028
0.020000,0.950481,1.048638,0.853054,1.860019,2.198477,0.616947,0.259293
0.020000,0.987257,1.058535,0.891138,1.904237,2.210916,0.621965,0.266448
0.020000,1.024819,1.068931,0.930112,1.948710,2.223613,0.634839,0.273475
0.020000,1.063169,1.079831,0.969981,1.993437,2.236361,0.637383,0.280356
0.020000,1.102307,1.091244,1.010750,2.038422,2.249247,0.644289,0.287073
0.020000,1.142236,1.103176,1.052423,2.083667,2.262281,0.651736,0.293608
0.020000,1.182958,1.115630,1.095006,2.129174,2.275327,0.652293,0.299942
0.020000,1.224475,1.128611,1.138505,2.174946,2.288583,0.662819,0.306056
0.020000,1.266790,1.142120,1.182925,2.220982,2.301813,0.661500,0.311932
0.020000,1.309908,1.156159,1.228271,2.267285,2.315176,0.668109,0.317550
0.020000,1.353832,1.170727,1.274548,2.313859,2.328680,0.675236,0.322892
0.020000,1.398568,1.185823,1.321762,2.360704,2.342246,0.678302,0.327938
0.020000,1.444121,1.201443,1.369918,2.407823,2.355929,0.684139,0.332669
0.020000,1.490497,1.217583,1.419023,2.455216,2.369684,0.687744,0.337065
0.020000,1.537704,1.234235,1.469081,2.502890,2.383681,0.699864,0.341107
0.020000,1.585749,1.251392,1.520098,2.550846,2.397791,0.705460,0.344775
0.020000,1.634642,1.269043,1.572079,2.599090,2.412203,0.720612,0.348048
0.020000,1.684393,1.287176,1.625032,2.647623,2.426640,0.721855,0.350905
0.020000,1.735013,1.305777,1.678961,2.696454,2.441548,0.745431,0.353327
0.020000,1.786513,1.324831,1.733873,2.745587,2.456658,0.755497,0.355291
0.020000,1.838907,1.344318,1.789773,2.795029,2.472102,0.772155,0.356775
0.020000,1.892209,1.364217,1.846669,2.844788,2.487954,0.792643,0.357757
0.020000,1.946435,1.384506,1.904566,2.894872,2.504217,0.813140,0.358215
0.020000,2.001602,1.405159,1.963472,2.945291,2.520942,0.836225,0.358123
0.020000,2.057728,1.426146,2.023393,2.996054,2.538166,0.861206,0.357459
0.020000,2.114831,1.447437,2.084337,3.047173,2.555919,0.887677,0.356196
0.020000,2.172934,1.468996,2.146310,3.098659,2.574302,0.919108,0.354309
0.020000,2.232057,1.490785,2.209320,3.150523,2.593197,0.944773,0.351771
0.020000,2.292224,1.512762,2.273376,3.202778,2.612785,0.979400,0.348555
0.020000,2.353255,1.534809,2.338267,3.244571,2.089629,-26.157798,0.344645
0.020000,2.414763,1.556733,2.403565,3.264886,1.015751,-53.693915,0.340052
0.020000,2.476557,1.578417,2.469053,3.274407,0.476044,-26.985346,0.334786
0.020000,2.538652,1.599816,2.534733,3.283972,0.478240,0.109813,0.328842
0.020000,2.601063,1.620886,2.600604,3.293583,0.480561,0.116057,0.322218
0.020000,2.663803,1.641581,2.666669,3.303236,0.482671,0.105492,0.314911
0.020000,2.726884,1.661855,2.732928,3.312930,0.484690,0.100931,0.306917
0.020000,2.790317,1.681660,2.799381,3.322659,0.486445,0.087752,0.298235
0.020000,2.854113,1.700948,2.866029,3.332416,0.487859,0.070716,0.288862
0.020000,2.918282,1.719670,2.932873,3.342189,0.488643,0.039197,0.278797
0.020000,2.982829,1.737776,2.999912,3.351964,0.488724,0.004044,0.268040
0.020000,3.047763,1.755215,3.067147,3.361723,0.487990,-0.036711,0.256593
0.020000,3.113086,1.771935,3.134576,3.371448,0.486244,-0.087257,0.244457
0.020000,3.178801,1.787884,3.202198,3.381112,0.483205,-0.151981,0.231636
0.020000,3.244906,1.803010,3.270012,3.390689,0.478816,-0.219454,0.218138
0.020000,3.311399,1.817259,3.338014,3.400145,0.472836,-0.298976,0.203970
0.020000,3.378274,1.830580,3.406203,3.409445,0.464988,-0.392412,0.189144
0.020000,3.445523,1.842918,3.474574,3.418552,0.455338,-0.482490,0.173673
0.020000,3.513133,1.854223,3.543123,3.427423,0.443536,-0.590132,0.157574
0.020000,3.581089,1.864442,3.611843,3.436012,0.429458,-0.703874,0.140866
0.020000,3.649373,1.873527,3.680728,3.444267,0.412776,-0.834114,0.123575
0.020000,3.717962,1.881428,3.749771,3.452149,0.394100,-0.933815,0.105725
0.020000,3.786832,1.888100,3.818964,3.459604,0.372744,-1.067768,0.087347
0.020000,3.855953,1.893499,3.888295,3.466582,0.348916,-1.191405,0.068475
0.020000,3.925293,1.897584,3.957756,3.473036,0.322685,-1.311559,0.049146
0.020000,3.994818,1.900318,4.027334,3.478920,0.294184,-1.425051,0.029401
0.020000,4.064489,1.901667,4.097018,3.484192,0.263614,-1.528475,0.009282
0.020000,4.134265,1.901603,4.166794,3.488817,0.231249,-1.618292,6.272021
0.020000,4.200919,1.900204,4.233463,3.333424,-7.769643,-400.044596,6.254587
0.020000,4.253520,1.899768,4.286066,2.630137,-35.164341,-1369.734885,0.011723
0.020000,4.306559,1.901425,4.339131,2.653242,1.155250,1815.979574,0.050409
0.020000,4.360047,1.905121,4.392746,2.680791,1.377450,11.109997,0.087147
0.020000,4.413991,1.910787,4.446987,2.712019,1.561359,9.195430,0.121675
0.020000,4.468391,1.918340,4.501909,2.746125,1.705343,7.199202,0.153791
0.020000,4.523247,1.927690,4.557556,2.782346,1.811006,5.283152,0.183344
0.020000,4.578555,1.938732,4.613956,2.819990,1.882221,3.560735,0.210235
0.020000,4.634315,1.951351,4.671125,2.858476,1.924292,2.103569,0.234402
0.020000,4.690526,1.965427,4.729072,2.897339,1.943167,0.943770,0.255820
0.020000,4.747195,1.980831,4.787797,2.936235,1.944802,0.081713,0.274485
0.020000,4.804332,1.997427,4.847296,2.974930,1.934717,-0.504247,0.290413
0.020000,4.861954,2.015079,4.907561,3.013284,1.917745,-0.848595,0.303627
0.020000,4.920086,2.033644,4.968586,3.051243,1.897918,-0.991365,0.314154
0.020000,4.978759,2.052978,5.030362,3.088812,1.878455,-0.973152,0.322024
0.020000,5.038010,2.072934,5.092883,3.126048,1.861810,-0.832251,0.327257
0.020000,5.097882,2.093360,5.156144,3.163043,1.849739,-0.603504,0.329873
0.020000,5.158425,2.114104,5.220142,3.199910,1.843373,-0.318333,0.329879
0.020000,5.219693,2.135007,5.284878,3.236776,1.843275,-0.004901,0.327277
0.020000,5.281743,2.155907,5.350353,3.273764,1.849425,0.307500,0.322055
0.020000,5.344636,2.176633,5.416573,3.310990,1.861274,0.592461,0.314199
0.020000,5.408432,2.197009,5.483544,3.348544,1.877705,0.821552,0.303685
0.020000,5.473190,2.216850,5.551274,3.386483,1.896962,0.962829,0.290484
0.020000,5.538967,2.235959,5.619770,3.424815,1.916591,0.981448,0.274570
0.020000,5.605810,2.254132,5.689039,3.463482,1.933375,0.839238,0.255917
0.020000,5.673758,2.271151,5.759086,3.502348,1.943293,0.495888,0.234513
0.020000,5.742834,2.286790,5.829910,3.541179,1.941527,-0.088310,0.210359
0.020000,5.813040,2.300811,5.901503,3.579630,1.922573,-0.947697,0.183482
0.020000,5.884355,2.312972,5.973847,3.617240,1.880489,-2.104188,0.153941
0.020000,5.956728,2.323029,6.046916,3.653427,1.809327,-3.558103,0.121838
0.020000,6.030074,2.330740,6.120666,3.687502,1.703770,-5.277841,0.087321
0.020000,6.104271,2.335875,6.195040,3.718701,1.559962,-7.190394,0.050593
0.020000,6.179158,2.338226,6.269965,3.746230,1.376447,-9.175788,0.011916
0.020000,6.254543,2.337613,6.345351,3.769332,1.155065,-11.069078,6.254787
0.020000,6.330198,2.333894,6.421098,3.787321,0.899464,-12.780070,6.213198
0.020000,6.396878,2.328094,6.488030,3.346623,-22.034872,-1146.716790,6.186173
0.020000,6.463145,2.321340,6.554640,3.330503,-0.806017,1061.442773,6.176936
0.020000,6.529573,2.313922,6.621481,3.342045,0.577106,69.156140,6.166884
0.020000,6.596182,2.305774,6.688586,3.355257,0.660599,4.174616,6.155892
0.020000,6.662782,2.296849,6.755782,3.359773,0.225789,-21.740468,6.143851
0.020000,6.728957,2.287131,6.822667,3.344254,-0.775935,-50.086230,6.130681
0.020000,6.794508,2.276579,6.889061,3.319717,-1.226845,-22.545484,6.116252
0.020000,6.859458,2.265113,6.955016,3.297744,-1.098689,6.407804,6.100361
0.020000,6.923845,2.252632,7.020601,3.279264,-0.923996,8.734645,6.082754
0.020000,6.987715,2.239014,7.085907,3.265301,-0.698138,11.292897,6.063114
0.020000,7.051127,2.224108,7.151048,3.257024,-0.413859,14.213980,6.041041
0.020000,7.114151,2.207720,7.216167,3.255970,-0.052692,18.058307,6.016019
0.020000,7.176876,2.189605,7.281456,3.264443,0.423678,23.818516,5.987379
0.020000,7.239412,2.169436,7.347163,3.285372,1.046449,31.138546,5.954233
0.020000,7.301893,2.146778,7.413626,3.323147,1.888724,42.113785,5.915389
0.020000,7.364482,2.121030,7.481305,3.383905,3.037924,57.459986,5.869219
0.020000,7.427357,2.091347,7.550834,3.476450,4.627238,79.465668,5.813467
0.020000,7.490672,2.056511,7.623100,3.613304,6.842718,110.774036,5.744993
0.020000,7.554439,2.014756,7.699321,3.811063,9.887931,152.260631,5.659467
0.020000,7.618208,1.963567,7.781093,4.088628,13.878235,199.515208,5.551219
0.020000,7.680349,1.899711,7.870195,4.455104,18.323797,222.278103,5.413906
0.020000,7.736853,1.820203,7.967737,4.877059,21.097746,138.697460,5.243536
0.020000,7.780723,1.725262,8.072323,5.229312,17.612664,-174.254134,5.045024
0.020000,7.804835,1.621685,8.178669,5.317315,4.400168,-660.624785,4.837194
0.020000,7.807647,1.520594,8.279799,5.056512,-13.040154,-872.016118,4.644930
0.020000,7.794016,1.430036,8.371378,4.578906,-23.880294,-542.006979,4.483651
0.020000,7.770386,1.352063,8.452853,4.073753,-25.257677,-68.869160,4.355258
0.020000,7.741456,1.285246,8.525664,3.640556,-21.659840,179.891854,4.254597
0.020000,7.709933,1.227322,8.591610,3.297320,-17.161789,224.902571,4.175257
0.020000,7.677252,1.176287,8.652212,3.030087,-13.361639,190.007491,4.111838
0.020000,7.644170,1.130615,8.708607,2.819741,-10.517332,142.215342,4.060299
0.020000,7.611092,1.089190,8.761618,2.650556,-8.459235,102.904830,4.017724
0.020000,7.578250,1.051202,8.811834,2.510802,-6.987727,73.575433,3.982023
0.020000,7.545782,1.016055,8.859683,2.392439,-5.918121,53.480302,3.951684
0.020000,7.513771,0.983305,8.905478,2.289770,-5.133453,39.233411,3.925595
0.020000,7.482278,0.952615,8.949452,2.198709,-4.553036,29.020842,3.902930
0.020000,7.451340,0.923721,8.991784,2.116604,-4.105247,22.389456,3.883060
0.020000,7.420989,0.896418,9.032609,2.041236,-3.768413,16.841660,3.865503
0.020000,7.391245,0.870541,9.072035,1.971281,-3.497778,13.531779,3.849880
0.020000,7.362127,0.845955,9.110143,1.905428,-3.292644,10.256689,3.835895
0.020000,7.333650,0.822550,9.147005,1.843069,-3.117940,8.735195,3.823306
0.020000,7.305824,0.800234,9.182673,1.783424,-2.982231,6.785450,3.811920
0.020000,7.278662,0.778931,9.217193,1.725981,-2.872142,5.504441,3.801579
0.020000,7.252173,0.758574,9.250601,1.670395,-2.779303,4.641974,3.792151
0.020000,7.226363,0.739108,9.282929,1.616397,-2.699921,3.969071,3.783527
0.020000,7.201241,0.720483,9.314202,1.563649,-2.637383,3.126942,3.775615
0.020000,7.176812,0.702658,9.344442,1.512045,-2.580233,2.857488,3.768337
0.020000,7.153082,0.685596,9.373669,1.461335,-2.535474,2.237920,3.761628
0.020000,7.130056,0.669265,9.401898,1.411461,-2.493710,2.088238,3.755430
0.020000,7.107740,0.653636,9.429143,1.362237,-2.461197,1.625634,3.749694
0.020000,7.086137,0.638684,9.455416,1.313656,-2.429073,1.606219,3.744378
0.020000,7.065251,0.624386,9.480728,1.265585,-2.403543,1.276463,3.739446
0.020000,7.045085,0.610721,9.505087,1.217949,-2.381786,1.087854,3.734864
0.020000,7.025644,0.597672,9.528501,1.170726,-2.361123,1.033137,3.730605
0.020000,7.006930,0.585223,9.550978,1.123826,-2.345043,0.804040,3.726644
0.020000,6.988945,0.573358,9.572524,1.077301,-2.326247,0.939785,3.722958
0.020000,6.971694,0.562064,9.593144,1.030989,-2.315601,0.532280,3.719529
